"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","LTi cells","Lymphatic ECs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"ACRV1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PATE2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HYLS1",10,0,1,0,0,1,0,1,10,0,0,0,0,0,5,3,0,0,2,9,0,0,0,0,0,0,1,31,2,0,0,8,4,2
"PUS3",10,8,3,1,0,0,1,0,21,4,0,0,2,1,11,10,6,0,3,9,0,0,0,0,1,1,0,4,1,1,11,19,16,1
"RP11-680F20.6",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDON",0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RPUSD4",9,4,6,6,1,1,1,4,21,6,0,0,1,2,24,11,9,2,7,12,2,2,0,0,2,1,4,32,1,1,9,22,18,2
"RP11-50B3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM118B",10,11,2,5,2,0,0,0,21,3,0,0,2,1,6,6,0,0,5,5,0,0,0,1,1,1,1,18,1,3,9,42,17,3
"SRPRA",30,25,8,21,10,8,3,6,96,23,0,1,4,2,77,30,17,5,27,55,2,6,2,4,3,12,2,98,7,4,63,38,68,11
"FOXRED1",10,3,1,3,1,0,1,1,18,4,1,1,0,1,10,4,4,1,2,7,1,1,0,0,2,1,0,44,5,5,3,29,15,1
"TIRAP",1,0,2,2,0,0,0,1,3,0,0,0,0,0,4,2,2,0,3,3,0,0,0,0,0,0,0,3,0,1,1,7,7,0
"RP11-712L6.5",1,0,0,2,1,0,0,0,3,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,1,1,1
"DCPS",26,5,11,14,6,3,1,3,31,10,1,0,2,1,43,19,9,3,16,24,0,0,0,1,2,6,0,116,9,1,30,24,19,7
"ST3GAL4-AS1",2,2,1,3,0,0,0,1,8,0,2,0,0,1,2,4,0,1,0,0,0,0,0,1,2,0,0,2,0,0,2,0,10,1
"ST3GAL4",14,35,2,9,3,0,0,7,128,1,1,0,0,15,6,4,3,2,2,3,0,1,0,1,2,0,0,10,0,1,8,129,27,12
"KIRREL3",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"RP11-115C10.1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-480C22.1",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ETS1",32,26,140,8,65,16,28,15,61,155,19,2,14,2,193,287,167,2,109,415,14,15,5,4,14,18,1,334,33,35,338,15,317,10
"RP11-264E20.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"FLI1",36,4,17,16,4,2,3,0,8,5,1,0,6,5,99,29,11,0,22,45,1,2,0,2,0,4,0,66,7,4,20,0,115,0
"SENCR",9,0,2,6,1,1,0,0,0,1,0,1,1,1,2,4,2,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,20,0
"KCNJ5",10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"C11orf45",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ARHGAP32",1,5,0,1,0,0,0,1,15,0,0,0,1,0,1,0,0,0,3,1,0,1,0,0,3,0,0,1,0,0,0,51,5,1
"BARX2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0
"TMEM45B",2,0,0,0,0,0,1,0,5,1,0,0,0,0,3,1,2,0,1,4,0,0,0,0,0,0,1,2,0,0,1,282,4,0
"NFRKB",12,1,3,1,7,1,0,0,17,4,0,0,2,4,2,9,11,3,4,10,3,3,0,0,4,0,0,12,2,3,9,21,17,2
"PRDM10",1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,3,0,0,0,0,0,0,0,7,0,0,1,2,3,0
"LINC00167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,1,0,0
"APLP2",254,31,15,60,8,3,2,31,284,8,3,2,30,1,20,23,8,12,53,30,1,1,1,1,23,0,29,120,5,15,45,233,301,33
"ST14",107,2,2,18,0,1,0,1,2,3,0,0,0,0,17,1,1,0,8,2,1,0,0,4,1,0,3,66,0,1,1,313,3,1
"ZBTB44",20,5,9,16,2,1,1,9,41,8,0,0,2,0,36,10,11,0,13,14,0,1,0,0,4,0,1,63,2,2,13,35,32,5
"RP11-121M22.1",2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0
"ADAMTS8",0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"ADAMTS15",1,0,0,0,0,0,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"RP11-890B15.2",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RP11-890B15.3",1,1,1,0,1,0,1,0,3,0,0,0,0,0,2,0,2,0,1,3,0,0,1,0,0,0,0,0,0,1,1,5,0,0
"SNX19",5,8,3,9,1,0,0,1,19,3,1,0,1,1,10,10,4,0,4,7,0,0,0,1,1,0,0,14,0,1,12,23,19,5
"NTM",0,29,0,0,0,0,0,12,19,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0
"OPCML",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-713P17.3",1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"RP11-713P17.4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM3",1,9,1,1,0,0,1,3,48,0,0,0,0,0,18,0,1,4,2,2,0,0,0,0,2,0,0,0,0,0,0,0,46,5
"NCAPD3",11,2,2,1,3,1,0,1,8,3,0,0,0,1,10,7,6,3,4,4,1,1,0,1,0,3,0,41,7,3,11,9,10,3
"VPS26B",29,9,4,5,5,2,5,6,46,8,2,0,1,6,8,22,12,1,4,24,2,2,0,1,5,3,0,4,2,4,18,30,20,5
"THYN1",52,24,21,17,11,5,4,6,134,26,2,1,3,8,55,24,25,4,22,57,2,1,3,3,7,6,0,64,12,6,62,71,78,10
"ACAD8",12,7,3,3,4,0,0,1,25,0,0,0,2,1,9,5,5,2,3,8,0,0,1,0,1,0,0,13,1,2,6,21,22,0
"GLB1L2",0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"B3GAT1",0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,7,0,0,0
"TUBB8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZMYND11",18,23,8,4,2,1,2,7,43,7,1,1,4,0,23,12,11,1,4,21,1,1,0,1,8,0,2,2,1,2,4,33,39,8
"DIP2C",1,6,1,0,1,1,1,3,33,1,0,0,0,3,6,0,1,2,4,4,0,0,0,0,2,0,0,1,0,0,1,4,10,5
"RP11-809C18.3",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRR26",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
"LARP4B",22,5,3,11,5,0,1,1,19,2,0,1,2,0,20,7,6,1,5,10,1,0,0,0,3,1,2,36,1,0,8,45,26,2
"GTPBP4",30,12,16,11,6,2,9,2,36,7,2,0,1,3,67,20,13,3,25,44,2,4,0,0,6,2,3,93,4,6,34,47,40,8
"IDI2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"IDI2-AS1",1,0,0,0,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IDI1",46,11,23,13,12,4,4,11,42,26,3,0,1,5,168,51,36,3,75,83,4,4,0,2,4,5,2,195,11,20,88,140,46,10
"WDR37",14,4,10,7,2,1,0,3,32,10,1,0,2,2,32,14,10,2,12,24,0,0,2,1,0,0,0,25,2,3,16,18,32,3
"ADARB2",0,0,1,0,0,0,0,9,0,3,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"ADARB2-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-118K6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PFKP",45,5,16,9,8,3,3,3,32,4,2,0,1,1,35,20,11,4,14,23,0,0,0,3,4,0,0,35,10,12,41,50,32,2
"PITRM1",16,5,3,6,0,2,0,2,26,1,0,0,1,1,10,5,3,0,7,3,0,0,0,0,5,1,0,12,3,0,3,14,15,3
"PITRM1-AS1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"KLF6",513,96,252,268,101,50,57,76,274,162,39,10,79,37,767,567,300,8,209,667,28,24,28,19,19,10,61,359,56,53,610,359,417,31
"LINC00702",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,8
"LINC00704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"AKR1E2",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0
"AKR1C2",1,0,0,1,0,0,0,2,48,0,0,0,5,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,19,1,0
"AKR1C1",2,1,0,0,0,0,0,3,207,2,0,0,3,0,0,2,0,0,0,6,0,0,0,0,0,0,0,1,5,0,19,21,5,0
"AKR1C3",12,4,2,3,0,0,1,0,117,30,0,1,36,2,6,7,4,0,1,10,0,2,1,2,2,0,0,3,2,2,27,294,82,0
"UCN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"TUBAL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"NET1",7,2,0,41,0,0,0,0,37,4,0,1,0,2,5,2,0,3,6,5,1,0,0,2,27,7,1,72,3,2,3,120,78,71
"CALML3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASB13",9,8,0,3,0,0,1,0,20,0,0,0,2,1,2,4,0,1,1,6,0,0,0,0,4,2,2,157,0,0,0,22,20,5
"FAM208B",14,7,9,7,5,4,2,1,33,9,0,1,1,2,41,19,9,2,17,21,1,3,1,2,3,2,1,132,4,1,9,30,34,7
"RP11-336A10.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDI2",295,105,35,196,24,7,9,16,277,68,8,2,8,20,312,105,36,6,179,126,8,3,2,9,19,9,13,728,31,28,139,295,215,21
"RP11-318E3.9",1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
"ANKRD16",1,4,1,0,0,1,0,0,16,0,0,1,1,0,2,0,0,0,2,1,1,0,0,0,0,0,0,6,0,2,1,2,4,1
"FBXO18",13,25,6,9,5,1,2,4,47,5,1,1,0,1,31,7,6,1,15,20,0,2,0,1,6,5,1,41,2,7,11,30,41,6
"RP11-536K7.3",7,11,1,0,0,0,0,0,27,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,9,0
"IL15RA",31,34,1,1,2,1,0,0,95,1,0,0,4,0,15,2,5,1,3,7,0,1,0,0,1,1,0,5,3,3,7,18,42,2
"IL2RA",17,0,2,0,16,0,0,0,2,0,1,0,0,1,27,11,2,0,6,28,2,1,0,0,0,0,0,14,24,6,260,2,1,0
"RP11-536K7.5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBM17",88,55,21,26,13,2,3,5,105,29,4,3,5,3,89,55,33,2,51,71,0,5,2,3,18,8,9,314,8,23,64,114,143,19
"PFKFB3",32,15,5,9,3,0,0,2,9,9,4,1,0,1,12,12,8,0,1,14,0,1,1,0,0,1,1,4,6,1,34,6,6,0
"RP11-414H17.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-563J2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"RP11-563J2.3",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"PRKCQ",0,1,6,0,8,0,2,1,0,3,0,0,0,0,1,12,8,0,0,15,0,0,0,0,0,0,0,1,1,4,19,2,0,0
"SFMBT2",29,0,5,8,1,4,0,0,6,0,0,1,0,0,4,5,3,0,4,7,0,2,0,4,1,1,0,8,1,1,6,0,19,1
"RP5-1031D4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ITIH5",1,53,0,0,0,0,0,10,222,0,0,0,4,0,0,0,1,8,1,1,0,0,1,0,3,0,0,3,1,0,1,1,43,38
"KIN",36,12,6,9,9,2,3,8,45,10,1,0,3,1,30,10,10,2,14,17,0,0,0,1,3,1,0,47,3,2,21,21,33,8
"ATP5C1",297,79,33,122,34,12,4,18,279,45,8,3,12,21,132,87,51,25,66,112,3,10,3,3,30,8,10,495,27,35,136,550,266,40
"TAF3",25,9,18,11,7,2,5,1,35,5,1,1,1,0,84,31,26,1,27,55,1,1,1,1,4,2,2,58,7,2,39,18,46,5
"GATA3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0
"GATA3",9,0,27,0,15,2,4,2,6,48,5,2,0,0,8,87,26,0,3,71,8,7,4,0,0,2,0,9,12,4,116,0,4,0
"SFTA1P",1,6,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CELF2",106,9,46,92,21,19,13,20,137,58,13,12,1,20,232,143,66,3,93,222,7,10,3,5,1,4,13,70,14,20,169,11,17,1
"RP3-323N1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CELF2-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USP6NL",11,4,2,3,0,0,0,0,5,0,0,0,1,0,70,1,1,0,16,4,0,0,0,0,1,2,0,78,0,0,1,21,8,0
"RP11-138I18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"RP11-138I18.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
"ECHDC3",8,2,0,2,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,1
"PROSER2",0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0
"PROSER2-AS1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UPF2",50,22,27,28,5,9,9,13,94,35,3,2,5,7,200,49,49,5,101,90,2,6,3,2,12,12,3,171,13,6,79,68,96,12
"DHTKD1",16,1,2,11,0,0,1,2,20,4,1,0,2,0,33,4,3,0,15,8,0,0,0,4,3,2,1,51,1,1,4,22,20,3
"SEC61A2",2,1,0,1,1,0,0,0,5,0,0,0,1,0,3,1,1,0,0,3,0,0,0,0,1,0,0,9,1,1,1,1,2,0
"NUDT5",82,32,17,22,14,4,4,6,78,26,2,1,4,2,64,23,36,2,22,51,2,4,1,3,8,9,4,146,14,17,59,151,85,4
"CDC123",60,25,17,24,7,2,1,12,94,21,2,0,8,2,69,22,15,5,38,39,2,3,0,4,8,6,3,161,9,10,44,96,102,11
"RP11-186N15.3",1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"CAMK1D",59,0,1,23,1,2,1,0,34,4,1,0,0,1,82,19,6,1,27,18,1,0,0,0,3,0,0,6,0,1,11,27,24,1
"CCDC3",2,14,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,36,0,0,0,0,0,1,0,119,73
"OPTN",32,69,50,2,27,18,17,9,201,41,7,1,13,11,45,82,58,6,7,88,1,4,2,1,31,3,2,30,18,17,88,130,151,39
"MCM10",6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,31,0,7,1,2,0,0
"PHYH",34,18,5,8,0,1,0,5,69,3,0,0,3,2,33,10,6,1,2,15,0,0,0,0,6,3,2,11,5,4,9,81,38,6
"SEPHS1",20,6,6,5,0,0,0,0,21,2,1,1,0,0,12,7,3,0,3,11,0,0,1,1,2,1,0,71,4,6,10,37,27,1
"BEND7",0,1,1,1,0,0,1,0,4,0,0,0,0,0,3,3,5,1,2,2,0,0,0,0,0,0,0,2,0,0,0,11,11,1
"PRPF18",25,11,12,7,4,3,5,4,32,11,5,0,2,1,42,22,18,0,12,26,1,2,2,0,3,4,0,60,2,4,35,32,34,3
"RP11-295P9.13",1,0,1,1,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
"FRMD4A",61,13,1,1,0,0,0,17,32,8,0,0,5,0,3,3,1,3,1,2,0,0,0,0,9,0,0,0,0,0,4,5,71,8
"RP11-295P9.12",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-142M10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM107B",29,4,31,16,7,9,8,3,36,54,1,1,4,11,107,64,38,2,23,83,4,5,0,2,2,5,2,145,12,11,73,37,10,8
"CDNF",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0
"HSPA14",21,7,6,10,3,0,1,1,20,6,2,0,1,0,15,14,6,1,7,25,0,1,1,0,1,3,1,71,5,4,14,42,11,1
"RP11-398C13.6",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,3,0,0,1,5,3,0
"SUV39H2",4,0,2,0,0,0,0,0,5,0,0,0,0,0,0,2,2,0,1,3,0,0,0,0,1,0,0,28,1,2,4,5,1,0
"DCLRE1C",13,2,8,14,3,1,1,2,23,5,0,1,0,0,52,8,3,0,30,17,0,0,0,0,1,1,0,72,4,6,15,12,9,3
"MEIG1",1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,2,0
"OLAH",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"C10orf111",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RPP38",13,8,6,9,2,4,5,2,25,6,0,1,1,2,29,13,11,1,9,17,3,1,0,1,7,2,2,40,3,2,13,42,25,3
"NMT2",3,6,19,1,4,2,3,8,45,14,1,1,6,10,10,29,13,3,4,70,1,4,1,0,3,0,0,1,4,2,44,23,27,7
"FAM171A1",0,1,0,0,0,0,0,1,12,1,0,0,5,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,24,93,0
"ITGA8",0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,26,14
"FAM188A",10,4,1,6,2,0,0,3,28,1,0,0,1,2,16,5,6,5,9,6,0,2,0,0,5,2,0,20,2,1,9,18,27,6
"PTER",9,1,5,5,2,1,2,0,16,2,0,0,0,1,21,8,5,1,7,17,1,0,0,0,1,1,0,20,2,1,12,21,4,1
"RSU1",77,29,14,20,4,4,6,10,97,11,3,1,12,3,30,25,20,10,20,30,3,4,4,1,21,1,6,91,7,4,26,70,126,30
"CUBN",0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,29,1
"RP11-406H21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"TRDMT1",9,2,2,1,2,0,1,0,4,3,0,0,0,0,4,2,4,0,4,2,0,0,0,0,0,1,0,6,1,1,1,7,6,1
"VIM-AS1",5,2,3,6,1,0,2,1,3,3,1,0,0,1,25,11,7,0,5,16,2,0,0,0,0,1,2,1,2,3,16,0,3,1
"VIM",3386,1198,419,1193,269,102,70,712,6890,87,55,4,469,236,972,729,482,128,177,1022,54,50,12,25,495,44,124,293,248,345,756,44,6614,1194
"RP11-124N14.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ST8SIA6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ST8SIA6-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HACD1",2,0,1,3,0,0,1,1,5,19,0,1,1,0,1,9,0,10,1,15,0,0,0,1,8,0,0,2,9,2,70,10,3,21
"STAM-AS1",3,0,0,1,0,0,0,0,3,1,0,0,1,0,4,1,0,0,5,3,0,0,0,0,0,3,1,5,1,1,5,1,0,0
"STAM",14,5,7,3,2,2,1,2,18,21,1,0,3,0,8,14,5,1,8,31,0,1,0,0,2,0,0,13,6,1,66,17,14,1
"TMEM236",2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0
"MRC1",163,0,0,47,0,0,0,0,0,0,0,0,23,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,1,5,1,5,0
"CACNB2",0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,0,10,1,7
"RP11-499P20.2",0,0,0,1,0,0,0,1,7,0,0,0,0,0,2,0,1,1,1,2,0,0,0,0,5,1,0,1,0,0,1,3,2,5
"NSUN6",13,2,8,6,4,1,2,1,21,6,1,0,1,3,25,21,11,0,3,31,0,1,0,0,0,4,6,24,2,2,21,14,26,4
"ARL5B",12,6,2,3,1,0,1,0,11,0,0,1,0,0,11,3,2,3,4,1,1,1,1,1,1,3,3,12,0,2,9,28,18,1
"MALRD1",0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-354E11.2",0,0,0,0,0,0,0,1,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
"PLXDC2",129,58,0,26,0,0,0,2,180,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,8,51,1
"RP11-575A19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NEBL",0,2,0,1,2,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0,2,19,8,0
"NEBL-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CASC10",0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,1
"SKIDA1",0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0
"MLLT10",23,10,6,9,4,1,3,3,42,10,1,1,2,3,37,15,16,2,9,35,1,1,1,0,0,1,0,43,1,4,14,13,28,1
"DNAJC1",62,34,26,23,12,7,9,2,103,11,4,2,5,3,34,51,34,5,19,41,3,2,4,2,8,12,3,64,7,12,30,82,95,10
"RP11-573G6.6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"COMMD3",74,35,14,43,11,4,6,6,122,19,3,1,8,7,81,31,23,6,35,48,2,2,2,4,4,12,4,112,8,11,52,77,68,7
"BMI1",25,6,6,2,2,0,0,3,37,2,0,1,2,3,30,11,5,1,12,16,1,3,2,2,1,3,1,17,2,3,12,26,21,3
"SPAG6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
