"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"MRPL11",52,247,1,7,2,7,11,5,9,0,0,24,0,13,8,662,17
"PELI3",3,14,0,0,0,0,0,0,0,0,0,2,0,0,0,30,1
"CTD-3074O7.5",0,9,0,0,0,0,1,0,0,1,0,2,0,0,0,37,1
"DPP3",10,33,0,0,0,0,3,1,3,1,0,5,0,11,6,161,2
"BBS1",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"ZDHHC24",26,112,0,3,3,3,3,1,6,3,0,11,2,3,6,235,15
"CTSF",9,404,0,0,1,3,1,0,11,0,0,23,1,0,0,11,11
"CCDC87",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CCS",32,191,0,2,2,8,2,3,11,2,0,25,3,4,4,466,13
"RBM14",17,92,2,3,0,5,4,6,3,1,0,9,3,6,7,179,5
"RBM14-RBM4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RBM4",8,62,0,2,0,1,4,2,1,3,1,5,2,4,6,132,9
"RBM4B",5,82,0,0,1,2,1,0,4,2,0,7,0,1,0,92,3
"RP11-658F2.8",0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,44,4
"SPTBN2",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0
"C11orf80",1,7,0,0,1,2,1,0,0,0,0,3,0,2,0,113,0
"RCE1",7,58,0,0,0,1,1,0,1,0,0,7,1,2,2,149,3
"PC",5,20,0,0,0,1,0,0,0,0,0,0,0,0,0,17,1
"LRFN4",6,24,0,0,0,1,0,0,0,0,0,5,0,0,0,58,6
"C11orf86",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
"SYT12",0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
"RHOD",2,218,0,0,1,0,0,0,11,0,0,2,0,0,0,351,3
"KDM2A",15,92,0,1,0,1,4,2,1,0,0,6,4,4,8,293,12
"ADRBK1",24,50,0,3,0,7,8,1,0,1,0,4,3,4,4,349,8
"ANKRD13D",20,52,0,0,0,3,1,2,0,2,0,6,2,0,1,173,5
"SSH3",5,39,0,0,0,1,0,0,0,0,0,4,0,0,0,258,4
"RAD9A",9,48,1,1,1,1,4,2,2,1,0,5,1,5,5,307,6
"POLD4",45,165,1,5,2,18,6,3,4,2,1,15,2,3,9,405,13
"CTC-1337H24.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CLCF1",2,60,0,0,0,0,0,0,4,0,0,2,0,2,0,90,5
"CTC-1337H24.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"PPP1CA",170,368,3,31,1,28,40,17,24,11,3,61,11,50,57,1334,67
"TBC1D10C",13,8,2,2,0,5,25,16,1,9,2,0,0,14,39,10,2
"CARNS1",2,9,0,0,0,0,1,0,0,0,0,0,0,0,0,194,0
"RPS6KB2",23,115,3,2,0,5,5,5,3,0,0,22,3,8,11,244,13
"AP003419.16",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"CORO1B",92,249,4,13,2,3,27,9,11,8,0,25,3,15,64,601,32
"CABP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
"TMEM134",48,192,2,10,0,8,9,1,8,4,3,22,4,3,19,857,24
"AIP",39,227,1,9,5,20,13,5,14,2,1,26,1,14,21,352,28
"PITPNM1",4,36,0,1,0,2,2,0,1,0,0,3,1,0,0,131,3
"CDK2AP2",33,168,2,10,4,29,13,9,10,3,1,16,6,11,14,655,22
"GSTP1",850,2758,5,90,23,44,41,18,89,8,1,225,48,28,33,14400,183
"C11orf72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NDUFV1",61,244,2,5,5,13,11,6,13,5,1,39,2,9,15,618,26
"RP11-655M14.13",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"NUDT8",4,54,0,0,0,1,0,0,1,1,0,4,0,2,1,372,4
"ACY3",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0
"ALDH3B2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0
"RP11-119D9.1",0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,12,1
"RP5-903G2.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
"UNC93B1",71,69,0,6,0,2,0,0,1,0,1,8,1,3,1,1878,5
"ALDH3B1",23,48,0,1,1,1,0,0,1,1,0,3,3,1,0,445,1
"RP5-901A4.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NDUFS8",182,582,3,27,3,36,24,19,28,5,3,63,15,17,21,1332,47
"TCIRG1",68,94,2,7,1,4,5,3,7,0,2,13,5,4,6,153,13
"RP11-802E16.3",2,14,0,1,0,0,0,1,1,0,0,1,0,0,3,10,1
"CHKA",9,9,0,2,0,0,0,0,1,0,0,1,0,0,0,103,6
"CTD-2655K5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KMT5B",17,92,1,5,2,0,1,0,5,0,0,0,1,0,2,202,6
"C11orf24",22,268,0,2,0,1,0,0,5,0,0,21,2,4,0,112,2
"LRP5",4,42,0,0,0,0,0,0,2,0,0,3,0,0,1,272,9
"PPP6R3",22,81,0,2,1,1,4,0,5,0,0,7,0,0,5,220,13
"GAL",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"MTL5",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,81,0
"CPT1A",14,30,0,2,0,1,0,1,2,3,0,5,0,0,2,140,14
"RP11-757G1.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MRPL21",38,173,0,2,2,9,6,4,8,1,0,21,7,15,9,526,16
"IGHMBP2",2,20,0,0,0,1,1,0,1,0,0,1,0,1,2,51,1
"MRGPRF",0,165,0,0,0,0,0,0,9,0,0,13,0,0,0,3,0
"MRGPRF-AS1",0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"TPCN2",4,16,0,3,1,1,0,0,0,0,0,1,2,0,1,42,2
"RP11-554A11.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-554A11.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MYEOV",3,7,0,0,0,0,0,0,0,0,0,2,0,0,0,168,0
"RP11-211G23.2",1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,121,0
"AP000439.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CCND1",17,233,0,1,0,0,1,1,2,0,1,34,1,0,0,899,49
"ORAOV1",4,25,0,1,0,2,2,1,2,1,0,4,0,0,2,68,2
"FGF19",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,71,0
"RP11-643C9.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-626H12.2",0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0
"ANO1-AS2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANO1",4,92,0,0,0,0,0,0,0,0,0,16,1,1,2,848,4
"FADD",3,72,0,3,0,6,1,3,3,0,0,8,0,2,4,190,5
"RP11-805J14.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PPFIA1",29,102,1,3,1,0,2,0,1,0,0,4,3,1,1,245,6
"AP000487.5",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
"CTTN",14,568,0,0,0,3,3,0,15,0,0,40,1,2,1,1019,41
"SHANK2",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0
"SHANK2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SHANK2-AS3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DHCR7",4,25,0,0,0,0,1,0,0,0,0,3,0,0,2,150,4
"RP11-660L16.2",3,22,0,0,0,0,6,2,0,2,0,1,2,2,6,140,1
"NADSYN1",13,28,0,2,0,3,5,1,2,0,0,1,1,0,1,192,4
"KRTAP5-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KRTAP5-10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-167J8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM86C1",1,7,0,0,0,1,0,0,0,0,0,0,1,0,0,30,1
"RP11-849H4.2",0,8,0,0,0,0,1,0,0,0,0,0,0,1,1,42,1
"RNF121",11,65,0,0,2,1,0,2,4,0,0,10,1,1,2,94,3
"IL18BP",11,10,0,1,0,0,1,1,6,2,0,2,2,0,1,10,3
"NUMA1",18,160,1,0,0,2,5,2,3,0,1,7,1,3,3,523,27
"RP11-849H4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"LRTOMT",3,15,0,0,0,0,0,0,1,0,0,4,0,3,1,35,3
"LAMTOR1",203,682,2,27,5,28,12,7,24,4,4,62,9,13,28,907,57
"ANAPC15",39,164,2,3,0,4,9,1,3,4,0,15,4,13,13,131,13
"FOLR3",148,4,0,0,0,1,0,0,0,0,0,1,5,0,0,3,0
"FOLR1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0
"FOLR2",222,5,0,2,0,1,0,1,0,0,0,0,0,0,1,8,0
"INPPL1",15,104,0,0,0,1,2,0,1,0,0,11,2,1,0,168,10
"CLPB",12,19,0,2,0,0,0,0,0,0,0,0,2,1,0,18,2
"LINC01537",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PDE2A",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
"RP11-169D4.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ARAP1",32,67,0,0,0,1,1,0,3,0,1,4,2,0,1,107,5
"STARD10",10,78,0,0,0,6,1,2,1,1,0,3,2,0,4,796,9
"ATG16L2",15,22,0,1,0,2,1,0,1,1,0,0,0,0,1,44,9
"FCHSD2",18,56,0,2,0,0,1,1,1,0,0,1,1,0,0,61,7
"RP11-800A3.3",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-800A3.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"P2RY2",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,38,2
"P2RY6",14,23,0,2,0,0,0,0,0,0,0,0,1,0,0,3,39
"RP11-800A3.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ARHGEF17",0,91,0,0,0,0,0,0,4,0,0,29,0,0,0,26,3
"RELT",16,11,0,3,0,0,4,1,0,1,0,2,1,1,1,24,11
"FAM168A",6,78,1,0,3,0,0,0,1,0,0,3,1,0,0,70,7
"RP11-809N8.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PLEKHB1",0,7,0,0,2,0,0,0,0,1,0,0,0,0,4,58,0
"RAB6A",53,308,0,1,0,14,8,6,13,2,1,37,2,6,3,557,42
"MRPL48",23,126,0,7,2,4,7,0,4,1,1,14,1,4,6,194,7
"COA4",47,233,0,6,5,4,8,4,4,2,1,22,3,8,6,739,30
"PAAF1",8,35,0,2,1,2,1,1,3,0,0,2,1,2,0,58,6
"DNAJB13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UCP2",135,6,1,25,0,4,20,9,3,3,1,0,17,16,65,59,0
"UCP3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
"C2CD3",6,13,0,0,0,1,0,0,0,0,0,1,0,0,0,49,3
"PPME1",6,60,0,1,0,2,1,2,3,0,0,5,0,0,2,134,6
"P4HA3",1,120,0,0,0,1,1,0,2,0,0,1,0,0,0,14,5
"PGM2L1",12,143,0,0,0,3,2,2,31,1,0,9,0,3,10,510,45
"KCNE3",31,9,0,0,0,3,1,0,0,1,0,0,0,0,0,260,17
"LIPT2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
"AP001372.2",1,17,0,0,0,0,1,0,1,0,0,2,0,0,0,33,1
"POLD3",8,27,0,0,0,0,0,1,1,0,0,6,0,2,0,75,5
"CHRDL2",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RNF169",11,47,0,2,0,1,1,0,3,0,0,4,0,0,0,71,5
"XRRA1",5,36,0,0,0,3,2,1,1,1,0,1,1,0,1,83,3
"SPCS2",238,693,4,25,6,50,24,16,27,6,1,87,16,25,34,1369,60
"NEU3",5,11,0,2,0,1,0,0,0,0,0,1,1,0,0,32,2
"SLCO2B1",197,5,0,0,0,0,0,0,0,0,1,1,4,1,1,47,8
"TPBGL",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"ARRB1",17,8,0,0,0,2,0,0,1,0,0,3,3,0,0,90,8
"RPS3",1642,14802,88,362,70,486,727,270,367,261,45,785,159,424,782,28787,1459
"KLHL35",0,29,0,0,0,0,0,0,1,0,0,4,0,0,0,16,0
"GDPD5",1,17,0,1,0,0,1,0,0,0,0,5,0,0,4,14,7
"SERPINH1",22,2960,0,1,1,2,8,4,34,0,0,358,6,2,10,456,150
"CTD-2530H12.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"MAP6",0,7,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1
"MOGAT2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"DGAT2",0,3,0,0,0,0,1,1,1,0,0,1,0,1,0,93,0
"RP11-535A19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"UVRAG",18,29,0,4,0,0,2,0,2,0,0,4,1,0,2,59,12
"WNT11",0,3,1,0,0,0,1,1,0,0,0,0,0,0,0,188,1
"RP11-619A14.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"PRKRIR",16,56,0,2,1,3,2,1,0,0,0,5,0,4,2,135,5
"RP11-111M22.2",0,7,0,0,0,0,1,0,0,0,0,1,0,0,1,16,1
"RP11-111M22.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-111M22.3",2,15,0,0,0,4,1,2,0,0,0,2,0,1,2,80,2
"EMSY",8,31,0,0,0,0,1,2,1,0,0,4,0,1,3,72,6
"RP11-672A2.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"RP11-672A2.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC32",1,154,0,0,0,0,0,0,2,0,0,45,0,0,0,37,11
"TSKU",5,114,0,0,0,0,2,0,3,0,0,3,0,0,0,139,3
"RP11-21L23.3",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ACER3",53,32,1,1,0,3,1,0,1,1,0,15,3,0,1,119,7
"CTD-2547H18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"B3GNT6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"CAPN5",5,17,0,0,1,0,0,0,0,0,0,3,0,1,1,371,2
"MYO7A",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"PAK1",29,73,0,16,0,16,2,0,1,0,0,4,3,1,1,336,1
"RP11-739B23.1",0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
"CLNS1A",69,316,3,13,4,11,13,4,9,4,1,24,1,7,22,675,21
"AQP11",0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,30,0
"RSF1",32,206,0,5,2,6,8,5,4,2,1,31,4,2,12,438,24
"AAMDC",42,352,1,0,1,8,7,2,18,2,0,25,2,6,2,511,35
"RP11-91P24.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-91P24.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"INTS4",11,29,0,1,0,2,0,0,0,0,0,4,0,1,3,77,3
"KCTD14",0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,87,0
"NDUFC2-KCTD14",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-7I15.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"NDUFC2",144,1180,0,15,5,38,22,14,38,2,1,96,15,29,39,1875,94
"ALG8",19,67,1,0,1,5,0,0,3,0,0,10,2,2,6,188,2
"KCTD21-AS1",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0
"KCTD21",0,10,0,0,0,3,2,0,1,0,0,1,0,1,0,5,1
"USP35",1,7,0,0,0,0,0,1,0,0,0,1,0,0,1,13,0
"GAB2",22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4
"RP11-452H21.4",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NARS2",7,30,0,0,0,0,0,0,3,1,0,2,0,1,2,54,4
"RP11-843A23.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TENM4",0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM181B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PRCP",79,219,0,14,3,4,1,1,7,2,0,12,5,0,6,153,171
"DDIAS",4,2,0,0,0,0,0,0,0,0,0,0,0,1,1,18,0
"RAB30",0,23,0,0,0,0,0,0,1,0,0,4,0,1,0,13,2
"RAB30-AS1",16,59,1,1,2,7,3,1,2,0,1,10,0,6,6,143,8
"PCF11",26,83,0,4,0,6,5,7,3,7,1,8,4,2,12,277,6
"PCF11-AS1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"ANKRD42",6,26,0,1,0,1,0,0,1,1,0,2,0,0,0,69,4
"CCDC90B",44,226,1,7,0,5,8,3,8,3,0,13,3,7,10,255,18
"DLG2",2,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"TMEM126B",80,237,1,7,1,4,10,3,12,0,1,13,4,6,9,263,19
"TMEM126A",69,189,0,9,1,4,4,5,8,4,0,16,3,3,8,311,17
"CREBZF",17,89,0,0,0,2,4,5,4,3,0,9,3,1,4,266,12
"CCDC89",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"SYTL2",2,53,0,0,2,2,1,3,1,0,0,34,0,0,4,191,2
"PICALM",110,232,0,15,1,2,3,1,16,0,0,37,7,1,7,415,64
"EED",7,40,0,2,0,1,4,0,0,1,0,7,1,5,5,115,5
"C11orf73",71,293,1,6,3,10,12,4,19,4,0,27,7,11,14,362,30
"CCDC81",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"ME3",1,23,0,0,0,1,0,0,3,0,0,6,0,0,0,37,4
"CTD-2005H7.1",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"PRSS23",8,1252,0,0,4,1,0,1,58,0,0,333,0,0,0,289,164
"RP11-736K20.5",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"FZD4",0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,3,28
"RP11-736K20.6",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM135",4,27,0,1,0,1,0,1,1,0,0,4,0,0,1,68,7
"RAB38",7,15,0,0,0,2,0,0,4,0,0,4,1,0,0,0,0
"CTSC",633,517,2,24,1,18,30,18,25,3,1,127,51,26,68,497,21
"NOX4",0,81,0,0,0,0,0,0,9,0,0,2,0,0,0,5,9
"NAALAD2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHORDC1",51,136,0,9,1,6,10,2,5,1,0,15,3,9,9,153,18
"FAT3",0,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SLC36A4",37,61,0,0,0,1,3,1,3,0,0,6,7,0,0,65,9
"CCDC67",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SMCO4",146,239,0,17,0,2,3,3,5,2,0,9,21,6,3,287,16
"CEP295",3,23,0,0,0,0,1,2,3,0,0,2,0,2,1,51,7
"SCARNA9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TAF1D",41,444,1,7,1,11,24,6,19,5,3,25,4,9,18,1033,42
"C11orf54",16,30,0,0,0,1,0,2,3,0,0,4,0,1,2,218,7
"MED17",13,58,0,1,0,2,2,3,2,0,0,8,1,3,3,146,7
"VSTM5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"HEPHL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PANX1",10,77,0,1,1,0,0,0,0,0,0,6,1,0,1,33,0
"GPR83",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MRE11A",9,52,0,4,0,3,2,0,2,2,0,3,0,0,3,89,3
"ANKRD49",8,42,0,0,1,3,5,1,1,1,0,7,0,2,4,140,0
"PIWIL4",1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,29,0
"FUT4",8,24,0,0,0,1,0,0,0,0,0,0,0,0,0,68,2
"RP11-867G2.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-867G2.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"AMOTL1",3,112,0,0,1,0,1,0,3,0,0,4,0,0,0,27,11
"CWC15",82,303,2,6,2,8,3,3,10,1,0,34,7,5,7,472,22
"KDM4D",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SRSF8",11,123,4,3,3,5,9,5,12,4,1,12,0,2,16,325,14
"ENDOD1",2,22,0,0,1,0,0,0,5,0,0,13,0,1,0,295,7
"RP11-712B9.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"SESN3",6,132,0,1,0,2,5,1,2,1,0,6,0,0,4,110,19
"FAM76B",7,31,1,1,0,1,1,1,3,0,0,2,1,2,0,85,11
"CEP57",20,110,2,2,0,3,2,1,3,0,0,7,1,5,4,208,13
"MTMR2",8,111,0,1,0,2,2,1,6,0,0,13,0,0,0,52,8
"MAML2",34,92,0,0,1,1,5,1,1,0,0,11,1,1,4,172,9
"CCDC82",18,78,0,1,1,6,4,0,3,1,0,15,1,0,2,121,12
"JRKL",2,35,0,0,0,2,0,0,2,0,0,2,0,0,1,80,0
"CTD-2383M3.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ARHGAP42",1,35,0,0,0,0,0,0,2,0,0,9,0,0,0,52,0
"TMEM133",0,14,0,0,0,0,0,0,1,0,0,10,0,0,0,25,0
"PGR",0,8,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
"TRPC6",0,0,0,2,0,0,0,0,1,0,0,14,0,0,0,0,0
"ANGPTL5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CEP126",0,14,0,0,0,0,0,0,2,0,0,1,0,0,0,69,1
"C11orf70",1,39,0,0,0,0,0,0,0,0,0,7,1,0,0,95,0
"RP11-732A21.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-732A21.3",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0
"YAP1",3,294,0,0,0,0,1,0,15,0,0,34,1,0,0,339,12
"BIRC3",15,20,4,3,3,26,20,7,3,16,1,4,6,14,83,500,9
"BIRC2",57,223,1,2,2,4,6,0,5,0,0,24,6,3,5,453,28
"TMEM123",161,430,3,21,3,9,26,3,21,11,3,40,16,8,16,1371,56
"RP11-315O6.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0
"MMP7",67,405,7,6,2,7,21,1,14,9,0,29,8,5,6,18751,32
"RP11-817J15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"RP11-817J15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MMP8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MMP10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"MMP1",23,1744,0,3,0,4,4,1,2,1,0,28,1,1,7,6537,60
"MMP3",2,841,0,0,0,0,0,0,3,0,0,0,0,0,1,22,1
"MMP12",252,3,0,1,0,0,0,0,0,0,0,0,3,0,0,64,0
"MMP13",1,129,0,0,1,0,0,0,0,0,0,0,0,0,0,225,0
"DCUN1D5",43,182,0,2,0,5,1,1,4,2,0,16,0,11,6,269,22
"DYNC2H1",2,50,0,0,0,0,0,0,0,0,0,5,0,0,1,60,3
"PDGFD",0,161,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5
"CASP4",64,213,1,5,4,5,23,16,2,1,2,24,5,7,17,307,33
"CASP5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"CASP1",77,28,1,7,0,3,8,3,3,2,0,1,10,4,26,18,3
"CARD16",134,112,2,14,0,10,25,10,2,7,4,20,20,18,97,35,26
"CARD17",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"GRIA4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MSANTD4",7,30,0,1,0,2,0,0,0,1,0,0,0,1,1,79,3
"KBTBD3",4,26,1,1,1,3,6,2,3,0,1,3,1,0,3,125,3
"AASDHPPT",29,69,0,5,0,2,6,1,1,3,0,6,3,3,3,144,9
"GUCY1A2",0,15,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"RP11-819C21.1",1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,8,1
"CWF19L2",18,76,0,3,1,8,3,2,7,1,0,9,1,1,7,136,7
"ALKBH8",3,10,0,0,0,1,2,0,1,1,0,4,0,0,0,41,3
"ELMOD1",0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"SLN",0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
"SLC35F2",2,11,0,0,0,1,1,0,0,0,0,0,0,2,0,43,4
"RAB39A",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CUL5",26,88,0,2,1,6,5,2,9,0,0,10,3,0,4,228,12
"RP11-144G7.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACAT1",59,117,0,5,0,3,6,4,10,1,0,22,2,14,7,105,12
"NPAT",4,38,0,0,0,1,3,0,1,0,0,7,0,1,6,79,3
"ATM",57,134,2,6,2,0,9,6,6,0,1,8,1,2,6,233,6
"C11orf65",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0
"KDELC2",9,134,0,1,0,0,0,3,1,0,0,10,1,0,1,52,9
"EXPH5",2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,162,0
"DDX10",10,41,0,2,0,0,2,1,2,0,0,1,1,0,2,101,8
"ZC3H12C",2,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
"RDX",82,308,0,5,7,6,5,0,8,1,0,28,5,6,11,10,115
"FDX1",113,146,1,6,3,7,9,3,7,1,0,14,1,3,9,166,17
"ARHGAP20",0,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"RP11-89C3.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-89C3.4",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"C11orf53",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"COLCA1",0,23,0,0,0,0,0,0,4,0,0,2,0,0,0,74,0
"COLCA2",1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,46,0
"POU2AF1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LAYN",3,138,0,1,4,1,2,0,11,0,0,1,0,0,15,1,25
"SIK2",5,32,0,0,0,0,0,0,1,0,0,1,0,1,0,77,8
"PPP2R1B",7,31,0,1,0,1,0,0,1,0,0,3,0,2,1,93,12
