"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"UNQ6494",1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0
"LINC01508",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYK",42,4,0,2,2,3,0,0,0,0,0,0,4,9,0,0,74,2
"RP11-367F23.2",0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-305L7.1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP11-305L7.6",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-305L7.3",0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"LINC00484",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"RP11-305L7.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"AUH",6,49,0,0,1,0,1,0,0,1,0,7,2,0,2,2,43,0
"NFIL3",14,145,0,4,2,0,1,0,1,0,0,11,2,7,2,0,36,9
"RP11-440G5.2",0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ROR2",1,258,0,0,1,0,0,0,2,0,0,4,0,0,0,0,7,0
"SPTLC1",5,72,0,2,0,0,0,0,1,0,0,2,1,0,0,0,72,8
"LINC00475",0,26,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0
"IARS",13,225,0,2,1,0,1,1,4,4,0,25,7,0,1,6,169,25
"NOL8",23,141,0,0,2,2,1,1,1,1,0,8,7,1,0,4,77,15
"CENPP",1,111,0,0,0,0,0,0,0,0,0,6,0,0,3,0,10,0
"OGN",2,820,0,1,0,0,0,0,0,0,1,2,0,0,0,1,20,0
"OMD",1,217,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0
"ASPN",9,5152,0,1,0,1,2,0,21,0,0,150,7,3,1,1,75,4
"ECM2",0,307,0,0,0,0,0,0,0,0,0,32,0,0,0,0,4,0
"IPPK",2,33,0,0,0,0,0,0,0,1,0,2,0,0,1,1,20,4
"BICD2",15,141,0,3,1,1,2,1,1,1,1,9,1,3,0,2,23,15
"ZNF484",1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1
"FGD3",4,10,0,0,1,0,7,2,0,4,0,0,1,3,1,4,8,0
"SUSD3",5,39,0,3,0,1,6,3,0,3,0,0,8,2,10,17,2,0
"CARD19",51,403,1,2,6,0,6,2,4,4,2,31,2,5,6,9,194,37
"NINJ1",185,495,1,9,9,0,2,2,10,3,0,10,5,31,6,11,131,38
"WNK2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"RP11-165J3.6",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"FAM120AOS",21,155,0,1,2,0,2,2,3,0,0,7,2,3,0,2,84,10
"FAM120A",57,492,0,1,3,0,6,1,10,2,0,42,5,14,3,6,529,69
"PHF2",2,68,0,0,0,0,0,0,0,0,0,3,0,2,0,0,30,8
"BARX1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTPDC1",1,102,0,0,0,0,0,0,1,1,0,3,0,0,0,0,32,3
"RP11-2B6.3",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-2B6.2",0,6,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,1
"ZNF169",3,15,0,0,0,0,1,0,0,0,0,0,0,0,1,1,25,3
"RP11-307E17.8",2,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1
"MFSD14B",19,164,0,3,0,0,2,0,1,1,1,14,1,7,1,3,111,23
"PCAT7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0
"FBP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FBP1",209,19,0,6,7,0,0,0,0,0,0,1,6,17,0,1,449,5
"C9orf3",3,663,0,0,0,0,0,0,20,1,0,80,1,1,0,1,602,38
"FANCC",3,24,0,0,0,0,0,0,1,0,0,3,0,0,0,0,15,3
"RP11-435O5.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"PTCH1",0,35,0,0,0,0,0,1,1,0,2,2,0,0,0,0,34,3
"RP11-435O5.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-435O5.5",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-435O5.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-180I4.2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ERCC6L2",5,62,0,2,0,0,1,0,0,1,1,6,1,2,0,2,36,5
"LINC00092",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSD17B3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC35D2",5,36,0,2,0,0,0,1,0,0,0,3,1,2,0,1,118,6
"ZNF367",0,14,0,0,0,0,0,0,0,0,0,3,0,0,1,0,18,3
"HABP4",1,68,0,0,0,0,2,1,2,1,0,6,1,1,0,1,40,10
"CDC14B",0,79,0,0,0,0,0,0,2,0,0,12,1,0,0,0,50,3
"AAED1",19,101,0,0,1,0,1,1,0,1,0,12,4,6,1,2,12,20
"RP11-535M15.1",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ZNF510",1,11,1,0,0,0,0,0,0,0,0,2,0,0,0,0,8,1
"ZNF782",0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6,1
"MFSD14C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CTSV",1,8,0,1,0,0,0,0,1,0,0,0,0,0,0,0,75,0
"RP11-498P14.5",3,12,0,0,0,0,0,0,0,0,0,0,2,0,1,1,6,0
"CCDC180",1,8,0,0,0,0,1,0,0,0,0,2,1,0,0,0,4,1
"TDRD7",0,14,0,0,0,0,1,0,0,0,0,0,0,1,1,0,24,1
"TMOD1",1,15,0,0,5,0,0,1,12,0,0,0,0,0,0,1,1,0
"TSTD2",1,49,0,0,0,0,0,0,1,1,0,7,0,0,0,0,24,4
"NCBP1",13,69,0,0,1,1,2,0,2,1,0,5,2,1,1,2,67,14
"RP11-244N9.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"XPA",11,120,0,5,1,0,9,0,4,0,0,17,3,2,0,1,95,20
"TRMO",2,22,1,0,1,0,1,1,0,0,0,1,4,0,0,1,16,2
"HEMGN",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
"ANP32B",97,843,2,16,15,6,28,4,16,19,1,64,46,21,53,33,741,126
"NANS",47,415,0,2,2,0,3,1,6,0,0,37,38,11,7,2,350,46
"TRIM14",16,22,0,0,0,0,4,1,1,4,0,1,2,0,1,6,88,2
"CORO2A",5,11,2,0,0,0,2,1,0,1,0,1,0,0,1,1,262,5
"TBC1D2",17,103,0,2,0,0,0,0,0,0,0,1,0,0,1,0,51,7
"ANKS6",1,30,0,0,0,0,0,0,0,0,0,2,2,0,0,0,41,2
"GALNT12",3,38,0,0,1,0,0,1,1,0,0,2,0,0,0,0,98,3
"RP11-92C4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"COL15A1",5,653,0,0,0,1,0,0,4,0,0,173,4,2,0,0,27,491
"RP11-92C4.6",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
"TGFBR1",45,479,0,1,1,0,2,0,4,0,0,17,2,2,0,2,34,11
"ALG2",28,187,0,3,3,0,2,1,1,1,0,19,9,3,2,2,107,15
"SEC61B",242,3119,2,11,13,1,30,6,28,13,5,217,237,53,17,37,1052,309
"NR4A3",14,72,0,11,0,0,0,0,0,0,0,13,0,6,0,1,2,2
"STX17-AS1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0
"STX17",4,115,1,1,2,0,3,1,2,1,0,5,5,1,0,2,83,10
"RP11-60I3.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ERP44",113,439,0,5,5,2,13,2,4,2,1,45,27,21,6,7,192,30
"INVS",1,24,0,0,1,0,1,0,0,0,0,1,0,0,1,2,8,6
"TEX10",2,80,0,1,0,0,2,0,0,0,0,5,2,1,1,0,45,9
"MSANTD3",5,212,0,1,0,0,1,0,2,0,0,14,2,1,0,0,31,17
"MURC",0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PLPPR1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MRPL50",30,341,1,2,2,1,3,1,8,1,2,29,8,2,6,11,163,37
"ZNF189",6,61,0,0,0,0,0,0,1,0,0,7,1,2,0,0,53,11
"ALDOB",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,41,0
"TMEM246",1,48,0,0,1,0,0,0,1,0,0,0,1,0,0,0,65,14
"RNF20",16,128,0,1,0,1,0,0,2,1,2,7,2,3,1,2,72,19
"GRIN3A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMC2-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SMC2",6,115,0,0,3,0,0,0,1,0,0,15,5,0,12,2,55,16
"NIPSNAP3A",22,206,0,1,3,1,3,0,3,3,1,18,3,7,3,2,78,12
"NIPSNAP3B",0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4
"ABCA1",68,217,0,3,2,0,0,0,1,1,0,4,1,6,0,0,30,3
"RP11-217B7.2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC44A1",30,732,1,0,6,0,3,1,3,0,0,17,9,24,1,4,674,21
"FSD1L",2,15,0,0,0,0,0,1,1,0,0,2,2,0,0,0,6,1
"RP11-235C23.5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"FKTN",0,42,0,0,1,0,0,0,0,1,0,3,2,1,1,1,32,8
"TAL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM38B",35,67,0,1,2,1,1,0,0,0,0,18,1,5,1,4,26,4
"RP11-308N19.1",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF462",1,106,0,0,0,0,0,0,0,0,0,3,0,0,0,0,68,13
"RAD23B",56,495,1,2,3,2,4,0,5,2,1,46,7,14,7,12,351,67
"KLF4",78,554,0,17,0,0,0,1,0,0,0,3,1,45,0,0,190,27
"IKBKAP",8,39,0,0,0,0,1,0,1,1,0,2,0,2,0,0,43,7
"FAM206A",5,73,0,1,0,0,0,0,0,0,0,4,0,0,0,0,37,2
"CTNNAL1",4,321,0,0,0,0,0,0,7,0,0,13,3,1,1,0,39,28
"TMEM245",9,176,0,0,2,0,2,2,8,2,0,15,5,1,1,2,272,42
"FRRS1L",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"EPB41L4B",1,8,0,0,0,0,0,1,0,0,0,2,2,0,0,0,193,1
"PTPN3",0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,87,0
"PALM2",0,36,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0
"PALM2-AKAP2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKAP2",2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
"C9orf152",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,0
"TXN",363,2768,4,9,33,0,25,4,26,17,4,202,86,49,55,59,4688,363
"SVEP1",1,74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0
"RP11-410K21.2",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LPAR1",6,118,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0
"RP11-202G18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIAA0368",12,97,0,1,1,0,0,1,2,0,0,7,0,0,1,0,78,22
"ZNF483",1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PTGR1",19,300,0,0,0,0,2,0,4,0,0,22,0,2,0,0,95,13
"DNAJC25",5,103,0,1,1,0,1,0,0,0,0,7,2,1,0,1,37,4
"DNAJC25-GNG10",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GNG10",4,23,0,0,0,0,1,0,0,0,0,3,0,2,0,0,8,4
"C9orf84",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"UGCG",35,463,0,7,2,0,2,1,4,2,0,37,3,8,2,6,111,47
"SUSD1",7,11,0,0,1,0,0,0,0,0,0,1,0,3,0,0,11,2
"PTBP3",50,268,0,3,2,1,8,2,0,3,1,15,0,12,1,4,414,44
"HSDL2",9,76,0,2,1,1,0,1,1,0,0,11,0,2,2,5,62,9
"C9orf147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"KIAA1958",1,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,16,1
"INIP",18,81,0,0,0,1,2,1,2,1,0,8,3,3,4,3,64,9
"RP11-276E15.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SNX30",10,73,0,3,0,0,0,0,0,0,0,0,0,2,0,0,20,2
"SLC46A2",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-408O19.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF883",1,64,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0
"ZFP37",0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"FAM225B",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM225A",0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SLC31A2",51,94,0,4,0,0,1,1,1,0,0,4,5,20,0,2,11,5
"FKBP15",35,88,0,0,2,0,1,0,0,1,0,7,0,6,1,2,40,10
"SLC31A1",29,116,0,1,0,0,1,0,1,1,0,10,3,5,2,0,51,7
"CDC26",52,498,2,4,5,1,14,0,13,7,5,39,19,9,13,15,226,58
"PRPF4",15,86,0,2,2,1,2,0,1,3,0,9,5,1,2,0,53,5
"RNF183",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"WDR31",2,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,20,0
"BSPRY",0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,96,0
"HDHD3",12,85,2,0,3,0,5,1,8,2,0,3,2,1,1,3,282,6
"ALAD",3,82,0,0,0,1,1,0,1,0,1,1,4,1,2,3,82,8
"POLE3",34,246,1,4,4,5,4,1,8,2,1,20,14,11,6,9,192,32
"C9orf43",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"RGS3",5,545,0,0,7,0,3,0,5,1,0,11,3,0,0,3,163,166
"RP11-18B16.2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZNF618",6,77,0,0,0,0,1,0,1,0,0,16,0,0,0,0,7,13
"KIF12",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"COL27A1",1,123,0,0,0,0,0,0,0,0,0,6,0,0,0,0,43,17
"ORM1",0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AKNA",7,50,2,1,1,0,10,8,3,5,5,6,5,5,2,11,21,6
"RP11-9M16.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DFNB31",1,102,0,1,0,0,0,0,1,1,0,4,0,1,1,0,55,1
"ATP6V1G1",303,2366,4,22,24,10,34,6,37,27,7,173,44,69,24,40,848,161
"C9orf91",5,37,0,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0
"RP11-402G3.3",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"TNFSF15",0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,36,1
"TNFSF8",3,1,0,0,0,0,5,0,0,1,0,3,3,1,0,2,0,0
"TNC",2,1116,0,0,0,1,1,0,14,0,0,116,0,1,1,1,20,5
"DEC1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPPA",0,388,0,0,0,0,0,0,3,0,0,17,0,0,0,0,4,0
"PAPPA-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASTN2",2,18,1,0,0,0,1,0,0,0,0,1,3,0,0,0,12,0
"TRIM32",4,52,0,0,1,0,1,0,2,1,0,6,2,0,0,2,32,2
"TLR4",13,14,0,1,0,0,0,0,0,0,0,2,0,5,0,0,2,4
"RP11-281A20.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRINP1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK5RAP2",2,98,1,0,1,0,2,0,0,0,0,5,1,2,4,1,69,4
"MEGF9",11,24,0,1,0,0,1,0,3,0,0,2,1,5,1,0,20,1
"FBXW2",22,237,0,2,1,0,3,1,2,1,0,20,5,1,2,4,101,29
"PSMD5",12,91,0,0,1,0,2,0,0,1,1,6,0,0,1,1,65,16
"PSMD5-AS1",11,65,1,1,4,3,4,7,3,12,1,9,8,4,3,9,89,11
"PHF19",9,56,1,0,0,0,3,0,2,0,0,8,4,2,8,1,73,6
"TRAF1",2,17,0,0,2,0,8,0,0,3,1,6,1,1,4,17,6,4
"C5",0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1
"CNTRL",10,31,0,0,0,1,1,1,1,0,0,1,3,1,1,2,22,8
"RAB14",63,477,0,5,6,2,3,3,10,4,3,39,7,17,4,7,242,52
"GSN",125,1891,0,26,3,0,1,0,68,2,0,213,2,12,1,4,600,420
"GSN-AS1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"STOM",59,531,1,3,0,0,7,4,40,5,3,179,2,12,6,4,36,374
"DAB2IP",1,43,0,0,2,0,0,0,2,0,0,9,0,0,0,0,49,35
"TTLL11",1,10,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3
"NDUFA8",43,562,0,2,6,2,7,2,13,4,3,50,24,5,9,10,422,123
"MORN5",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0
"LHX6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34
"RBM18",19,165,0,2,1,1,3,0,1,3,0,6,4,2,4,1,71,20
"MRRF",14,91,0,2,0,0,4,0,3,1,0,5,4,4,1,3,102,17
"PTGS1",42,85,0,2,22,0,0,0,3,0,0,0,1,4,0,0,8,2
"RP11-64P14.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PDCL",13,158,0,1,5,0,1,0,3,0,1,13,4,1,4,4,49,40
"RC3H2",10,136,0,0,0,1,2,2,2,1,0,9,6,1,2,5,99,24
"ZBTB6",3,22,0,0,0,0,1,0,0,0,0,3,1,0,1,0,39,5
"ZBTB26",0,18,0,0,0,0,0,0,0,0,0,2,1,0,0,2,18,8
"RABGAP1",16,115,0,1,0,0,0,0,2,1,0,24,1,7,1,2,130,31
"GPR21",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"STRBP",3,35,1,2,0,3,3,2,2,0,0,0,7,0,1,3,104,12
"CRB2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DENND1A",8,25,0,0,0,0,0,0,0,0,0,3,0,4,0,0,20,12
"LHX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NEK6",40,232,0,0,1,0,1,0,1,0,0,5,2,2,0,1,80,8
"PSMB7",68,992,4,6,13,3,11,4,23,5,4,99,37,14,17,20,1216,122
"ADGRD2",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"NR6A1",2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,121,2
"MIR181A2HG",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,11,3
"RP11-175D17.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"OLFML2A",0,25,0,0,0,0,0,0,4,0,0,77,0,0,0,0,6,30
"WDR38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RPL35",1855,18641,56,167,169,115,561,110,316,352,64,1364,709,462,269,440,31959,1946
"ARPC5L",37,491,1,4,2,2,14,10,3,3,4,58,24,8,19,14,630,105
"GOLGA1",7,36,0,0,0,0,1,0,0,0,0,4,0,0,1,1,70,3
"SCAI",1,32,0,0,1,1,1,0,0,0,0,1,1,2,0,2,89,9
"PPP6C",40,257,1,6,1,2,6,0,4,6,1,31,8,12,4,7,202,33
"RABEPK",9,185,1,2,0,0,2,0,1,1,0,10,6,2,2,3,146,10
"HSPA5",120,1621,2,3,20,4,12,6,8,5,1,188,127,38,10,14,931,215
"GAPVD1",14,160,0,1,1,2,1,0,3,1,0,14,9,2,2,3,159,21
"MAPKAP1",22,217,0,0,2,2,2,0,3,0,0,9,10,4,2,6,221,17
"PBX3",13,173,0,0,3,0,0,0,3,1,0,6,1,2,1,1,94,8
"MVB12B",5,16,0,0,1,0,0,0,1,0,0,1,0,0,1,0,21,5
"LMX1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"ZBTB43",10,116,1,1,0,1,9,0,1,1,0,3,2,5,2,4,141,11
"ZBTB34",3,28,1,0,2,0,0,0,1,0,0,0,0,0,0,0,32,4
"RALGPS1",1,23,0,0,0,0,2,1,0,2,0,4,1,0,0,0,154,0
"ANGPTL2",4,1453,0,0,0,0,0,0,15,0,0,50,4,2,0,3,32,111
"GARNL3",0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0
"SLC2A8",7,37,0,0,1,0,2,0,3,0,0,3,3,0,0,0,58,8
"ZNF79",1,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0
"RPL12",2376,29544,54,247,304,204,700,101,399,441,67,1514,543,751,307,624,35603,2664
"LRSAM1",5,37,0,0,1,0,0,0,0,0,0,1,0,0,0,0,62,4
"FAM129B",15,269,0,0,1,0,1,0,1,0,0,29,4,5,1,0,748,70
"STXBP1",2,55,0,0,0,0,0,0,0,0,0,8,0,0,0,0,135,19
"RP11-56D16.8",0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0
"PTRH1",12,185,0,0,2,0,4,0,3,1,1,30,1,2,3,6,342,26
"CFAP157",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0
"TTC16",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"TOR2A",18,73,0,0,0,0,3,1,0,1,0,7,4,4,1,2,166,3
"SH2D3C",2,6,0,0,2,0,1,1,0,0,0,8,1,1,1,1,8,50
"CDK9",8,108,0,1,1,0,3,0,2,1,0,13,1,2,1,3,144,22
"FPGS",14,153,0,3,0,1,3,0,2,2,0,7,2,3,1,4,114,15
"ENG",85,470,0,5,1,0,1,0,1,0,0,88,3,5,0,0,57,551
"RP11-228B15.4",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1
"AK1",13,729,0,0,0,0,6,2,7,2,1,21,2,0,3,4,194,79
"ST6GALNAC6",6,289,0,1,1,1,4,1,2,5,0,38,2,1,2,7,60,24
"ST6GALNAC4",9,116,0,2,0,0,2,0,3,1,0,9,27,0,1,7,122,20
"PIP5KL1",4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0
"DPM2",34,414,1,0,2,0,3,3,3,6,0,24,28,3,7,5,385,31
"FAM102A",4,142,2,0,4,0,5,5,6,7,1,7,7,1,3,2,442,5
"NAIF1",2,16,0,0,1,0,0,0,1,0,0,1,0,0,0,0,30,1
"SLC25A25",3,78,2,2,1,1,1,0,2,1,0,12,1,0,1,3,106,16
"SLC25A25-AS1",3,14,0,0,1,0,0,0,0,1,0,3,1,1,0,1,126,1
"PTGES2",33,201,0,5,0,2,2,0,2,4,0,23,7,4,2,5,490,35
"PTGES2-AS1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1
"LCN2",30,355,3,1,8,1,9,2,2,6,2,19,21,2,4,6,14781,32
"C9orf16",156,1552,2,17,26,3,38,5,24,21,6,89,36,34,26,68,4289,250
"CIZ1",12,249,0,0,2,0,3,0,3,0,1,13,3,2,1,3,267,22
"DNM1",7,104,0,0,0,0,0,0,1,0,1,1,4,0,0,0,254,2
"GOLGA2",14,538,2,1,3,0,1,0,7,2,0,25,9,4,0,1,429,20
"SWI5",16,501,0,2,1,0,1,1,4,0,0,33,8,3,6,2,367,23
"TRUB2",7,136,0,2,2,0,2,1,4,0,0,13,4,0,0,3,178,16
"RP11-339B21.13",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"COQ4",24,311,1,1,6,0,8,3,5,3,0,28,20,2,6,6,499,42
"SLC27A4",2,56,0,0,1,0,0,0,1,1,0,1,3,2,2,0,170,10
"URM1",26,425,1,1,2,2,9,1,4,1,0,32,7,4,6,6,376,60
"CERCAM",10,2353,0,1,2,1,1,0,1,0,0,76,27,1,0,2,88,11
"ODF2",2,110,0,0,2,0,1,0,1,0,0,13,1,1,4,2,112,15
"GLE1",13,56,0,0,2,1,2,1,1,1,1,8,3,2,4,2,125,2
"RP11-216B9.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"SPTAN1",15,352,0,1,0,0,5,1,4,1,1,27,2,3,4,6,627,100
"RP11-216B9.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"WDR34",3,230,1,0,0,0,0,0,4,1,0,23,8,1,4,1,770,14
"HMGA1P4",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,1
"SET",108,1126,1,13,13,5,17,5,17,8,2,80,30,30,16,15,1640,177
"PKN3",0,7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,16,18
"ZDHHC12",53,348,1,4,4,1,7,2,3,1,1,28,22,4,14,5,1158,23
"RP11-545E17.3",7,29,0,0,0,0,1,0,0,0,0,4,4,0,3,3,43,5
"ZER1",5,53,0,0,0,0,1,0,1,2,0,3,2,1,0,0,107,5
"TBC1D13",1,54,1,0,1,0,1,0,0,0,0,3,0,0,0,0,41,8
"ENDOG",5,28,0,0,1,1,0,0,0,0,0,0,2,0,0,0,109,3
"C9orf114",10,85,0,0,2,1,4,0,2,0,1,9,3,1,2,4,111,12
"CCBL1",1,16,0,0,0,0,3,0,1,0,0,1,1,0,2,0,47,1
"LRRC8A",2,229,0,0,0,0,2,1,5,2,0,21,0,0,2,1,658,66
"PHYHD1",1,131,0,0,0,0,0,0,4,0,0,13,0,0,1,0,13,1
"DOLK",4,90,0,1,0,0,1,0,1,0,0,8,0,1,1,0,53,9
"NUP188",4,64,1,0,1,0,1,0,1,2,0,8,0,4,1,1,85,9
"RP11-167N5.5",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"SH3GLB2",6,69,1,0,0,0,2,0,3,0,0,5,3,0,1,2,342,14
"FAM73B",0,38,0,0,1,0,1,0,0,1,0,3,2,0,0,1,79,5
"DOLPP1",3,31,0,1,0,0,1,0,0,2,0,0,0,0,0,1,64,5
"CRAT",6,167,0,2,1,0,2,0,1,0,0,8,0,3,1,2,147,10
"PPP2R4",11,637,0,0,2,0,5,0,8,0,0,60,8,0,5,1,535,49
"RP11-247A12.7",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
