"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CAND1",51,17,0,5,0,4,3,1,15,17,6,0,6,2,2,3,14,11,36,36,161,45
"RP11-542B15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DYRK2",7,7,0,1,1,0,1,0,3,5,1,0,3,0,0,0,0,3,4,3,101,14
"LINC01479",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IFNG-AS1",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFNG",0,0,23,0,10,27,6,0,0,14,38,0,3,0,2,17,0,0,1,0,1,0
"IL26",0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,1,9,0,0
"IL22",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
"MDM1",6,0,0,0,1,0,1,0,1,2,1,0,1,0,1,0,1,2,4,2,14,6
"RP11-81H14.2",0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,3,2,2,1,1
"RAP1B",97,21,3,13,1,6,6,3,20,36,10,1,14,1,2,3,12,15,202,36,206,44
"RP11-637A17.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NUP107",20,6,0,0,0,0,1,0,4,7,1,1,4,0,0,0,1,2,10,6,70,10
"SLC35E3",19,10,0,1,0,1,0,0,1,0,1,0,4,0,0,0,2,1,33,8,42,10
"MDM2",32,6,1,1,2,0,0,0,6,4,4,0,2,0,0,0,2,4,32,15,56,11
"RP11-611O2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-611O2.5",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CPM",127,5,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,9,92,2,9,5
"CPSF6",45,11,1,5,2,2,0,0,12,13,4,3,3,1,2,0,6,14,32,31,189,21
"RP11-1143G9.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LYZ",2349,33,0,364,1,1,0,0,0,2,1,0,2,0,0,0,0,2,4031,6,109,7
"RP11-1143G9.4",350,6,0,54,0,0,0,0,0,0,0,0,1,0,0,0,0,1,684,0,16,0
"YEATS4",24,2,3,2,1,1,0,0,6,8,1,1,5,0,0,0,1,0,1,21,87,13
"FRS2",7,3,0,1,0,1,0,1,3,4,1,1,1,0,0,0,0,5,7,2,31,9
"CCT2",103,54,5,7,1,7,2,1,23,22,6,5,26,2,2,1,11,38,89,38,739,82
"BEST3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-588G21.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"RAB3IP",3,1,1,1,1,0,0,1,5,1,0,4,2,0,0,0,2,2,7,5,125,3
"LINC01481",6,1,0,0,1,1,2,1,5,7,1,0,5,0,1,1,1,2,29,11,18,10
"LINC01481.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CNOT2",61,13,3,4,5,1,2,0,6,16,5,2,9,0,3,5,12,10,39,30,130,51
"AC092881.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"KCNMB4",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,2
"RP11-588H23.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
"PTPRB",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,72,96
"RP11-785D18.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"PTPRR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6
"TSPAN8",11,1,0,2,0,0,0,0,3,3,1,0,2,0,0,0,1,1,16,6,2226,9
"LGR5",1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,128,0
"ZFC3H1",29,8,0,4,1,2,1,1,4,3,1,1,6,0,1,0,4,4,38,8,81,26
"THAP2",153,1,0,22,1,1,0,0,2,7,2,2,10,1,3,0,6,1,339,10,79,6
"TMEM19",39,3,0,0,0,1,0,0,4,2,0,0,2,0,0,0,10,2,9,5,46,9
"RAB21",120,15,0,9,1,2,5,3,10,6,2,5,8,0,2,1,12,11,175,14,176,51
"RP11-2H8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"TBC1D15",36,12,0,4,1,3,3,1,8,21,1,2,7,1,1,1,1,11,34,33,98,31
"TRHDE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ATXN7L3B",13,7,0,3,0,1,1,1,3,5,2,0,1,0,0,0,1,5,21,7,133,17
"RP11-56G10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-81K13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"KCNC2",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,324,2
"CAPS2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1
"GLIPR1L2",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"GLIPR1",285,56,4,47,6,6,2,2,36,52,13,3,26,0,3,1,17,19,237,70,115,1
"RP11-585P4.5",0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,18,2
"KRR1",41,10,2,1,5,3,2,3,19,13,3,2,8,1,3,3,8,15,35,32,192,32
"RP11-114H23.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHLDA1",614,255,3,29,16,3,1,10,6,34,26,0,14,1,0,1,1,178,812,210,688,140
"RP11-290L1.2",5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,7,3,23,0
"NAP1L1",446,220,7,68,24,23,29,12,149,176,31,28,159,12,10,4,62,161,509,260,1358,383
"RP11-54A9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BBS10",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,5
"OSBPL8",115,28,2,11,2,5,8,1,12,23,5,2,14,1,0,1,6,22,172,36,203,36
"RP11-20E24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZDHHC17",8,3,0,4,1,0,1,2,2,3,1,0,3,0,0,0,7,4,7,3,16,9
"CSRP2",3,32,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,55,6,0,22,114
"E2F7",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,3
"RP1-34H18.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-781A6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NAV3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYT1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"RP1-78O14.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAWR",1,4,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,6,3,0,291,14
"PPP1R12A",70,28,2,10,4,3,3,1,20,27,8,4,19,0,2,3,8,43,63,52,142,66
"RP11-84G21.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
"LIN7A",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,8,1,72,0
"ACSS3",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0
"PPFIA2",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-362A1.1",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"CCDC59",70,17,5,5,9,9,3,2,21,36,10,0,25,2,2,4,14,13,81,61,376,36
"METTL25",4,2,0,1,0,0,0,1,3,0,0,0,1,0,0,0,0,1,2,7,9,3
"TMTC2",6,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,8,0,27,14
"LRRIQ1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RASSF9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
"NTS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"MGAT4C",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf29",7,4,0,2,1,2,1,0,3,4,0,1,4,0,1,1,3,2,2,6,69,4
"CEP290",12,14,0,3,0,0,1,1,2,6,1,0,1,1,0,1,3,4,10,8,40,14
"TMTC3",7,8,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,8,2,1,23,13
"KITLG",3,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,1,0,23,16
"RP11-13A1.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUSP6",135,14,1,3,1,1,0,1,0,1,3,0,3,0,1,2,4,3,329,1,308,132
"RP11-823E8.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,1
"POC1B",6,2,0,2,2,0,0,0,4,3,0,1,1,0,0,0,0,2,10,9,52,8
"POC1B-GALNT4",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"GALNT4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-734K2.4",1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,5,32,3
"RP11-981P6.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ATP2B1",228,37,6,49,2,7,4,5,60,30,5,10,21,1,3,1,6,15,970,44,212,52
"LINC00936",248,18,0,29,1,1,1,2,25,15,6,2,15,0,5,1,3,2,806,30,58,23
"RP11-654D12.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"RP11-567C2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0
"EPYC",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KERA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LUM",3,1487,1,0,0,1,0,0,0,2,0,1,0,0,0,0,1,218,7,1,16,4
"DCN",6,1725,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,59,9,2,17,5
"RP11-693J15.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"RP11-587P21.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BTG1",2699,109,95,252,108,193,121,28,455,723,208,87,504,35,66,53,42,104,5337,1903,1447,440
"RP11-796E2.4",61,2,0,8,1,1,1,0,6,6,1,1,19,0,1,0,1,1,128,18,10,5
"CLLU1OS",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0
"CLLU1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-693J15.5",1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0
"C12orf74",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLEKHG7",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
"EEA1",46,13,0,3,0,0,0,0,1,3,1,0,2,0,0,0,1,3,19,5,154,14
"RP11-511B23.1",2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-511B23.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,22,0
"RP11-511B23.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NUDT4",66,19,2,3,6,6,4,1,15,24,9,0,17,1,1,1,10,21,63,34,999,68
"UBE2N",153,51,8,16,4,10,7,5,59,56,11,4,30,2,6,4,8,27,148,116,413,64
"MRPL42",87,29,4,8,4,2,2,1,10,14,2,0,11,0,2,1,2,18,43,33,280,49
"SOCS2",11,10,0,0,1,1,0,0,1,5,3,0,0,1,0,0,1,15,12,16,39,28
"CRADD",23,5,0,6,0,0,0,2,1,1,2,0,1,0,0,1,0,3,60,41,33,10
"RP11-1060G2.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PLXNC1",80,6,1,14,0,0,0,0,1,1,0,0,0,0,0,0,2,0,58,2,3,0
"RP11-1105G2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CEP83",7,2,0,1,1,0,0,0,1,3,0,0,2,0,0,0,0,3,3,4,40,2
"CEP83-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
"TMCC3",19,0,0,3,0,1,1,0,1,0,0,0,1,0,0,0,2,0,30,0,93,15
"NDUFA12",217,59,3,14,8,11,5,3,20,36,10,3,22,0,4,3,11,52,135,71,812,123
"NR2C1",7,6,0,2,1,2,1,2,0,2,2,0,4,1,0,0,0,0,8,1,34,8
"FGD6",11,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,32,20
"VEZT",26,14,0,2,5,0,1,0,9,3,2,1,3,0,0,0,2,11,14,13,100,24
"METAP2",106,35,1,6,6,5,5,2,18,25,4,3,19,1,0,0,17,35,77,48,488,91
"NTN4",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,9
"SNRPF",218,81,10,35,9,13,4,1,33,32,13,1,28,1,5,0,17,50,191,94,1280,155
"AMDHD1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"LTA4H",108,8,0,6,1,1,1,0,12,4,1,2,5,3,1,0,3,6,113,5,118,39
"ELK3",31,14,0,4,0,0,2,0,4,5,0,0,10,1,1,1,2,7,35,14,38,138
"CDK17",13,5,2,2,0,1,3,2,1,10,3,0,12,0,3,1,4,3,12,14,35,31
"CFAP54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"NEDD1",7,0,0,0,0,4,1,1,1,5,0,1,2,0,0,2,0,2,5,4,19,7
"RP11-181C3.1",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0
"TMPO-AS1",3,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,12,2
"TMPO",38,11,1,3,2,2,1,0,5,8,0,0,5,1,1,0,2,1,27,10,201,26
"SLC25A3",529,208,13,93,17,22,19,11,109,113,39,15,68,9,16,11,68,167,502,216,2415,401
"IKBIP",60,47,0,5,0,2,2,0,6,3,1,2,2,0,0,1,9,35,37,16,16,49
"APAF1",14,2,0,2,1,0,0,1,0,2,1,0,1,0,0,0,3,1,9,3,43,6
"ANKS1B",0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,8,0,0
"UHRF1BP1L",17,5,0,0,0,0,1,0,1,2,0,0,1,0,0,0,2,2,23,4,13,3
"RP11-175P13.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ACTR6",12,3,0,0,1,1,1,0,3,3,1,0,2,1,1,0,4,4,7,9,37,9
"DEPDC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
"SCYL2",37,2,1,4,1,1,0,1,4,3,0,0,4,1,1,0,5,5,34,10,104,20
"GAS2L3",23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,82,7
"UTP20",5,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,1,2,56,8
"ARL1",76,45,1,4,2,3,1,0,5,8,2,3,2,0,3,0,0,19,38,19,313,27
"MYBPC1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CHPT1",54,10,0,5,1,0,0,0,21,3,1,3,0,0,1,0,2,2,15,4,265,4
"SYCP3",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"GNPTAB",77,7,1,6,3,2,2,0,11,5,3,1,2,0,2,2,6,2,38,14,73,12
"DRAM1",139,19,0,6,0,1,0,0,2,0,0,0,0,0,1,0,0,4,350,3,57,4
"RP11-554E23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CCDC53",68,18,4,3,3,3,1,0,7,13,7,2,12,0,0,0,8,10,33,23,242,35
"NUP37",15,7,0,1,1,0,0,2,4,2,3,1,2,0,1,0,1,3,7,14,128,13
"PARPBP",4,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,31,3
"PMCH",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0
"IGF1",13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PAH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,61,0
"ASCL1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C12orf42",0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,1,0,0
"STAB2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-341G23.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NT5DC3",2,2,0,1,0,1,0,0,1,0,1,0,2,0,0,0,1,2,0,1,74,1
"RP11-650K20.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HSP90B1",941,207,6,91,8,13,7,2,35,49,15,6,31,3,0,2,152,151,687,61,1911,382
"C12orf73",9,2,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,4,7,4,102,7
"TDG",51,19,1,9,6,4,3,3,3,17,4,1,6,0,5,1,19,10,43,33,244,36
"GLT8D2",1,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,3,10
"HCFC2",7,4,0,0,0,1,0,0,0,3,0,1,2,0,0,0,2,2,5,4,4,12
"NFYB",21,16,0,0,1,0,1,0,1,7,1,0,4,0,1,0,3,7,10,5,125,8
"TXNRD1",68,7,0,6,1,1,2,0,5,10,1,0,3,0,2,0,1,5,29,19,190,22
"RP11-818F20.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"EID3",9,0,0,0,0,1,0,0,0,4,1,0,1,0,0,0,2,1,16,7,54,0
"CHST11",145,21,3,13,5,5,4,3,20,19,7,3,5,1,2,1,7,13,95,43,7,25
"SLC41A2",28,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,2,0,39,4,13,0
"C12orf45",48,4,0,9,0,1,0,0,4,3,1,1,5,0,0,1,45,2,16,14,282,12
"ALDH1L2",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,0
"RP11-61E11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KIAA1033",73,9,0,7,0,1,1,2,11,7,4,4,4,0,0,0,3,10,56,7,86,19
"APPL2",21,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,7,3,76,7
"C12orf75",16,20,7,6,2,17,6,1,16,34,15,0,13,0,9,4,123,10,18,53,670,7
"NUAK1",4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9,65
"CKAP4",32,98,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,27,78,1,252,30
"RP11-651L5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
"TCP11L2",5,0,1,0,0,0,1,0,4,3,0,0,2,0,1,0,0,1,5,3,18,1
"POLR3B",0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,18,3
"RIC8B",2,4,0,1,0,0,0,0,2,0,3,0,0,0,0,0,0,2,7,4,18,5
"RP11-412D9.4",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,7
"TMEM263",10,36,1,0,2,0,1,2,3,12,1,2,6,0,1,0,6,12,17,24,67,35
"MTERF2",2,3,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,3,5,34,3
"CRY1",6,3,0,1,1,0,0,0,0,12,0,1,5,0,0,0,0,3,8,14,77,28
"BTBD11",0,2,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,6,2,3,0
"PWP1",51,18,1,4,4,1,3,0,21,17,3,0,5,0,0,0,5,6,18,20,172,40
"PRDM4",16,3,1,2,0,0,1,0,2,6,2,0,1,0,0,1,1,1,14,9,58,6
"CMKLR1",46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,12
"FICD",6,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,1,10,3
"SART3",9,5,0,2,0,0,4,1,4,5,0,0,0,0,0,0,1,3,10,11,54,19
"ISCU",270,98,4,25,17,8,8,10,62,56,15,3,32,3,2,1,26,45,109,128,406,123
"TMEM119",0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"SELPLG",92,2,8,3,2,7,7,1,0,12,5,0,7,0,5,0,37,1,26,52,5,3
"CORO1C",222,14,0,17,0,1,0,1,8,3,0,0,2,0,0,0,29,12,169,6,150,45
"SSH1",45,20,0,6,6,1,0,0,0,3,1,0,1,0,0,0,1,3,45,11,30,76
"SVOP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"USP30",5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,30,0
"USP30-AS1",14,2,0,0,1,1,2,0,2,6,0,0,4,0,0,0,2,2,6,3,5,0
"ALKBH2",8,3,2,0,0,2,1,0,1,2,0,0,0,0,0,0,1,5,4,2,89,2
"UNG",3,10,1,2,0,0,0,0,3,2,0,0,3,0,0,0,0,7,3,2,100,11
"ACACB",0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,2,0,2,9,8
"RP11-256L11.3",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCTD10",12,13,0,1,3,0,0,2,3,1,2,0,5,1,1,1,2,7,9,3,67,34
"UBE3B",17,7,0,1,0,0,0,0,3,5,3,0,4,0,1,0,1,1,11,4,69,7
"MMAB",28,11,0,1,0,1,0,0,6,7,1,0,3,1,0,0,1,9,18,3,177,38
"MVK",7,5,0,0,0,0,0,0,2,1,0,0,3,0,0,0,2,3,2,1,40,9
"FAM222A",2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,1,4,0,29,2
"TRPV4",15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"GLTP",55,9,2,7,0,3,3,0,16,27,4,0,18,0,2,2,2,11,69,27,88,51
"TCHP",12,5,0,0,0,0,1,0,0,5,2,0,0,0,1,1,0,4,3,6,29,12
"GIT2",58,5,1,1,0,1,1,0,10,3,3,6,6,0,1,1,0,5,27,14,36,16
"ANKRD13A",21,8,0,3,0,1,4,0,23,10,3,0,1,0,0,0,2,3,26,9,68,9
"C12orf76",19,4,0,2,0,0,1,0,4,2,3,0,1,0,0,0,1,2,14,11,44,20
"IFT81",2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,10,4
"ATP2A2",131,39,1,11,3,3,1,0,1,9,3,0,2,1,0,0,14,16,83,12,366,68
"ANAPC7",7,0,2,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,9,6,84,14
"ARPC3",1780,141,27,207,26,50,34,16,197,169,64,32,72,0,21,5,87,130,1668,371,1830,315
"GPN3",58,12,0,2,1,2,2,0,8,3,0,0,3,0,0,1,0,6,16,6,96,15
"FAM216A",7,6,0,0,0,1,0,0,1,2,0,1,1,0,0,0,0,1,0,0,15,4
"VPS29",397,42,6,29,2,4,1,4,13,28,16,2,20,0,7,4,16,41,243,68,585,107
"RAD9B",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PPTC7",29,3,2,4,3,5,1,1,4,6,3,0,2,1,0,0,5,2,35,9,93,23
"TCTN1",6,6,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,9,4,1,54,10
"HVCN1",47,3,0,1,0,1,0,0,22,2,2,3,0,0,0,0,18,3,12,0,1,3
"PPP1CC",117,52,5,8,7,14,3,2,35,45,13,4,23,0,1,1,11,16,66,65,449,49
"CUX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"FAM109A",16,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,70,5
"RP3-473L9.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SH2B3",115,8,1,19,0,2,0,2,10,1,1,3,0,0,0,0,30,12,109,2,20,73
"ATXN2",17,8,0,2,2,2,0,0,6,8,0,1,6,0,1,0,2,4,4,28,113,40
"BRAP",16,4,1,1,0,2,3,0,7,1,2,0,2,0,0,1,1,3,8,12,53,8
"RP11-686G8.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ACAD10",2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,16,5
"ALDH2",180,21,0,37,1,0,0,0,2,0,0,1,1,0,0,0,33,6,164,1,469,33
"MAPKAPK5-AS1",17,5,0,0,1,1,0,1,2,7,1,0,2,0,2,0,3,3,12,17,104,20
"MAPKAPK5",30,6,2,2,2,2,0,1,4,7,4,0,4,0,2,1,3,5,10,8,180,15
"TMEM116",2,3,1,0,1,0,0,0,0,6,1,0,5,0,0,0,0,2,3,2,21,0
"ERP29",300,71,8,23,7,17,14,3,58,72,23,4,42,3,5,5,46,40,108,111,705,147
"RP1-267L14.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NAA25",20,2,0,3,1,0,2,0,5,4,1,0,6,0,1,0,1,7,7,6,86,8
"TRAFD1",20,5,0,0,1,0,1,0,3,5,0,0,0,0,1,0,0,9,8,4,36,12
"HECTD4",9,7,1,3,1,0,0,0,2,1,0,0,2,1,1,0,1,1,6,4,55,7
"RPL6",1685,849,53,470,105,137,152,38,1016,969,215,139,890,76,80,50,345,451,2606,1242,9324,1675
"PTPN11",21,15,0,6,1,1,3,0,1,2,1,0,3,0,0,1,6,6,12,3,133,29
"RPH3A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OAS1",242,9,3,2,8,6,3,1,9,34,9,3,4,0,0,0,5,19,86,73,596,21
