"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"TCEAL3",34,73,2,1,2,1,0,0,0,5,5,7,3,1,2,0,3,0,2,0,6,17,7
"TCEAL1",38,68,1,0,2,1,0,0,0,4,2,0,1,3,0,0,2,0,3,0,5,126,5
"MORF4L2",115,343,29,12,31,27,12,3,15,47,107,34,23,6,12,10,14,19,58,2,83,965,27
"MORF4L2-AS1",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0
"TMEM31",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAB9B",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LL0XNC01-116E7.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMSB15B",0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0
"RP11-722G7.1",0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A53",6,5,0,0,4,3,0,0,2,5,9,3,0,0,1,0,1,1,7,0,5,37,4
"ZCCHC18",0,1,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,2,0
"FAM199X",12,8,4,1,1,1,0,1,2,9,13,2,0,1,2,0,0,3,5,0,4,110,1
"NRK",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SERPINA7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"MUM1L1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXorf57",0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,2,0
"RNF128",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,184,0
"TBC1D8B",0,16,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,35,0
"MORC4",1,12,1,0,0,2,0,0,0,2,6,0,0,1,2,0,0,0,0,1,0,67,3
"RIPPLY1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CLDN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
"RBM41",6,7,0,1,3,1,1,0,1,5,7,2,2,0,0,0,1,1,0,0,5,34,1
"NUP62CL",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0
"FRMPD3",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PRPS1",20,22,8,6,13,6,9,1,7,19,37,14,15,5,3,0,0,5,5,1,28,48,4
"TSC22D3",281,250,170,111,188,82,94,19,46,529,504,232,99,39,53,11,20,119,66,5,448,288,15
"MID2",0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"VSIG1",0,1,0,1,0,0,0,0,0,4,5,0,0,0,0,0,0,1,0,0,1,0,0
"PSMD10",27,23,4,1,4,1,2,1,0,13,11,3,0,1,1,1,2,1,13,0,16,112,5
"ATG4A",10,12,2,1,7,1,1,0,1,3,8,3,1,0,0,0,2,5,2,0,7,38,8
"COL4A6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"COL4A5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NXT2",20,16,0,1,6,0,0,1,1,3,9,4,3,1,0,1,0,2,9,0,7,84,2
"KCNE5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ACSL4",63,28,3,4,5,0,1,0,0,11,10,5,1,0,0,0,0,4,40,0,7,34,3
"TMEM164",11,4,0,0,0,2,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,53,5
"AMMECR1",1,3,0,1,0,2,1,0,1,3,14,2,2,1,0,0,0,0,0,0,6,111,1
"PAK3",0,3,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0
"CAPN6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
"ALG13",73,42,14,9,4,6,14,2,4,88,68,19,21,3,7,3,3,10,30,0,46,209,11
"ALG13-AS1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"LHFPL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AMOT",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,21,0
"IL13RA2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"LRCH2",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLS3",1,110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,2,163,22
"DANT2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SLC6A14",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,64,0
"KLHL13",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,69,0
"WDR44",4,7,1,0,3,1,1,0,0,0,2,3,0,1,0,0,1,1,2,0,8,16,2
"DOCK11",24,9,9,0,7,0,3,0,0,12,17,2,2,0,5,1,1,0,4,1,10,8,0
"IL13RA1",109,52,0,0,0,0,0,0,0,20,1,0,0,0,0,1,4,0,18,0,1,231,7
"ZCCHC12",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"LINC01285",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LONRF3",13,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,4,2,0
"KIAA1210",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGRMC1",58,152,9,6,7,2,6,1,2,8,23,12,4,3,4,1,9,6,11,0,19,965,7
"SLC25A43",22,25,0,0,0,2,0,0,0,2,6,2,1,2,0,0,1,1,2,0,1,115,1
"SLC25A5",616,307,65,34,82,33,53,8,41,188,276,80,46,10,32,18,26,81,198,13,192,5722,65
"CXorf56",12,12,4,0,4,2,1,0,5,7,15,1,1,1,0,3,0,1,7,0,8,59,1
"UBE2A",125,114,68,20,32,27,10,3,11,82,136,54,16,12,13,10,8,24,54,6,78,388,17
"NKRF",30,7,8,6,2,7,5,0,1,4,12,15,1,1,2,0,0,2,7,1,13,122,1
"SEPT6",46,21,19,6,27,18,24,2,20,110,146,32,21,6,8,9,0,16,18,1,75,75,13
"SOWAHD",7,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,1,0,1,15,0
"RPL39",3129,3503,732,285,724,489,551,69,285,3153,2749,900,775,168,267,120,158,337,1509,50,1867,28416,565
"UPF3B",31,37,9,6,9,1,5,0,7,16,29,15,4,5,4,1,2,3,8,0,17,204,9
"RNF113A",26,16,7,4,3,4,7,2,2,19,51,9,8,4,4,1,1,10,4,0,27,239,2
"NDUFA1",417,276,55,22,49,30,35,3,17,105,224,57,42,5,19,16,25,71,103,3,116,1913,44
"AKAP14",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NKAP",41,65,9,7,14,5,4,2,4,15,31,15,5,6,1,1,4,5,5,2,23,250,10
"RHOXF1-AS1",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZBTB33",10,7,2,0,0,0,1,0,1,6,2,2,1,0,0,0,2,0,4,0,1,42,3
"TMEM255A",11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAMP2",310,136,2,3,7,2,5,0,4,6,17,5,1,1,0,2,5,13,38,1,20,324,13
"CUL4B",10,19,2,0,1,1,4,0,0,4,3,2,1,0,2,0,2,0,2,0,2,82,4
"MCTS1",78,139,7,9,12,3,6,1,5,35,30,9,8,1,1,2,3,22,30,2,25,707,17
"C1GALT1C1",29,27,3,0,4,2,3,0,2,5,16,2,1,1,1,1,1,7,5,0,8,269,6
"GLUD2",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"RP13-192B19.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRIA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"THOC2",47,66,9,12,14,5,13,2,1,34,40,15,10,3,4,1,4,8,11,2,33,404,10
"XIAP",43,30,2,1,2,2,2,0,2,13,18,5,3,0,1,0,2,3,19,0,11,226,7
"RP1-315G1.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0
"STAG2",48,40,8,3,10,5,12,2,2,14,36,15,7,4,3,4,3,6,24,1,22,147,16
"SH2D1A",2,3,44,15,55,26,48,5,15,1,55,44,12,8,4,0,0,1,0,0,77,3,0
"TENM1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SMARCA1",0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
"OCRL",4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,40,1
"APLN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18
"XPNPEP2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
"SASH3",23,1,3,3,10,4,3,0,5,39,30,6,5,2,3,4,0,3,9,3,11,2,1
"ZDHHC9",8,26,2,0,0,0,0,0,0,1,3,0,0,1,0,2,0,2,4,0,2,263,6
"UTP14A",7,11,2,1,2,0,2,0,0,3,8,0,4,0,2,1,2,4,2,0,5,185,2
"BCORL1",5,8,2,1,0,0,1,0,0,1,2,1,2,0,0,0,1,0,0,1,0,20,3
"ELF4",11,5,5,0,1,0,0,0,1,3,7,0,0,0,1,0,0,0,10,0,3,30,1
"AIFM1",16,18,2,2,4,2,0,0,2,7,9,1,3,0,0,0,1,0,9,0,3,250,3
"RAB33A",3,1,1,2,5,6,1,0,4,6,14,9,0,0,1,0,0,1,2,0,15,1,1
"ZNF280C",0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,17,2
"SLC25A14",3,13,1,1,1,1,1,0,1,0,3,1,3,2,0,0,1,3,2,0,8,38,1
"RBMX2",40,61,7,1,5,7,3,0,2,13,27,11,5,1,0,0,5,2,11,1,25,321,7
"ENOX2",13,18,2,0,1,1,3,0,0,2,3,1,2,1,0,0,0,1,1,0,3,52,0
"IGSF1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FIRRE",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"STK26",7,8,6,3,3,1,1,1,1,4,18,9,1,1,1,2,0,1,17,1,5,75,0
"RAP2C",24,24,13,0,10,6,7,0,2,24,42,9,1,3,4,2,1,4,29,0,23,104,2
"RAP2C-AS1",1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,0
"MBNL3",3,0,2,0,0,0,1,1,3,3,3,3,0,0,0,0,0,0,3,0,2,26,1
"HS6ST2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPC4",2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,63,0
"GPC3",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,3,0
"PHF6",11,15,3,1,1,4,3,1,0,15,9,3,1,0,0,0,1,1,1,2,8,106,2
"HPRT1",72,47,20,17,19,10,8,2,10,24,76,19,9,5,8,2,4,10,44,4,69,397,10
"MIR503HG",7,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,12,0
"PLAC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-308B5.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM122B",12,7,5,0,6,2,2,0,2,9,18,6,3,2,1,0,0,2,2,2,8,108,3
"FAM122C",2,4,0,1,1,2,1,0,1,4,9,2,2,0,0,0,0,1,2,1,12,15,0
"MOSPD1",14,19,5,2,2,1,3,0,3,3,5,4,1,0,0,0,2,1,2,1,6,139,6
"SMIM10",1,35,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,6
"FAM127C",3,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,2
"FAM127A",43,158,4,6,0,1,0,0,1,3,13,6,0,0,1,1,12,0,18,0,8,80,11
"FAM127B",21,96,3,0,3,4,1,0,0,3,6,2,0,0,0,0,6,2,3,0,8,184,9
"RP11-85L21.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SMIM10L2B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ZNF75D",0,1,0,3,0,0,2,0,1,1,1,2,1,0,0,0,0,0,1,1,3,14,2
"ZNF449",0,5,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,0
"SMIM10L2A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX26B",6,6,3,0,0,3,2,0,2,4,5,2,0,0,0,1,2,0,3,0,5,15,3
"MMGT1",18,13,3,1,3,2,1,0,4,5,9,2,2,1,0,2,1,2,6,0,5,70,0
"SLC9A6",13,5,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,3,10,1
"FHL1",0,91,0,0,0,0,2,0,1,1,6,0,4,0,0,0,9,0,1,0,3,8,1
"MAP7D3",8,14,3,1,2,3,1,0,0,12,11,5,2,3,1,0,0,1,5,0,9,30,3
"HTATSF1",29,28,6,8,9,6,4,0,3,12,33,11,6,2,0,1,4,5,7,0,18,177,4
"CD40LG",3,5,1,0,0,1,11,0,24,0,52,1,2,0,0,0,0,0,0,3,25,0,0
"ARHGEF6",25,5,2,3,2,0,1,0,0,8,23,6,3,1,2,0,0,0,7,0,14,0,1
"RP11-1114A5.4",0,6,3,0,0,0,0,0,1,0,3,4,0,0,0,0,2,0,0,0,1,8,0
"RBMX",99,143,35,18,39,17,20,1,8,89,111,41,21,7,13,5,5,23,42,3,94,906,23
"FGF13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2
"ATP11C",14,20,1,2,1,1,2,1,0,9,3,0,0,0,0,0,1,0,3,1,2,40,4
"LINC00632",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDR1-AS",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LDOC1",0,40,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,1
"SPANXN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLITRK4",2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLITRK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"FMR1",15,21,1,4,4,2,2,0,0,4,5,2,1,0,0,0,0,0,4,0,5,95,4
"IDS",79,75,51,24,73,49,38,7,12,183,202,87,44,8,19,10,2,9,22,7,135,100,4
"AF011889.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"LINC00893",2,5,0,0,4,0,2,0,0,3,5,2,1,0,1,0,0,1,0,0,2,4,0
"CXorf40A",46,12,4,3,5,3,6,0,1,6,12,3,2,2,1,3,0,5,3,0,12,58,1
"TMEM185A",9,15,0,0,0,1,1,0,0,6,7,2,2,1,3,0,0,2,2,0,4,33,4
"MAGEA11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"CXorf40B",37,23,1,1,0,4,2,0,0,3,14,3,2,5,1,0,0,2,6,0,10,92,3
"LINC00894",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MAMLD1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
"MTM1",8,4,0,0,0,1,1,0,1,0,3,0,0,0,0,0,1,0,1,0,1,31,1
"MTMR1",4,3,2,1,1,2,0,1,0,6,3,1,0,0,1,0,0,2,0,1,3,26,0
"CD99L2",14,41,0,0,1,1,0,0,0,1,3,0,0,1,0,0,1,0,1,0,0,32,4
"HMGB3",27,21,3,1,1,0,4,0,2,8,9,2,2,1,0,2,1,10,7,3,5,358,5
"VMA21",133,35,4,5,8,4,8,0,11,21,41,13,3,4,2,3,1,14,44,0,29,312,6
"PRRG3",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FATE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GABRE",1,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93,2
"CETN2",39,115,4,2,2,3,6,0,0,9,11,7,1,3,0,1,8,3,12,0,11,234,11
"NSDHL",11,17,3,1,3,4,1,0,0,2,9,3,1,0,0,0,1,0,3,0,6,143,1
"ZNF185",10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,3,0
"PNMA5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PNMA3",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNMA6A",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF275",3,20,0,1,1,2,0,0,1,1,9,4,0,0,0,0,0,3,2,0,5,63,1
"ZFP92",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"HAUS7",2,9,0,0,1,0,0,0,0,4,2,1,1,0,0,0,0,0,0,0,2,26,4
"U82695.9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BGN",2,2736,0,0,1,0,2,0,0,0,1,2,0,0,0,0,156,1,0,0,0,9,25
"ATP2B3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM58A",24,35,7,1,2,4,0,0,0,17,19,7,8,2,0,3,3,8,4,2,17,237,4
"RP11-66N11.8",3,4,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,2,0,0,2,10,1
"DUSP9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"PNCK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
"SLC6A8",21,19,0,0,0,0,0,0,1,1,1,2,0,0,0,1,0,0,5,0,2,97,1
"BCAP31",334,132,14,9,22,19,14,1,11,36,69,28,13,3,6,8,11,18,68,0,51,1548,44
"ABCD1",12,8,0,0,2,0,0,0,2,1,3,0,0,0,1,0,0,1,8,0,0,21,0
"SRPK3",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"IDH3G",115,119,10,8,11,6,15,1,5,22,34,9,8,2,7,2,7,15,29,1,34,543,8
"SSR4",655,702,88,39,96,53,65,7,34,167,354,94,68,27,25,36,19,1136,218,8,232,3091,101
"PDZD4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1CAM",2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,20,0
"AVPR2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGAP4",71,1,12,2,18,3,4,0,5,20,34,18,13,2,3,3,0,3,12,0,34,1,6
"NAA10",128,137,14,7,15,8,10,1,5,37,62,20,13,5,3,1,5,16,42,1,45,925,44
"RENBP",116,1,1,0,1,1,2,0,0,0,5,1,1,1,0,0,0,1,17,0,4,4,0
"HCFC1",18,17,4,2,7,1,3,0,2,5,7,4,1,0,1,2,1,3,2,0,7,122,7
"HCFC1-AS1",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM187",7,5,2,0,2,1,1,0,0,0,2,2,2,2,2,0,2,1,0,1,4,54,1
"IRAK1",59,27,3,2,5,2,1,0,1,13,8,6,3,0,2,3,4,7,21,0,10,302,4
"MECP2",52,24,16,6,23,15,5,2,6,41,63,21,14,3,5,0,1,0,23,0,43,93,10
"TEX28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TKTL1",0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,0,0
"XX-FW83128A1.2",2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0
"FLNA",191,462,26,12,30,16,4,0,10,31,94,28,14,11,13,5,34,4,91,5,62,70,53
"EMD",74,53,21,15,17,13,12,0,10,35,68,26,8,4,2,5,3,12,46,2,37,307,7
"RPL10",6345,11092,1861,723,1919,1333,1224,182,657,6083,7234,2417,1916,483,718,353,574,1271,2964,95,4904,39130,1450
"XX-FW83563B9.5",3,1,0,0,1,2,1,0,0,1,2,0,0,1,0,0,0,0,1,0,2,14,0
"DNASE1L1",27,17,0,2,2,0,0,0,0,5,3,0,1,0,0,0,1,2,2,0,3,55,5
"TAZ",15,16,5,1,2,4,3,0,4,14,13,5,1,1,0,1,1,4,2,1,16,77,4
"CH17-340M24.3",67,11,0,2,1,0,1,0,1,1,1,0,0,3,0,0,1,3,5,0,5,46,2
"ATP6AP1",285,76,9,7,5,3,5,2,3,14,22,9,3,3,2,3,3,20,48,1,24,263,13
"GDI1",46,68,7,6,12,3,6,0,2,12,23,7,6,1,5,0,5,7,13,0,17,122,7
"FAM50A",129,96,10,10,17,8,9,0,4,15,65,15,8,8,5,3,9,11,43,0,39,340,19
"PLXNA3",12,17,5,1,1,2,0,1,2,4,13,6,1,0,0,0,1,3,2,0,5,82,1
"LAGE3",131,67,12,7,17,5,8,1,9,27,73,11,8,6,8,9,1,22,23,2,42,524,18
"UBL4A",6,28,1,1,2,4,1,0,1,8,10,5,2,0,0,0,0,6,2,2,2,130,4
"SLC10A3",5,23,6,6,11,8,1,1,2,10,15,10,2,3,2,0,2,3,4,0,16,105,1
"FAM3A",29,36,2,3,7,1,1,0,1,4,17,6,2,1,0,1,3,4,4,1,9,196,3
"G6PD",46,29,10,2,11,5,2,0,2,11,24,14,6,7,4,2,3,6,12,1,11,93,1
"IKBKG",17,22,4,2,2,2,3,1,1,5,13,5,1,1,3,1,3,1,8,1,8,53,2
"GAB3",17,1,1,0,0,1,3,0,3,0,15,0,2,1,2,0,1,0,3,1,3,1,0
"DKC1",31,29,4,6,8,2,5,2,4,14,16,7,7,1,2,1,0,7,5,0,16,524,3
"MPP1",177,11,0,1,0,1,1,0,0,3,5,1,0,0,0,1,1,0,59,0,1,97,3
"F8",6,7,0,1,0,0,0,0,2,0,3,1,0,0,0,0,0,0,1,0,0,2,0
"H2AFB1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"F8A1",31,29,5,1,12,6,4,0,2,17,32,13,5,3,4,1,2,4,9,2,14,144,2
"FUNDC2",82,142,10,5,11,8,12,1,2,33,43,10,7,1,5,2,8,8,43,3,27,461,11
"MTCP1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"CMC4",1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0
"BRCC3",15,10,0,0,3,1,1,2,0,6,8,1,2,1,0,0,1,1,0,0,4,174,0
"VBP1",41,54,8,11,17,7,7,0,10,33,49,15,10,1,3,2,3,10,20,3,32,367,14
"RAB39B",3,0,3,3,2,2,1,0,1,4,8,2,3,1,2,0,0,3,1,0,5,0,0
"CLIC2",56,5,0,0,0,0,0,0,0,1,1,0,0,0,0,4,1,0,20,0,0,0,15
"F8A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"TMLHE",8,13,0,0,1,0,2,0,0,1,4,0,1,0,0,0,1,0,2,0,1,74,0
"SPRY3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"VAMP7",32,36,6,3,13,4,5,2,3,11,27,8,2,1,1,3,2,7,11,2,18,98,2
"IL9R",0,0,3,0,2,1,0,1,0,1,2,7,0,1,0,0,0,0,0,0,0,0,0
"WASIR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ZNF596",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP5-855D21.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FBXO25",24,32,4,2,2,4,8,0,2,12,16,4,7,0,0,0,3,6,8,0,13,255,4
"RP11-91J19.3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"TDRP",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
"ERICH1",41,38,12,2,14,8,9,1,3,24,30,13,6,1,5,2,3,6,28,0,18,302,7
"DLGAP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CLN8",113,32,2,2,4,3,10,0,6,16,21,8,14,0,3,3,0,3,31,0,24,110,4
"CTD-2336O2.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CTD-2336O2.1",47,43,4,2,1,0,2,0,3,3,11,4,3,0,1,0,1,0,13,0,13,91,5
"ARHGEF10",0,18,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,30,4
"KBTBD11-OT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
"RP11-439C15.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KBTBD11",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,2,60,0
"RP11-439C15.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MYOM2",3,2,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,0,2,46,2
"RP11-134O21.1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSMD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP11-115C21.2",2,18,1,3,1,0,1,1,1,2,4,0,0,0,0,1,2,2,0,0,3,78,2
"MCPH1",6,5,1,3,3,3,2,0,2,2,9,1,0,0,1,1,0,1,0,0,3,47,4
"ANGPT2",0,3,1,1,2,1,0,0,0,4,5,3,0,0,0,0,12,1,0,0,5,4,24
