"","CD8aa IELs","cDCs","Double-Negative Tcells","Fibroblasts","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Vascular ECs"
"PCDH7",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"ARAP2",9,0,2,2,5,9,59,21,6,19,3,6,3,4,0,0,4,4
"DTHD1",2,1,1,0,2,0,5,8,0,0,0,2,2,0,0,0,1,0
"C4orf19",0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"RP11-36B15.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RELL1",1,1,0,1,1,1,4,0,1,1,0,0,1,2,0,0,0,2
"PGM2",1,2,0,3,1,1,7,9,2,2,2,1,4,2,0,0,1,4
"TBC1D1",5,0,1,6,0,5,17,10,1,4,3,4,3,1,1,2,3,27
"KLF3",8,0,4,8,2,7,62,14,9,64,13,4,3,10,4,0,5,7
"TLR10",0,1,0,0,0,6,0,0,3,1,0,0,0,0,0,0,0,0
"TLR1",0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0
"TLR6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"FAM114A1",0,0,0,36,1,0,0,0,0,0,0,0,0,3,1,0,0,7
"TMEM156",2,2,0,1,2,20,34,13,15,21,3,3,8,0,4,0,3,0
"KLHL5",0,3,1,5,1,8,14,5,5,10,3,0,6,0,1,0,1,11
"WDR19",0,0,0,4,0,0,1,3,1,1,0,0,0,0,0,0,0,2
"RFC1",3,1,0,19,4,7,35,12,4,13,2,3,6,5,4,0,6,10
"KLB",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"RPL9",507,520,127,1194,377,2046,7080,2550,1128,4704,907,307,868,491,156,124,538,481
"LIAS",0,0,0,5,1,1,1,1,1,4,0,0,5,2,1,0,0,0
"UGDH",0,1,0,41,0,2,6,1,0,2,0,0,1,13,1,0,2,9
"UGDH-AS1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
"SMIM14",1,5,0,50,0,92,11,6,26,6,0,1,2,7,2,1,0,15
"UBE2K",10,5,3,27,5,14,56,32,7,29,5,4,11,9,1,1,12,26
"PDS5A",3,1,1,14,1,5,29,14,1,12,3,3,2,2,2,0,5,10
"N4BP2",3,0,0,4,1,1,13,7,2,14,1,2,0,2,1,0,0,4
"RHOH",29,0,9,9,14,70,220,87,70,182,37,13,33,2,8,1,52,1
"AC195454.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RBM47",0,10,0,2,0,6,0,0,1,0,1,0,0,30,2,5,0,0
"NSUN7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"APBB2",0,0,0,2,0,0,0,0,3,0,0,0,0,1,0,0,0,7
"UCHL1",0,0,0,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"LIMCH1",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"TMEM33",4,1,0,8,1,2,20,8,3,7,0,2,4,8,1,1,1,3
"DCAF4L1",0,0,0,2,0,0,2,1,0,1,0,0,1,0,0,0,1,0
"RP11-814H16.2",0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
"SLC30A9",2,2,1,12,1,4,7,5,1,5,0,3,1,1,0,1,2,2
"BEND4",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"SHISA3",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP8A1",7,0,1,3,11,0,21,36,3,6,4,7,16,4,1,1,0,5
"RP11-109E24.1",0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0
"GUF1",1,1,0,2,0,1,3,6,2,4,1,0,0,0,2,0,2,0
"GNPDA2",1,1,0,7,0,5,11,3,1,2,0,0,4,0,0,0,0,3
"RP11-700J17.2",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"GABRA2",0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"COMMD8",2,4,3,4,2,10,22,6,6,9,3,1,7,3,2,0,5,4
"ATP10D",0,0,0,4,0,0,2,0,2,1,1,0,0,0,2,0,0,3
"CORIN",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-121C2.2",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"NFXL1",1,0,0,4,1,0,4,0,0,1,1,1,1,1,0,0,0,0
"NIPAL1",0,0,0,1,0,0,1,0,0,1,2,0,0,4,0,0,0,1
"CNGA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"TXK",0,1,0,1,1,0,3,2,0,10,3,1,3,0,0,0,0,0
"TEC",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"SLAIN2",2,3,2,12,2,8,19,8,1,7,1,0,5,3,0,1,1,2
"FRYL",1,1,0,8,1,5,22,9,3,11,2,2,2,10,1,1,2,7
"OCIAD1",10,4,1,49,9,19,63,40,9,55,13,5,17,15,3,1,10,26
"OCIAD2",13,2,4,6,8,29,166,45,16,98,16,7,20,29,6,0,14,17
"CWH43",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"DCUN1D4",0,0,0,10,1,2,2,0,1,1,1,1,1,1,0,0,0,1
"SGCB",1,0,0,24,2,0,4,0,1,0,1,0,0,2,0,0,0,10
"SPATA18",0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"USP46",0,0,0,2,0,0,2,5,0,1,1,2,1,3,0,0,0,0
"USP46-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RASL11B",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"SCFD2",0,2,0,1,0,1,3,1,4,3,0,0,1,0,1,0,1,1
"FIP1L1",5,3,1,17,7,6,40,14,2,15,4,7,11,1,4,0,8,3
"LNX1",1,0,0,1,0,1,4,1,1,1,1,0,1,1,0,0,0,5
"RP11-571I18.4",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CHIC2",8,1,0,65,5,6,25,24,3,20,1,2,10,2,1,2,5,33
"PDGFRA",0,0,0,72,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"KIT",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"KDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"SRD5A3",1,2,0,6,0,2,7,4,0,4,1,1,1,0,0,0,1,5
"RP11-177J6.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TMEM165",7,6,3,87,6,24,57,36,16,46,5,3,11,7,6,1,10,38
"CLOCK",0,0,1,9,0,2,6,0,0,1,1,3,0,1,1,0,0,6
"RP11-528I4.2",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"EXOC1",1,1,0,3,1,2,8,5,4,3,1,0,1,3,1,0,1,3
"CEP135",1,0,0,3,2,6,13,5,3,9,2,0,4,0,1,0,3,4
"AASDH",2,0,1,10,1,1,3,6,4,11,1,1,3,2,0,0,1,2
"RP11-646I6.5",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"PPAT",0,0,0,1,0,2,8,3,1,4,1,0,0,1,0,0,0,0
"PAICS",0,0,0,13,0,4,10,3,2,12,4,1,2,8,3,0,2,5
"SRP72",7,7,1,52,18,23,69,28,10,36,5,5,17,14,12,1,21,17
"ARL9",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HOPX",8,0,0,1,22,1,22,82,10,6,4,23,49,0,0,0,0,0
"SPINK2",1,0,1,0,2,0,10,8,0,1,1,0,3,0,5,0,3,0
"REST",7,4,0,9,4,9,39,26,6,11,3,1,7,3,2,0,6,9
"RP11-738E22.3",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
"NOA1",1,1,2,7,3,2,19,8,1,8,2,2,4,5,2,0,5,2
"POLR2B",7,2,0,9,7,8,45,26,12,23,2,5,18,6,2,0,8,7
"IGFBP7",2,4,0,1538,3,4,9,5,1,4,2,4,0,0,1,0,1,1635
"ADGRL3",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RP11-798L4.1",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"CENPC",6,0,1,15,6,8,40,19,8,30,4,5,5,1,5,0,7,9
"STAP1",0,0,0,0,0,12,1,0,6,1,1,0,0,0,2,0,0,0
"UBA6",2,0,0,3,4,4,10,7,7,8,4,2,4,0,3,0,1,4
"UBA6-AS1",0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0
"YTHDC1",10,4,3,17,4,19,89,41,20,58,8,10,14,5,6,1,16,23
"UGT2A3",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"SULT1B1",0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0
"FDCSP",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENAM",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JCHAIN",54,36,16,180,57,266,506,391,86,277,49,51,94,52,3780,17,58,105
"UTP3",0,2,0,22,2,8,31,11,6,18,2,0,4,0,2,1,4,5
"RP11-46J23.1",0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0
"RUFY3",0,1,0,25,0,2,3,0,1,2,0,0,1,1,0,3,0,4
"GRSF1",3,0,0,21,2,4,38,9,2,19,4,1,5,11,2,2,5,8
"MOB1B",0,1,0,2,0,0,1,2,0,2,1,1,1,1,0,0,1,1
"DCK",3,3,1,8,5,8,21,13,6,8,5,2,7,2,2,0,4,2
"SLC4A4",1,0,0,3,0,0,1,2,0,0,1,0,0,7,0,0,0,1
"COX18",0,1,0,7,0,3,4,2,2,7,1,0,1,1,1,0,1,3
"ANKRD17",5,1,1,12,2,3,18,13,5,11,3,3,6,5,4,1,4,11
"RP11-692D12.1",0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0
"RASSF6",0,0,0,1,0,23,0,0,1,0,0,0,0,5,1,0,0,0
"CXCL8",3,865,0,823,1,0,8,3,3,7,1,7,1,18,0,520,1,106
"CXCL6",0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF4V1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXCL1",3,0,0,1282,0,2,6,5,1,4,1,0,1,18,1,1,2,3
"PF4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CXCL5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CXCL3",0,31,0,210,1,0,5,1,0,1,1,1,0,33,0,123,0,39
"CXCL2",1,60,1,459,0,0,3,1,0,2,2,5,0,43,0,114,1,148
"MTHFD2L",0,2,0,7,1,2,9,6,1,3,0,2,0,9,3,0,2,8
"RP11-629B11.5",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1
"EPGN",0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
"EREG",0,151,0,1,0,1,2,1,0,1,0,0,0,0,0,65,1,0
"AREG",13,128,5,10,25,87,174,76,67,129,16,47,35,139,1,58,8,2
"PARM1",0,1,0,17,0,0,0,1,1,0,0,0,0,6,2,0,0,5
"RP11-44F21.5",0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0
"RCHY1",8,0,2,9,6,7,24,15,5,21,4,4,7,3,2,0,6,3
"THAP6",0,0,0,1,0,2,8,5,0,6,0,0,2,0,0,1,0,0
"C4orf26",0,0,0,1,0,2,0,5,0,0,0,0,1,0,0,0,0,0
"CDKL2",1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0
"G3BP2",26,4,6,15,27,55,238,142,26,126,38,20,55,9,9,1,25,14
"USO1",2,2,0,12,3,1,26,9,2,8,2,0,7,5,6,1,2,8
"RP11-556N4.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"NAAA",4,6,0,11,4,8,38,20,3,15,2,0,7,3,2,2,2,3
"SDAD1",2,0,0,12,4,9,19,17,3,19,1,4,5,1,3,0,4,5
"CXCL9",0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ART3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CXCL10",0,1,0,133,0,1,1,0,0,0,0,0,1,0,0,0,0,15
"NUP54",3,1,2,8,1,7,23,6,5,14,2,0,6,1,0,0,1,6
"SCARB2",0,1,1,64,1,5,5,6,0,5,1,3,1,3,5,0,0,29
"SHROOM3",0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"SEPT11",3,2,2,42,3,6,24,25,0,9,2,7,3,12,2,0,10,10
"CCNI",46,34,8,270,38,138,508,229,91,322,53,32,87,28,13,10,78,65
"CCNG2",1,0,0,13,1,4,2,6,3,5,0,3,1,0,0,0,3,1
"CXCL13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNOT6L",35,3,8,9,34,22,245,117,18,202,43,18,90,0,3,1,30,4
"MRPL1",11,4,1,12,14,9,64,33,8,72,6,5,29,11,1,0,12,2
"ANXA3",0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,3
"LINC01094",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"RP11-109G23.3",1,3,0,7,0,3,5,8,2,6,0,3,0,0,2,0,0,2
"BMP2K",0,0,0,2,0,5,2,1,3,1,0,0,2,1,1,1,0,4
"PAQR3",1,0,0,1,1,0,6,6,1,5,0,0,2,2,0,0,0,0
"ANTXR2",2,6,0,23,0,4,24,4,3,3,2,0,0,2,1,0,3,1
"PRDM8",0,3,0,0,0,3,3,1,0,2,0,0,1,0,0,1,0,0
"BMP3",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"RASGEF1B",2,6,2,2,5,24,20,15,20,9,2,1,2,1,1,2,0,0
"RP11-127B20.2",0,0,0,2,1,0,3,1,0,1,0,0,0,1,0,0,0,0
"HNRNPD",7,7,5,42,5,16,83,23,10,35,2,6,9,15,2,4,7,24
"RP11-127B20.3",0,0,0,4,1,2,7,3,2,4,0,0,1,2,0,0,2,0
"HNRNPDL",39,8,9,188,28,94,358,149,64,191,51,20,65,32,21,5,29,73
"ENOPH1",2,0,0,12,1,1,20,10,6,3,0,0,5,6,2,1,1,5
"TMEM150C",0,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,4
"SCD5",1,0,1,5,0,0,1,3,0,1,0,1,3,0,0,0,0,1
"SEC31A",11,5,0,21,4,4,46,22,7,20,5,3,7,6,7,1,2,10
"THAP9-AS1",1,6,0,2,2,4,16,6,6,11,3,1,4,0,0,2,0,5
"THAP9",0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0
"LIN54",0,0,0,1,0,0,5,0,1,2,0,0,0,0,1,0,0,0
"COPS4",2,1,1,17,4,4,30,12,5,10,3,2,4,1,3,0,2,4
"PLAC8",7,34,0,5,6,17,147,29,18,125,12,20,7,24,2,2,1,2
"RP11-576N17.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"COQ2",1,0,0,6,1,3,12,6,2,11,0,1,3,3,2,1,1,3
"HPSE",0,0,0,2,0,1,8,3,1,2,0,0,1,0,0,0,2,0
"HELQ",4,0,0,6,4,1,11,1,1,3,1,1,2,2,1,0,2,0
"MRPS18C",3,2,0,10,5,9,27,14,10,19,3,1,0,4,4,0,3,13
"FAM175A",0,0,0,7,1,1,6,4,1,10,1,1,3,0,0,0,1,2
"GPAT3",0,10,0,4,1,0,6,2,0,0,1,0,0,1,0,1,1,0
"CDS1",0,0,0,1,0,0,1,0,0,3,0,0,0,5,0,0,0,0
"WDFY3",0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,3
"ARHGAP24",0,0,0,24,0,44,0,0,12,0,0,0,0,0,0,0,0,2
"RP13-514E23.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAPK10",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PTPN13",0,0,0,6,0,0,5,0,1,0,0,0,0,0,0,0,0,0
"C4orf36",0,1,0,3,0,0,2,0,0,0,0,0,0,0,2,0,0,3
"AFF1",2,1,0,2,0,0,4,1,2,2,0,0,0,4,0,0,1,2
"KLHL8",1,2,0,3,0,2,4,0,1,1,0,1,0,0,0,0,1,3
"HSD17B11",12,5,1,31,4,26,68,28,11,35,5,3,16,15,1,7,8,32
"NUDT9",3,2,0,21,0,6,14,4,2,8,1,0,4,0,1,1,3,7
"SPARCL1",0,0,0,211,1,0,2,1,0,1,0,0,0,2,0,0,1,705
"SPP1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18
"PKD2",0,0,0,5,0,0,0,0,1,0,1,0,1,1,2,0,0,1
"ABCG2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PPM1K",8,2,2,10,11,23,82,43,31,41,4,9,14,0,3,0,21,4
"RP11-10L7.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"HERC6",1,0,1,2,3,2,6,5,0,4,0,0,1,0,0,0,2,2
"HERC5",1,0,1,6,1,0,3,6,0,4,0,0,4,0,1,0,2,3
"PYURF",8,8,1,57,8,40,104,29,16,28,13,14,11,12,9,3,6,49
"HERC3",1,0,0,4,0,1,4,0,2,2,1,0,0,1,0,0,0,0
"NAP1L5",1,0,0,6,1,5,16,2,0,12,0,3,1,0,0,0,3,2
"FAM13A-AS1",0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0
"FAM13A",1,0,0,6,0,0,3,2,1,1,0,0,4,8,0,0,1,3
"TIGD2",0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"GPRIN3",6,6,0,4,8,0,58,17,1,27,3,4,10,0,0,1,6,0
"SNCA",0,0,0,0,0,1,10,0,1,3,0,0,0,0,0,2,0,0
"MMRN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
"CCSER1",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"GRID2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SMARCAD1",3,0,0,4,0,0,2,3,0,3,2,0,0,1,0,0,1,1
"HPGDS",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"PDLIM5",1,5,0,11,0,5,22,7,3,7,0,0,4,24,0,0,3,36
"UNC5C",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-710C12.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAP1GDS1",0,2,0,7,3,3,14,6,3,7,1,2,4,2,0,0,3,4
"TSPAN5",4,0,1,2,5,0,25,11,2,18,2,0,5,1,1,0,8,6
"RP11-1299A16.3",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"EIF4E",2,10,1,24,3,24,40,26,7,26,5,2,4,9,4,3,10,28
"METAP1",1,0,0,5,0,1,14,3,3,5,1,1,1,5,1,0,1,2
"RP11-571L19.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ADH5",5,0,0,51,0,6,28,18,3,17,7,1,10,6,1,1,3,9
"RP11-696N14.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADH6",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ADH1B",0,0,0,271,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ADH1C",0,0,0,1,0,0,0,0,0,0,1,0,0,43,0,0,0,0
"TRMT10A",0,0,1,3,0,2,2,1,0,0,1,0,0,2,1,0,0,1
"DAPP1",1,11,1,0,1,8,16,5,14,6,3,3,3,0,4,1,10,0
"LAMTOR3",3,4,1,11,2,11,28,13,5,16,0,1,1,4,0,2,2,5
"DNAJB14",1,1,2,8,2,9,48,18,4,25,7,2,12,0,1,1,12,8
"H2AFZ",84,25,14,171,35,139,451,298,101,252,45,39,66,74,37,9,63,127
"EMCN",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"PPP3CA",10,2,0,19,5,17,45,24,9,12,2,4,12,3,4,2,3,15
"FLJ20021",0,0,0,3,1,1,8,1,0,2,1,0,3,3,2,1,2,4
"BANK1",0,0,0,0,0,119,0,0,59,4,0,0,0,0,0,0,0,1
"SLC39A8",2,1,0,3,1,3,40,14,2,26,8,1,3,5,4,1,4,0
"RP11-499E18.1",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AF213884.2",0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"NFKB1",16,53,3,59,16,50,160,62,18,59,11,31,12,3,3,21,17,19
"MANBA",0,8,0,8,1,5,4,0,4,3,0,1,2,2,1,1,0,1
"UBE2D3",63,43,13,119,35,111,440,209,72,255,51,44,74,35,14,13,67,119
"RP11-10L12.4",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CISD2",9,9,0,12,9,12,65,43,2,26,3,5,12,8,10,0,9,6
"SLC9B1",0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,1,0
"SLC9B2",0,1,1,3,1,1,6,3,2,1,1,1,1,1,1,1,1,4
"BDH2",2,0,0,30,0,0,12,5,1,5,0,2,0,1,0,0,2,14
"CENPE",0,0,0,1,1,0,1,2,0,0,0,0,1,1,2,0,1,0
"CXXC4",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC004053.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-556I14.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004069.2",0,1,0,3,0,0,3,0,1,4,0,0,0,1,0,0,0,1
"TET2",1,5,0,3,0,3,8,5,2,4,2,3,1,2,0,6,0,1
"TET2-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PPA2",2,1,1,20,2,10,37,10,6,16,3,1,4,12,3,0,6,7
"ARHGEF38",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"INTS12",2,0,0,7,0,0,12,8,1,2,0,1,1,0,2,0,1,8
"GSTCD",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NPNT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"TBCK",0,0,0,5,1,2,2,1,0,2,0,1,2,0,0,0,0,1
"AIMP1",8,11,2,20,5,13,45,18,7,33,2,5,15,13,3,2,6,15
"PAPSS1",1,2,1,18,1,5,4,5,2,5,0,0,0,1,3,0,2,3
"SGMS2",0,1,0,3,0,0,0,0,0,0,0,1,0,5,0,2,0,5
"RP11-286E11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"CYP2U1",0,0,0,6,0,1,3,1,1,1,2,1,0,0,0,0,0,0
"RP11-286E11.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HADH",2,1,0,7,0,4,8,1,2,3,0,2,1,16,2,0,2,1
"LEF1",1,0,0,1,0,0,6,3,0,35,4,1,1,1,1,0,3,1
"RPL34",642,557,164,1429,486,2420,8808,3056,1326,6015,1139,357,980,617,269,154,651,645
"OSTC",21,13,3,62,8,22,171,54,17,82,14,13,18,24,26,3,17,24
"COL25A1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEC24B-AS1",0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0
"SEC24B",0,0,1,5,2,3,7,5,2,1,0,0,1,0,0,1,0,2
"CCDC109B",11,12,4,12,7,11,89,37,7,63,9,3,12,0,2,3,3,10
"CASP6",0,0,0,0,1,1,8,3,0,3,2,1,2,7,0,0,1,6
"AC004067.5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PLA2G12A",1,0,0,12,1,3,11,11,2,9,0,2,1,5,2,0,1,1
"CFI",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"RP11-602N24.3",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"GAR1",2,1,0,11,4,8,39,13,10,27,6,2,7,10,1,0,4,11
"ELOVL6",0,0,0,1,0,0,6,3,1,3,1,0,0,7,0,0,0,0
"ENPEP",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PITX2",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"C4orf32",0,2,0,9,1,5,17,9,1,13,2,0,1,0,0,0,3,14
"RP11-73K9.2",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
"AP1AR",0,0,0,7,0,0,2,1,1,4,0,0,0,2,1,0,1,6
"RP11-73K9.3",0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"TIFA",5,1,0,19,1,2,56,10,1,16,3,3,3,2,4,0,13,32
"ALPK1",0,0,0,4,0,1,8,1,1,0,0,0,0,0,0,0,0,2
"ZGRF1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"LARP7",11,4,0,27,8,22,62,39,8,29,10,0,21,6,4,1,8,23
"ANK2",0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMK2D",3,1,0,18,1,2,9,3,9,1,1,1,1,7,1,2,3,2
"ARSJ",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UGT8",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"SNHG8",22,13,3,69,15,111,205,79,102,158,28,12,30,27,13,5,17,22
"PRSS12",0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"RP11-384K6.8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"METTL14",1,0,0,3,1,2,8,7,2,2,1,1,3,0,0,0,0,2
"SEC24D",0,0,0,12,0,1,10,1,1,0,0,0,1,0,7,0,2,8
"SYNPO2",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"USP53",3,3,0,15,2,7,27,7,5,10,2,2,7,13,0,1,4,5
"C4orf3",29,20,5,118,20,46,209,105,34,111,19,18,37,12,13,7,26,70
"FABP2",0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,1
"PDE5A",0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,4
"MAD2L1",2,0,0,0,0,1,3,1,1,1,0,0,1,3,3,0,0,0
"PRDM5",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"NDNF",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNIP3",7,4,0,0,13,0,8,54,0,1,3,7,14,1,0,10,7,8
"QRFPR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ANXA5",14,55,1,200,6,21,70,30,5,20,4,5,10,5,4,17,6,61
"TMEM155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EXOSC9",2,0,0,4,3,3,17,12,4,7,2,2,0,5,1,0,2,0
"CCNA2",0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0
"BBS7",2,0,1,2,0,1,9,1,0,2,1,0,3,1,0,0,0,4
"TRPC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"KIAA1109",3,0,0,3,1,5,15,9,0,6,1,1,4,0,0,0,3,4
"IL2",0,0,0,0,0,0,23,3,0,1,0,0,0,0,0,0,0,0
