"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells"
"RP1-30M3.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"C6orf62",51,44,3,3,4,1,5,5,3,1,6,2,12,3,4,2,18,2,68,163
"RP3-369A17.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GMNN",16,34,4,2,9,2,13,1,5,2,4,0,16,4,11,5,8,9,86,157
"FAM65B",4,3,4,2,1,0,4,2,8,3,10,4,13,8,0,0,4,0,44,0
"RP11-367G6.3",2,0,1,1,2,0,2,1,2,0,3,2,1,1,0,0,0,0,16,0
"RP3-522P13.3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRRC16A",3,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,54
"SLC17A4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"TRIM38",25,27,5,3,7,3,4,2,11,1,13,5,20,2,7,2,6,2,110,65
"U91328.19",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
"HIST1H1A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HIST1H3A",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3
"HIST1H4B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HIST1H3B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
"HIST1H2AB",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HIST1H2BB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HIST1H3C",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"HIST1H1C",57,69,5,4,7,7,21,13,3,1,16,1,27,9,4,9,50,8,156,162
"HFE",8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14
"HIST1H4C",42,50,5,1,3,1,9,4,3,8,4,5,9,4,5,35,12,46,66,582
"HIST1H2BC",2,5,1,0,0,0,1,0,0,0,2,0,0,0,0,0,3,0,13,5
"HIST1H2AC",23,26,1,7,2,2,5,2,2,8,11,1,9,2,0,2,4,1,40,59
"HIST1H1E",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,7
"HIST1H2BD",15,23,6,4,1,3,11,5,4,7,3,3,14,11,0,4,10,2,124,48
"RP1-221C16.8",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0
"HIST1H2BE",5,1,1,0,1,1,0,0,0,2,1,0,0,7,0,0,0,1,12,18
"HIST1H4D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP1-34B20.21",29,21,7,4,5,4,13,5,2,1,10,7,13,17,0,3,4,4,180,88
"HIST1H2AD",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"HIST1H2BF",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2
"HIST1H4E",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,12
"HIST1H2BG",43,16,1,1,8,1,1,6,3,5,6,1,27,21,2,3,10,1,98,177
"HIST1H2AE",19,3,5,0,3,6,0,8,3,1,5,0,14,7,0,2,7,0,38,107
"HIST1H3E",1,0,0,0,1,0,0,1,0,0,1,0,4,1,0,0,0,0,14,5
"HIST1H1D",0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,2,2
"HIST1H3F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIST1H2BH",6,0,0,0,3,0,1,0,2,0,1,0,8,0,0,0,1,3,10,0
"HIST1H3G",0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,1
"HIST1H2BI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HIST1H4H",1,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,3,6
"BTN3A2",27,50,26,5,18,7,13,9,13,6,16,3,61,28,6,1,6,7,181,134
"BTN2A2",6,9,3,1,0,1,5,0,3,0,4,1,7,2,1,0,2,1,22,17
"BTN3A1",4,16,5,0,6,2,4,5,4,1,4,0,20,7,1,0,2,1,52,33
"BTN3A3",8,12,2,2,2,0,3,0,2,0,5,0,10,5,1,0,0,0,26,15
"BTN2A1",17,22,6,3,2,1,2,4,2,1,6,0,15,6,4,2,0,3,37,40
"HCG11",3,4,0,0,1,1,0,1,0,1,0,0,2,1,2,0,0,0,3,7
"CTA-14H9.5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HMGN4",4,1,1,0,1,0,2,0,1,0,1,0,2,1,0,1,0,0,9,12
"ABT1",9,15,3,3,3,3,5,1,3,4,4,4,5,4,2,2,3,2,35,137
"RP11-457M11.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
"ZNF322",6,18,0,1,0,1,1,2,2,0,1,0,3,0,1,0,2,1,9,48
"LINC00240",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HIST1H2BJ",8,3,4,0,2,1,0,0,3,1,0,1,1,3,0,1,0,1,25,8
"HIST1H2AG",0,0,2,0,0,0,0,0,2,0,0,0,3,1,0,0,1,0,12,10
"HIST1H4I",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HIST1H2BK",1,2,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,4,5
"HIST1H2AH",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"PRSS16",0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,0,0,3,68
"ZNF391",0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
"ZNF184",3,8,3,2,0,1,5,1,0,0,4,0,8,5,1,2,1,1,21,20
"LINC01012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"HIST1H2BL",0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
"HIST1H2AI",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,6,0
"HIST1H3H",4,4,0,0,2,0,0,2,0,0,0,0,5,1,0,1,2,0,23,35
"HIST1H2AJ",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIST1H2BM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HIST1H4J",2,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,8
"HIST1H2BN",11,12,1,1,2,1,6,3,2,1,6,3,19,7,1,1,6,3,73,100
"HIST1H2AK",0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1
"HIST1H2AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"HIST1H1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3
"HIST1H3I",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"HIST1H4L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HIST1H3J",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"HIST1H2AM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OR2B6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"RP1-313I6.12",10,6,1,0,2,2,3,2,4,7,4,4,7,5,1,1,6,4,36,20
"ZNF165",4,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,4,27
"ZSCAN16-AS1",54,18,1,1,1,0,4,1,2,0,1,0,9,2,9,1,8,0,20,38
"ZSCAN16",1,1,2,0,3,1,3,1,0,0,1,0,7,2,0,0,0,1,24,43
"RP1-265C24.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ZKSCAN8",2,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,8
"ZSCAN9",4,5,0,0,1,0,1,0,1,0,1,0,6,0,2,0,0,0,10,40
"ZKSCAN4",3,4,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,5,5
"NKAPL",7,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ZSCAN26",4,8,2,1,0,0,0,0,2,0,1,0,3,1,1,0,0,0,11,12
"PGBD1",2,6,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,9
"ZSCAN31",1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"ZKSCAN3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,8
"ZSCAN12",2,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7
"ZBED9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"XXbac-BPG308K3.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HCG14",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"TRIM27",18,25,1,3,0,2,3,0,1,3,1,3,7,2,5,1,2,1,23,124
"LINC01556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HCG15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZNF311",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"UBD",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"GABBR1",1,8,0,0,0,1,0,0,1,0,0,0,0,0,2,0,4,0,0,20
"MOG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ZFP57",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0
"HLA-F",70,60,19,20,16,14,27,13,12,5,41,16,90,34,21,2,39,13,271,358
"HLA-G",1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,22
"HLA-A",1456,1584,327,228,424,195,599,380,195,136,703,141,1483,529,249,41,551,151,5585,8454
"ZNRD1-AS1",0,1,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,11
"ZNRD1",35,39,7,6,9,4,15,8,5,2,9,1,36,9,11,2,12,3,122,280
"PPP1R11",41,58,6,3,9,4,14,5,5,3,9,4,18,10,4,0,15,3,91,184
"RNF39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"TRIM31",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,105
"TRIM31-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"TRIM40",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"TRIM10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"TRIM15",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
"TRIM26",13,10,3,3,7,2,8,6,5,2,8,0,9,5,1,0,2,1,68,66
"HCG17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"HCG18",4,17,2,1,4,0,3,0,0,0,4,0,6,4,1,0,4,0,18,35
"TRIM39",3,8,1,1,0,0,3,1,0,1,1,3,2,1,0,0,1,0,12,20
"RPP21",7,7,0,0,1,0,2,1,0,0,1,0,0,0,1,0,4,0,10,70
"HLA-E",583,227,79,49,97,41,166,80,97,49,168,65,369,179,63,7,182,36,1427,914
"GNL1",10,55,5,1,7,1,8,12,2,2,7,3,19,4,11,0,4,1,42,145
"PRR3",6,16,1,1,5,2,1,1,0,1,5,0,8,3,2,0,4,0,22,70
"ABCF1",31,39,6,4,5,2,8,6,2,3,8,5,18,1,13,3,9,2,59,145
"PPP1R10",61,29,10,5,4,8,9,10,8,5,17,4,35,15,8,2,12,11,167,251
"MRPS18B",36,33,5,3,4,2,9,5,5,2,5,0,5,7,5,2,3,2,54,265
"ATAT1",3,12,0,0,1,0,0,0,0,0,1,0,2,1,2,0,2,0,2,32
"C6orf136",6,5,1,0,2,0,1,0,1,0,2,0,5,2,2,0,0,0,12,74
"DHX16",9,11,0,1,2,2,3,2,1,1,1,1,8,0,1,0,1,0,18,48
"PPP1R18",128,74,16,16,29,14,37,17,14,6,42,9,130,34,11,3,39,12,385,23
"NRM",12,19,1,4,0,0,4,0,2,1,2,2,7,0,3,0,4,5,39,82
"MDC1",6,1,0,0,0,0,2,0,3,0,0,0,1,1,0,0,0,0,4,37
"TUBB",327,847,18,7,19,17,30,15,16,6,34,9,86,28,108,12,51,96,212,1000
"XXbac-BPG252P9.9",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"FLOT1",121,108,2,1,5,1,5,10,3,0,12,0,24,5,21,2,67,3,70,258
"XXbac-BPG252P9.10",5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5
"IER3",747,670,7,8,10,14,35,14,6,14,20,9,57,32,110,4,419,23,245,1497
"HCG20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"LINC00243",6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,11,9
"DDR1",1,4,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,176
"GTF2H4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"VARS2",6,8,0,0,2,0,0,1,0,0,1,0,2,1,0,0,0,0,4,31
"SFTA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"HCG22",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"PSORS1C1",0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,24
"CDSN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PSORS1C2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CCHCR1",2,16,0,0,1,1,2,0,1,0,1,0,4,0,3,1,1,0,6,96
"TCF19",4,4,0,2,0,0,0,1,0,0,3,0,3,2,2,1,0,2,5,28
"POU5F1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"XXbac-BPG299F13.17",0,2,0,0,1,0,1,2,0,0,2,0,2,0,0,0,0,1,4,1
"HCG27",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HLA-C",1568,1352,282,233,367,155,454,295,217,110,651,156,1424,612,203,82,646,174,4158,4973
"HLA-B",3237,2984,427,403,534,260,725,559,390,209,1039,258,2247,968,418,141,1164,272,6649,8177
"XXbac-BPG181B23.7",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1
"MICA",13,24,4,6,8,1,6,2,2,3,5,1,17,7,5,2,6,2,37,54
"MICB",6,1,3,2,6,3,3,6,5,0,6,0,11,2,2,0,2,3,46,25
"DDX39B",7,12,1,1,1,0,0,0,2,1,1,0,6,3,1,0,3,0,17,42
"DDX39B-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ATP6V1G2",0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,6
"NFKBIL1",8,28,0,0,1,0,2,1,3,0,1,0,8,2,4,0,6,3,17,78
"LTA",0,0,2,1,0,1,3,3,5,0,6,1,3,2,1,0,0,0,132,1
"TNF",122,4,28,11,23,6,34,18,17,8,11,2,26,34,0,1,112,2,509,41
"LTB",29,6,12,6,15,12,68,51,136,80,49,87,73,3,0,3,31,0,4075,45
"LST1",460,0,0,0,1,0,1,5,11,1,4,1,6,5,0,0,327,1,116,11
"NCR3",0,1,1,0,1,0,4,5,17,6,7,0,26,5,0,0,1,2,64,1
"AIF1",1397,4,2,0,1,1,5,0,0,0,5,1,2,0,1,0,584,1,13,14
"PRRC2A",17,32,3,1,1,2,2,4,4,1,2,0,8,2,8,0,4,0,20,177
"BAG6",33,41,2,6,1,0,3,1,4,0,1,2,12,4,11,0,9,0,37,174
"APOM",0,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,19
"C6orf47",11,29,2,1,3,4,0,4,2,0,3,1,11,2,1,0,3,1,24,67
"GPANK1",16,36,0,2,4,1,3,3,0,0,5,1,9,1,9,0,2,1,39,95
"CSNK2B",173,179,10,13,15,5,24,13,9,4,31,8,80,13,32,1,58,8,209,785
"LY6G5B",1,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,3,0
"LY6G5C",6,2,0,1,0,0,0,1,0,2,5,1,3,2,0,0,2,0,17,7
"ABHD16A",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5
"XXbac-BPG32J3.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"LY6G6E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C6orf25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LY6G6C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"DDAH2",79,142,2,1,4,2,6,9,10,1,12,2,27,3,15,0,13,5,64,101
"CLIC1",715,574,44,31,58,30,73,69,26,24,123,17,278,83,138,9,267,38,799,2526
"MSH5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"SAPCD1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"VARS",18,22,1,0,2,0,2,1,1,0,2,0,4,0,2,1,4,0,9,137
"LSM2",58,86,9,11,14,9,12,12,14,3,26,2,56,11,22,3,12,6,174,517
"HSPA1L",35,3,4,1,4,1,8,4,1,1,5,1,19,5,0,0,15,3,55,14
"HSPA1A",4962,4605,1283,1383,1658,760,2512,1550,862,446,2731,298,7048,2073,493,307,2444,1034,29088,1434
"HSPA1B",3273,2571,977,909,1151,459,1602,1149,557,316,1847,219,4170,1301,283,199,1668,825,21566,11512
"C6orf48",112,289,20,16,25,8,48,24,41,9,43,17,81,14,42,2,35,17,352,916
"NEU1",100,116,36,26,41,6,25,37,10,10,57,4,95,41,9,4,17,20,326,310
"SLC44A4",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,314
"EHMT2",10,13,2,0,2,1,4,4,2,2,4,0,5,6,1,0,1,1,22,94
"C2",60,45,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,2,131
"C2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CFB",0,5,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,18
"NELFE",60,90,5,3,8,2,5,4,3,2,10,5,24,5,13,0,15,11,82,419
"SKIV2L",4,10,1,0,1,0,1,2,0,0,2,1,5,1,1,1,2,0,14,51
"DXO",3,18,0,0,0,0,2,3,1,1,0,0,1,1,0,0,0,0,8,50
"STK19",9,40,2,1,1,0,2,3,1,0,1,1,3,1,0,0,2,0,15,46
"CYP21A2",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TNXB",0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ATF6B",27,21,4,5,2,2,8,5,7,2,7,2,28,7,6,2,4,1,57,191
"FKBPL",2,8,0,0,2,0,2,1,3,0,0,1,3,3,5,2,1,0,20,34
"PRRT1",1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,16
"PPT2",0,4,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,8
"PPT2-EGFL8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"EGFL8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
"AGPAT1",17,44,2,2,3,0,0,1,0,0,2,0,5,1,5,0,2,3,19,71
"RNF5",38,65,1,4,8,1,14,4,1,4,9,2,17,2,12,1,11,4,66,231
"AGER",2,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,4
"PBX2",13,14,1,0,0,0,2,1,1,0,1,0,7,0,3,0,6,0,11,55
"GPSM3",192,14,10,14,20,10,33,11,33,13,42,16,80,32,9,3,85,9,362,11
"NOTCH4",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"HLA-DRA",4420,17,18,31,67,9,59,29,416,1,66,7,185,20,2,6,1284,23,338,998
"HLA-DRB5",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5
"HLA-DRB1",3504,23,50,54,84,19,63,39,171,5,123,7,208,64,1,21,871,29,590,852
"HLA-DQA1",1169,2,10,6,12,2,12,7,114,0,27,0,22,16,0,4,223,4,172,28
"HLA-DQB1",733,8,22,14,36,11,33,22,98,4,45,5,90,23,0,5,261,15,257,453
"HLA-DQB1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"HLA-DQA2",7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0
"HLA-DOB",0,0,0,0,0,0,0,0,11,0,0,0,2,0,0,1,0,0,1,2
"TAP2",22,13,0,2,3,0,5,3,1,1,3,2,15,3,1,1,5,4,35,127
"PSMB8",140,127,16,19,24,6,41,22,19,9,42,15,91,25,21,3,51,15,359,860
"PSMB8-AS1",24,7,5,2,14,1,14,13,10,3,11,4,19,10,5,0,14,3,108,37
"PSMB9",113,111,31,35,39,13,51,39,34,17,82,13,127,43,19,7,78,29,424,732
"TAP1",44,51,18,15,11,5,15,14,13,2,32,5,54,24,6,1,14,5,219,323
"HLA-DMB",338,1,1,4,13,3,3,2,24,0,8,2,21,3,0,0,47,4,33,81
"HLA-DMA",468,5,15,8,14,3,14,5,39,2,18,4,32,9,0,3,92,6,143,476
"BRD2",130,133,4,9,22,7,25,14,11,4,26,12,85,37,26,10,32,28,207,891
"XXbac-BPG181M17.6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HLA-DOA",37,1,0,0,0,0,0,1,8,0,1,0,0,1,0,0,7,0,2,0
"HLA-DPA1",1779,10,26,39,60,14,50,22,139,5,82,3,135,38,7,13,444,14,356,397
"HLA-DPB1",1541,25,41,33,69,12,35,27,196,5,90,6,123,64,8,3,492,31,317,236
"COL11A2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RXRB",7,26,3,0,2,0,3,0,1,1,4,1,3,0,2,1,1,0,25,75
"SLC39A7",21,131,0,0,2,1,5,2,8,2,6,1,14,4,21,2,5,0,34,234
"HSD17B8",10,0,3,1,2,1,2,1,0,1,4,4,2,1,1,0,1,2,21,152
"RING1",19,45,6,1,2,2,2,2,2,0,9,0,5,3,10,0,5,1,36,130
"XXbac-BPG157A10.21",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HCG25",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"VPS52",2,11,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,5,60
"RPS18",3677,5721,426,208,468,217,695,588,860,426,970,683,1780,616,729,197,1730,168,7695,40216
"B3GALT4",11,9,1,1,0,1,3,2,2,1,0,0,4,2,2,1,2,1,19,13
"WDR46",21,40,2,2,3,2,3,5,7,3,3,1,16,3,7,0,9,2,42,164
"PFDN6",54,37,1,7,5,2,6,6,6,1,8,1,9,4,9,3,12,1,51,409
"RGL2",12,15,1,1,1,2,2,0,1,0,4,0,6,2,4,0,3,0,19,53
"TAPBP",105,134,9,13,14,9,13,10,19,2,17,12,66,17,16,4,24,7,150,439
"ZBTB22",2,8,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,5,20
"DAXX",13,46,2,2,6,0,0,3,4,2,4,3,14,2,7,0,3,1,30,92
"KIFC1",1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,31
"PHF1",4,23,3,2,4,0,7,2,3,5,7,1,9,1,4,0,2,2,43,36
"CUTA",176,399,18,16,27,10,33,24,23,13,54,19,106,21,38,9,39,11,431,1354
"SYNGAP1",2,13,1,0,1,1,2,0,1,0,3,0,3,2,0,0,0,0,11,13
"XXbac-BPG294E21.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"ZBTB9",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"BAK1",15,17,2,2,2,1,5,0,0,2,5,0,9,1,4,0,1,1,38,88
"LINC00336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ITPR3",2,1,0,1,1,1,0,1,0,1,1,1,5,2,0,1,1,1,12,145
"UQCC2",86,98,6,8,4,2,12,3,1,3,11,3,13,7,18,7,19,4,86,463
"IP6K3",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEMD2",7,27,0,1,1,2,3,0,1,0,1,2,5,2,1,0,1,0,17,52
"RP3-468B3.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"GRM4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"HMGA1",123,18,6,5,9,5,6,14,9,2,17,2,50,8,0,3,69,6,106,1374
"C6orf1",35,32,3,0,4,0,6,0,3,0,12,0,11,6,2,3,7,2,55,52
"NUDT3",56,49,3,1,3,1,3,1,5,0,4,1,10,2,8,1,8,4,20,131
"RPS10",662,874,84,32,111,52,122,124,140,98,209,128,362,124,95,14,313,27,1576,5113
"PACSIN1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SPDEF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"C6orf106",10,10,1,0,1,1,1,0,1,0,1,1,1,2,0,0,5,0,11,30
"RP11-140K17.3",12,4,0,1,1,0,1,2,0,0,1,0,5,1,1,0,3,0,15,27
"SNRPC",94,93,3,9,11,3,8,10,5,4,14,3,33,7,14,2,19,3,153,462
"UHRF1BP1",8,2,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,13
"TAF11",23,52,5,2,0,0,5,4,0,2,1,1,6,2,6,0,11,1,30,76
"ANKS1A",7,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,31
"SCUBE3",0,61,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5
"ZNF76",4,7,1,0,3,0,0,1,2,0,2,0,2,3,1,0,1,0,15,49
"DEF6",16,0,9,7,17,1,17,3,3,5,14,1,36,6,0,0,5,4,160,36
"PPARD",7,13,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3,0,4,18
"FANCE",1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,21
"RPL10A",1406,2801,228,90,211,116,335,295,404,193,497,307,940,315,326,49,759,74,3900,15751
"TEAD3",0,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,4,30
"FKBP5",52,41,3,4,4,7,54,3,1,7,15,5,17,6,11,0,19,5,99,64
"ARMC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CLPSL2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
