"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Enteric glia cells","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"HES1",147,434,0,0,7,121,0,0,12,7,0,0,0,1,0,0,2,63,0,80,0,4,588,175,19
"RP11-513G11.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LINC00887",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"LRRC15",3,129,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"GP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ATP13A3",185,128,0,1,2,6,0,0,2,2,4,0,0,0,0,0,1,9,3,51,3,18,271,28,2
"LINC00884",5,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,3,0,0
"TMEM44-AS1",4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,34,1,2
"TMEM44",1,16,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,3,0,1,0,0,67,16,0
"AC046143.3",3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0
"RP11-534C12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"LSG1",16,46,1,0,0,3,0,2,4,2,2,0,2,0,0,0,0,7,0,2,1,7,177,17,2
"FAM43A",16,68,0,0,0,19,0,0,12,0,1,0,0,0,2,0,0,8,0,2,1,4,46,193,0
"AC090505.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"XXYLT1",16,99,1,2,0,7,0,2,4,0,3,0,0,0,1,0,0,14,1,5,1,3,69,18,0
"XXYLT1-AS2",1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,2,0
"ACAP2",153,158,0,5,1,28,0,4,6,1,17,6,2,2,1,0,1,21,1,33,4,23,392,39,10
"PPP1R2",120,241,6,8,2,35,3,5,38,4,41,14,2,14,14,1,5,36,1,36,7,96,641,60,19
"APOD",14,448,1,0,1,1980,0,0,7,1,5,1,0,0,2,0,12,5,1,8,0,3,1030,56,3
"AC069513.4",4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"LINC00969",50,129,0,2,2,24,1,1,9,4,10,1,1,1,3,1,1,23,3,8,1,11,701,40,12
"MUC20",1,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,304,3,0
"MUC4",2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0
"TNK2",23,22,0,1,2,4,1,0,1,0,2,0,0,0,0,0,0,0,0,2,2,7,249,53,0
"TNK2-AS1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC124944.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-352G9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"RP11-480A16.1",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,33,0,0
"TFRC",265,135,0,2,0,5,0,0,1,0,12,1,2,1,2,0,6,7,1,27,3,39,1166,20,5
"LINC00885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"ZDHHC19",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC51A",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0
"PCYT1A",55,82,0,1,1,10,2,0,3,2,13,2,0,4,4,0,2,24,0,9,3,12,212,35,2
"TCTEX1D2",6,46,0,0,0,10,0,0,3,0,1,0,0,1,1,0,0,6,0,2,5,6,244,28,2
"TM4SF19-TCTEX1D2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"TM4SF19-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0
"TM4SF19",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0
"UBXN7",40,71,0,1,0,17,0,1,2,1,5,0,0,1,2,0,1,11,0,6,1,9,128,31,2
"RNF168",29,68,1,1,0,15,1,0,6,0,4,0,0,0,2,0,0,7,0,5,2,11,116,22,0
"CTD-2002J20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"WDR53",3,19,0,1,0,4,0,0,1,2,3,0,0,0,0,0,0,2,0,2,2,8,36,1,0
"FBXO45",14,24,0,0,0,3,0,0,1,0,1,0,0,0,0,0,1,3,1,0,0,2,88,8,2
"LINC01063",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,0,1
"NRROS",48,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,8,0,3,4,12,0
"PIGX",15,50,1,0,2,10,0,3,3,0,4,0,1,1,0,0,1,10,0,5,1,10,128,5,5
"CEP19",4,21,0,0,0,6,0,0,1,0,3,0,0,0,0,0,0,4,0,0,0,2,10,4,1
"PAK2",268,248,1,7,6,24,2,13,11,7,45,5,2,5,4,1,0,31,3,72,10,99,701,120,14
"SENP5",17,81,0,0,0,3,1,0,1,0,2,1,0,2,1,0,0,11,0,10,1,6,112,18,3
"NCBP2",85,242,0,5,4,20,0,3,5,5,14,3,1,2,4,2,4,23,0,17,5,25,605,61,8
"NCBP2-AS2",40,170,1,0,1,20,0,2,7,2,6,4,1,2,4,1,0,19,1,9,4,12,435,61,8
"PIGZ",1,31,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,125,2,1
"MFI2",24,50,0,0,1,6,0,0,1,1,3,1,0,1,0,0,4,1,0,5,2,1,1015,9,2
"MFI2-AS1",0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0
"DLG1",36,193,0,0,1,13,0,2,5,4,5,3,2,3,1,0,0,13,0,10,5,22,445,30,6
"DLG1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0
"AC128709.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP13-616I3.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"BDH1",22,38,1,0,0,2,0,1,0,1,3,1,1,2,2,0,1,6,0,3,2,2,365,10,2
"RP11-496H1.2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"AC024560.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
"RUBCN",14,24,2,0,0,3,1,1,0,0,1,0,0,0,1,0,0,4,1,2,0,4,51,7,0
"FYTTD1",81,162,0,2,3,23,1,3,7,4,10,3,0,0,5,0,1,29,0,31,2,14,310,58,15
"RP11-803P9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"LRCH3",16,69,2,1,2,9,1,0,0,1,7,4,0,0,0,0,0,4,1,3,0,8,106,15,6
"IQCG",22,19,0,0,1,1,0,0,1,0,2,3,0,1,1,0,0,3,1,1,1,5,43,4,0
"RPL35A",2332,11657,78,177,56,1589,64,95,292,244,1035,256,113,285,236,37,260,1293,88,840,126,1426,22194,2349,663
"LMLN",3,18,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,35,4,2
"ZNF595",1,12,0,0,1,3,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,1,0,3,3
"ZNF718",1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0
"ZNF732",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF141",7,8,0,0,1,6,1,0,0,1,1,0,0,1,0,0,0,2,0,1,1,2,3,5,1
"RP11-2H3.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"ZNF721",11,51,0,0,1,6,1,0,2,2,15,0,1,1,4,1,0,4,0,6,1,8,229,23,0
"PIGG",6,50,1,0,0,4,0,1,2,0,2,0,1,0,0,0,0,3,0,1,1,4,173,12,1
"PDE6B",5,3,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,1,5,1,0,0
"RP11-1191J2.5",0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
"ATP5I",717,1568,5,18,9,176,2,9,32,13,94,15,11,17,15,5,96,170,13,136,17,181,6614,374,121
"MYL5",14,42,1,1,0,9,0,0,1,0,3,0,0,1,0,0,0,7,0,5,0,6,167,5,2
"MFSD7",43,92,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,4,17,0
"PCGF3",25,96,0,1,0,4,0,1,3,1,0,0,1,0,1,0,1,9,0,5,1,1,243,41,1
"RP11-440L14.4",0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1
"RP11-440L14.1",1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,1,0
"CPLX1",1,6,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,5,46,57,0
"GAK",53,86,1,2,0,10,0,4,2,0,9,2,0,4,1,0,2,7,1,12,0,15,376,26,3
"TMEM175",21,67,0,2,2,19,0,0,1,0,5,1,0,2,0,0,1,10,0,9,1,9,171,8,6
"DGKQ",8,12,1,0,0,3,1,1,0,0,1,0,0,1,1,0,0,3,0,1,0,3,178,3,0
"SLC26A1",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,1,0
"IDUA",20,56,0,0,1,7,0,0,0,0,2,0,0,0,0,0,0,2,2,3,0,5,29,11,1
"FGFRL1",5,31,0,1,0,2,0,1,1,0,2,0,0,0,0,0,1,2,0,5,0,2,105,4,1
"RNF212",2,34,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,2,0
"AC092535.3",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SPON2",38,6537,0,0,3,396,1,4,1,0,19,5,2,2,11,3,0,212,1,8,2,16,353,12,1
"RP11-20I20.4",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTBP1-AS",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"CTBP1",83,222,0,1,3,23,1,2,2,3,17,2,1,1,5,1,1,24,1,13,1,13,572,54,2
"CTBP1-AS2",6,33,0,0,0,2,0,0,1,1,6,0,2,0,0,0,0,2,0,0,1,9,84,6,0
"MAEA",37,139,0,3,1,10,0,3,4,1,14,2,1,0,3,0,1,21,2,7,1,23,480,26,7
"UVSSA",11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,2,47,7,0
"CRIPAK",3,17,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,60,10,0
"RP13-1016M1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
"RP11-1398P2.1",18,37,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,1,1,5,2,2,115,17,2
"FAM53A",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"SLBP",80,229,0,1,2,29,1,4,3,0,32,2,1,2,3,0,2,31,1,25,10,27,517,38,13
"RP11-572O17.1",0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0
"TMEM129",26,93,0,1,1,14,0,0,2,2,4,0,0,0,2,1,0,12,1,1,1,4,191,16,9
"TACC3",26,26,1,0,0,2,1,0,0,0,9,2,0,4,1,0,0,1,0,3,14,26,191,12,2
"FGFR3",3,3,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,146,0,0
"LETM1",22,78,0,0,0,4,1,0,2,0,4,1,0,1,0,0,1,9,2,3,0,13,269,26,1
"WHSC1",19,37,0,0,0,2,0,0,2,1,2,0,0,0,2,0,1,7,1,3,2,5,219,9,3
"NELFA",17,65,1,0,2,7,0,1,1,1,5,0,0,2,1,0,0,9,0,3,0,15,209,19,3
"C4orf48",626,1070,1,15,4,58,2,8,30,16,65,5,3,5,9,1,41,61,7,99,17,150,3942,227,4
"NAT8L",4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POLN",1,12,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,15,1,0
"HAUS3",12,25,0,0,3,2,0,1,3,1,6,1,0,0,1,0,0,0,0,2,1,7,44,3,2
"MXD4",30,120,1,0,2,11,1,1,2,2,11,1,0,2,1,0,2,19,0,2,3,22,178,53,4
"ZFYVE28",10,12,0,0,1,3,0,1,0,1,4,3,0,1,0,0,0,0,0,0,0,8,82,10,1
"CFAP99",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"RNF4",34,91,0,0,1,8,0,0,0,0,9,1,1,2,2,0,1,9,2,8,4,18,191,34,3
"FAM193A",15,32,0,1,0,8,0,0,0,0,5,0,0,0,1,1,0,5,1,3,0,7,86,16,1
"TNIP2",53,173,1,2,4,17,0,3,3,0,17,1,1,1,2,0,2,20,2,15,6,73,398,95,16
"SH3BP2",85,31,0,2,1,6,0,0,8,0,4,1,0,3,2,0,1,5,0,33,4,12,205,48,1
"ADD1",71,234,0,1,1,26,1,3,14,1,8,4,5,2,3,1,2,35,1,8,3,25,359,88,20
"MFSD10",94,429,1,0,3,42,3,9,14,1,34,9,2,5,9,2,5,70,2,27,7,61,996,84,21
"NOP14-AS1",3,21,0,1,0,5,0,1,1,0,0,0,0,0,1,0,2,2,0,2,1,13,46,1,2
"NOP14",20,49,1,1,0,4,0,1,3,1,8,0,0,0,1,0,0,12,0,1,0,16,193,16,2
"GRK4",2,23,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,1,0,2,5,6,2
"HTT",30,39,0,0,0,3,0,2,3,0,2,0,0,0,1,0,0,4,0,4,0,3,130,21,2
"MSANTD1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RGS12",22,38,0,1,0,3,0,0,6,0,0,1,0,0,0,0,0,2,0,6,0,1,116,32,4
"HGFAC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
"DOK7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,43,0,0
"LRPAP1",374,835,3,7,5,102,2,5,20,5,20,4,7,6,7,0,4,79,9,61,7,71,1205,103,33
"RP11-529E10.7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC141928.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ADRA2C",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0
"TMEM128",46,160,1,1,4,29,2,1,3,4,9,1,0,0,2,0,2,18,1,2,0,13,348,20,10
"LYAR",46,96,10,2,0,13,10,1,8,0,6,17,0,4,15,3,1,2,0,18,0,14,403,39,1
"ZBTB49",1,8,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,1,1
"NSG1",1,6,0,0,0,0,2,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"STX18",35,100,0,3,0,11,0,0,0,0,8,2,1,3,0,0,2,17,1,5,0,6,317,14,2
"STX18-AS1",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0
"MSX1",0,15,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,31,0
"CYTL1",45,5,0,0,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,5,163,0
"STK32B",19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0
"EVC2",1,24,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,2,0,0,0
"EVC",3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"CRMP1",0,11,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0,8,0,0,0,8,1,9,0
"JAKMIP1",0,2,0,0,0,0,2,0,0,0,5,2,0,0,1,0,0,0,0,0,7,18,1,0,0
"RP11-586D19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"WFS1",8,50,0,0,1,8,0,0,6,0,1,0,1,0,0,0,0,6,1,0,0,2,84,18,5
"PPP2R2C",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"MAN2B2",39,65,0,0,1,4,0,0,0,2,3,1,0,0,0,0,0,9,0,5,0,5,88,5,7
"MRFAP1",269,1604,5,11,10,187,4,5,32,12,48,4,10,8,6,4,7,130,2,61,12,81,2675,219,86
"RP11-539L10.3",4,10,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,3,13,2,1
"AC093323.3",1,17,0,0,0,3,0,1,0,0,2,1,0,1,1,0,0,3,0,1,0,1,26,3,2
"RP11-539L10.2",0,1,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,2,19,0,0
"S100P",202,359,0,3,9,39,4,6,10,3,31,12,2,8,10,0,344,47,5,62,6,54,22593,125,14
"MRFAP1L1",51,132,0,0,0,27,2,1,1,0,11,1,0,1,3,0,0,22,0,5,3,16,284,30,7
"BLOC1S4",24,72,1,0,2,7,1,1,1,0,3,1,0,2,1,0,0,9,0,7,1,14,103,10,5
"KIAA0232",38,60,0,3,3,6,0,0,4,1,3,0,1,2,3,0,3,15,1,13,0,16,174,23,10
"TBC1D14",65,40,0,0,0,5,0,0,1,1,8,1,0,0,0,0,0,6,0,9,1,5,153,8,0
"RP11-367J11.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CCDC96",3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,8,2,0
"TADA2B",15,25,0,1,0,2,0,0,0,2,2,0,1,0,1,0,0,2,0,5,0,3,62,7,1
"GRPEL1",66,154,2,3,2,11,0,1,3,2,11,3,1,3,3,1,0,17,2,16,2,10,614,44,5
"RP11-367J11.3",2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,29,0,0
"SORCS2",1,40,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PSAPL1",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,1,0
"AFAP1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AFAP1",2,169,0,0,0,20,0,2,0,0,5,0,0,0,0,0,0,22,0,1,0,1,97,47,3
"ABLIM2",1,2,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,5,0,0,0,2,64,13,5
"SH3TC1",41,5,0,1,0,2,0,2,3,1,2,0,0,1,0,0,0,0,0,7,1,5,77,68,0
"HTRA3",11,470,0,0,0,21,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,19,18,0
"RP11-774O3.3",2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1
"ACOX3",10,34,0,0,0,2,0,2,1,0,5,1,0,1,1,0,0,3,0,1,0,3,58,7,1
"TRMT44",1,22,1,0,0,5,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,1,45,2,0
"RP11-689P11.2",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPR78",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CPZ",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A9",8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,14,1,0
"RP11-448G15.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"WDR1",296,673,3,19,4,33,2,18,17,0,68,7,5,5,15,1,6,127,1,85,21,113,1711,199,96
"ZNF518B",11,7,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,4,1,11,0
"CLNK",0,2,0,1,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,8,4,0,0
"HS3ST1",64,5,0,0,0,2,0,0,5,5,0,0,0,0,0,0,0,1,0,5,1,3,98,8,4
"RP11-281P23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-22A3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RP11-22A3.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAB28",32,130,0,0,2,19,0,2,4,2,10,0,0,3,3,0,1,12,1,4,4,22,106,20,7
"NKX3-2",0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01096",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOD1L1",56,122,0,0,0,12,0,1,5,0,14,4,1,2,6,1,0,15,0,15,0,15,242,42,6
"LINC00504",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0
"CPEB2",29,14,0,0,0,2,0,0,4,2,2,0,0,0,1,0,0,0,0,1,0,2,99,19,4
"RP11-665G4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
"C1QTNF7",0,24,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,2,0,4
"CC2D2A",2,48,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,36,4,7
"FBXL5",104,167,1,4,3,27,1,3,3,5,14,3,2,4,3,1,0,34,1,32,0,22,204,46,20
"FAM200B",140,262,0,2,1,29,0,0,13,5,15,2,1,6,2,1,1,45,0,33,6,19,561,57,25
"BST1",67,59,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,10,0,22,0,1,4,1,0
"CD38",15,2,0,0,0,1,0,0,1,1,2,0,0,1,2,0,0,1,4,4,0,5,0,0,0
"FGFBP1",7,11,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,526,5,1
"FGFBP2",0,0,0,0,2,0,1,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,5,0,0
"PROM1",3,6,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0,1,0,0,0,1,462,1,2
"TAPT1",13,12,0,0,0,6,0,0,0,0,0,1,0,0,0,1,0,2,0,3,1,5,83,11,2
"TAPT1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"LDB2",1,70,0,0,0,12,0,0,21,0,0,0,0,0,2,0,0,10,0,0,1,0,6,165,2
"QDPR",67,129,1,0,2,15,0,0,1,0,4,2,1,1,2,0,0,8,0,6,3,16,144,6,15
"LAP3",278,280,1,14,3,31,1,5,3,1,17,4,2,0,0,0,7,30,4,66,6,31,754,97,9
"AC006160.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"MED28",79,241,2,4,1,25,2,4,8,3,19,1,2,4,4,1,2,31,1,25,5,28,555,63,16
"FAM184B",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"DCAF16",12,40,0,1,1,5,0,0,0,1,4,1,1,0,0,0,1,4,1,4,0,7,72,8,4
"NCAPG",2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,64,2,0
"LCORL",30,23,0,1,0,3,1,0,0,0,3,0,0,2,1,0,0,7,0,2,0,6,151,18,1
"SLIT2",0,53,0,0,1,67,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
"PACRGL",4,44,1,0,0,6,0,0,3,0,0,0,0,1,1,0,0,4,0,0,0,1,75,8,2
"KCNIP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-362J17.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KCNIP4-IT1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADGRA3",3,46,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,98,4,5
"RP11-380P13.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PPARGC1A",0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,3
"RP13-497K6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DHX15",88,171,2,2,3,20,2,0,6,3,15,2,2,4,5,0,1,13,1,20,2,20,675,62,8
"RP11-496D24.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"SOD3",7,808,0,0,7,226,0,0,1,0,1,0,89,0,0,0,1,589,0,1,0,2,99,1,466
"CCDC149",14,22,0,0,1,2,0,0,2,0,0,0,0,0,1,0,0,4,0,6,0,0,61,14,6
"LGI2",5,49,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1
"SEPSECS",9,20,1,0,1,2,0,0,1,0,3,0,0,0,0,0,0,2,0,2,0,2,115,7,1
"SEPSECS-AS1",12,4,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,2,0,6,0,1,23,3,1
"PI4K2B",7,17,0,1,0,2,0,0,0,0,6,0,0,0,1,0,0,7,0,0,0,1,113,9,0
"ZCCHC4",2,20,0,0,0,2,0,0,3,0,5,0,0,0,0,0,0,3,0,0,1,6,33,3,0
"ANAPC4",11,37,0,0,1,4,0,0,1,2,4,0,0,3,0,0,0,8,0,2,1,8,113,8,2
"SLC34A2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEL1L3",50,68,0,0,1,3,1,3,1,1,11,3,0,2,0,0,0,2,4,2,4,23,449,24,0
"SMIM20",89,318,0,1,1,44,1,2,2,2,8,3,1,6,2,0,3,23,5,15,0,20,668,23,17
