"","GSM1621305","GSM1621306","GSM1621307","GSM1621308","GSM1621309","GSM1621310","GSM1621311"
"47",1,1,1,1,1,1,1
"54187",1,1,0,1,1,1,1
"26503",1,0,1,1,1,0,0
"54",1,1,1,1,1,1,1
"140838",1,0,1,1,0,0,1
"51205",0,1,1,1,0,0,0
"36",0,1,1,0,1,0,0
"34",1,1,1,1,1,1,1
"35",1,0,1,1,0,0,0
"84129",1,1,1,1,1,1,0
"28976",1,0,1,1,1,0,0
"80724",0,1,0,0,1,0,1
"27034",1,1,1,1,1,1,1
"3712",0,0,1,1,0,0,1
"134526",0,0,0,0,0,0,0
"51",0,0,1,1,1,0,1
"95",1,0,1,1,1,0,0
"50",1,1,1,1,1,1,1
"48",0,1,1,0,0,1,0
"8309",0,0,0,0,0,0,0
"52",0,0,0,1,1,1,1
"55",0,0,0,0,0,0,0
"788",1,1,1,1,1,0,1
"55902",1,1,1,1,1,0,0
"65985",1,1,1,1,1,1,1
"438",0,0,0,1,1,0,0
"1571",0,0,0,0,0,0,0
"100",1,1,1,1,1,1,1
"3177",1,0,1,1,0,0,0
"205",0,0,1,1,1,0,0
"204",1,0,1,1,1,0,0
"26289",1,0,0,1,1,1,1
"50808",1,0,0,0,1,1,1
"262",1,1,1,1,1,1,1
"113",1,1,1,1,1,1,0
"109",0,0,1,1,1,0,0
"115",1,1,0,0,0,1,0
"112",1,0,0,0,0,1,1
"107",0,0,0,1,1,1,0
"114",0,0,0,0,0,0,0
"55811",0,0,0,0,0,0,0
"196883",1,0,0,1,1,0,0
"111",0,1,0,0,1,1,1
"108",0,0,0,0,0,0,0
"2030",0,0,0,0,1,1,1
"9154",0,1,1,0,1,0,1
"64078",0,0,0,0,0,0,0
"9153",1,0,0,1,0,1,1
"55315",0,0,1,1,1,0,0
"11164",1,1,1,1,1,1,1
"952",1,1,1,1,1,1,1
"1375",1,1,1,1,1,1,1
"1374",1,1,0,1,0,0,1
"126129",0,0,0,0,0,0,0
"1376",0,1,1,0,0,0,0
"9061",1,1,1,1,1,1,1
"9060",1,0,0,0,0,0,0
"158",1,1,1,1,1,1,1
"10331",0,1,0,0,1,0,0
"374907",1,1,0,1,1,0,0
"10678",1,1,1,1,1,1,1
"79369",0,1,0,0,0,1,1
"11041",0,0,1,1,1,0,0
"93010",0,0,0,0,0,0,0
"79814",1,1,1,1,1,1,1
"56894",1,0,0,0,0,0,1
"10555",1,1,0,1,1,0,0
"137964",1,0,1,0,1,0,0
"56895",0,1,0,0,0,1,1
"55326",0,1,0,1,0,1,0
"129642",1,0,1,0,1,1,0
"64850",0,0,0,0,0,0,0
"64902",0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0
"3074",1,1,1,1,1,1,1
"3073",1,1,0,0,1,1,0
"10606",1,0,1,1,1,0,0
"8402",1,1,1,1,1,1,1
"1468",0,1,0,0,0,0,1
"64849",1,0,0,1,0,1,1
"1645",0,1,0,1,0,1,1
"1109",0,0,0,0,0,0,0
"6718",0,0,0,0,0,0,0
"6510",1,0,0,1,1,1,1
"6509",0,1,1,1,0,0,0
"56301",1,1,1,1,1,1,1
"6520",1,1,1,1,1,1,1
"211",1,1,1,1,1,1,1
"23464",0,0,1,1,1,0,0
"212",0,0,0,0,1,1,1
"59272",0,0,0,0,0,0,0
"6542",0,0,0,0,0,0,0
"6541",0,1,0,1,1,0,1
"84889",0,0,0,1,1,0,0
"54407",1,1,1,1,1,1,1
"81539",1,1,1,1,1,1,1
"340024",1,0,0,1,1,1,1
"11254",0,0,0,0,0,0,0
"57393",0,0,0,0,0,0,0
"55089",0,0,0,0,0,0,0
"2875",1,0,0,1,0,1,1
"84706",1,0,1,1,1,0,0
"92745",1,0,0,1,0,0,1
"10991",0,1,0,0,0,1,0
"284273",1,1,0,0,0,1,0
"10327",1,1,1,1,1,1,1
"8854",0,0,0,1,1,1,0
"224",1,1,1,1,1,1,1
"223",1,1,1,1,1,1,1
"216",0,0,0,0,0,0,0
"501",0,0,0,0,0,0,0
"217",1,1,0,1,1,0,0
"219",1,0,1,0,1,1,0
"239",0,0,0,0,0,0,0
"247",0,0,0,0,0,0,0
"246",0,0,0,0,0,0,0
"231",1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1
"23600",1,0,1,1,0,0,1
"115286",1,1,1,1,1,1,1
"271",1,1,1,1,1,1,1
"272",0,1,1,1,0,0,0
"270",0,0,0,0,0,0,0
"290",1,1,0,1,0,1,0
"278",1,1,1,1,1,1,0
"277",1,1,1,1,1,1,0
"279",1,1,1,1,1,1,0
"280",1,1,1,1,1,1,1
"6519",0,0,0,0,0,0,0
"276",1,1,1,1,1,1,0
"11136",0,0,1,0,1,1,1
"10998",0,1,1,0,1,0,0
"113451",0,0,0,1,0,1,0
"9057",1,1,0,1,1,1,1
"384",1,0,0,1,1,1,1
"445",0,1,0,0,1,1,1
"83884",0,0,0,0,0,1,1
"10166",1,0,1,1,0,0,0
"410",0,0,1,1,1,0,0
"427",1,1,1,1,1,1,1
"9963",0,0,0,0,0,0,0
"9962",1,0,0,1,1,0,1
"80150",1,0,1,1,1,0,1
"440",1,1,1,1,1,1,1
"790",1,1,1,0,0,0,0
"6505",0,0,0,0,0,0,0
"6512",1,1,0,0,1,0,0
"6511",0,0,0,0,0,0,0
"6507",0,0,0,0,0,0,0
"6506",0,0,0,0,0,0,0
"9296",1,1,1,1,1,1,1
"51606",1,1,1,1,1,1,1
"533",1,1,1,1,1,1,1
"90423",0,1,1,0,1,0,1
"528",0,0,0,0,1,1,0
"525",1,0,1,1,0,0,0
"10312",1,1,1,1,1,1,1
"127124",1,1,1,1,1,0,0
"245973",0,1,1,1,0,0,1
"50617",0,0,0,0,0,0,0
"9114",1,1,1,1,1,1,1
"23545",0,0,1,0,1,1,0
"8992",1,1,1,1,1,1,1
"535",0,1,0,0,1,0,1
"527",1,1,1,1,1,1,1
"526",1,1,1,1,1,1,1
"523",0,1,0,0,0,1,1
"529",1,1,1,1,1,1,1
"9550",1,1,1,1,1,1,1
"51382",0,0,0,0,1,1,1
"245972",0,1,0,0,0,1,0
"957",0,0,1,0,0,1,1
"956",0,0,0,0,0,0,0
"955",0,1,0,1,1,1,0
"953",0,0,0,0,0,0,0
"954",0,0,1,0,0,1,0
"377841",NA,NA,NA,NA,NA,NA,NA
"293",1,1,1,1,1,1,1
"291",1,1,0,1,0,1,0
"292",1,1,1,1,1,1,1
"4126",0,1,1,1,0,1,0
"8706",0,0,0,0,0,0,0
"10317",1,1,0,0,1,1,0
"84002",1,0,0,1,0,1,1
"3141",1,0,0,1,1,0,1
"140679",0,1,0,0,0,1,1
"8424",0,0,0,0,0,0,0
"53630",0,0,0,0,0,0,0
"635",0,1,0,1,1,1,0
"23743",0,0,0,0,0,0,0
"10599",1,1,0,0,0,0,1
"1244",1,1,1,0,0,0,0
"8714",0,0,0,0,1,1,1
"28234",0,0,0,0,0,0,0
"645",1,0,0,1,1,0,1
"644",1,0,1,1,0,0,1
"9488",0,0,0,1,1,1,1
"10380",1,0,1,0,1,0,0
"686",1,1,0,0,0,1,0
"8884",1,1,1,1,1,1,1
"80704",0,0,0,0,0,0,0
"51733",1,0,1,0,0,1,0
"7108",0,1,0,1,1,0,0
"50814",1,0,1,1,1,0,0
"3295",1,1,1,1,1,0,1
"6307",1,1,1,1,1,1,1
"493",0,1,0,0,1,1,1
"492",0,0,0,0,0,0,0
"491",0,0,0,0,0,0,0
"490",1,1,0,1,1,1,1
"847",1,1,1,1,1,1,1
"6543",0,0,1,0,1,1,1
"6547",1,0,0,1,1,1,1
"6546",0,0,0,0,0,0,0
"166785",0,0,1,1,0,0,0
"2538",0,0,0,0,0,0,0
"92579",0,1,1,1,1,0,1
"1373",0,0,0,0,0,0,0
"873",0,0,1,0,1,1,1
"10423",1,1,1,1,1,1,1
"8760",1,0,1,0,0,1,0
"1040",0,0,0,0,0,0,0
"56994",0,1,0,0,0,0,0
"10390",0,0,0,0,1,1,0
"64781",1,1,1,1,1,1,1
"10087",1,1,1,1,1,1,1
"6565",1,0,0,0,0,0,0
"9023",1,1,1,1,1,1,1
"1103",0,1,1,0,1,1,1
"162466",0,0,0,0,0,0,0
"9468",0,0,0,0,0,0,0
"5130",0,0,1,1,0,0,0
"6579",0,0,0,0,0,0,0
"6555",0,0,0,0,0,0,0
"6554",1,1,0,0,0,1,0
"55349",0,0,0,0,0,0,0
"1120",1,1,1,1,1,1,1
"1119",1,1,0,1,1,1,1
"60482",0,0,0,0,0,0,0
"6582",1,1,1,0,0,0,1
"6584",0,1,1,1,0,0,1
"6820",1,0,1,1,1,0,0
"10948",1,1,0,1,0,0,1
"19",0,0,0,0,0,0,0
"1118",0,0,1,0,0,0,0
"27159",0,0,1,0,1,1,0
"54682",1,0,1,0,0,0,0
"9058",0,0,0,0,0,0,0
"6576",1,1,1,1,1,1,1
"1159",0,0,1,0,0,0,0
"548596",0,0,1,0,0,0,0
"1160",0,0,0,0,0,0,0
"1158",0,0,0,0,0,0,0
"1152",1,0,0,1,1,1,1
"5172",0,0,0,0,0,0,0
"65010",1,1,1,1,0,0,0
"54675",0,0,0,1,1,0,1
"10559",1,1,1,1,1,1,1
"55907",1,0,1,0,1,0,0
"8034",1,1,1,1,0,0,0
"8824",1,1,1,1,0,0,0
"51805",1,1,1,0,1,0,0
"51004",0,1,1,0,1,0,0
"10229",0,0,1,1,1,0,1
"2650",0,1,0,0,1,1,1
"9245",0,1,0,1,1,0,0
"51301",0,0,0,0,0,0,0
"192134",1,0,0,0,0,0,1
"386757",0,1,0,1,0,1,1
"6535",0,0,0,1,0,1,1
"1384",0,1,0,0,1,0,1
"6583",0,0,0,0,0,0,0
"1431",1,1,1,1,1,1,1
"54677",1,1,0,1,0,0,0
"8140",1,1,1,1,1,1,1
"23428",0,0,0,1,0,0,1
"1036",0,0,0,0,0,0,0
"23657",0,0,0,0,0,0,0
"57379",0,0,0,0,0,0,0
"978",0,0,0,0,0,0,0
"7371",1,0,1,1,1,0,0
"83549",0,0,1,1,1,1,1
"51727",0,1,0,0,1,0,1
"129607",1,0,0,1,0,0,0
"160851",0,0,0,1,0,1,1
"8526",1,1,1,0,0,1,0
"1606",1,0,1,1,1,1,1
"8527",1,1,1,1,1,1,0
"1607",0,0,0,0,0,0,0
"1608",0,0,0,0,0,0,0
"1609",1,1,0,0,1,0,1
"8525",1,1,1,1,1,1,1
"9162",0,0,0,0,0,0,0
"1610",1,1,1,1,1,0,0
"51022",1,1,1,1,1,1,1
"2745",1,1,1,1,1,1,1
"8528",0,1,0,0,0,0,0
"10455",1,0,1,0,1,0,0
"1632",1,1,1,1,1,0,1
"1633",1,1,1,1,1,1,1
"1638",0,0,0,0,0,0,0
"6319",0,0,1,0,1,0,1
"9415",0,0,1,1,1,0,0
"3992",1,0,1,0,1,0,0
"8694",0,1,0,1,0,0,1
"84649",0,1,0,1,0,1,1
"1716",1,1,1,1,1,1,1
"6513",1,0,0,1,1,0,0
"6517",1,0,0,1,0,1,0
"6515",1,1,1,1,1,1,1
"1718",1,1,1,1,1,0,0
"1581",0,0,0,0,0,0,0
"1717",0,1,1,1,1,0,0
"8560",1,1,1,1,1,1,1
"123099",0,0,0,0,1,1,0
"11309",0,0,0,1,1,1,0
"6783",0,0,0,0,0,0,0
"1723",1,0,1,1,1,0,0
"1809",1,0,0,1,1,1,0
"1808",1,1,1,1,1,1,1
"1807",0,0,0,0,0,0,0
"23539",0,0,0,0,1,1,1
"2224",1,1,1,1,1,1,1
"29958",0,0,0,0,0,0,0
"60386",1,1,0,1,1,1,1
"84920",0,0,1,0,1,1,1
"79087",1,0,0,1,1,0,1
"26002",0,0,0,0,0,0,0
"1621",1,0,0,0,0,1,0
"7299",0,0,0,0,0,0,0
"6530",0,0,0,0,0,1,0
"6581",0,0,0,0,0,0,0
"669",1,0,1,1,1,0,0
"5224",0,1,0,1,0,1,1
"5223",1,1,1,1,1,1,1
"4597",0,1,0,1,0,0,0
"51071",1,1,1,1,1,1,1
"1806",1,1,0,0,0,0,0
"7083",1,1,1,0,1,0,0
"7084",1,0,1,1,1,0,0
"1854",1,1,1,1,1,1,1
"3704",1,1,1,1,1,1,1
"10682",1,1,1,1,1,0,1
"1892",1,1,1,1,1,1,1
"549",1,1,1,1,1,0,0
"1962",0,0,0,0,0,0,0
"1891",1,1,1,1,1,1,1
"11001",0,0,0,0,0,0,0
"28231",0,1,0,1,0,1,1
"53919",0,0,0,0,0,0,0
"10257",0,0,1,0,0,0,1
"28232",0,0,0,1,0,1,1
"2109",1,1,1,1,1,1,1
"2108",0,0,1,1,1,1,1
"2110",1,0,1,0,1,0,0
"55500",1,0,1,0,1,1,1
"55224",1,1,1,0,0,1,1
"8790",0,0,0,0,0,0,0
"51086",0,0,0,0,0,0,0
"2181",0,0,0,1,1,1,0
"2180",0,1,0,1,0,1,1
"2182",1,0,1,1,1,0,0
"81616",1,1,0,1,0,0,1
"51703",1,1,1,1,1,1,0
"23305",1,0,1,0,1,1,0
"116285",0,0,0,0,0,0,0
"5167",0,0,0,0,0,0,0
"5169",0,0,0,0,0,0,0
"6785",0,0,0,0,0,0,0
"60481",1,1,1,1,1,1,1
"54898",0,0,0,0,0,0,0
"79071",0,0,0,0,0,0,0
"1579",0,0,0,0,0,0,0
"2194",0,0,0,1,1,0,1
"10999",0,1,1,0,0,0,1
"376497",0,1,1,1,1,0,0
"230",1,1,1,1,1,1,1
"226",1,1,1,1,1,1,1
"229",0,0,0,0,0,0,0
"5208",0,0,0,0,0,0,0
"5207",0,0,1,0,1,0,0
"2203",1,0,0,1,1,0,1
"5210",1,1,1,1,1,0,0
"5209",1,1,1,1,1,1,1
"8789",0,1,0,1,1,0,1
"2235",1,0,1,1,1,0,0
"10840",0,0,0,0,1,1,1
"79901",0,0,1,1,0,0,0
"197258",1,1,1,1,1,1,1
"125061",0,1,0,1,1,0,1
"1719",1,0,1,0,1,0,1
"2356",1,1,1,1,1,1,1
"155184",NA,NA,NA,NA,NA,NA,NA
"29988",0,0,0,1,1,1,0
"66035",1,1,1,1,0,0,0
"6518",0,1,1,1,0,0,0
"6514",0,0,0,0,0,0,0
"160428",0,0,0,0,0,0,0
"25902",1,0,1,1,1,0,0
"4522",1,1,1,1,1,1,1
"2519",0,1,1,1,1,0,1
"2517",1,1,1,1,1,0,1
"2184",0,0,1,0,1,0,1
"2271",0,1,1,0,0,0,0
"2523",0,1,1,0,0,1,0
"2525",1,1,0,1,1,0,0
"10690",0,0,0,0,0,0,0
"2683",0,0,0,1,0,1,1
"9334",0,1,0,0,1,1,1
"8704",1,1,0,1,1,0,0
"8703",1,1,0,0,0,0,1
"2820",1,0,0,0,0,1,1
"5832",1,1,1,1,1,1,1
"9563",1,0,0,1,1,0,1
"2539",1,1,1,0,0,0,0
"2542",0,1,1,0,0,0,0
"2593",0,0,1,1,1,0,1
"9514",1,0,0,1,0,0,1
"5476",1,1,1,1,1,1,1
"2720",1,1,1,1,1,1,1
"2588",1,1,0,1,1,0,0
"2581",0,1,1,1,0,0,0
"2583",0,1,0,1,0,1,0
"55454",1,1,0,0,1,1,1
"55790",0,0,1,1,1,1,0
"79586",0,1,0,0,0,0,0
"337876",0,0,0,0,0,0,0
"22856",1,1,1,1,1,1,1
"63917",1,1,1,1,1,1,1
"11226",1,0,1,1,0,0,0
"55568",1,1,0,1,1,1,1
"2589",1,1,1,1,1,1,1
"51809",1,0,1,1,1,1,1
"8693",1,0,1,0,0,1,1
"2591",0,0,0,0,0,0,0
"117248",0,0,0,0,0,0,0
"26290",0,0,0,1,1,0,0
"114805",0,0,0,0,0,0,0
"79695",0,1,1,0,1,0,1
"50614",0,0,1,1,1,1,0
"79623",0,1,0,0,0,0,0
"2590",1,1,1,1,1,1,1
"11227",0,0,0,0,0,0,0
"81031",0,0,0,0,0,0,0
"126792",0,0,1,1,0,0,1
"11285",1,0,1,1,0,0,0
"8972",0,0,0,0,0,0,0
"175",1,0,1,1,0,0,1
"26301",1,1,0,1,1,0,0
"4329",0,0,1,0,0,0,1
"7915",1,0,1,0,0,1,0
"2731",0,1,1,1,0,1,0
"275",1,1,0,1,0,0,0
"2653",1,0,1,0,1,0,0
"2651",1,0,1,1,1,0,0
"55343",1,1,1,1,0,0,0
"8836",1,0,1,0,1,0,0
"79017",1,1,1,1,1,1,1
"8908",1,1,0,1,0,0,0
"2992",1,1,1,1,1,1,1
"2997",1,0,1,1,1,0,0
"2998",0,0,0,0,0,0,0
"2687",1,1,0,1,0,1,0
"6472",1,1,1,1,1,1,1
"6470",0,0,1,0,1,0,0
"2717",1,1,0,1,1,1,1
"2632",1,1,1,1,1,0,0
"2990",1,1,1,1,1,1,1
"8372",0,1,0,1,1,1,1
"26035",1,0,1,0,0,1,0
"54480",1,1,1,1,1,1,1
"2131",1,1,1,0,0,1,0
"2132",1,1,0,1,0,0,1
"27087",1,1,1,1,1,1,0
"26229",1,1,1,1,1,0,1
"135152",0,0,0,0,0,0,0
"4669",1,0,1,1,0,0,0
"64579",0,0,0,0,0,0,0
"9348",0,0,0,0,0,0,0
"8509",1,1,0,1,1,0,0
"3340",0,1,0,0,1,0,1
"2137",1,1,1,0,1,0,0
"2135",1,0,0,1,1,1,0
"2134",0,0,0,1,1,0,1
"144195",1,1,1,1,1,1,1
"154091",0,0,0,0,0,0,0
"11182",1,1,1,0,0,1,0
"56606",0,1,0,0,0,1,1
"6523",0,1,0,1,1,0,0
"178",1,1,1,1,1,1,1
"5837",0,1,0,1,0,0,1
"5834",1,1,1,1,1,1,1
"5836",0,0,0,0,0,0,0
"2729",0,0,0,1,1,1,1
"2730",1,0,1,0,1,1,0
"2746",1,1,1,1,1,1,1
"2747",0,0,0,0,0,1,1
"10841",0,0,0,1,0,1,1
"27165",0,0,0,0,0,0,0
"2744",0,1,0,0,1,1,1
"79751",0,1,1,1,1,0,0
"83733",0,0,0,0,0,0,0
"2639",0,1,0,1,0,0,0
"57084",0,0,0,0,0,0,0
"57030",0,1,0,1,1,1,1
"246213",0,0,0,0,0,0,0
"51179",0,1,0,0,1,1,0
"54363",0,0,0,0,0,0,0
"2628",0,0,0,0,0,0,0
"9380",1,1,1,1,1,1,1
"2712",0,0,0,0,0,0,0
"2713",0,0,0,0,0,1,1
"2710",0,0,0,0,0,1,1
"3029",1,1,1,1,1,1,1
"6536",0,0,0,0,0,0,0
"5226",0,0,0,1,0,1,1
"27232",1,0,1,1,1,0,0
"57678",0,0,1,0,0,0,1
"80055",0,1,0,0,0,1,1
"54965",1,1,0,1,0,0,1
"93183",0,0,1,0,0,0,1
"2936",1,1,1,1,1,1,1
"2876",1,1,1,1,1,1,1
"7001",1,1,1,1,1,1,1
"5052",1,1,1,1,1,1,1
"2879",1,1,1,1,1,1,1
"2877",0,1,0,1,0,1,0
"257202",NA,NA,NA,NA,NA,NA,NA
"2878",0,0,0,0,0,0,0
"2882",1,0,1,1,1,0,0
"10935",0,0,0,0,1,1,1
"2937",1,1,1,1,1,1,1
"2678",0,1,0,1,1,0,0
"2679",0,1,0,1,1,0,1
"2983",0,0,0,0,0,0,0
"4881",0,0,1,1,1,0,0
"3000",1,1,0,0,1,0,0
"2974",1,0,0,1,0,0,1
"4882",1,0,1,0,0,0,0
"2986",0,0,0,0,0,0,0
"2982",0,0,0,0,0,0,0
"2984",0,0,0,0,0,0,0
"2977",0,0,0,0,0,0,0
"9615",0,0,0,0,0,0,0
"763",0,0,1,1,0,1,1
"11238",0,0,0,1,0,1,1
"23556",1,1,1,1,1,0,1
"55650",1,1,1,0,0,0,0
"53905",0,0,0,0,0,0,0
"50506",0,0,1,0,0,0,0
"343",1,0,0,0,0,1,1
"5281",1,0,1,0,1,0,0
"84720",1,0,1,1,0,0,1
"54872",1,1,0,1,1,0,0
"80235",1,1,0,1,1,0,0
"128869",0,1,1,1,1,0,1
"10026",1,1,1,1,0,0,1
"51604",1,1,0,0,1,1,0
"94005",1,1,1,1,1,0,1
"8733",1,1,1,1,1,1,1
"3028",1,1,1,1,1,1,1
"3033",1,1,1,1,1,0,0
"3037",0,0,0,0,0,0,0
"3038",1,0,1,1,1,0,0
"3036",1,0,0,0,0,0,1
"27235",0,1,0,0,0,0,1
"6522",0,0,0,1,0,1,1
"83697",0,0,0,0,0,0,0
"6521",0,0,0,0,0,0,0
"6508",0,0,0,0,0,1,1
"2645",1,0,0,0,1,0,1
"3098",1,1,1,1,1,1,1
"3099",1,0,1,1,1,0,0
"80201",0,0,0,0,0,0,0
"3101",1,1,0,0,0,1,0
"3081",0,0,0,0,0,0,0
"11112",1,0,1,0,1,0,1
"3067",0,1,0,0,0,1,1
"496",0,0,0,0,0,0,0
"495",0,0,1,0,0,1,0
"8942",0,0,0,0,0,0,0
"3157",0,1,0,0,1,1,1
"3158",0,0,0,0,0,0,0
"54511",0,0,0,0,0,0,0
"3155",1,1,1,1,1,1,1
"3162",0,1,1,0,0,1,0
"26062",0,0,0,0,0,0,0
"197257",0,0,0,0,0,0,0
"6448",1,0,1,1,1,0,1
"3290",0,0,0,0,0,0,0
"3291",0,0,0,0,0,0,0
"3292",1,1,0,1,1,0,0
"3294",0,0,0,0,0,0,0
"51478",0,0,0,0,0,1,1
"3283",0,0,0,0,0,0,0
"3284",0,0,0,0,0,0,0
"80270",0,1,1,0,1,0,0
"57026",0,0,1,0,1,0,1
"3419",1,0,1,1,0,0,1
"3421",1,1,1,1,1,1,1
"3420",1,1,1,1,1,1,1
"3417",0,1,1,1,0,0,0
"3418",1,1,1,1,1,0,1
"7173",0,0,0,0,0,0,0
"3425",0,1,0,0,0,1,1
"587",0,1,1,1,0,0,0
"8501",1,0,1,1,1,0,0
"55586",0,1,0,0,1,0,0
"114134",0,0,0,0,0,0,0
"6526",0,1,0,1,1,1,1
"3422",1,1,1,1,1,1,1
"91734",0,0,0,0,0,0,0
"160728",1,1,0,1,1,0,0
"8801",1,1,1,1,1,1,1
"8802",0,0,0,0,0,1,1
"8803",1,1,1,0,1,0,0
"9990",1,0,0,1,1,0,0
"6560",0,1,0,1,1,0,0
"57468",0,0,0,0,0,0,0
"3795",0,0,0,0,1,1,1
"84679",1,0,1,1,1,0,1
"23315",1,0,1,0,0,0,0
"8564",0,0,0,0,0,0,0
"3938",0,0,0,1,0,1,1
"53",0,0,1,1,1,0,1
"3931",1,0,1,1,1,0,0
"387775",NA,NA,NA,NA,NA,NA,NA
"124637",0,1,0,1,0,1,0
"366",1,0,0,0,1,1,1
"11283",0,0,0,0,0,0,0
"4047",0,1,0,0,1,0,0
"1178",0,0,0,0,0,0,0
"5321",0,0,0,0,0,0,0
"29124",0,0,0,0,0,0,0
"51268",0,1,0,1,0,1,0
"4023",0,0,0,1,0,1,0
"1056",0,0,1,0,0,1,1
"3990",0,0,0,1,1,1,1
"80339",0,0,0,0,0,0,0
"11343",0,0,1,1,1,1,0
"50487",1,0,0,1,1,1,1
"9227",0,0,0,0,0,0,0
"6309",0,1,0,1,1,1,0
"4048",1,1,1,1,1,1,1
"4258",1,0,1,1,1,0,1
"4259",1,1,0,1,1,0,1
"4056",1,0,0,0,1,0,1
"2954",1,0,1,0,1,0,0
"2548",0,0,1,1,1,0,1
"56922",1,1,1,1,1,0,0
"64087",0,0,1,1,1,0,1
"23417",0,1,1,1,0,0,1
"4357",1,1,1,1,1,1,1
"4190",1,1,1,1,1,1,1
"4191",1,1,1,1,1,1,1
"4200",0,0,1,0,1,1,0
"4199",0,0,0,0,0,0,0
"10873",0,1,0,1,1,0,0
"3620",0,1,1,1,0,0,0
"1545",0,0,0,0,0,0,0
"1543",1,1,0,0,1,0,0
"1557",0,0,0,0,0,0,0
"1544",1,0,0,1,0,1,1
"27430",1,1,1,1,1,1,1
"4144",1,0,0,1,0,1,0
"4143",0,1,0,0,1,1,1
"4548",1,1,1,1,1,1,1
"4598",0,1,0,1,1,1,1
"8867",1,0,0,1,1,0,0
"3635",0,0,0,0,0,1,1
"3632",0,0,0,0,1,1,1
"3636",1,1,1,1,1,1,1
"27124",1,1,0,1,1,0,1
"3633",1,0,1,1,0,0,0
"56623",1,0,1,1,1,0,1
"3628",1,1,1,1,1,1,1
"3706",1,0,1,1,1,0,0
"3707",1,1,1,1,1,1,1
"80271",1,1,1,0,0,0,0
"51477",1,1,0,1,0,0,0
"8821",1,1,0,1,1,0,0
"3631",1,1,1,1,0,0,1
"2595",1,1,0,1,0,0,0
"84693",1,0,1,0,1,0,0
"4594",1,1,1,1,1,1,0
"80168",0,1,0,0,1,1,0
"116255",0,0,0,0,0,0,0
