"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"RP5-1024G6.7",0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,7,0
"MAGOH",134,34,36,41,14,18,21,10,9,39,3,2,49,147,55,15,108,9,15,12,3,15,31,20,20,17,8,21,94,1258,119
"RP5-1024G6.5",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0
"LRP8",4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,36,1
"RP11-117D22.2",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0
"GLIS1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDC1",18,2,0,0,1,1,0,0,1,0,0,0,2,7,2,1,1,0,0,0,0,0,1,3,1,1,0,4,1,93,7
"YIPF1",30,6,4,4,4,1,2,0,2,7,0,0,3,16,3,0,3,0,2,2,0,3,3,10,3,1,1,1,16,109,13
"DIO1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSPB11",152,40,12,21,13,20,13,5,6,22,4,1,15,44,24,3,39,1,3,7,4,4,27,41,14,11,8,24,46,634,56
"LRRC42",6,7,0,2,0,1,1,2,1,0,0,0,0,5,0,1,5,0,0,0,0,0,8,2,2,2,0,4,0,214,8
"LDLRAD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM59",559,182,88,71,42,37,25,78,34,89,7,3,80,328,114,19,206,8,26,40,29,51,186,222,68,9,10,28,247,1981,300
"TCEANC2",2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,17,1
"CYB5RL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,17,3
"MRPL37",59,27,2,11,2,5,1,3,1,5,1,1,9,23,11,2,3,2,3,3,4,2,16,13,4,6,1,5,17,815,51
"SSBP3",10,18,1,5,0,0,1,5,1,2,1,1,1,5,2,0,6,0,0,1,2,0,15,7,3,1,1,1,6,197,28
"SSBP3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACOT11",5,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,91,0
"TTC4",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"PARS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0
"TTC22",0,0,1,0,0,1,0,0,1,2,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,21,0
"DHCR24",12,4,0,2,1,1,0,1,2,1,0,0,1,4,0,0,0,0,0,0,2,1,4,2,1,0,0,3,3,289,10
"RP11-67L3.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1
"TMEM61",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0
"BSND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PCSK9",0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,68,0
"USP24",10,1,3,0,1,0,0,0,0,3,0,0,7,10,6,4,6,0,0,0,0,3,3,2,0,0,0,2,1,57,18
"RP11-90C4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-504A18.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"PLPP3",6,1,0,0,0,0,0,25,0,0,0,1,2,0,0,0,0,0,0,0,1,0,20,0,0,0,0,0,1,94,188
"PRKAA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7,0
"OMA1",11,0,1,1,1,2,0,1,0,3,0,0,3,10,2,0,5,0,1,0,0,0,0,5,1,0,0,0,7,82,2
"TACSTD2",1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,339,7
"MYSM1",10,2,5,3,0,1,1,3,1,2,1,0,4,9,3,1,12,1,1,1,2,1,4,1,1,1,1,2,2,65,9
"JUN",422,360,331,55,156,100,105,443,91,339,30,24,485,1697,568,198,969,63,71,160,108,67,346,577,57,19,40,63,472,4780,628
"RP4-794H19.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,9,0
"LINC01358",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,1,0
"FGGY",14,3,1,2,2,1,1,1,2,1,0,2,3,8,2,1,5,0,1,1,1,0,2,2,1,0,0,1,9,2323,3
"HOOK1",0,0,0,1,0,1,0,0,0,1,0,0,4,2,1,2,4,0,2,0,0,1,1,0,0,1,0,0,3,152,0
"CYP2J2",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,0
"RP11-776H12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
"RP11-436K8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"NFIA",4,27,0,0,1,0,0,7,2,1,0,0,0,2,0,0,2,0,0,1,9,0,21,0,1,0,0,0,5,292,59
"TM2D1",53,26,9,8,3,5,3,1,4,13,0,2,13,41,13,6,25,2,5,2,4,3,28,10,6,3,2,2,32,331,46
"RP11-430G17.3",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"INADL",2,1,3,0,0,1,1,0,0,2,0,1,2,11,3,1,11,1,1,2,1,0,0,0,0,0,0,0,4,137,1
"L1TD1",1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,12,0,3,0,0,0,0,0,1,203,1
"USP1",41,21,13,8,3,3,5,2,6,15,1,1,21,57,19,11,50,2,3,5,2,2,15,19,2,4,9,12,38,352,37
"DOCK7",16,4,0,3,0,1,1,1,0,1,0,0,5,2,2,0,1,0,0,0,2,2,6,5,1,0,0,0,1,68,1
"RP11-230B22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ATG4C",31,5,0,3,0,0,0,1,0,1,0,0,6,5,1,2,2,0,1,1,0,4,1,12,2,0,0,0,6,47,4
"FOXD3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALG6",11,0,3,2,1,0,1,1,2,3,1,0,4,7,1,1,4,1,0,1,1,1,0,2,2,2,0,0,4,68,7
"ITGB3BP",31,12,7,3,0,1,0,1,0,4,0,0,11,10,7,5,10,0,2,2,0,2,13,10,2,3,4,5,10,271,10
"EFCAB7",0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,3
"PGM1",26,25,2,3,1,2,2,5,0,3,0,0,3,8,4,0,5,0,1,0,0,3,2,3,1,1,0,5,7,90,18
"ROR1",0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"CACHD1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18,3
"RAVER2",1,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,3
"JAK1",108,47,40,30,17,16,18,8,24,66,5,7,72,235,64,19,117,5,12,18,1,18,68,34,38,19,11,10,175,440,225
"AK4",2,1,1,1,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,220,5
"DNAJC6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
"LEPROT",130,73,4,25,5,3,3,37,3,21,0,2,11,37,11,3,16,1,0,1,4,7,76,8,10,0,1,1,28,417,149
"LEPR",2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,9,24
"PDE4B",149,12,38,51,14,22,17,6,12,33,2,3,70,189,60,32,128,6,14,19,1,62,12,69,40,2,5,3,95,21,34
"SGIP1",4,34,0,1,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,0,0,65,0,0,0,0,0,0,1,23
"TCTEX1D1",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7
"WDR78",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"MIER1",36,18,16,5,11,4,7,6,6,25,1,2,20,84,28,8,37,3,5,7,1,3,19,9,8,4,3,4,41,141,38
"SLC35D1",8,9,0,3,4,0,0,1,0,5,2,0,8,21,8,4,7,1,3,1,1,0,2,7,0,2,0,1,14,78,8
"C1orf141",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IL23R",1,0,0,0,0,0,0,0,0,0,0,2,0,21,1,0,1,0,0,2,0,0,1,0,0,0,0,0,12,2,0
"IL12RB2",0,0,0,0,2,0,0,0,0,3,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0
"SERBP1",266,89,54,55,28,25,16,19,23,72,1,4,91,282,98,34,180,8,25,20,13,30,92,119,46,17,20,24,193,2419,273
"GADD45A",23,32,12,10,9,5,0,9,3,9,2,2,3,50,12,2,39,1,0,9,15,22,28,33,9,2,1,4,66,1805,68
"GNG12",6,30,1,1,1,0,0,2,0,0,0,0,0,2,1,1,0,0,0,0,2,0,22,0,0,0,0,0,1,217,29
"GNG12-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"DIRAS3",0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"WLS",24,33,0,1,1,0,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,0,0,0,0,0,1,124,13
"DEPDC1",10,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,4,4,0,0,0,2,0,52,7
"DEPDC1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LRRC7",0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"LRRC40",9,2,0,6,2,1,3,1,1,4,0,0,2,14,5,1,7,0,0,1,0,0,6,2,2,1,1,0,6,53,7
"SRSF11",163,65,48,40,27,24,17,8,18,56,4,6,94,252,59,36,169,4,27,19,21,21,77,41,19,14,14,22,117,1109,180
"ANKRD13C",10,3,1,3,0,1,2,2,1,3,3,1,4,16,5,2,11,0,2,3,0,0,1,3,1,2,2,1,12,43,7
"HHLA3",5,5,1,3,0,0,1,1,0,0,0,0,2,5,2,1,3,0,1,0,0,1,6,5,1,2,0,0,4,42,4
"CTH",1,1,2,1,0,0,0,1,0,4,0,0,2,8,5,0,14,1,0,2,0,0,2,1,1,0,1,0,2,22,3
"RP11-42O15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"PTGER3",1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
"ZRANB2",28,16,5,6,1,5,5,2,1,4,1,1,15,25,8,3,16,0,4,2,4,8,17,17,5,3,0,2,9,216,33
"NEGR1",1,16,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,5
"LRRIQ3",2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,8,2
"FPGT",7,1,0,1,0,1,0,1,0,1,0,1,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,1,2,31,4
"FPGT-TNNI3K",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-17E13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CRYZ",17,9,7,2,1,3,2,2,2,1,0,1,5,14,7,1,9,0,0,1,0,3,5,7,2,2,1,2,14,182,8
"TYW3",22,15,3,4,2,3,4,5,1,13,0,0,7,31,7,3,23,1,1,2,0,7,11,16,5,4,1,3,24,236,25
"SLC44A5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ACADM",51,15,1,7,2,1,1,2,1,7,1,2,11,27,1,3,14,1,1,3,0,5,10,16,1,8,0,2,20,98,24
"RABGGTB",55,8,9,23,6,7,2,8,4,14,0,1,15,48,15,2,31,2,6,2,4,13,25,16,11,2,3,6,32,570,43
"ST6GALNAC3",0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"ST6GALNAC5",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIGK",25,9,1,4,2,1,1,11,2,2,0,1,2,13,5,2,12,1,1,1,0,1,10,18,0,0,1,2,11,78,13
"AK5",0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"ZZZ3",6,3,2,3,1,1,1,1,1,5,0,0,4,12,7,1,11,0,0,3,0,2,1,5,0,2,0,3,14,75,8
"USP33",13,5,5,1,1,0,3,0,1,5,0,0,6,21,5,1,14,2,1,4,0,1,5,3,1,1,1,2,12,109,12
"FAM73A",3,3,0,2,2,0,1,0,2,2,0,0,3,7,2,1,2,1,1,0,1,1,7,1,3,0,1,0,10,75,7
"NEXN-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"NEXN",1,36,0,1,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,1,4
"FUBP1",26,9,9,8,5,4,2,4,3,19,1,1,16,40,14,11,29,1,5,4,2,3,12,8,6,2,1,5,44,209,24
"DNAJB4",8,8,2,0,0,0,2,11,1,3,1,1,0,3,1,0,1,0,0,0,0,2,24,4,0,0,0,0,2,49,55
"GIPC2",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,132,9
"RP11-386I14.4",20,3,4,12,3,1,0,0,3,10,0,0,7,13,8,3,11,2,0,1,0,6,2,8,8,1,2,0,10,89,3
"PTGFR",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IFI44L",59,16,3,13,9,1,0,5,11,2,1,0,29,90,8,5,27,0,2,3,1,36,19,6,17,0,0,2,23,45,36
"IFI44",87,24,2,7,6,3,2,3,7,4,2,0,6,61,5,2,17,1,4,3,0,5,13,10,8,0,0,4,37,41,48
"ADGRL4",0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,247
"RP5-887A10.1",2,0,0,0,0,0,0,0,0,0,0,0,113,0,0,3,2,0,0,0,0,0,0,76,0,0,0,0,0,3,2
"ADGRL2",0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,42
"RP11-475O6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TTLL7",1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,7,3
"RP11-486G15.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRKACB",35,7,11,2,3,7,4,0,0,13,0,0,4,33,12,2,10,0,2,4,0,2,6,2,4,2,2,4,18,113,7
"SAMD13",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,48,0
"DNASE2B",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RPF1",35,13,12,10,5,4,2,1,0,13,0,3,7,54,13,3,37,2,4,7,1,10,13,10,6,5,4,4,31,376,32
"GNG5",391,74,20,94,10,11,12,15,12,24,4,5,39,93,32,14,47,2,10,7,14,45,102,85,70,16,12,15,72,2078,266
"CTBS",70,15,2,12,5,4,1,1,3,3,1,1,8,27,14,2,15,1,2,1,2,4,14,33,11,3,1,0,25,79,18
"LINC01555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SSX2IP",2,4,1,0,0,1,0,1,0,1,0,0,0,2,3,0,3,0,1,0,2,0,0,2,1,0,0,1,0,83,1
"LPAR3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"MCOLN2",18,0,10,3,0,6,0,0,1,4,1,0,12,13,10,3,4,0,5,1,0,7,1,0,1,5,1,1,5,4,0
"WDR63",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MCOLN3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"SYDE2",0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,22,0
"C1orf52",22,18,12,10,1,5,4,1,4,4,0,2,21,35,14,6,17,0,2,0,2,3,14,13,6,1,2,6,19,238,34
"BCL10",24,9,3,7,4,4,3,2,2,8,3,1,7,26,4,0,13,0,1,2,3,2,7,1,3,2,3,2,19,357,30
"RP11-131L23.1",2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,13,0
"DDAH1",1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,12,1,1,0,0,0,0,222,10
"RP4-621F18.2",0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"CYR61",2,107,0,0,1,0,0,46,0,1,1,0,0,3,0,1,0,0,1,0,0,0,145,1,0,0,0,0,2,610,221
"ZNHIT6",1,8,3,1,0,3,0,0,0,6,0,0,7,8,1,2,9,0,0,0,4,2,4,4,0,0,1,0,13,98,10
"COL24A1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0
"ODF2L",22,23,19,5,16,11,8,7,15,45,2,2,19,194,38,5,74,5,7,19,0,6,31,8,1,0,5,4,82,265,67
"CLCA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"CLCA1",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,60,0,0,1,0,0,0,0,1,292,0
"CLCA4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,4,1
"RP4-651E10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP4-612B15.3",1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,11,1
"SH3GLB1",122,41,18,20,7,15,8,4,8,18,2,1,21,75,28,4,43,1,23,11,6,4,53,36,18,8,4,10,76,737,142
"SEP15",259,50,39,60,23,15,14,16,25,45,7,4,63,210,67,26,144,8,25,19,9,33,74,82,42,14,13,15,134,1025,147
"HS2ST1",9,8,2,1,0,3,0,2,4,4,0,1,2,6,4,1,5,0,2,0,0,1,11,9,1,3,0,0,4,132,16
"LINC01140",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LMO4",89,35,4,18,8,2,0,14,4,10,1,2,15,38,13,6,9,0,3,2,3,2,35,27,6,1,0,3,6,117,47
"PKN2",12,14,5,4,2,1,3,1,4,5,1,0,8,15,6,4,7,1,1,0,3,1,10,5,3,0,0,2,12,194,30
"GTF2B",112,16,22,41,12,7,7,9,8,26,2,0,32,85,29,12,59,4,5,7,5,18,31,19,32,18,3,4,78,342,35
"CCBL2",17,11,2,8,2,2,2,1,3,4,1,1,2,19,6,1,15,0,1,1,1,2,8,2,2,1,0,3,14,108,14
"RBMXL1",10,5,2,3,2,2,0,1,2,3,1,0,2,20,2,2,10,0,1,3,0,2,11,3,3,1,2,2,11,107,12
"GBP3",24,26,2,4,0,0,1,3,1,2,0,1,3,6,4,0,3,1,0,0,0,0,22,3,4,0,0,4,3,114,24
"GBP1",196,85,14,36,5,7,3,6,0,9,2,0,13,53,11,3,5,2,0,1,0,0,104,10,42,0,1,8,41,72,59
"GBP2",106,16,21,31,17,22,11,15,4,21,9,0,20,111,26,5,45,4,8,4,0,0,44,11,35,1,6,18,194,70,68
"GBP4",66,17,6,15,2,9,5,4,2,2,2,0,24,47,10,7,13,0,2,0,0,1,22,8,20,1,1,3,55,9,100
"GBP5",51,7,12,13,4,13,4,0,3,7,5,0,14,68,16,1,18,2,2,0,0,0,0,11,21,0,2,6,94,4,3
"LRRC8B",3,0,3,2,2,0,1,0,1,1,0,1,3,5,4,0,1,0,0,0,1,0,2,1,1,0,1,0,8,48,4
"FLJ27354",6,0,2,1,1,0,0,0,0,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,6
"LRRC8C",18,3,8,10,3,2,2,0,5,5,0,0,2,18,5,0,8,0,3,0,0,0,4,4,7,0,2,1,19,4,36
"RP5-943J3.2",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,6,0
"LRRC8D",7,2,0,0,1,0,0,1,6,0,0,0,3,8,1,1,6,0,0,2,0,0,2,1,1,0,0,1,6,52,3
"ZNF326",18,14,6,11,8,3,3,0,6,3,1,1,13,33,8,7,15,2,2,6,0,7,20,6,6,4,2,3,19,442,38
"RP4-665J23.1",1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,19,1
"ZNF644",33,16,11,9,4,4,5,2,5,9,1,0,22,49,17,8,28,1,4,3,0,4,14,5,5,4,1,6,22,174,31
"HFM1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"CDC7",3,2,0,0,0,0,0,2,0,0,0,0,2,2,1,0,1,0,0,1,0,0,4,0,1,1,2,2,0,30,3
"TGFBR3",0,2,4,0,0,1,0,2,2,2,0,0,0,14,4,0,11,1,6,1,0,0,2,0,1,0,0,0,0,13,17
"BRDT",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPHX4",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,81,14
"SETSIP",1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"BTBD8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
"KIAA1107",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"GLMN",4,1,2,2,4,2,0,0,0,5,0,1,2,21,5,2,11,2,1,2,0,1,3,2,1,0,2,2,8,59,6
"RPAP2",7,3,5,2,2,1,0,3,2,6,1,0,8,22,4,1,9,0,2,3,0,1,5,2,2,0,3,3,14,80,13
"GFI1",2,0,1,0,4,1,0,0,0,6,0,0,0,16,2,0,1,0,4,2,0,0,0,2,0,0,0,0,8,7,0
"EVI5",23,9,1,5,0,0,0,3,0,0,1,0,3,1,1,1,1,0,0,0,1,4,10,7,3,0,2,0,1,107,18
"RPL5",1076,570,462,542,180,176,187,156,181,531,51,53,1198,3041,738,508,2654,107,181,169,97,238,570,681,256,155,85,90,1208,19594,1239
"FAM69A",2,4,0,1,0,0,0,1,1,1,0,0,0,3,1,1,0,0,0,0,0,0,2,5,0,0,0,0,4,22,0
"MTF2",29,16,18,6,10,7,8,4,6,18,2,2,30,61,24,12,32,2,11,6,1,5,14,7,10,12,9,11,43,310,39
"TMED5",122,12,11,20,4,5,3,1,6,13,2,1,13,57,7,6,24,2,4,3,2,5,7,38,22,4,3,6,22,259,28
"CCDC18",9,4,1,4,2,0,0,0,1,1,0,0,6,2,3,2,7,0,1,0,0,1,2,1,2,3,1,3,6,36,4
"DR1",38,15,18,10,8,12,6,4,7,14,2,4,19,67,25,2,26,2,3,10,1,5,15,10,6,4,3,5,40,271,44
"FNBP1L",1,5,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,2,2,2,0,0,0,0,0,0,213,12
"BCAR3",0,0,0,0,0,1,0,0,0,0,0,2,3,1,0,1,1,0,0,0,0,3,3,8,1,2,0,0,0,32,13
"RP5-1033H22.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,30,1
"RP4-561L24.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"DNTTIP2",85,19,22,34,6,12,16,3,11,38,2,4,35,117,29,20,82,9,15,9,2,4,21,14,30,6,1,14,58,352,41
"GCLM",23,22,8,4,4,5,4,3,0,8,0,0,8,15,9,1,11,1,3,4,1,0,8,4,1,1,0,1,8,226,32
