"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","Double-Negative Tcells","Enteric glia cells","Fibroblasts","gdTcells","Lymphatic ECs","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Plasma cells","Proliferative Bcells","Regulatory CD4 Tcells","Vascular ECs","VSMCs"
"RNF19A",0,25,1,17,4,41,9,6,11,95,36,3,11,37,1,0,5,27,0,6,4,6,67,5
"KB-1615E4.2",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANKRD46",0,1,0,0,1,25,0,1,1,3,2,0,4,4,0,1,0,7,0,1,0,1,33,2
"SNX31",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PABPC1",53,151,78,54,67,914,640,94,679,1746,541,43,360,996,70,87,170,820,20,27,91,98,693,70
"YWHAZ",13,60,19,13,45,364,158,30,307,479,176,18,179,185,21,23,37,444,9,8,19,46,233,20
"KB-1460A1.5",0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF706",8,14,2,8,42,201,40,24,60,86,35,16,21,41,4,2,11,154,2,7,11,20,205,11
"KB-1410C5.5",0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
"KB-1410C5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GRHL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"NCALD",0,2,0,0,4,26,11,0,0,6,5,1,0,0,0,2,5,2,0,0,0,0,16,1
"RRM2B",0,1,2,0,5,24,7,4,14,3,2,0,13,1,0,1,0,9,2,0,6,2,15,1
"UBR5-AS1",1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,2,0
"UBR5",0,3,1,2,4,47,8,1,17,34,8,4,3,10,1,1,4,23,0,1,2,5,32,4
"KB-431C1.5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KB-1980E6.3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"KLF10",3,3,3,1,14,320,9,45,14,41,14,8,8,4,2,4,0,55,5,9,0,1,353,45
"KB-1732A1.1",0,0,0,0,1,43,0,3,0,0,0,1,0,0,0,2,0,6,1,0,0,0,46,3
"AZIN1",5,5,3,1,24,96,15,5,26,39,17,4,13,15,2,5,6,40,1,1,9,5,60,5
"KB-1254G8.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZIN1-AS1",0,0,0,0,1,6,0,1,1,1,0,0,0,1,0,0,0,4,0,0,1,1,2,0
"KB-1507C5.4",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ATP6V1C1",3,1,2,0,8,37,5,1,9,13,2,1,7,8,0,1,1,16,1,1,0,4,45,2
"BAALC-AS2",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"BAALC",0,0,0,1,7,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,101,3
"BAALC-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"FZD6",0,0,0,0,1,3,0,12,0,0,0,0,0,1,0,0,0,5,0,0,0,0,51,1
"CTHRC1",0,0,0,0,0,86,0,25,0,0,0,0,0,1,0,0,0,0,0,2,0,0,59,0
"SLC25A32",2,4,1,2,7,26,8,3,13,22,6,0,8,8,2,3,3,15,0,3,0,1,51,1
"DCAF13",0,5,1,1,11,50,15,14,23,29,12,0,12,7,2,2,6,42,0,2,3,3,61,4
"RIMS2",0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DPYS",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DCSTAMP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LRP12",0,0,0,0,3,8,0,2,0,15,1,0,0,0,0,0,0,3,0,0,0,2,8,0
"ZFPM2",0,0,0,0,0,29,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
"RP11-574O7.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-152P17.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-395G23.3",0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
"OXR1",0,1,0,0,12,72,3,7,13,19,3,4,5,4,0,0,0,39,2,3,0,0,51,2
"ANGPT1",0,0,0,0,0,20,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,14,9
"RSPO2",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EIF3E",14,40,20,20,45,937,138,129,356,681,188,28,176,470,29,10,52,440,16,15,31,55,485,53
"EMC2",0,1,1,1,17,100,3,7,2,2,0,6,2,2,1,0,1,28,3,1,1,2,62,4
"TMEM74",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"NUDCD1",1,0,0,0,2,17,1,1,4,2,2,1,3,1,0,0,0,15,1,0,1,0,37,1
"ENY2",16,15,5,7,37,336,69,47,91,157,55,27,49,46,6,11,22,201,5,6,14,12,424,21
"PKHD1L1",0,0,0,0,0,1,0,9,4,0,0,1,1,0,0,0,0,1,0,3,1,0,1,0
"EBAG9",0,1,2,2,10,68,12,5,13,21,10,1,7,11,1,2,3,49,0,0,3,4,82,5
"SYBU",0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,6,0,0,3,0,23,0
"RP11-422N16.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"KCNV1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"CSMD3",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRPS1",2,4,0,1,2,37,1,3,1,7,5,3,2,2,0,0,1,1,0,0,0,2,11,0
"EIF3H",11,31,18,12,21,474,86,45,209,330,103,24,102,212,17,11,26,291,8,12,25,36,270,38
"UTP23",2,2,0,0,4,46,4,4,8,13,6,1,9,8,0,0,1,27,0,0,0,4,28,5
"RAD21",1,4,2,2,18,135,34,13,36,52,27,12,23,33,0,3,9,131,0,3,9,10,119,7
"RAD21-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AARD",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MED30",1,9,2,0,10,121,26,7,75,92,20,5,71,42,2,6,10,70,1,4,11,7,66,8
"EXT1",0,0,0,0,2,37,1,1,3,4,1,3,0,1,0,0,0,17,3,0,1,1,36,2
"SAMD12",0,0,0,0,1,0,1,0,3,2,2,0,0,2,0,0,0,7,0,0,1,0,15,0
"AC023590.1",0,2,0,0,0,1,1,0,7,11,0,0,0,5,0,0,0,1,0,2,10,1,5,0
"TNFRSF11B",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"COLEC10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"MAL2",0,0,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,110,0,0,0,1,0,0
"NOV",0,0,0,0,3,40,0,0,1,1,0,0,0,0,0,0,0,23,0,0,0,0,147,1
"ENPP2",21,0,0,0,11,27,2,6,1,3,3,2,2,6,1,0,0,5,1,0,0,0,1216,0
"TAF2",1,2,0,0,2,25,5,2,6,7,4,0,3,1,0,0,0,10,0,2,0,1,21,0
"DSCC1",0,0,0,0,1,11,0,2,0,0,0,0,1,0,0,0,0,4,0,0,1,0,4,0
"KB-1471A8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DEPTOR",1,0,0,0,1,10,0,6,1,0,0,0,0,1,0,0,0,13,0,1,0,0,9,0
"RP11-760H22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"COL14A1",1,0,0,0,26,600,1,0,0,0,0,10,1,0,0,0,0,1,6,2,0,0,19,11
"MRPL13",5,3,2,1,12,114,7,5,17,12,10,6,9,14,0,0,7,134,3,2,5,5,60,7
"MTBP",0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,2,0
"SNTB1",0,1,0,0,1,18,2,0,2,8,4,0,0,1,0,0,2,6,0,0,0,0,1,2
"RP11-713M15.1",0,0,0,0,0,1,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
"RP11-713M15.2",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HAS2",0,0,0,0,3,75,0,0,1,1,0,2,0,0,0,0,0,4,1,0,0,0,10,2
"HAS2-AS1",0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-44N11.2",0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RP11-44N11.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ZHX2",3,1,0,0,1,19,2,1,13,21,6,0,6,8,1,1,1,4,0,0,0,2,13,0
"RP11-557C18.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DERL1",1,7,4,2,8,118,37,2,45,66,35,2,23,23,2,6,9,45,1,4,1,6,77,3
"TBC1D31",0,0,0,0,0,3,2,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"FAM83A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FAM83A-AS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C8orf76",1,0,0,0,3,30,5,1,2,11,9,1,3,7,0,0,2,23,0,1,1,2,18,1
"ZHX1-C8orf76",0,0,0,0,0,5,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,4,0
"ZHX1",0,1,1,0,6,61,6,3,6,12,3,0,1,9,0,0,2,18,0,0,0,1,33,2
"ATAD2",0,1,0,0,1,9,3,1,4,9,6,0,4,8,0,0,0,15,0,1,0,1,4,0
"WDYHV1",1,0,0,0,1,20,3,4,1,2,2,0,1,1,0,0,1,8,1,1,0,0,12,1
"FBXO32",0,1,0,0,3,37,2,1,4,7,4,0,1,3,2,1,1,84,1,7,0,1,12,6
"ANXA13",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,53,0,0,0,0,0,0
"FAM91A1",1,2,2,0,2,18,7,1,11,11,6,0,8,5,0,0,1,20,0,1,2,2,44,2
"FER1L6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"RP11-37N22.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMEM65",1,0,3,0,3,16,2,5,1,7,3,3,1,1,0,0,6,15,0,1,0,1,10,0
"TRMT12",0,2,0,0,2,6,5,1,7,13,5,1,11,1,0,2,3,8,0,1,1,2,13,3
"RNF139-AS1",0,0,1,0,0,3,5,1,4,6,1,0,1,2,0,0,0,3,0,2,0,1,1,1
"RNF139",1,12,6,1,4,69,29,7,48,123,62,5,32,63,2,13,12,26,0,2,0,10,62,7
"TATDN1",0,3,0,0,9,89,7,6,23,31,7,6,4,9,0,0,3,63,2,3,1,2,53,1
"RP11-158K1.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"NDUFB9",3,17,4,3,39,362,58,54,55,119,41,21,40,42,3,5,8,437,3,3,10,14,258,47
"MTSS1",0,0,0,0,0,6,0,0,9,1,2,1,16,0,0,1,1,17,0,0,0,0,1,0
"RP11-532M24.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ZNF572",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SQLE",1,1,0,0,2,15,9,1,9,3,8,0,7,6,0,0,0,59,0,0,2,1,8,0
"KIAA0196",1,0,0,0,0,27,2,4,4,6,2,1,4,2,0,0,1,26,0,0,0,3,21,3
"NSMCE2",1,3,1,1,9,42,3,4,11,17,8,2,4,11,0,1,2,18,0,1,0,2,35,3
"RP11-550A5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TRIB1",5,2,6,0,6,107,2,19,8,10,1,0,2,3,0,0,3,193,1,9,2,5,623,12
"LINC00861",0,0,0,5,0,0,1,0,0,16,2,0,0,17,1,2,4,0,0,0,0,0,0,0
"FAM84B",0,0,0,0,2,1,1,2,0,5,0,0,0,3,0,0,0,18,0,0,0,0,34,0
"RP11-89K10.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PCAT1",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"PRNCR1",0,0,0,0,0,3,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0
"CCAT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CASC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"POU5F1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CASC11",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MYC",0,4,0,1,7,1037,11,34,43,86,19,17,23,20,4,1,5,58,28,4,3,2,184,43
"PVT1",0,1,0,0,0,10,7,0,12,20,9,3,1,10,0,1,1,4,0,0,2,6,4,0
"GSDMC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"FAM49B",4,21,9,3,4,28,59,7,46,122,42,1,33,33,5,6,12,34,0,1,18,12,24,0
"ASAP1",4,3,4,1,2,70,4,10,6,25,7,2,3,11,0,0,2,5,2,0,4,4,114,2
"EFR3A",1,3,0,4,9,45,14,6,16,30,9,3,6,10,1,2,3,12,0,0,1,2,44,6
"KCNQ3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"LRRC6",0,0,0,0,1,14,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,10,1
"TMEM71",1,8,1,2,18,1,21,0,2,49,18,0,3,24,0,4,6,0,0,0,0,1,0,0
"PHF20L1",2,7,4,1,22,65,24,5,19,73,23,3,15,33,5,5,5,20,1,1,3,11,66,5
"AF230666.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"TG",0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SLA",0,28,0,17,0,6,28,0,4,114,66,0,7,44,1,13,22,1,1,0,0,17,0,1
"WISP1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"NDRG1",1,8,0,1,46,138,8,39,13,47,15,7,5,10,2,1,3,107,3,2,0,3,320,5
"ST3GAL1",5,4,0,1,2,53,30,8,18,61,31,2,33,38,5,3,14,1,0,2,3,1,28,1
"RP11-629O1.2",0,0,0,0,0,4,2,0,0,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0
"ZFAT",0,1,0,0,0,3,1,0,2,2,1,0,1,0,0,1,0,3,0,0,0,0,8,0
"AC083843.1",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"AC083843.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"KHDRBS3",0,0,0,0,22,53,0,1,0,2,0,3,0,0,0,0,0,7,1,0,0,0,12,2
"FAM135B",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL22A1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAPPC9",1,1,0,0,0,9,3,2,1,4,4,0,0,1,0,0,0,9,0,1,0,1,7,2
"CTA-204B4.2",0,0,0,0,0,5,1,0,3,5,2,0,0,1,0,0,0,3,1,0,0,0,2,0
"CHRAC1",1,6,2,1,5,56,15,5,25,56,23,0,30,29,2,3,2,23,0,0,5,7,45,7
"AGO2",5,5,6,3,1,49,15,2,25,61,20,2,21,21,1,2,7,48,2,4,5,6,59,5
"PTK2",0,0,0,0,25,42,0,4,11,2,0,1,5,1,1,0,0,23,7,0,2,0,95,22
"DENND3",1,4,4,0,0,6,3,2,21,11,2,1,10,1,0,0,2,6,1,2,3,0,36,0
"RP11-809O17.1",0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,5,0
"SLC45A4",1,0,0,0,1,1,1,0,0,4,1,0,1,1,0,0,0,4,0,0,0,0,9,0
"RP11-10J21.4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPR20",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,8
"PTP4A3",0,2,1,0,0,12,3,2,10,18,11,0,2,8,1,0,2,3,8,0,0,1,119,23
"CTD-3064M3.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0
"TSNARE1",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0
"RP13-467H17.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"ADGRB1",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARC",3,0,0,0,2,38,0,0,0,1,0,0,1,0,0,0,0,7,1,0,0,0,102,3
"JRK",0,1,0,0,0,6,0,0,0,1,1,0,0,1,0,0,0,4,0,0,0,1,8,0
"PSCA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"LY6K",0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"CTD-2292P10.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"THEM6",0,1,0,0,5,21,0,24,2,6,2,0,1,1,0,1,0,23,0,1,0,0,17,0
"LYNX1",0,0,0,0,1,7,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,3
"RP11-273G15.2",0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LY6E",14,17,20,10,63,979,59,68,49,223,94,16,37,41,6,17,26,13,7,4,0,17,750,8
"GPIHBP1",0,0,0,0,0,0,0,12,0,0,1,0,0,1,0,0,1,0,1,0,0,0,47,0
"ZFP41",0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0
"GLI4",1,0,1,1,5,37,2,5,5,9,0,1,1,4,0,0,0,7,0,0,1,0,12,2
"MINCR",0,0,0,0,0,12,0,2,2,2,1,1,0,1,1,0,0,15,0,0,0,0,8,2
"ZNF696",0,1,0,0,0,7,3,1,1,0,0,0,2,0,0,0,1,0,0,0,0,2,1,0
"RP13-582O9.7",0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOP1MT",0,0,2,0,3,29,3,0,11,4,1,0,1,6,0,0,1,15,1,0,0,0,2,2
"RHPN1",0,1,0,0,2,0,1,3,1,8,2,0,1,5,0,0,0,3,0,0,0,3,16,0
"MAFA",0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0
"ZC3H3",1,0,0,0,1,9,2,1,1,4,7,0,0,1,0,0,1,2,0,0,0,0,10,1
"RP11-661A12.5",0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
"RP11-661A12.4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"GSDMD",9,12,2,4,14,163,18,17,25,50,28,5,16,13,2,2,10,77,3,1,1,5,175,6
"MROH6",1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0
"NAPRT",1,2,2,0,5,69,1,4,2,3,0,3,1,2,0,0,0,130,1,0,0,0,64,1
"RP11-661A12.7",0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EEF1D",27,130,51,58,110,2306,428,212,700,1452,521,94,441,755,58,54,159,710,24,56,58,177,912,113
"TIGD5",0,0,0,0,2,3,2,0,1,2,1,0,1,0,0,0,1,5,0,0,0,0,3,0
"PYCRL",0,0,0,0,0,13,2,0,2,2,1,0,4,2,0,0,1,5,0,0,0,0,1,0
"TSTA3",0,2,0,1,3,58,15,22,14,28,13,1,8,16,1,3,4,74,0,1,4,5,37,3
"ZNF623",0,1,0,0,2,10,0,0,1,2,1,0,2,1,0,0,0,3,0,0,0,0,5,0
"ZNF707",0,0,0,0,0,5,2,0,5,4,4,0,6,5,0,0,1,3,0,0,0,0,6,0
"RP11-429J17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0
"MAPK15",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM83H",0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0
"FAM83H-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1
"SCRIB",0,1,0,0,4,15,0,0,0,0,3,0,0,2,0,0,0,28,1,0,0,0,18,1
"PUF60",3,9,0,2,40,161,21,14,45,77,33,8,27,37,1,4,12,77,2,2,10,6,109,13
"NRBP2",0,0,0,0,9,13,0,5,0,3,0,2,0,1,0,0,0,3,0,1,0,1,13,1
"EPPK1",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,1,1,0
"PLEC",1,2,3,0,13,75,5,18,8,11,7,2,2,7,1,0,1,64,5,0,1,3,99,10
"PARP10",1,0,0,2,7,56,11,6,6,19,6,0,6,5,1,0,3,6,0,0,0,3,24,1
"GRINA",12,0,4,0,8,106,7,9,32,8,6,5,12,4,0,0,2,15,0,3,2,3,61,3
"OPLAH",0,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0
"CTD-3065J16.9",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
"EXOSC4",1,2,1,0,5,46,1,3,4,9,2,3,2,2,0,0,0,33,1,1,0,1,30,4
"GPAA1",4,10,1,2,20,182,16,14,19,32,19,5,11,20,2,4,4,60,0,4,1,2,100,6
"CYC1",5,9,7,3,18,186,28,29,39,31,13,7,28,18,3,4,3,528,2,7,8,8,128,23
"SHARPIN",0,2,1,0,13,101,14,16,15,26,15,6,5,8,1,4,6,34,1,1,5,0,70,8
"MAF1",0,8,6,5,25,159,37,33,71,86,47,8,40,38,5,6,7,70,5,7,6,14,159,26
"WDR97",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
"HGH1",2,0,0,0,0,6,11,0,0,4,3,2,1,1,0,2,1,3,0,0,1,1,4,0
"MROH1",0,1,3,0,3,7,19,1,5,8,6,0,3,1,0,0,2,19,0,0,0,1,6,1
"BOP1",0,3,0,0,2,29,8,4,3,7,5,2,5,2,0,1,2,29,0,1,2,1,24,1
"SCX",0,0,0,0,0,1,13,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,3,1
"HSF1",0,5,4,0,14,73,19,6,19,38,12,2,9,12,1,2,5,51,1,1,2,4,113,12
"DGAT1",0,0,0,0,2,17,4,2,5,3,5,1,2,3,1,2,0,43,0,2,0,0,39,3
"SLC52A2",1,2,1,0,2,35,20,1,8,25,13,1,3,5,1,2,5,51,0,2,1,2,31,3
"FBXL6",0,0,0,0,0,3,2,0,0,0,1,2,1,1,0,2,0,12,0,0,1,1,8,0
"ADCK5",1,1,0,0,2,12,1,0,7,2,3,0,2,3,2,0,0,21,0,1,2,1,5,1
"CPSF1",0,0,0,1,2,16,4,0,6,4,1,0,3,2,0,0,0,13,0,0,0,1,12,1
"GS1-393G12.14",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SLC39A4",3,1,0,0,8,27,6,4,4,14,2,2,3,7,0,1,1,90,0,0,1,0,22,3
"VPS28",13,17,13,3,42,391,58,46,55,118,51,12,29,30,5,5,14,199,4,5,9,15,263,24
"TONSL",0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,2,0
"CYHR1",1,1,2,0,11,119,4,11,8,14,8,10,3,7,0,1,1,28,2,3,0,1,53,5
"KIFC2",0,0,1,0,1,5,3,1,1,4,2,0,1,0,0,0,0,10,0,1,0,1,1,1
"FOXH1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"PPP1R16A",0,1,2,0,14,21,2,1,3,4,1,2,0,3,1,1,0,57,0,1,1,0,22,5
"GPT",0,0,0,0,0,5,0,1,1,0,1,0,0,1,0,0,1,39,0,0,0,0,0,0
"MFSD3",1,0,0,0,5,11,1,1,0,4,1,0,0,1,0,0,0,36,0,1,0,0,2,0
"RECQL4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
"LRRC14",0,1,0,1,1,8,3,3,3,2,1,1,3,5,0,0,1,10,0,0,0,0,10,1
"LRRC24",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0
"C8orf82",0,0,1,0,0,45,3,3,4,5,1,3,2,1,0,1,0,39,2,2,0,0,31,2
"ARHGAP39",0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
"AF186192.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF251",0,0,0,0,1,9,1,1,0,0,0,1,0,1,0,0,1,4,0,0,0,0,26,0
"ZNF34",0,0,0,0,1,15,0,1,0,4,0,0,0,1,0,0,0,4,0,0,0,0,11,2
"RPL8",67,378,157,170,244,4353,1342,790,3138,4119,1287,187,1620,2011,157,132,403,4855,47,227,277,355,2931,325
"ZNF517",0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"ZNF7",1,2,1,0,3,24,2,1,8,11,2,0,1,7,0,0,2,11,1,1,1,1,8,0
"COMMD5",4,7,9,1,4,55,28,6,21,28,27,0,19,11,2,6,3,17,0,4,0,5,49,2
"ZNF250",0,0,1,0,1,5,3,1,4,17,5,3,2,2,0,1,3,4,0,2,0,0,6,0
"ZNF16",0,0,0,0,0,3,4,0,1,4,3,0,0,2,1,0,1,6,0,0,1,1,6,0
"C8orf33",3,1,1,1,7,51,2,4,12,14,9,3,12,10,2,0,6,21,3,0,1,1,77,3
