"entrez","ensembl","symbol"
"54187","ENSG00000095380","NANS"
"26503","ENSG00000119899","SLC17A5"
"54","ENSG00000102575","ACP5"
"140838","ENSG00000170191","NANP"
"51205","ENSG00000162836","ACP6"
"36","ENSG00000196177","ACADSB"
"34","ENSG00000117054","ACADM"
"35","ENSG00000122971","ACADS"
"84129","ENSG00000240303","ACAD11"
"28976","ENSG00000177646","ACAD9"
"80724","ENSG00000111271","ACAD10"
"27034","ENSG00000151498","ACAD8"
"3712","ENSG00000128928","IVD"
"134526","ENSG00000172497","ACOT12"
"51","ENSG00000161533","ACOX1"
"95","ENSG00000243989","ACY1"
"50","ENSG00000100412","ACO2"
"48","ENSG00000122729","ACO1"
"8309","ENSG00000168306","ACOX2"
"52","ENSG00000143727","ACP1"
"55","ENSG00000014257","ACPP"
"788","ENSG00000178537","SLC25A20"
"55902","ENSG00000131069","ACSS2"
"65985","ENSG00000081760","AACS"
"438","ENSG00000196433","ASMT"
"1571","ENSG00000130649","CYP2E1"
"100","ENSG00000196839","ADA"
"3177","ENSG00000174669","SLC29A2"
"205","ENSG00000162433","AK4"
"204","ENSG00000004455","AK2"
"26289","ENSG00000154027","AK5"
"50808","ENSG00000147853","AK3"
"262","ENSG00000123505","AMD1"
"113","ENSG00000121281","ADCY7"
"109","ENSG00000138031","ADCY3"
"115","ENSG00000162104","ADCY9"
"112","ENSG00000174233","ADCY6"
"107","ENSG00000164742","ADCY1"
"114","ENSG00000155897","ADCY8"
"55811","ENSG00000143199","ADCY10"
"196883","ENSG00000129467","ADCY4"
"111","ENSG00000173175","ADCY5"
"108","ENSG00000078295","ADCY2"
"2030","ENSG00000112759","SLC29A1"
"9154","ENSG00000156222","SLC28A1"
"64078","ENSG00000197506","SLC28A3"
"9153","ENSG00000137860","SLC28A2"
"55315","ENSG00000198246","SLC29A3"
"11164","ENSG00000165609","NUDT5"
"952","ENSG00000004468","CD38"
"1375","ENSG00000205560","CPT1B"
"1374","ENSG00000110090","CPT1A"
"126129","ENSG00000169169","CPT1C"
"1376","ENSG00000157184","CPT2"
"9061","ENSG00000138801","PAPSS1"
"9060","ENSG00000198682","PAPSS2"
"158","ENSG00000239900","ADSL"
"10331","ENSG00000179913","B3GNT3"
"374907","ENSG00000177191","B3GNT8"
"10678","ENSG00000170340","B3GNT2"
"79369","ENSG00000176383","B3GNT4"
"11041","ENSG00000174684","B3GNT1"
"93010","ENSG00000156966","B3GNT7"
"79814","ENSG00000116771","AGMAT"
"56894","ENSG00000160216","AGPAT3"
"10555","ENSG00000169692","AGPAT2"
"137964","ENSG00000158669","AGPAT6"
"56895","ENSG00000026652","AGPAT4"
"55326","ENSG00000155189","AGPAT5"
"129642","ENSG00000143797","MBOAT2"
"64850","ENSG00000164089","ETNPPL"
"64902","ENSG00000113492","AGXT2"
"189","ENSG00000172482","AGXT"
"3074","ENSG00000049860","HEXB"
"3073","ENSG00000213614","HEXA"
"10606","ENSG00000128050","PAICS"
"8402","ENSG00000108528","SLC25A11"
"1468","ENSG00000183048","SLC25A10"
"64849","ENSG00000158296","SLC13A3"
"1645","ENSG00000187134","AKR1C1"
"1109","ENSG00000198610","AKR1C4"
"6718","ENSG00000122787","AKR1D1"
"6510","ENSG00000105281","SLC1A5"
"6509","ENSG00000115902","SLC1A4"
"56301","ENSG00000130876","SLC7A10"
"6520","ENSG00000168003","SLC3A2"
"211","ENSG00000023330","ALAS1"
"23464","ENSG00000100116","GCAT"
"212","ENSG00000158578","ALAS2"
"59272","ENSG00000130234","ACE2"
"6542","ENSG00000003989","SLC7A2"
"6541","ENSG00000139514","SLC7A1"
"84889","ENSG00000165349","SLC7A3"
"54407","ENSG00000134294","SLC38A2"
"81539","ENSG00000111371","SLC38A1"
"340024","ENSG00000174358","SLC6A19"
"11254","ENSG00000268104","SLC6A14"
"57393","ENSG00000147003","TMEM27"
"55089","ENSG00000139209","SLC38A4"
"2875","ENSG00000167701","GPT"
"84706","ENSG00000166123","GPT2"
"92745","ENSG00000017483","SLC38A5"
"10991","ENSG00000188338","SLC38A3"
"284273","ENSG00000180011","ZADH2"
"10327","ENSG00000117448","AKR1A1"
"8854","ENSG00000128918","ALDH1A2"
"224","ENSG00000072210","ALDH3A2"
"223","ENSG00000143149","ALDH9A1"
"216","ENSG00000165092","ALDH1A1"
"501","ENSG00000164904","ALDH7A1"
"217","ENSG00000111275","ALDH2"
"219","ENSG00000137124","ALDH1B1"
"239","ENSG00000108839","ALOX12"
"247","ENSG00000179593","ALOX15B"
"246","ENSG00000161905","ALOX15"
"231","ENSG00000085662","AKR1B1"
"8574","ENSG00000053371","AKR7A2"
"23600","ENSG00000242110","AMACR"
"115286","ENSG00000144741","SLC25A26"
"271","ENSG00000116337","AMPD2"
"272","ENSG00000133805","AMPD3"
"270","ENSG00000116748","AMPD1"
"290","ENSG00000166825","ANPEP"
"278","ENSG00000187733","AMY1C"
"277","ENSG00000174876","AMY1B"
"279","ENSG00000243480","AMY2A"
"280","ENSG00000240038","AMY2B"
"6519","ENSG00000138079","SLC3A1"
"276","ENSG00000237763","AMY1A"
"11136","ENSG00000021488","SLC7A9"
"10998","ENSG00000083807","SLC27A5"
"113451","ENSG00000142920","AZIN2"
"9057","ENSG00000103064","SLC7A6"
"384","ENSG00000081181","ARG2"
"445","ENSG00000130707","ASS1"
"83884","ENSG00000120329","SLC25A2"
"10166","ENSG00000102743","SLC25A15"
"410","ENSG00000100299","ARSA"
"427","ENSG00000104763","ASAH1"
"9963","ENSG00000170482","SLC23A1"
"9962","ENSG00000089057","SLC23A2"
"80150","ENSG00000162174","ASRGL1"
"440","ENSG00000070669","ASNS"
"790","ENSG00000084774","CAD"
"6505","ENSG00000106688","SLC1A1"
"6512","ENSG00000162383","SLC1A7"
"6511","ENSG00000105143","SLC1A6"
"6507","ENSG00000079215","SLC1A3"
"6506","ENSG00000110436","SLC1A2"
"9296","ENSG00000128524","ATP6V1F"
"51606","ENSG00000047249","ATP6V1H"
"533","ENSG00000117410","ATP6V0B"
"90423","ENSG00000250565","ATP6V1E2"
"528","ENSG00000155097","ATP6V1C1"
"525","ENSG00000116039","ATP6V1B1"
"10312","ENSG00000110719","TCIRG1"
"127124","ENSG00000151418","ATP6V1G3"
"245973","ENSG00000143882","ATP6V1C2"
"50617","ENSG00000105929","ATP6V0A4"
"9114","ENSG00000159720","ATP6V0D1"
"23545","ENSG00000185344","ATP6V0A2"
"8992","ENSG00000113732","ATP6V0E1"
"535","ENSG00000033627","ATP6V0A1"
"527","ENSG00000185883","ATP6V0C"
"526","ENSG00000147416","ATP6V1B2"
"523","ENSG00000114573","ATP6V1A"
"529","ENSG00000131100","ATP6V1E1"
"9550","ENSG00000136888","ATP6V1G1"
"51382","ENSG00000100554","ATP6V1D"
"245972","ENSG00000147614","ATP6V0D2"
"957","ENSG00000187097","ENTPD5"
"956","ENSG00000168032","ENTPD3"
"955","ENSG00000197586","ENTPD6"
"953","ENSG00000138185","ENTPD1"
"954","ENSG00000054179","ENTPD2"
"377841","ENSG00000188833","ENTPD8"
"293","ENSG00000169100","SLC25A6"
"291","ENSG00000151729","SLC25A4"
"292","ENSG00000005022","SLC25A5"
"4126","ENSG00000109323","MANBA"
"8706","ENSG00000169255","B3GALNT1"
"10317","ENSG00000183778","B3GALT5"
"84002","ENSG00000176597","B3GNT5"
"3141","ENSG00000159267","HLCS"
"140679","ENSG00000101438","SLC32A1"
"8424","ENSG00000129151","BBOX1"
"53630","ENSG00000135697","BCO1"
"635","ENSG00000145692","BHMT"
"23743","ENSG00000132840","BHMT2"
"10599","ENSG00000134538","SLCO1B1"
"1244","ENSG00000023839","ABCC2"
"8714","ENSG00000108846","ABCC3"
"28234","ENSG00000111700","SLCO1B3"
"645","ENSG00000090013","BLVRB"
"644","ENSG00000106605","BLVRA"
"9488","ENSG00000069943","PIGB"
"10380","ENSG00000162813","BPNT1"
"686","ENSG00000169814","BTD"
"8884","ENSG00000138074","SLC5A6"
"80704","ENSG00000135917","SLC19A3"
"51733","ENSG00000100024","UPB1"
"7108","ENSG00000149809","TM7SF2"
"50814","ENSG00000147383","NSDHL"
"3295","ENSG00000133835","HSD17B4"
"6307","ENSG00000052802","MSMO1"
"493","ENSG00000058668","ATP2B4"
"492","ENSG00000067842","ATP2B3"
"491","ENSG00000157087","ATP2B2"
"490","ENSG00000070961","ATP2B1"
"847","ENSG00000121691","CAT"
"6543","ENSG00000118160","SLC8A2"
"6547","ENSG00000100678","SLC8A3"
"6546","ENSG00000183023","SLC8A1"
"166785","ENSG00000151611","MMAA"
"2538","ENSG00000131482","G6PC"
"92579","ENSG00000141349","G6PC3"
"1373","ENSG00000021826","CPS1"
"873","ENSG00000159228","CBR1"
"10423","ENSG00000103502","CDIPT"
"8760","ENSG00000101290","CDS2"
"1040","ENSG00000163624","CDS1"
"56994","ENSG00000111666","CHPT1"
"10390","ENSG00000134255","CEPT1"
"64781","ENSG00000100422","CERK"
"10087","ENSG00000113163","COL4A3BP"
"6565","ENSG00000163406","SLC15A2"
"9023","ENSG00000138135","CH25H"
"1103","ENSG00000070748","CHAT"
"162466","ENSG00000173868","PHOSPHO1"
"9468","ENSG00000102230","PCYT1B"
"5130","ENSG00000161217","PCYT1A"
"6579","ENSG00000084453","SLCO1A2"
"6555","ENSG00000125255","SLC10A2"
"6554","ENSG00000100652","SLC10A1"
"55349","ENSG00000016391","CHDH"
"1120","ENSG00000100288","CHKB"
"1119","ENSG00000110721","CHKA"
"60482","ENSG00000115665","SLC5A7"
"6582","ENSG00000112499","SLC22A2"
"6584","ENSG00000197375","SLC22A5"
"6820","ENSG00000088002","SULT2B1"
"10948","ENSG00000131748","STARD3"
"19","ENSG00000165029","ABCA1"
"1118","ENSG00000133063","CHIT1"
"27159","ENSG00000134216","CHIA"
"54682","ENSG00000111261","MANSC1"
"9058","ENSG00000007216","SLC13A2"
"6576","ENSG00000100075","SLC25A1"
"1159","ENSG00000237289","CKMT1B"
"548596","ENSG00000223572","CKMT1A"
"1160","ENSG00000131730","CKMT2"
"1158","ENSG00000104879","CKM"
"1152","ENSG00000166165","CKB"
"5172","ENSG00000091137","SLC26A4"
"65010","ENSG00000225697","SLC26A6"
"54675","ENSG00000088766","CRLS1"
"10559","ENSG00000164414","SLC35A1"
"55907","ENSG00000111726","CMAS"
"8034","ENSG00000122912","SLC25A16"
"8824","ENSG00000172831","CES2"
"51805","ENSG00000132423","COQ3"
"51004","ENSG00000119723","COQ6"
"10229","ENSG00000167186","COQ7"
"2650","ENSG00000187210","GCNT1"
"9245","ENSG00000140297","GCNT3"
"51301","ENSG00000176928","GCNT4"
"192134","ENSG00000198488","B3GNT6"
"386757","ENSG00000214617","SLC6A10P"
"6535","ENSG00000130821","SLC6A8"
"1384","ENSG00000095321","CRAT"
"6583","ENSG00000197208","SLC22A4"
"1431","ENSG00000062485","CS"
"54677","ENSG00000005469","CROT"
"8140","ENSG00000103257","SLC7A5"
"23428","ENSG00000092068","SLC7A8"
"1036","ENSG00000129596","CDO1"
"23657","ENSG00000151012","SLC7A11"
"57379","ENSG00000111732","AICDA"
"978","ENSG00000158825","CDA"
"7371","ENSG00000143179","UCK2"
"83549","ENSG00000130717","UCK1"
"51727","ENSG00000162368","CMPK1"
"129607","ENSG00000134326","CMPK2"
"160851","ENSG00000102780","DGKH"
"8526","ENSG00000153933","DGKE"
"1606","ENSG00000065357","DGKA"
"8527","ENSG00000077044","DGKD"
"1607","ENSG00000136267","DGKB"
"1608","ENSG00000058866","DGKG"
"1609","ENSG00000145214","DGKQ"
"8525","ENSG00000149091","DGKZ"
"9162","ENSG00000157680","DGKI"
"1610","ENSG00000110887","DAO"
"51022","ENSG00000023572","GLRX2"
"2745","ENSG00000173221","GLRX"
"8528","ENSG00000203797","DDO"
"10455","ENSG00000198721","ECI2"
"1632","ENSG00000167969","ECI1"
"1633","ENSG00000156136","DCK"
"1638","ENSG00000080166","DCT"
"6319","ENSG00000099194","SCD"
"9415","ENSG00000134824","FADS2"
"3992","ENSG00000149485","FADS1"
"8694","ENSG00000185000","DGAT1"
"84649","ENSG00000062282","DGAT2"
"1716","ENSG00000114956","DGUOK"
"6513","ENSG00000117394","SLC2A1"
"6517","ENSG00000181856","SLC2A4"
"6515","ENSG00000059804","SLC2A3"
"1718","ENSG00000116133","DHCR24"
"1581","ENSG00000167910","CYP7A1"
"1717","ENSG00000172893","DHCR7"
"8560","ENSG00000143753","DEGS1"
"123099","ENSG00000168350","DEGS2"
"11309","ENSG00000137491","SLCO2B1"
"6783","ENSG00000109193","SULT1E1"
"1723","ENSG00000102967","DHODH"
"1809","ENSG00000113657","DPYSL3"
"1808","ENSG00000092964","DPYSL2"
"1807","ENSG00000147647","DPYS"
"23539","ENSG00000100156","SLC16A8"
"2224","ENSG00000160752","FDPS"
"29958","ENSG00000132837","DMGDH"
"60386","ENSG00000125454","SLC25A19"
"84920","ENSG00000139133","ALG10"
"79087","ENSG00000182858","ALG12"
"26002","ENSG00000079931","MOXD1"
"1621","ENSG00000123454","DBH"
"7299","ENSG00000077498","TYR"
"6530","ENSG00000103546","SLC6A2"
"6581","ENSG00000146477","SLC22A3"
"669","ENSG00000172331","BPGM"
"5224","ENSG00000164708","PGAM2"
"5223","ENSG00000171314","PGAM1"
"4597","ENSG00000167508","MVD"
"51071","ENSG00000023697","DERA"
"1806","ENSG00000188641","DPYD"
"7083","ENSG00000167900","TK1"
"7084","ENSG00000166548","TK2"
"1854","ENSG00000128951","DUT"
"3704","ENSG00000125877","ITPA"
"10682","ENSG00000147155","EBP"
"1892","ENSG00000127884","ECHS1"
"549","ENSG00000148090","AUH"
"1962","ENSG00000113790","EHHADH"
"1891","ENSG00000104823","ECH1"
"11001","ENSG00000140284","SLC27A2"
"28231","ENSG00000101187","SLCO4A1"
"53919","ENSG00000139155","SLCO1C1"
"10257","ENSG00000125257","ABCC4"
"28232","ENSG00000176463","SLCO3A1"
"2109","ENSG00000105379","ETFB"
"2108","ENSG00000140374","ETFA"
"2110","ENSG00000171503","ETFDH"
"55500","ENSG00000139163","ETNK1"
"55224","ENSG00000143845","ETNK2"
"8790","ENSG00000254685","FPGT"
"51086","ENSG00000116783","TNNI3K"
"2181","ENSG00000123983","ACSL3"
"2180","ENSG00000151726","ACSL1"
"2182","ENSG00000068366","ACSL4"
"81616","ENSG00000130377","ACSBG2"
"51703","ENSG00000197142","ACSL5"
"23305","ENSG00000164398","ACSL6"
"116285","ENSG00000166743","ACSM1"
"5167","ENSG00000197594","ENPP1"
"5169","ENSG00000154269","ENPP3"
"6785","ENSG00000118402","ELOVL4"
"60481","ENSG00000012660","ELOVL5"
"54898","ENSG00000197977","ELOVL2"
"79071","ENSG00000170522","ELOVL6"
"1579","ENSG00000187048","CYP4A11"
"2194","ENSG00000169710","FASN"
"10999","ENSG00000167114","SLC27A4"
"376497","ENSG00000130304","SLC27A1"
"230","ENSG00000109107","ALDOC"
"226","ENSG00000149925","ALDOA"
"229","ENSG00000136872","ALDOB"
"5208","ENSG00000123836","PFKFB2"
"5207","ENSG00000158571","PFKFB1"
"2203","ENSG00000165140","FBP1"
"5210","ENSG00000114268","PFKFB4"
"5209","ENSG00000170525","PFKFB3"
"8789","ENSG00000130957","FBP2"
"2235","ENSG00000066926","FECH"
"10840","ENSG00000144908","ALDH1L1"
"79901","ENSG00000071967","CYBRD1"
"197258","ENSG00000157353","FUK"
"125061","ENSG00000183077","AFMID"
"1719","ENSG00000228716","DHFR"
"2356","ENSG00000136877","FPGS"
"155184","ENSG00000197241","SLC2A7"
"29988","ENSG00000136856","SLC2A8"
"66035","ENSG00000133460","SLC2A11"
"6518","ENSG00000142583","SLC2A5"
"6514","ENSG00000163581","SLC2A2"
"160428","ENSG00000136010","ALDH1L2"
"25902","ENSG00000120254","MTHFD1L"
"4522","ENSG00000100714","MTHFD1"
"2519","ENSG00000001036","FUCA2"
"2517","ENSG00000179163","FUCA1"
"2184","ENSG00000103876","FAH"
"2271","ENSG00000091483","FH"
"2523","ENSG00000174951","FUT1"
"2525","ENSG00000171124","FUT3"
"10690","ENSG00000172461","FUT9"
"2683","ENSG00000086062","B4GALT1"
"9334","ENSG00000158470","B4GALT5"
"8704","ENSG00000117411","B4GALT2"
"8703","ENSG00000158850","B4GALT3"
"2820","ENSG00000115159","GPD2"
"5832","ENSG00000059573","ALDH18A1"
"9563","ENSG00000049239","H6PD"
"2539","ENSG00000160211","G6PD"
"2542","ENSG00000137700","SLC37A4"
"2593","ENSG00000130005","GAMT"
"9514","ENSG00000128242","GAL3ST1"
"5476","ENSG00000064601","CTSA"
"2720","ENSG00000170266","GLB1"
"2588","ENSG00000141012","GALNS"
"2581","ENSG00000054983","GALC"
"2583","ENSG00000135454","B4GALNT1"
"55454","ENSG00000169826","CSGALNACT2"
"55790","ENSG00000147408","CSGALNACT1"
"79586","ENSG00000123989","CHPF"
"337876","ENSG00000198108","CHSY3"
"22856","ENSG00000131873","CHSY1"
"63917","ENSG00000178234","GALNT11"
"11226","ENSG00000139629","GALNT6"
"55568","ENSG00000164574","GALNT10"
"2589","ENSG00000141429","GALNT1"
"51809","ENSG00000109586","GALNT7"
"8693","ENSG00000257594","GALNT4"
"2591","ENSG00000115339","GALNT3"
"117248","ENSG00000131386","GALNT15"
"26290","ENSG00000130035","GALNT8"
"114805","ENSG00000144278","GALNT13"
"79695","ENSG00000119514","GALNT12"
"50614","ENSG00000182870","GALNT9"
"79623","ENSG00000158089","GALNT14"
"2590","ENSG00000143641","GALNT2"
"11227","ENSG00000136542","GALNT5"
"81031","ENSG00000197496","SLC2A10"
"126792","ENSG00000176022","B3GALT6"
"11285","ENSG00000027847","B4GALT7"
"8972","ENSG00000257335","MGAM"
"175","ENSG00000038002","AGA"
"26301","ENSG00000148288","GBGT1"
"4329","ENSG00000119711","ALDH6A1"
"7915","ENSG00000112294","ALDH5A1"
"2731","ENSG00000178445","GLDC"
"275","ENSG00000145020","AMT"
"2653","ENSG00000140905","GCSH"
"2651","ENSG00000111846","GCNT2"
"55343","ENSG00000181830","SLC35C1"
"8836","ENSG00000137563","GGH"
"79017","ENSG00000006625","GGCT"
"8908","ENSG00000056998","GYG2"
"2992","ENSG00000163754","GYG1"
"2997","ENSG00000104812","GYS1"
"2998","ENSG00000111713","GYS2"
"2687","ENSG00000099998","GGT5"
"6472","ENSG00000182199","SHMT2"
"6470","ENSG00000176974","SHMT1"
"2717","ENSG00000102393","GLA"
"2632","ENSG00000114480","GBE1"
"2990","ENSG00000169919","GUSB"
"8372","ENSG00000186792","HYAL3"
"26035","ENSG00000138604","GLCE"
"54480","ENSG00000033100","CHPF2"
"2131","ENSG00000182197","EXT1"
"2132","ENSG00000151348","EXT2"
"27087","ENSG00000109956","B3GAT1"
"26229","ENSG00000149541","B3GAT3"
"135152","ENSG00000112309","B3GAT2"
"4669","ENSG00000108784","NAGLU"
"64579","ENSG00000138653","NDST4"
"9348","ENSG00000164100","NDST3"
"8509","ENSG00000166507","NDST2"
"3340","ENSG00000070614","NDST1"
"2137","ENSG00000012232","EXTL3"
"2135","ENSG00000162694","EXTL2"
"2134","ENSG00000158008","EXTL1"
"144195","ENSG00000173262","SLC2A14"
"154091","ENSG00000146411","SLC2A12"
"11182","ENSG00000160326","SLC2A6"
"56606","ENSG00000109667","SLC2A9"
"6523","ENSG00000100170","SLC5A1"
"178","ENSG00000162688","AGL"
"5837","ENSG00000068976","PYGM"
"5834","ENSG00000100994","PYGB"
"5836","ENSG00000100504","PYGL"
"2729","ENSG00000001084","GCLC"
"2730","ENSG00000023909","GCLM"
"2746","ENSG00000148672","GLUD1"
"2747","ENSG00000182890","GLUD2"
"10841","ENSG00000160282","FTCD"
"27165","ENSG00000135423","GLS2"
"2744","ENSG00000115419","GLS"
"79751","ENSG00000177542","SLC25A22"
"83733","ENSG00000182902","SLC25A18"
"2639","ENSG00000105607","GCDH"
"57084","ENSG00000091664","SLC17A6"
"57030","ENSG00000104888","SLC17A7"
"246213","ENSG00000179520","SLC17A8"
"51179","ENSG00000116882","HAO2"
"54363","ENSG00000101323","HAO1"
"2628","ENSG00000171766","GATM"
"9380","ENSG00000137106","GRHPR"
"2712","ENSG00000196475","GK2"
"2713","ENSG00000249244","GK3P"
"2710","ENSG00000198814","GK"
"3029","ENSG00000063854","HAGH"
"6536","ENSG00000196517","SLC6A9"
"5226","ENSG00000142657","PGD"
"27232","ENSG00000124713","GNMT"
"57678","ENSG00000119927","GPAM"
"80055","ENSG00000197121","PGAP1"
"54965","ENSG00000163964","PIGX"
"93183","ENSG00000143315","PIGM"
"2936","ENSG00000104687","GSR"
"2876","ENSG00000233276","GPX1"
"7001","ENSG00000167815","PRDX2"
"5052","ENSG00000117450","PRDX1"
"2879","ENSG00000167468","GPX4"
"2877","ENSG00000176153","GPX2"
"257202","ENSG00000198704","GPX6"
"2878","ENSG00000211445","GPX3"
"2882","ENSG00000116157","GPX7"
"10935","ENSG00000165672","PRDX3"
"2937","ENSG00000100983","GSS"
"2678","ENSG00000100031","GGT1"
"2679","ENSG00000197421","GGT3P"
"2983","ENSG00000061918","GUCY1B3"
"4881","ENSG00000169418","NPR1"
"3000","ENSG00000132518","GUCY2D"
"2974","ENSG00000123201","GUCY1B2"
"4882","ENSG00000159899","NPR2"
"2986","ENSG00000101890","GUCY2F"
"2982","ENSG00000164116","GUCY1A3"
"2984","ENSG00000070019","GUCY2C"
"2977","ENSG00000152402","GUCY1A2"
"9615","ENSG00000119125","GDA"
"763","ENSG00000174990","CA5A"
"11238","ENSG00000169239","CA5B"
"23556","ENSG00000197563","PIGN"
"55650","ENSG00000060642","PIGV"
"53905","ENSG00000137857","DUOX1"
"50506","ENSG00000140279","DUOX2"
"343","ENSG00000103375","AQP8"
"5281","ENSG00000151665","PIGF"
"84720","ENSG00000165282","PIGO"
"54872","ENSG00000174227","PIGG"
"80235","ENSG00000119227","PIGZ"
"128869","ENSG00000101464","PIGU"
"10026","ENSG00000142892","PIGK"
"51604","ENSG00000124155","PIGT"
"94005","ENSG00000087111","PIGS"
"8733","ENSG00000197858","GPAA1"
"3028","ENSG00000072506","HSD17B10"
"3033","ENSG00000138796","HADH"
"3037","ENSG00000170961","HAS2"
"3038","ENSG00000103044","HAS3"
"3036","ENSG00000105509","HAS1"
"27235","ENSG00000173085","COQ2"
"6522","ENSG00000164889","SLC4A2"
"83697","ENSG00000113073","SLC4A9"
"6521","ENSG00000004939","SLC4A1"
"6508","ENSG00000114923","SLC4A3"
"2645","ENSG00000106633","GCK"
"3098","ENSG00000156515","HK1"
"3099","ENSG00000159399","HK2"
"80201","ENSG00000156510","HKDC1"
"3101","ENSG00000160883","HK3"
"3081","ENSG00000113924","HGD"
"11112","ENSG00000106049","HIBADH"
"3067","ENSG00000140287","HDC"
"496","ENSG00000186009","ATP4B"
"495","ENSG00000105675","ATP4A"
"8942","ENSG00000115919","KYNU"
"3157","ENSG00000112972","HMGCS1"
"3158","ENSG00000134240","HMGCS2"
"54511","ENSG00000146151","HMGCLL1"
"3155","ENSG00000117305","HMGCL"
"3162","ENSG00000100292","HMOX1"
"26062","ENSG00000228211","HYALP1"
"197257","ENSG00000166816","LDHD"
"6448","ENSG00000181523","SGSH"
"3290","ENSG00000117594","HSD11B1"
"3291","ENSG00000176387","HSD11B2"
"3292","ENSG00000108786","HSD17B1"
"3294","ENSG00000086696","HSD17B2"
"51478","ENSG00000132196","HSD17B7"
"3283","ENSG00000203857","HSD3B1"
"3284","ENSG00000203859","HSD3B2"
"80270","ENSG00000099377","HSD3B7"
"57026","ENSG00000241360","PDXP"
"3419","ENSG00000166411","IDH3A"
"3421","ENSG00000067829","IDH3G"
"3420","ENSG00000101365","IDH3B"
"3417","ENSG00000138413","IDH1"
"3418","ENSG00000182054","IDH2"
"7173","ENSG00000115705","TPO"
"3425","ENSG00000127415","IDUA"
"587","ENSG00000105552","BCAT2"
"8501","ENSG00000149150","SLC43A1"
"55586","ENSG00000100253","MIOX"
"114134","ENSG00000151229","SLC2A13"
"6526","ENSG00000198743","SLC5A3"
"3422","ENSG00000067064","IDI1"
"91734","ENSG00000148377","IDI2"
"160728","ENSG00000256870","SLC5A8"
