"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CRYBG3",1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,1,64,8
"MINA",5,5,0,0,0,0,0,0,1,1,0,0,2,1,1,0,0,0,0,0,6,0,1,0,0,5,483,3
"CLDND1",18,30,37,1,92,66,13,6,30,13,26,7,6,88,64,5,27,20,11,3,13,3,11,11,26,130,506,13
"CPOX",8,3,6,2,4,2,1,1,2,0,1,0,0,3,3,0,1,1,0,0,0,0,2,2,1,8,237,2
"GPR15",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST3GAL6-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ST3GAL6",8,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0
"DCBLD2",1,10,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,234,2
"LINC00973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"COL8A1",0,117,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CMSS1",9,8,1,2,3,3,0,0,4,2,1,1,2,8,0,1,2,2,0,3,2,1,1,2,3,19,830,12
"FILIP1L",13,172,1,0,1,0,0,20,0,0,1,0,1,1,0,0,0,0,0,1,48,0,0,0,0,2,582,34
"TBC1D23",4,20,1,1,3,1,0,0,3,0,2,0,2,4,2,1,1,0,1,0,3,1,2,0,1,9,320,5
"NIT2",16,19,5,1,10,5,0,0,7,6,1,0,1,11,9,2,3,4,3,3,17,1,8,0,5,27,1812,10
"TOMM70A",7,14,3,0,2,3,0,1,0,0,1,1,1,3,2,0,1,0,1,1,3,0,3,1,1,3,598,3
"LNP1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,40,1
"TMEM45A",0,35,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,3,6,1,1,0,0,0,25,4
"ADGRG7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
"TFG",25,70,4,3,17,2,0,5,20,3,1,0,1,9,6,1,3,4,1,3,25,2,6,2,10,33,2566,31
"ABI3BP",0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMPG2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"SENP7",3,3,7,1,9,4,0,0,3,2,1,1,1,7,5,1,6,2,1,2,2,0,1,0,2,12,44,11
"TRMT10C",6,24,13,1,16,4,4,2,10,6,4,2,2,20,17,2,16,4,4,3,9,0,2,0,6,29,1675,15
"PCNP",29,86,15,7,58,18,8,5,29,11,12,4,11,59,28,5,22,14,15,7,24,10,22,7,15,102,2201,28
"ZBTB11",2,9,4,0,5,2,0,0,1,3,1,0,2,8,4,0,1,1,2,1,5,0,1,1,3,10,212,6
"ZBTB11-AS1",0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,3,0,0,0,1,0,0,0,0,3,37,1
"RPL24",465,1123,265,105,662,273,85,75,394,175,141,52,279,991,446,102,460,175,112,250,240,103,336,86,141,1428,40300,507
"CEP97",0,1,2,0,5,0,0,1,2,1,2,0,0,3,1,1,0,0,0,0,0,0,0,1,1,3,17,2
"NXPE3",3,3,1,1,2,2,0,0,3,0,0,0,0,2,3,1,3,0,0,1,2,2,1,0,1,5,8,1
"NFKBIZ",92,315,6,30,38,3,1,39,25,10,10,7,4,49,21,1,19,8,4,24,35,1,97,4,11,81,1550,70
"RP11-221J22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"ALCAM",34,2,0,5,1,2,0,0,0,0,1,1,3,2,0,0,0,0,0,3,0,1,12,0,0,1,345,2
"CBLB",4,24,12,0,54,17,5,1,27,8,8,4,5,20,17,1,6,9,4,4,2,0,0,2,11,30,204,25
"LINC00882",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DUBR",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"RP11-115H18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BBX",12,49,10,4,32,14,6,5,25,10,2,4,17,43,31,3,18,13,5,18,23,1,5,2,8,72,607,25
"LINC00636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"CD47",84,63,21,12,65,32,10,3,40,16,9,8,24,97,35,10,37,16,11,21,24,7,32,2,17,104,3556,13
"LINC01215",0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,2,1,0,0,2,0,0,0,0,0,0,5,0
"IFT57",6,35,2,2,5,3,4,3,14,4,1,0,13,11,6,10,4,2,0,3,12,1,3,0,1,26,1394,13
"HHLA2",0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,564,0
"MYH15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"KIAA1524",1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,185,1
"DZIP3",4,8,1,0,17,1,0,0,1,7,7,0,2,6,4,0,2,2,3,1,1,0,0,1,4,9,97,2
"TRAT1",1,1,35,0,73,39,18,0,64,16,28,12,0,93,49,0,29,0,4,0,0,0,2,2,24,36,13,1
"FLJ22763",0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,221,0
"DPPA4",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
"LINC01205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PVRL3-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1
"PVRL3",0,13,1,0,0,0,0,1,0,1,0,1,0,2,3,0,0,0,0,0,3,0,0,0,2,1,119,2
"CD96",3,1,20,0,153,51,5,0,57,42,34,4,1,94,54,0,19,23,12,0,0,0,2,25,33,75,36,0
"ZBED2",0,0,3,0,9,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,1,0
"PLCXD2",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PHLDB2",0,12,2,1,1,0,1,2,0,0,0,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,6,42
"ABHD10",4,3,2,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,2,4,203,0
"TAGLN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"TMPRSS7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"C3orf52",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,425,4
"GCSAM",0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,0,0,1,0,0
"RP11-757F18.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"SLC9C1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CD200",0,2,0,0,3,0,0,0,16,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,1,6,1,36
"RP11-231E6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"BTLA",0,0,0,0,5,0,0,0,12,1,2,0,2,2,0,0,1,0,0,0,0,1,0,0,2,41,1,0
"ATG3",62,40,8,14,28,7,2,3,15,5,6,1,6,27,10,2,4,7,3,13,12,3,50,1,6,37,1766,25
"SLC35A5",2,9,0,0,2,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,3,0,0,0,1,7,153,3
"CCDC80",0,168,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,21,6
"CD200R1",0,1,1,0,14,3,0,0,0,1,2,1,0,9,3,0,0,1,1,0,0,0,0,0,1,2,0,0
"RP11-484K9.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0
"GTPBP8",7,8,2,0,6,3,0,1,2,4,2,1,2,13,8,0,3,0,1,1,4,1,1,0,2,18,330,2
"C3orf17",4,14,4,2,9,5,0,1,6,4,0,1,3,5,5,0,6,2,1,3,4,0,0,1,1,22,342,5
"BOC",0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CFAP44",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0
"SPICE1",0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,126,1
"SIDT1",0,0,1,0,3,1,1,0,1,3,0,0,3,4,0,3,1,0,0,13,0,0,1,0,0,9,33,0
"SIDT1-AS1",0,1,2,0,1,2,2,0,2,3,1,1,2,4,3,0,3,1,1,1,0,0,0,0,1,17,5,0
"USF3",3,6,1,0,2,1,2,0,1,2,1,2,1,6,3,1,2,0,1,3,1,2,1,1,2,8,121,1
"NAA50",15,44,23,4,72,27,12,2,29,17,10,1,7,54,40,4,5,8,7,6,8,3,26,5,13,96,1229,7
"ATP6V1A",47,34,2,1,8,4,1,1,4,1,1,0,4,9,5,0,1,3,1,4,1,2,13,0,3,18,442,12
"GRAMD1C",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3
"RP11-255E6.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ZDHHC23",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,107,0
"CCDC191",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,41,0
"QTRTD1",4,1,0,0,3,1,0,0,1,0,0,0,3,1,1,0,1,1,0,3,2,0,1,0,2,3,346,2
"RP11-553L6.2",0,0,0,0,4,0,0,0,1,1,1,0,0,2,1,0,2,1,0,0,0,0,0,0,1,6,0,0
"ZNF80",0,0,1,0,9,2,0,0,6,2,0,0,0,1,3,0,1,0,2,0,0,0,0,0,0,10,2,0
"TIGIT",2,2,30,0,301,40,4,10,138,22,36,0,0,64,55,0,1,5,8,0,0,0,0,13,52,411,57,2
"RP11-553L6.5",0,10,1,0,2,0,0,6,1,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,0,4,38,10
"ZBTB20",2,33,7,0,12,5,2,1,6,3,0,1,7,17,11,1,3,4,1,2,10,0,2,2,1,23,152,16
"ZBTB20-AS1",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZBTB20-AS2",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,0
"ZBTB20-AS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GAP43",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LSAMP",0,51,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,214,0
"LSAMP-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
"UPK1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"B4GALT4",4,8,1,1,7,3,3,1,5,1,2,0,5,4,2,1,4,1,1,6,1,0,1,1,1,10,493,1
"ARHGAP31",7,2,0,2,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,3,0,0,1,1,12
"ARHGAP31-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TMEM39A",5,21,2,0,4,2,0,1,1,0,1,1,1,3,5,0,1,1,1,1,3,2,2,0,3,10,303,7
"POGLUT1",4,11,0,0,3,2,0,0,1,1,1,1,0,2,3,1,0,3,1,2,6,1,1,0,1,9,117,4
"RP11-190C22.8",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"TIMMDC1",13,46,3,1,21,6,0,5,15,3,3,2,3,7,14,1,3,0,4,2,17,2,5,4,5,26,1207,30
"CD80",48,0,0,6,2,1,0,0,1,0,0,0,6,1,0,0,0,0,0,5,0,0,18,0,0,26,6,0
"RP11-190C22.9",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"ADPRH",10,1,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,1,0,2,1,0,1,1,0,6,12,1
"PLA1A",2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,19
"POPDC2",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,4
"COX17",63,87,8,15,38,7,3,5,42,6,4,0,20,54,16,1,17,9,4,16,19,7,35,4,19,140,3864,66
"MAATS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,26,0
"NR1I2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0
"GSK3B",8,19,2,0,15,4,0,1,4,4,2,0,5,16,7,1,5,1,5,2,6,0,5,3,2,14,711,13
"RP11-18H7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,1
"LRRC58",12,9,3,0,12,2,0,1,3,1,1,1,5,5,5,1,5,3,0,1,2,0,0,4,1,16,500,3
"FSTL1",0,364,0,0,0,0,0,19,1,0,0,0,0,1,0,0,0,0,0,0,57,0,1,0,0,0,26,115
"NDUFB4",91,153,21,6,63,21,3,10,30,13,26,6,13,58,33,5,26,12,6,15,45,22,28,2,16,151,7262,96
"HGD",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,0
"RABL3",9,2,2,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,3,1,2,0,1,4,126,0
"GTF2E1",2,2,0,0,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,2,0,0,0,0,1,2,91,2
"POLQ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,51,0
"HCLS1",59,2,16,11,73,29,3,1,40,10,17,7,12,59,29,4,16,7,9,9,0,6,33,6,16,114,24,12
"GOLGB1",18,41,12,1,19,5,1,1,13,6,8,0,6,22,11,0,11,6,5,7,12,4,2,4,11,34,840,19
"IQCB1",3,2,0,0,8,2,3,0,5,0,0,1,2,4,4,1,1,0,0,1,0,1,0,2,3,15,370,0
"EAF2",10,1,0,3,1,2,0,0,2,0,0,0,8,3,0,5,2,0,0,3,0,5,4,0,0,8,181,1
"SLC15A2",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
"ILDR1",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,68,0
"CD86",114,0,0,31,14,0,0,0,3,0,2,0,4,4,1,0,0,0,0,18,0,0,65,0,0,1,9,0
"CASR",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CSTA",83,7,0,22,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,0,0,79,0,0,1,1024,0
"CCDC58",4,8,3,0,3,0,0,0,2,1,3,0,4,4,0,3,0,0,0,0,3,0,1,0,0,5,1259,1
"FAM162A",33,43,16,9,30,9,4,6,13,4,3,2,3,25,15,2,12,4,5,5,16,4,10,1,6,46,4173,21
"WDR5B",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,41,1
"RP11-299J3.8",0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,38,0
"KPNA1",11,12,3,1,9,2,2,2,6,2,0,0,1,4,6,1,2,0,1,2,5,1,3,0,4,17,285,11
"PARP9",5,17,7,1,13,6,0,4,4,1,2,1,6,5,11,1,3,3,2,1,5,0,4,0,1,13,485,8
"DTX3L",9,6,3,2,6,2,2,0,1,2,4,1,1,8,2,1,2,5,0,1,4,0,3,0,4,12,475,12
"PARP15",4,0,2,0,9,2,0,0,1,1,1,0,4,5,5,2,1,1,1,6,0,0,1,0,1,9,13,0
"PARP14",17,45,7,2,20,7,3,3,8,5,3,0,24,15,10,3,7,9,1,7,15,0,23,2,3,36,664,31
"HSPBAP1",7,1,2,0,0,2,0,0,1,2,0,0,1,2,2,2,1,1,0,0,1,0,4,2,0,6,99,1
"DIRC2",6,3,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,2,162,3
"RP11-67L2.2",1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,18,0
"SEMA5B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2
"PDIA5",1,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,8,2,0,0,0,1,305,7
"SEC22A",1,5,0,0,2,1,0,0,4,0,1,0,0,4,2,0,0,0,0,3,5,0,0,0,1,7,179,2
"ADCY5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0
"RP11-797D24.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HACD2",12,4,0,1,5,2,0,1,1,2,0,1,0,9,3,0,4,1,1,2,1,1,1,2,1,6,461,8
"MYLK-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0
"MYLK",1,88,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,57,0,0,0,0,0,17,26
"CCDC14",2,21,1,0,9,8,0,1,4,2,3,1,2,9,9,3,2,2,0,2,1,1,0,3,7,21,400,12
"ROPN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"KALRN",1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,398,8
"UMPS",5,4,0,0,1,1,0,0,4,0,0,1,2,3,4,1,1,2,0,1,3,0,0,2,1,8,758,7
"ITGB5",7,45,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,114,4
"MUC13",3,3,1,0,3,0,0,0,0,1,0,0,2,1,0,0,3,1,0,0,0,0,2,0,1,2,2862,4
"HEG1",1,17,2,0,4,0,0,0,0,2,0,1,1,6,3,0,1,3,1,0,3,0,0,0,0,8,9,84
"SLC12A8",2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,1
"ZNF148",4,17,2,0,7,2,0,0,6,2,0,1,4,9,4,1,8,4,1,4,4,0,2,1,5,17,576,12
"SNX4",11,13,2,0,14,3,0,2,4,0,0,1,2,1,2,0,0,0,0,1,6,0,5,1,2,8,514,11
"OSBPL11",8,7,1,0,0,3,0,0,0,1,0,1,0,0,2,0,1,0,0,0,3,0,1,0,2,4,98,3
"RP11-379B18.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-666A20.4",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0
"ALG1L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"SLC41A3",2,11,1,1,9,0,0,0,4,2,1,0,3,6,6,2,1,0,1,0,1,1,1,1,2,11,238,3
"ALDH1L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"KLF15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ZXDC",1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,99,2
"UROC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CHST13",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47,0
"TXNRD3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,1
"CHCHD6",16,6,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,5,0,2,0,0,4,691,7
"PLXNA1",5,15,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,6,0,1,0,0,5,108,5
"TPRA1",17,19,0,1,8,3,0,3,2,0,1,0,2,6,2,0,0,1,0,1,2,0,14,0,1,8,464,11
"MCM2",3,0,0,0,3,0,0,0,1,0,0,1,0,0,2,0,0,0,3,1,2,0,0,2,8,2,351,0
"PODXL2",0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,461,0
"ABTB1",7,10,7,0,25,3,2,1,7,7,5,0,4,11,4,1,4,2,1,3,6,4,1,1,6,32,97,5
"MGLL",16,39,1,1,2,0,0,2,0,0,0,0,0,4,2,0,2,1,1,3,7,0,5,0,0,3,1473,42
"SEC61A1",39,76,3,3,8,5,2,1,7,0,2,2,2,11,4,1,4,2,2,13,19,5,13,1,3,18,1121,22
"RUVBL1",4,15,2,4,8,2,1,0,7,0,3,1,1,11,6,0,7,0,0,1,12,0,1,1,6,14,1528,8
"EEFSEC",5,4,0,1,2,0,0,0,0,1,0,1,0,3,3,0,1,2,0,0,1,0,2,0,2,8,164,1
"GATA2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,91,15
"GATA2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3
"RPN1",51,42,2,5,17,3,1,3,14,4,5,1,4,14,11,1,4,4,1,5,15,5,19,3,7,27,1485,26
"RAB7A",141,134,8,23,42,7,4,16,38,13,11,6,8,52,33,3,14,12,7,10,38,4,84,2,20,99,3793,58
"RP11-723O4.9",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ACAD9",4,6,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,3,0,2,0,0,2,261,1
"KIAA1257",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25,1
"EFCC1",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RAB43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-434H6.6",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0
"ISY1",8,14,5,2,18,4,1,2,8,3,1,0,4,12,4,0,4,1,2,5,4,0,2,0,5,24,423,10
"RP11-434H6.7",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,19,0
"CNBP",88,154,36,11,123,43,24,15,99,32,25,8,37,151,85,18,66,30,18,32,47,10,47,20,29,323,6086,64
"COPG1",12,18,0,2,5,2,0,2,2,4,0,0,0,7,0,0,1,1,0,4,13,1,5,0,1,12,649,7
"HMCES",4,12,4,0,9,5,1,1,7,2,3,0,2,9,5,1,5,2,1,2,5,2,4,1,3,17,616,10
"H1FX",33,58,9,2,48,5,1,11,16,3,8,2,1,30,14,0,7,6,4,15,11,8,8,6,16,45,1142,50
"H1FX-AS1",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFCAB12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"MBD4",8,25,12,0,25,10,1,0,9,7,6,1,21,18,15,1,3,4,4,4,8,1,7,2,2,39,592,11
"IFT122",4,5,0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,2,0,68,3
"PLXND1",27,9,0,2,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,12,0,4,0,0,2,33,49
"TMCC1",6,5,0,1,2,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,2,192,7
"TMCC1-AS1",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,1
"ALG1L2",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0
"RP11-93K22.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-77P16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0
"COL6A5",0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL6A6",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIK3R4",1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,84,0
"ATP2C1",54,12,3,4,9,2,2,1,8,2,3,0,1,5,3,0,0,3,0,2,5,1,8,1,2,20,663,7
"ASTE1",0,4,2,0,8,1,0,0,2,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,11,86,0
"NEK11",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,36,1
"NUDT16",26,13,2,4,4,3,0,1,0,1,3,0,0,6,2,0,0,2,0,1,4,1,5,2,0,12,690,11
"MRPL3",25,39,4,1,7,5,0,3,6,0,0,0,4,10,6,2,5,3,3,5,19,5,3,5,4,23,2947,16
