"","Anti-inflammatory macro/mono","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Plasma cells","Pro-inflammatory macro/mono","Proliferative CD4 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"GRK5",0,1,0,0,2,0,2,0,0,0,1,2,1,1,3,1,0,2,0,0,2,9,1
"RP11-79M19.2",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"RGS10",79,5,60,3,2,5,8,29,4,7,8,136,19,1,56,2,6,2,22,5,60,151,2
"TIAL1",10,5,5,3,6,5,1,3,1,3,19,42,7,3,16,1,2,5,5,3,14,271,3
"BAG3",2,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,3,65,9
"INPP5F",1,1,1,1,0,0,0,2,0,0,5,9,1,3,2,0,1,0,0,0,3,31,5
"MCMBP",5,0,1,0,1,2,0,3,0,3,3,11,3,1,4,2,0,0,0,1,5,158,5
"SEC23IP",1,0,2,1,0,0,0,2,0,1,1,6,1,0,3,1,4,1,0,0,4,104,1
"WDR11-AS1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"WDR11",6,1,3,0,3,1,1,0,1,0,13,14,7,2,7,3,0,2,4,1,4,111,3
"RP11-95I16.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGFR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
"ATE1",1,0,0,0,0,0,0,2,0,0,2,2,0,1,0,0,0,2,1,0,1,124,0
"NSMCE4A",1,1,2,1,0,1,0,2,0,0,5,8,3,1,6,0,0,2,0,0,5,294,3
"TACC2",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,168,2
"BTBD16",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"PLEKHA1",1,0,2,0,1,3,1,1,0,0,3,9,5,2,10,2,2,0,0,0,3,250,11
"HTRA1",1,1,0,3,0,0,0,1,1,1,1,3,0,0,1,1,0,0,1,0,2,252,51
"DMBT1",0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,252,1
"CUZD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FAM24B",0,1,0,0,0,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,20,0
"C10orf88",0,0,0,0,1,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,1,16,1
"PSTK",0,0,0,0,0,0,0,1,0,0,0,7,1,0,1,0,0,0,1,0,0,32,0
"IKZF5",3,1,0,0,0,2,3,3,0,0,7,9,2,4,8,0,1,1,0,0,4,75,2
"ACADSB",1,0,0,0,0,0,1,0,0,1,0,5,2,1,6,0,0,1,0,0,0,76,1
"BUB3",6,6,0,6,9,8,3,17,1,4,12,54,21,5,14,2,1,10,2,6,45,385,8
"CPXM2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"CHST15",4,0,3,0,0,0,0,0,0,0,3,1,0,4,0,0,0,3,6,0,0,0,0
"OAT",18,10,3,1,4,7,2,3,2,1,12,21,11,9,12,6,6,5,7,0,8,377,12
"LHPP",4,0,0,0,0,0,0,1,1,0,10,6,1,3,3,0,1,2,0,1,3,44,2
"FAM53B",2,4,1,0,3,1,2,2,0,0,1,11,1,4,5,0,5,1,1,0,9,28,3
"METTL10",4,2,1,0,3,2,1,2,0,0,3,15,5,0,5,4,2,5,0,2,4,38,4
"FAM175B",2,0,1,1,2,0,0,0,1,1,0,2,0,0,2,0,0,1,1,0,0,54,0
"ZRANB1",1,2,1,0,1,1,0,5,0,0,4,11,3,1,4,0,2,1,1,1,2,108,6
"RP11-298J20.3",0,6,3,0,2,3,0,4,0,0,4,14,3,1,7,1,2,0,1,0,4,15,0
"CTBP2",6,0,1,0,1,0,0,0,0,1,2,3,0,0,2,1,0,1,2,1,1,533,7
"RP11-59C5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-151A10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FLJ37035",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,12,0
"EDRF1",0,2,0,0,1,0,0,0,0,1,1,5,2,1,4,0,0,0,0,1,1,14,0
"UROS",9,3,6,1,2,1,2,9,0,0,11,24,7,3,16,1,0,3,4,4,20,134,5
"BCCIP",4,0,3,0,4,0,0,8,1,3,6,13,3,4,13,2,0,1,2,0,10,250,1
"DHX32",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,124,1
"FANK1",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,17,20,0
"ADAM12",0,0,0,0,0,0,0,5,1,0,0,25,0,0,1,0,0,1,0,1,19,3,0
"DOCK1",2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,49,2
"FAM196A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLRN3",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,131,0
"PTPRE",22,3,13,0,3,0,2,0,0,1,0,9,4,0,7,3,5,0,21,0,2,79,8
"MKI67",2,2,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,1,8,0,137,3
"LINC01163",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MGMT",9,2,6,1,4,5,1,6,1,0,12,30,7,4,15,5,4,2,6,2,11,84,13
"EBF3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"LINC00959",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"GLRX3",8,5,5,0,2,1,4,8,1,1,6,28,6,3,10,2,4,2,5,0,20,529,10
"PPP2R2D",0,0,2,0,0,0,0,2,0,0,1,11,2,1,5,0,2,0,2,0,4,79,2
"BNIP3",10,2,0,0,0,0,0,2,0,0,0,15,1,2,9,0,0,1,4,1,3,558,8
"RP11-45A17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-45A17.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAKMIP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"STK32C",6,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,37,2
"LRRC27",0,1,0,0,2,1,0,1,1,0,2,1,0,0,0,1,1,0,0,0,1,21,0
"PWWP2B",2,1,0,0,0,0,1,1,0,0,1,1,2,1,0,1,0,0,1,0,0,50,1
"RP11-432J24.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"C10orf91",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,1,0
"INPP5A",0,1,0,0,0,0,0,1,0,0,2,2,0,1,2,0,1,0,1,0,0,49,11
"VENTX",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP13-49I15.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ADAM8",4,1,9,0,4,2,1,3,0,1,4,12,6,1,3,4,2,0,6,0,4,3,1
"TUBGCP2",7,2,5,0,0,1,0,1,0,2,2,8,1,1,5,0,2,0,7,0,14,134,1
"RP11-122K13.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ZNF511",6,3,3,0,1,2,0,3,2,0,10,13,4,4,6,1,5,4,4,0,5,239,2
"PRAP1",9,3,3,3,5,3,1,7,3,0,16,43,10,5,26,1,3,12,2,1,16,3748,6
"FUOM",12,4,8,0,3,1,1,4,1,0,3,17,3,4,7,1,1,4,6,1,5,151,0
"ECHS1",19,5,8,1,3,3,2,8,3,8,5,33,5,3,14,1,2,3,3,1,12,618,5
"PAOX",1,0,1,0,0,0,2,0,0,0,4,0,0,1,1,0,0,8,0,0,0,9,1
"MTG1",1,0,0,0,1,1,0,0,0,0,1,5,1,0,1,0,0,1,0,1,2,28,0
"CYP2E1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IQSEC3",0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-598F7.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"SLC6A12",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KDM5A",2,4,0,0,1,2,2,10,2,6,8,19,6,6,6,0,8,3,1,1,11,165,5
"CCDC77",0,0,0,0,1,0,0,1,0,0,1,2,1,2,1,0,3,0,0,0,1,11,0
"B4GALNT3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,45,0
"NINJ2",7,1,1,0,0,2,1,0,0,0,3,9,3,0,3,0,2,0,0,0,11,9,1
"RP11-218M22.1",0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,21,0
"WNK1",4,15,4,2,6,7,3,12,3,0,11,41,10,2,9,3,3,3,6,2,24,189,17
"RAD52",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,10,0
"RP11-359B12.2",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ERC1",1,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,1,0,0,0,1,31,3
"WNT5B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"ADIPOR2",4,1,2,0,0,0,1,3,2,1,4,5,2,1,2,1,2,0,2,0,4,146,5
"CACNA2D4",3,0,3,0,0,0,0,0,2,1,1,7,2,0,2,0,0,0,5,0,6,14,0
"DCP1B",0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,1,0,1,0,2,19,0
"CACNA1C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"CACNA1C-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CACNA1C-AS1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FKBP4",8,1,4,0,1,1,0,4,0,0,4,10,3,5,7,1,0,2,2,0,7,391,4
"RP4-816N1.6",0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,0,0,1,0,0,1,7,0
"ITFG2",0,1,0,0,2,3,0,4,0,1,9,12,3,4,6,0,1,2,0,0,6,33,0
"NRIP2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FOXM1",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,36,1
"RHNO1",1,0,1,0,0,1,0,6,1,2,3,14,3,1,4,0,0,0,0,0,12,77,3
"TULP3",0,1,0,0,0,0,0,1,1,1,3,4,1,0,0,0,0,0,0,0,1,37,0
"TEAD4",0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,70,2
"RP11-253E3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"TSPAN9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
"CRACR2A",0,1,0,0,0,0,0,1,0,0,0,8,2,0,1,0,1,0,0,0,1,18,0
"PARP11",2,2,1,0,2,0,0,0,0,0,1,4,4,1,5,0,0,0,0,2,1,17,3
"RP11-664D1.1",0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0
"CCND2-AS1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0
"CCND2",4,17,11,1,5,5,3,12,1,1,5,35,17,1,21,7,9,5,4,0,36,393,8
"TIGAR",5,1,2,0,1,1,1,1,0,0,5,7,2,5,2,1,0,1,1,0,4,106,2
"C12orf4",1,1,1,1,0,0,0,0,0,0,2,4,0,0,1,0,0,0,0,1,2,20,1
"RAD51AP1",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,63,0
"DYRK4",0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,1,2,1,0,1,40,2
"AKAP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"NDUFA9",10,4,3,1,3,1,2,7,1,0,7,36,5,1,8,0,3,5,1,2,12,502,3
"RP11-234B24.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0
"GALNT8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ANO2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VWF",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,220
"CD9",78,6,13,7,7,3,5,4,2,0,21,31,7,10,20,6,5,7,27,2,25,6684,30
"PLEKHG6",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,111,0
"TNFRSF1A",8,0,9,0,0,1,0,3,0,0,1,8,2,0,2,0,0,1,5,0,1,222,12
"SCNN1A",0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,29,0
"LTBR",7,0,5,0,0,0,0,0,1,0,2,2,1,1,4,0,0,0,2,1,3,275,9
"RP1-102E24.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"CD27",1,9,0,1,10,12,6,0,0,1,19,26,12,1,34,1,3,14,1,6,95,6,2
"TAPBPL",3,6,0,0,3,2,1,3,0,0,4,14,1,4,5,2,2,10,3,0,7,133,1
"VAMP1",0,1,0,0,2,2,0,0,0,0,1,4,2,0,3,0,0,2,2,0,4,5,0
"RP1-102E24.10",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"MRPL51",28,11,11,1,6,7,5,13,5,3,21,73,15,13,27,9,4,18,10,12,37,1104,19
"NCAPD2",1,0,0,0,2,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,1,83,1
"GAPDH",460,219,286,57,153,101,97,475,65,102,264,1539,356,68,449,68,113,155,341,123,656,19502,297
"RP5-940J5.9",1,0,0,0,0,1,1,0,0,0,0,4,1,1,1,1,0,0,1,0,1,62,3
"IFFO1",3,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,1,0,0,1,2,0
"NOP2",1,1,0,0,0,0,1,1,1,0,0,4,1,0,1,0,0,1,0,0,3,80,3
"CHD4",14,3,10,0,4,3,9,6,1,5,8,18,3,2,10,9,5,2,1,2,10,287,16
"LPAR5",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,33,0
"ACRBP",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ING4",1,0,1,1,0,0,0,1,0,1,4,6,0,1,2,0,1,0,0,0,7,61,1
"ZNF384",0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,2,34,3
"COPS7A",5,0,2,0,0,0,0,2,0,0,4,3,2,0,1,2,0,1,1,0,4,97,1
"RP4-761J14.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MLF2",12,3,8,0,5,5,2,7,0,1,16,23,8,3,13,2,2,9,5,2,12,585,12
"PTMS",45,7,11,5,28,13,6,6,2,3,4,52,22,1,8,3,9,5,8,3,20,820,99
"LAG3",9,17,0,2,23,6,5,10,0,0,1,25,16,0,6,3,6,1,0,2,13,10,0
"CD4",41,0,18,1,0,1,0,9,1,0,0,36,0,0,13,0,0,0,2,0,23,4,0
"GPR162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"P3H3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"GNB3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CDCA3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,49,1
"USP5",2,2,1,0,1,0,1,0,0,1,3,7,0,1,2,0,0,1,0,0,3,82,1
"TPI1",160,34,58,8,28,20,15,107,11,31,70,284,48,25,76,14,27,21,70,28,105,4601,51
"SPSB2",1,0,1,0,0,1,0,1,0,0,4,5,0,0,3,1,0,2,0,0,1,59,0
"LRRC23",4,3,2,0,0,0,0,4,1,1,0,6,0,1,2,0,0,0,0,0,3,51,1
"U47924.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENO2",2,1,0,0,0,0,0,0,0,0,3,4,1,0,3,1,0,0,0,1,2,21,2
"ATN1",3,1,0,1,0,0,0,0,0,1,2,4,1,1,2,2,1,1,0,0,2,107,9
"C12orf57",22,22,6,7,19,23,11,72,14,10,35,204,43,21,113,10,17,44,10,16,95,561,46
"U47924.31",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"PTPN6",16,2,12,0,3,1,1,3,1,2,15,9,3,4,6,1,1,2,3,0,4,116,1
"U47924.27",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,49,0
"PHB2",12,4,8,1,3,1,3,10,3,3,19,32,5,10,21,2,2,10,7,3,21,796,9
"EMG1",7,2,2,0,1,2,1,4,1,1,8,20,2,0,3,1,3,3,0,1,4,360,3
"RP3-461F17.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"LPCAT3",1,1,0,0,3,1,0,0,0,1,1,8,1,2,3,0,0,0,1,0,4,107,1
"C1S",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"C1R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C1RL",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,40,2
"C1RL-AS1",0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,1,3,1
"RBP5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
"CLSTN3",1,1,0,1,1,0,1,1,0,0,0,5,0,0,1,1,1,0,0,0,2,14,6
"PEX5",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,56,0
"CD163L1",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD163",16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"APOBEC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
"CLEC4C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC2A3",22,9,30,1,4,5,8,8,1,3,55,92,18,26,83,6,4,0,46,4,39,25,21
"FOXJ2",0,0,1,0,0,0,0,0,0,0,1,2,2,1,4,0,0,0,1,0,1,27,3
"C3AR1",27,0,4,0,0,0,0,0,1,0,0,11,1,0,3,0,0,0,9,0,3,2,0
"NECAP1",4,5,2,2,1,1,2,8,0,0,11,19,2,1,14,3,2,2,1,0,6,78,1
"CLEC4A",15,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,5,0
"FAM66C",0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"RP11-266K4.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"LINC00937",3,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,25,1
"RP11-90D4.3",0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,0,0,2,12,0
"CLEC6A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLEC4D",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"CLEC4E",18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0
"AICDA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIMKLB",1,1,0,0,0,0,0,0,0,0,3,1,1,1,3,0,2,0,1,0,0,6,2
"RP11-20D14.6",0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"PHC1",0,0,0,0,0,1,1,0,1,0,2,5,1,1,3,0,0,0,0,0,0,8,2
"M6PR",34,8,13,1,4,3,1,7,1,2,8,37,6,4,19,3,1,4,12,3,14,233,6
"KLRG1",0,15,1,0,7,3,4,1,1,0,0,14,4,0,3,0,10,0,0,0,3,1,0
"A2M-AS1",1,2,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
"A2M",30,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,8,144
"LINC00987",0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,3
"RP11-118B22.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"KLRB1",14,31,3,89,8,3,47,594,121,99,1,2235,161,6,441,77,33,17,2,24,308,98,1
"RP11-705C15.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CLEC2D",5,41,1,13,16,19,8,45,12,2,21,178,36,21,84,8,19,12,0,11,100,30,0
"CLECL1",3,0,1,4,0,0,0,2,0,0,38,1,5,11,1,0,0,5,0,0,0,2,1
"CD69",12,51,18,20,56,28,27,155,18,16,403,458,89,197,238,36,67,7,4,25,91,67,5
"KLRF1",0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,49,0,0,0,0,0,3,1
"CLEC2B",21,26,13,7,32,9,14,32,10,8,17,141,37,12,48,10,6,3,8,1,24,14,17
"RP11-290C10.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0
"AC091814.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CLEC12A",7,0,6,0,2,0,0,0,0,0,0,4,1,0,1,0,0,0,11,0,0,2,0
"CLEC1A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"CLEC7A",35,0,42,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,34,0,13,1,1
"OLR1",21,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,112,0,0,6,0
"TMEM52B",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"GABARAPL1",10,18,18,5,11,11,8,3,2,2,5,39,41,7,25,17,11,1,24,2,26,59,8
"KLRD1",0,18,0,4,22,0,24,2,1,5,0,8,54,1,1,37,32,0,0,2,0,6,0
"RP11-277P12.20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
"KLRK1",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
"KLRC4",0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"KLRC3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"KLRC2",0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,6,3,0,0,0,0,1,0
"KLRC1",0,10,0,0,10,0,10,1,0,11,0,5,13,0,0,11,4,0,1,0,0,0,0
"EIF2S3L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"RP11-291B21.2",0,6,0,4,9,0,5,0,0,0,0,0,18,0,0,0,3,0,0,2,0,1,0
"MAGOHB",9,1,0,3,0,1,1,1,0,0,6,6,0,2,2,1,3,3,1,1,6,140,1
"STYK1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,0
"YBX3",42,7,22,0,5,3,2,0,0,1,8,6,9,11,8,3,2,2,29,0,0,1052,71
"PRH1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1
"PRR4",0,0,0,0,0,0,0,0,0,1,4,5,1,0,3,0,0,0,0,0,2,18,0
"TAS2R14",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
"TAS2R20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TAS2R31",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TAS2R30",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMIM10L1",3,1,0,2,1,1,2,3,1,0,6,26,4,0,6,1,1,2,0,0,8,80,5
"LINC01252",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"ETV6",9,0,12,0,0,1,1,0,0,0,5,12,1,1,5,0,0,5,6,0,7,108,6
"BCL2L14",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,54,0
"LRP6",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,53,4
"MANSC1",0,1,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,2,137,4
"LOH12CR2",0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,1,10,1
"BORCS5",1,1,4,0,0,2,1,5,0,0,3,11,4,3,6,0,0,3,2,0,3,50,0
"DUSP16",1,3,1,1,3,0,0,6,3,0,1,26,6,2,15,1,2,0,2,3,25,127,0
"CREBL2",13,0,3,1,2,1,1,3,1,0,4,21,2,0,3,1,2,4,9,1,12,115,2
"GPR19",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0
"CDKN1B",3,9,1,3,2,5,2,5,3,0,8,38,16,7,34,1,7,9,2,1,36,262,4
"APOLD1",0,2,1,0,0,2,0,0,0,0,2,11,3,1,6,0,2,0,0,0,5,23,12
"DDX47",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,8,0
"GPRC5A",5,1,4,1,2,1,0,1,0,0,5,9,3,5,6,1,3,7,3,1,8,1891,4
"RP11-392P7.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,0
"HEBP1",5,0,3,0,0,0,0,1,0,0,2,2,0,2,1,0,0,0,1,0,0,46,2
"FAM234B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"GSG1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EMP1",2,1,3,0,1,0,0,0,0,2,1,6,1,3,2,0,1,2,15,0,2,255,71
"LINC01559",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,194,0
"GRIN2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
