"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"CTD-2165H16.4",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1
"OTULIN",11,17,10,5,2,11,1,2,2,18,13,1,0,4,5,4,0,4,14,12,26,20
"ANKH",77,147,6,10,1,2,1,4,1,14,5,1,0,4,1,6,2,6,29,16,112,29
"CTB-40H15.4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXL7",1,15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,1,1,24
"RP1-167G20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZNF622",37,52,3,8,1,12,1,1,1,23,7,7,1,7,5,2,1,7,30,32,88,29
"FAM134B",3,15,2,1,0,0,0,0,0,4,2,0,0,1,0,0,0,0,1,7,40,4
"MYO10",5,48,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,21,3,98,67
"BASP1",224,391,2,43,0,1,0,0,13,1,1,2,0,1,0,1,11,2,474,4,11,3
"CTD-2139B15.2",0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,3,0
"RP11-454P21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"C5orf17",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CTD-2306M5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CDH6",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,3
"DROSHA",5,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,2,18,6
"C5orf22",7,8,0,0,0,1,0,0,0,3,1,1,0,1,0,0,0,2,4,2,16,3
"PDZD2",0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,6
"CTD-2152M20.2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GOLPH3",45,96,7,4,0,10,3,1,0,12,4,10,0,8,8,3,5,14,36,17,133,56
"CTD-2186M15.3",2,7,0,1,0,0,0,0,1,2,1,0,0,1,0,0,0,4,2,2,14,4
"MTMR12",11,13,0,0,0,2,0,0,1,1,2,0,0,2,0,0,0,3,6,5,18,15
"ZFR",32,48,5,7,1,4,2,1,2,7,8,0,1,2,1,3,2,15,18,7,88,25
"SUB1",591,974,84,141,22,191,49,17,40,242,199,45,3,112,43,60,112,91,714,364,866,355
"NPR3",0,38,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1
"CTD-2203K17.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"TARS",19,61,5,3,1,9,1,3,4,14,2,6,0,5,1,3,0,11,9,8,129,24
"ADAMTS12",3,155,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,15,2,0,5,1
"AMACR",2,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,9,0
"C1QTNF3",0,85,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,1,1,0
"CTD-2024P10.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RAI14",8,189,0,1,0,1,0,0,0,0,0,7,0,0,0,0,0,10,8,1,12,128
"CTD-2517O10.6",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"RAD1",10,35,4,1,2,4,0,1,2,12,5,4,1,2,3,3,2,3,6,12,18,22
"BRIX1",10,49,2,0,1,9,1,1,5,14,8,5,1,6,2,4,3,6,9,18,88,23
"DNAJC21",32,67,6,3,2,1,0,2,2,11,3,4,0,7,2,3,9,8,9,9,112,37
"PRLR",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1
"SPEF2",1,5,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,15,0
"IL7R",291,285,33,34,1,8,5,12,0,220,59,2,0,120,17,15,0,0,198,126,18,5
"CAPSL",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"LMBRD2",11,6,0,1,0,0,1,0,0,2,1,0,0,0,0,1,1,3,7,1,15,5
"SKP2",1,6,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,7,5
"NADK2",8,25,1,1,0,0,1,0,0,2,0,1,0,2,1,0,0,0,1,2,20,5
"RANBP3L",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"SLC1A3",54,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,24,1,2,0
"CTD-2353F22.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NIPBL",29,50,7,4,0,14,3,1,3,12,10,3,0,2,3,3,5,13,26,19,80,33
"C5orf42",1,17,1,0,1,3,0,0,0,0,0,2,1,0,0,1,0,6,1,1,4,11
"NUP155",3,15,0,2,0,1,0,0,0,3,2,0,0,2,0,0,2,2,3,3,19,9
"WDR70",29,22,2,7,0,4,1,0,2,7,6,4,0,1,3,2,2,3,8,11,21,15
"GDNF",0,18,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"EGFLAM",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,2
"CTD-2263F21.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"LIFR",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,9
"LIFR-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"LINC01265",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OSMR-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OSMR",1,67,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,23,1,0,1,17
"RICTOR",21,39,5,1,3,8,1,0,2,25,9,1,3,7,1,4,1,4,5,20,48,19
"FYB",240,5,24,12,10,65,17,6,0,102,50,0,0,44,7,12,7,1,134,97,1,2
"C9",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DAB2",280,184,0,5,0,0,0,0,0,1,0,6,0,1,1,0,5,23,27,2,50,99
"CTD-2078B5.2",2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2
"LINC00603",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PTGER4",182,21,7,39,0,17,5,7,2,47,38,0,0,23,10,11,2,2,146,33,16,4
"TTC33",4,13,0,2,1,1,1,0,0,3,2,1,0,2,0,0,0,8,1,3,7,5
"PRKAA1",14,33,2,4,1,4,1,2,1,9,7,3,0,8,4,1,3,14,12,15,78,28
"RPL37",2356,4906,302,660,36,468,173,108,307,1316,633,272,93,810,232,249,384,675,2484,1100,8765,2169
"CARD6",9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,6,16
"C7",0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,2
"PLCXD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"OXCT1",3,33,3,2,1,6,2,0,3,5,4,4,0,4,3,1,0,4,4,17,2,11
"C5orf51",5,16,0,1,0,0,1,0,0,1,1,1,0,0,0,0,2,5,3,1,14,8
"FBXO4",11,18,0,0,0,1,0,0,0,3,2,1,1,0,0,1,2,2,3,7,16,10
"GHR",0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6
"CCDC152",0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,1,1,0,0
"SEPP1",583,72,1,1,0,1,1,0,0,1,0,4,0,0,0,1,1,50,4,3,147,71
"CTD-2201E18.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CTD-2035E11.3",5,9,1,1,2,2,0,2,4,8,4,0,0,1,4,1,1,1,18,3,4,12
"CTD-2035E11.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ANXA2R",9,2,6,2,0,2,2,0,4,17,10,1,0,5,4,6,1,0,7,3,4,21
"AC025171.1",3,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,1
"CTD-2035E11.5",0,1,0,0,0,1,0,0,0,3,0,0,0,0,1,1,0,0,0,1,2,0
"ZNF131",19,27,7,6,0,14,7,0,4,24,19,1,1,8,2,0,3,15,11,32,30,30
"NIM1K",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HMGCS1",48,56,3,10,2,6,2,1,3,9,5,7,2,4,4,2,3,8,27,7,211,36
"CCL28",2,0,0,0,1,0,1,1,2,1,0,0,0,2,0,3,0,0,0,4,71,1
"C5orf28",5,15,0,0,0,0,0,0,0,4,4,3,0,2,1,0,0,11,3,4,36,10
"C5orf34",0,5,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
"PAIP1",58,144,5,11,0,4,3,0,3,12,9,20,0,7,1,1,6,30,29,14,177,80
"NNT-AS1",3,19,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,7,0,0,23,8
"NNT",25,29,1,0,0,4,1,0,1,6,3,3,0,3,0,3,1,8,9,6,43,18
"FGF10",1,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
"FGF10-AS1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-53O19.1",0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,7,5
"MRPS30",16,25,5,5,2,6,3,1,3,19,5,0,0,7,3,0,0,9,4,18,85,18
"RP11-53O19.3",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
"EMB",67,7,15,5,6,37,15,6,4,73,26,0,2,16,4,8,4,0,30,50,43,1
"PARP8",31,19,6,4,2,16,5,5,5,27,28,0,0,6,3,5,0,2,13,6,27,1
"CTD-2314G24.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ISL1",0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1
"CTD-2288O8.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ITGA1",5,98,8,0,4,21,4,4,0,16,31,13,0,1,0,1,0,108,3,1,20,30
"PELO",14,73,3,1,1,20,2,1,1,23,14,3,0,4,0,1,1,26,14,11,55,59
"ITGA2",2,10,0,0,0,0,2,0,0,1,0,2,0,1,0,0,0,1,1,2,183,17
"CTD-2366F13.2",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"MOCS2",18,76,3,2,0,1,0,0,3,9,3,12,0,4,2,0,1,10,8,10,37,29
"CTD-2366F13.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1
"FST",0,47,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,5,1,0,1,2
"NDUFS4",73,168,2,10,2,13,0,2,8,14,11,13,1,3,1,4,2,31,41,24,147,63
"CTD-2081C10.7",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARL15",20,9,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,13,1,9,41
"HSPB3",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"SNX18",38,60,1,0,1,3,4,0,1,2,5,5,1,1,2,1,1,12,82,1,5,9
"ESM1",1,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,4,97
"GZMK",10,9,157,0,15,306,74,27,0,40,238,0,0,7,10,17,0,0,11,15,9,2
"GZMA",25,15,145,1,48,450,84,46,1,331,354,0,0,15,60,93,3,1,8,62,12,10
"CDC20B",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0
"GPX8",2,297,0,0,0,1,0,0,1,2,0,6,0,0,0,0,0,15,1,0,2,30
"CCNO",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,38,1
"RP11-506H20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"DHX29",30,66,6,0,2,4,0,0,2,8,5,6,0,1,2,1,1,7,12,11,80,36
"SKIV2L2",10,33,5,2,0,5,0,0,4,8,5,3,1,2,0,4,3,6,5,5,39,12
"PLPP1",12,112,0,2,0,0,2,1,1,8,1,24,0,1,0,1,1,19,8,3,16,143
"SLC38A9",8,3,0,2,0,1,1,0,2,2,0,1,1,0,0,0,2,2,3,2,8,2
"IL31RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"IL6ST",72,144,7,5,1,7,3,0,1,10,8,6,1,6,2,1,9,32,54,35,42,174
"CTD-2031P19.5",1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
"FLJ31104",5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5
"ANKRD55",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
"MAP3K1",19,6,1,3,0,0,0,1,4,6,1,0,0,12,0,1,2,4,21,24,32,8
"SETD9",10,8,0,3,0,0,0,1,1,1,2,1,0,1,2,1,0,1,5,1,51,8
"MIER3",4,10,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,3,0,48,3
"CTD-2310F14.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPBP1",117,118,21,62,2,36,6,8,22,82,43,11,3,39,20,21,22,38,174,132,209,101
"ACTBL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PLK2",41,396,1,3,1,0,1,2,1,6,2,8,0,1,1,1,0,36,26,4,125,132
"GAPT",10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,11,0,0,0
"RAB3C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"PDE4D",8,28,10,4,2,19,3,4,3,58,28,9,0,16,11,8,7,5,41,48,18,36
"RP11-266N13.2",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PART1",4,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,2,1
"DEPDC1B",1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,4
"ELOVL7",7,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,13,6
"RP11-231G3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ERCC8",1,9,0,2,0,0,0,0,0,0,2,1,0,0,1,1,0,1,5,1,2,5
"NDUFAF2",24,117,3,5,0,9,2,0,5,11,3,8,0,6,0,6,0,25,25,15,120,36
"SMIM15",43,78,4,8,1,8,2,2,6,15,6,10,1,10,5,2,6,15,17,26,201,15
"ZSWIM6",45,50,2,6,0,4,2,0,1,10,5,0,0,2,4,0,2,5,55,7,33,32
"KIF2A",5,19,2,4,2,3,2,0,0,9,4,2,0,3,1,1,4,3,3,10,25,23
"DIMT1",19,52,3,3,2,4,3,2,2,16,4,6,1,9,0,0,2,18,13,11,40,32
"IPO11",7,5,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,2,0,3,6,81
"LRRC70",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RNF180",0,16,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,1,12
"RGS7BP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"SREK1IP1",37,74,4,1,2,13,6,1,5,17,9,10,1,6,4,5,7,22,26,25,123,40
"CWC27",24,48,1,6,0,0,0,0,1,12,3,10,1,0,2,3,4,11,16,9,34,21
"RP11-307L14.1",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-307L14.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"ADAMTS6",3,43,1,0,0,1,1,0,2,1,1,7,0,1,0,1,1,3,0,0,2,45
"CENPK",10,12,3,0,1,2,0,1,0,5,2,0,0,1,2,0,0,1,0,4,41,8
"PPWD1",7,18,3,1,0,4,1,3,2,10,10,4,1,6,1,1,3,4,2,8,17,8
"TRIM23",4,7,0,0,0,1,0,1,1,3,0,2,0,1,0,0,0,1,1,2,6,5
"TRAPPC13",9,16,1,0,0,1,2,0,2,1,0,1,0,0,1,0,0,2,2,4,17,10
"CTC-534A2.2",2,3,0,1,0,0,0,0,1,4,0,0,1,1,0,0,1,0,4,6,5,3
"SGTB",24,12,2,1,0,3,1,0,0,5,1,1,0,2,1,0,0,1,22,8,4,8
"NLN",14,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,36,7
"CTD-2033C11.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"ERBB2IP",54,57,3,2,1,4,3,1,1,13,8,5,1,6,2,3,4,4,46,12,130,62
"SREK1",36,75,6,9,0,14,3,4,2,8,10,3,3,6,5,2,4,16,26,21,118,75
"MAST4",3,18,0,2,2,5,2,1,2,24,0,6,0,8,1,1,2,11,5,35,57,139
"MAST4-AS1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0
"CD180",17,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,1
"RP11-434D9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-83M16.5",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"PIK3R1",29,41,12,5,5,29,24,7,1,42,39,7,1,17,10,15,4,13,31,25,19,29
"CTC-537E7.3",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CTC-537E7.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC30A5",21,63,4,6,2,5,1,0,0,11,4,4,1,5,6,2,10,12,11,14,44,20
"CCNB1",6,37,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,6,2,81,13
"CENPH",8,18,2,3,1,2,0,0,2,3,4,0,0,1,0,0,1,3,1,8,11,14
"MRPS36",73,146,6,12,2,15,5,3,7,27,21,19,1,14,1,6,6,31,45,34,243,47
"CDK7",9,27,2,0,0,1,0,0,0,3,3,1,0,3,0,2,2,1,7,5,60,10
"CCDC125",6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,3
"AK6",40,75,3,14,0,4,1,0,4,17,2,3,3,7,1,1,7,10,45,11,82,39
"TAF9",92,108,3,42,1,12,5,0,2,35,17,14,2,14,8,6,4,17,84,33,144,37
"RAD17",7,11,1,0,0,5,1,0,1,4,2,4,0,2,0,2,0,5,3,2,34,6
"MARVELD2",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0
"OCLN",4,2,0,0,0,0,1,1,0,1,0,0,0,2,0,0,1,1,1,1,201,0
"GTF2H2C",4,4,0,0,0,1,0,0,0,1,2,0,0,2,0,0,0,0,2,1,9,2
"SMN2",2,3,0,2,0,1,0,0,0,1,0,0,0,2,2,0,1,0,1,2,10,4
"RP11-497H16.9",1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1
"SERF1A",1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,3,1,2
"SMN1",4,14,0,2,0,1,0,0,0,4,1,1,1,3,0,1,0,3,2,7,19,3
"NAIP",62,3,1,6,0,1,0,2,1,1,1,0,0,0,0,0,1,1,36,2,4,3
"GTF2H2",4,11,0,0,0,0,3,0,1,0,0,0,0,1,1,1,1,3,0,7,11,2
"BDP1",20,59,7,10,1,9,3,3,2,30,12,4,2,13,3,3,7,11,13,19,74,36
"MCCC2",15,9,1,4,0,2,0,0,1,6,1,2,0,2,3,2,2,2,6,7,60,15
"MAP1B",2,110,0,1,0,0,0,0,0,0,0,16,0,0,0,0,0,102,3,0,14,179
"MRPS27",11,29,0,0,0,7,1,1,0,3,3,1,0,3,1,3,1,9,4,11,26,18
"PTCD2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,9,5
"ZNF366",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"CTD-2631K10.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"TNPO1",52,56,2,6,0,5,1,1,3,7,3,3,0,3,1,2,5,17,26,17,76,46
"CTD-2376I4.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"FCHO2",41,8,0,0,0,0,0,0,0,1,0,4,0,0,1,2,0,1,11,2,26,25
"TMEM171",2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,28,1
"FOXD1",1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,4,0
"RP11-79P5.9",0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,1
"BTF3",714,1556,93,220,10,179,46,28,68,350,222,183,21,201,76,87,104,302,697,339,2035,839
"ANKRA2",12,17,1,2,1,6,1,0,0,4,3,3,0,1,2,2,2,6,5,9,30,12
"UTP15",9,10,0,0,0,1,2,0,1,3,1,0,0,0,0,0,0,0,3,1,9,5
"ARHGEF28",1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,32,15
"CTD-2292M14.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENC1",5,143,4,0,0,6,1,0,0,1,5,3,0,1,1,3,1,4,4,1,74,3
"HEXB",426,203,7,42,1,15,4,0,1,18,5,6,1,11,3,10,11,21,194,25,204,68
"GFM2",7,9,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,5,1,14,3
"NSA2",100,217,11,23,3,15,8,1,8,46,24,21,0,22,10,9,13,32,84,35,203,52
"FAM169A",1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0
"GCNT4",2,4,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,3,0,3,1
"LINC01336",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ANKRD31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HMGCR",12,11,0,0,0,1,1,0,2,2,2,2,0,2,1,3,1,3,10,1,51,11
"COL4A3BP",29,23,1,5,0,1,2,0,1,6,1,1,0,2,1,3,1,9,18,14,28,13
"POLK",24,30,0,0,0,3,0,0,0,4,0,1,0,3,1,1,3,7,9,10,23,19
"CTC-366B18.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ANKDD1B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POC5",3,9,2,0,0,1,0,0,2,1,1,1,0,1,0,0,0,1,2,5,13,2
"SV2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AC113404.1",0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,2
"IQGAP2",101,15,3,1,1,6,3,3,0,22,15,0,0,14,9,6,6,0,36,25,9,0
"F2RL2",0,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
"CTD-2384B11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"F2R",3,110,2,0,1,14,4,1,0,12,11,1,0,2,4,11,0,29,2,5,4,91
"F2RL1",4,8,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,230,6
"S100Z",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0
"CRHBP",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"AGGF1",22,58,2,1,1,4,1,1,0,5,1,3,0,1,1,3,1,8,13,9,23,26
"ZBED3",5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,0,1,9
"ZBED3-AS1",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PDE8B",1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,28,1
"WDR41",18,55,1,3,0,1,0,0,0,1,1,2,0,0,1,0,5,12,13,2,17,13
"TBCA",336,599,11,55,2,36,4,5,25,64,48,37,2,30,12,16,31,82,275,79,671,233
"AP3B1",38,39,2,3,1,2,2,0,3,4,4,1,0,5,0,2,4,4,44,6,63,19
"SCAMP1-AS1",5,9,0,1,0,0,0,0,0,2,2,1,0,1,0,2,0,1,5,5,14,8
"SCAMP1",28,42,2,1,2,1,1,1,1,5,0,6,0,4,1,0,2,5,15,3,57,31
"LHFPL2",112,81,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0,11,29,0,42,24
"ARSB",19,15,0,0,0,2,0,0,1,0,0,3,0,0,1,0,2,5,20,3,5,9
"DMGDH",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BHMT2",0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"JMY",33,15,8,2,0,4,0,2,2,3,10,1,0,5,2,1,6,10,42,27,17,22
"HOMER1",23,63,2,5,0,6,0,0,2,4,3,6,0,2,1,0,7,5,36,4,12,9
"PAPD4",26,21,7,7,0,3,1,1,3,13,4,4,0,6,1,3,0,6,26,12,44,18
"CMYA5",2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTX3",3,12,0,1,0,0,0,0,0,2,0,1,0,0,1,0,1,1,1,4,4,4
"THBS4",0,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
"SERINC5",48,58,6,13,0,3,3,1,0,35,16,2,1,10,1,1,2,9,68,33,245,19
"ZFYVE16",103,46,2,7,0,3,3,1,1,7,2,1,1,3,2,2,5,7,153,8,26,27
"CTD-2015H6.3",1,9,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,3,0,40,0
"FAM151B",10,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DHFR",12,24,0,1,0,0,1,0,0,2,0,0,0,1,1,1,1,5,3,4,58,17
"MSH3",10,21,0,1,0,1,0,0,3,1,1,4,0,0,1,1,3,6,1,8,35,10
"RASGRF2-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"RASGRF2",0,11,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,2,14,18
"CKMT2-AS1",1,5,1,0,0,1,0,0,0,0,0,3,0,1,0,0,0,3,3,2,6,2
"CKMT2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
