"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","Naive CD8 Tcells","NK cells","NKT cells","pDCs","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"FCGR3A",781,2,0,4,2,1,0,1,6,2,1,5,0,1,0,24,23,0,2,192,1,24,2
"FCGR3B",240,0,0,0,2,0,0,0,2,0,0,3,1,0,0,3,7,0,0,61,0,5,2
"FCGR2B",152,1,0,26,1,0,0,0,2,12,0,2,6,0,0,1,0,0,0,213,2,9,2
"FCRLA",0,0,0,0,0,0,0,0,0,23,0,0,12,0,0,0,0,1,0,3,0,1,0
"FCRLB",5,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,7,0,2,1
"DUSP12",9,11,2,2,1,2,2,1,4,2,2,3,5,5,0,2,3,0,4,7,9,111,3
"RP11-474I16.8",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"ATF6",49,6,0,4,4,2,0,5,2,5,5,3,1,4,0,3,1,3,4,30,8,146,20
"OLFML2B",49,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,7,0,3,0
"NOS1AP",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1
"C1orf226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
"SH2D1B",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,1,0
"UHMK1",31,10,4,0,5,5,1,6,7,7,4,8,5,8,0,7,5,3,2,20,26,183,15
"RP11-359K18.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"UAP1",14,12,5,2,2,6,4,6,10,7,9,16,7,7,0,6,5,2,3,47,8,384,5
"DDR2",0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,8,2
"HSD17B7",8,1,1,0,3,3,1,5,3,4,1,3,3,1,0,3,1,0,1,2,9,103,3
"RGS4",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"RGS5",2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,1,0,9,0
"RGS5.1",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
"NUF2",1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,36,1
"PBX1",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,43,2
"RP11-306I1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
"MGST3",273,112,7,9,13,10,4,15,20,9,26,21,4,11,2,10,10,3,29,91,44,1120,100
"ALDH9A1",27,6,1,1,1,2,4,8,5,7,6,7,5,1,1,4,1,2,2,6,23,224,15
"TMCO1",107,51,3,7,14,18,7,19,22,14,21,28,6,20,1,11,9,13,11,79,71,420,46
"UCK2",7,7,0,0,0,0,0,0,3,1,0,1,0,0,0,0,1,4,0,2,5,144,8
"FAM78B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,5,0
"RP11-276E17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"POGK",12,6,0,0,0,0,1,1,3,3,0,0,0,0,0,2,0,1,1,4,2,79,2
"TADA1",1,2,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,0,32,0
"ILDR2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
"GPA33",1,2,0,0,0,2,0,1,0,0,1,0,1,2,0,2,0,0,2,3,1,443,4
"RP11-277B15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"POU2F1",7,6,0,1,0,4,1,3,2,3,1,3,2,3,0,2,0,1,1,5,5,85,3
"CD247",1,3,7,0,6,15,4,57,41,1,22,30,0,35,1,46,30,1,0,5,121,16,4
"RP11-104L21.3",0,0,0,0,2,4,2,5,4,0,2,2,0,2,0,2,1,0,0,0,8,0,0
"CREG1",416,23,1,4,0,2,0,1,0,1,5,2,1,2,0,1,0,0,3,154,10,158,8
"RCSD1",28,1,2,0,3,1,1,6,6,15,6,6,17,7,0,4,1,0,10,19,16,3,8
"MPZL1",29,41,0,0,0,1,2,2,0,4,3,2,2,3,0,1,1,2,2,37,3,209,30
"ADCY10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP1-313L4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MPC2",60,21,3,8,9,4,3,16,24,17,22,11,10,19,3,11,9,3,10,21,48,709,34
"DCAF6",8,10,0,0,4,1,1,1,2,4,3,0,2,4,0,2,0,2,6,8,8,102,6
"GPR161",2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6
"TIPRL",51,16,3,5,5,5,0,9,13,6,15,5,6,5,0,3,3,3,8,38,29,225,13
"SFT2D2",38,19,0,2,3,2,1,5,2,5,1,3,5,2,1,2,0,6,0,26,14,85,6
"TBX19",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"XCL2",0,0,7,0,16,16,0,4,63,1,1,67,0,0,1,36,20,0,0,7,0,2,1
"XCL1",1,0,2,0,6,6,0,6,39,1,1,39,0,0,0,34,16,0,0,4,0,3,0
"DPT",0,24,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP5-1018K9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ATP1B1",84,12,3,8,2,3,2,6,2,5,6,6,1,4,1,3,1,1,5,41,29,2114,7
"NME7",6,9,0,0,4,0,0,1,5,4,2,7,0,1,0,1,4,1,1,3,7,64,4
"BLZF1",16,4,0,0,1,2,1,5,4,3,1,5,4,2,0,1,1,0,3,10,10,76,6
"SLC19A2",6,2,2,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,4,1,10,0
"F5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,2,0
"SELP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,60
"C1orf112",6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,2,5,4
"SELL",12,0,7,3,4,2,6,4,0,44,14,7,16,26,5,5,6,24,0,22,96,8,7
"SELE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,246
"METTL18",4,3,0,0,2,0,0,0,1,1,1,1,1,1,0,0,1,0,1,0,6,31,2
"SCYL3",2,1,0,0,1,0,0,0,1,4,1,0,2,1,0,2,0,0,0,1,2,32,2
"KIFAP3",5,13,0,1,1,1,0,1,2,2,0,5,2,0,1,2,0,0,5,4,12,55,9
"RP11-576I22.2",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"GORAB",6,6,0,0,0,1,0,0,2,0,1,1,1,1,0,0,1,0,1,3,1,47,2
"PRRX1",0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1,0,2,0
"RP1-79C4.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"FMO3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"FMO1",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"FMO4",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
"PRRC2C",110,78,20,16,25,22,9,41,54,51,50,55,29,57,4,21,19,24,15,157,158,768,52
"MYOC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"VAMP4",23,7,0,0,0,1,1,5,2,3,5,5,1,3,0,0,0,0,3,22,14,60,7
"METTL13",6,3,0,1,1,0,1,2,2,1,2,1,2,1,0,0,0,1,2,3,2,79,2
"DNM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3
"DNM3OS",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,5
"PIGC",16,15,1,2,0,0,3,5,3,8,2,3,2,2,0,3,2,0,3,9,9,111,8
"SUCO",7,4,1,1,2,3,2,0,5,3,5,3,5,3,0,1,1,3,1,13,9,85,1
"FASLG",0,0,2,0,0,7,1,0,13,0,0,5,0,0,0,8,3,0,0,0,0,4,0
"TNFSF18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"TNFSF4",2,7,0,1,3,1,0,6,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0
"RP11-296O14.3",0,2,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,7,0,1,3,1,0
"PRDX6",141,88,17,12,18,24,8,31,54,35,27,49,17,17,3,34,16,16,26,110,72,526,73
"ANKRD45",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KLHL20",2,6,0,2,2,1,1,0,2,2,3,4,2,1,0,3,1,1,4,2,10,40,3
"CENPL",4,1,1,0,1,1,1,2,1,2,2,4,0,0,0,0,2,1,0,0,5,17,2
"DARS2",3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,2,16,1
"GAS5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZBTB37",2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,1,3,3
"RC3H1",11,4,1,3,4,6,1,3,5,5,2,7,4,3,0,5,1,2,1,11,9,93,8
"RP11-160H22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"RP11-160H22.5",0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0
"RABGAP1L",15,4,5,0,7,7,7,14,9,6,11,8,7,14,0,9,3,5,2,13,42,130,5
"CACYBP",92,52,22,12,29,43,23,53,52,26,66,56,25,31,4,20,21,10,11,165,282,828,38
"MRPS14",25,18,2,1,3,3,0,2,4,2,1,3,2,2,0,0,1,6,4,17,15,176,13
"KIAA0040",9,5,1,1,4,2,1,3,2,4,3,2,2,3,1,0,0,0,7,5,18,102,4
"RP11-318C24.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RFWD2",22,3,3,2,1,2,1,6,0,2,3,5,2,5,0,0,3,1,2,17,15,111,10
"RP11-195C7.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SEC16B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30,1
"RASAL2-AS1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0
"RASAL2",19,14,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5,5,1,95,19
"C1orf220",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"RP5-1098D14.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"RALGPS2",3,0,0,0,0,0,0,0,0,26,1,1,14,2,0,0,0,0,0,3,0,34,1
"ANGPTL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM20B",1,6,1,1,0,0,0,1,1,2,1,2,0,1,0,1,0,0,0,2,1,41,5
"TOR3A",37,7,0,10,5,4,0,3,6,19,7,6,8,0,0,3,1,27,1,39,18,171,9
"ABL2",325,70,2,11,1,0,0,3,0,4,7,1,1,7,1,0,0,1,15,320,3,47,89
"SOAT1",61,8,2,3,4,2,1,4,7,3,2,4,5,4,0,2,3,0,4,44,9,10,4
"TDRD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"FAM163A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TOR1AIP2",24,23,5,4,11,4,0,9,11,6,6,14,3,11,0,11,6,3,4,21,35,220,17
"RP11-533E19.7",1,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,5,0
"TOR1AIP1",24,8,0,2,4,4,1,6,11,10,6,7,4,2,1,3,1,4,4,16,19,67,8
"RP11-533E19.5",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,4,0
"CEP350",15,10,1,1,5,2,1,4,6,11,5,2,3,4,3,4,2,1,2,24,9,88,5
"QSOX1",78,27,2,11,1,6,1,5,6,1,4,2,1,4,0,1,1,2,5,74,16,308,15
"LHX4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ACBD6",21,16,3,2,0,3,1,7,4,3,1,2,3,3,1,5,1,1,7,10,15,125,13
"XPR1",8,2,0,0,2,2,0,1,1,0,3,0,0,1,0,1,0,0,0,10,6,55,8
"KIAA1614",1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0
"RP11-46A10.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"KIAA1614-AS1",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0
"STX6",23,6,0,0,2,1,1,2,1,2,0,3,0,3,0,2,2,0,2,16,6,48,16
"MR1",20,3,1,0,2,2,1,1,3,2,1,3,2,0,1,1,1,0,2,12,8,5,3
"IER5",282,56,3,6,9,1,3,10,13,23,7,12,14,13,4,7,6,11,16,151,33,329,56
"RP11-538D16.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GLUL",1142,28,1,32,3,3,3,5,20,2,6,15,5,5,1,8,8,11,6,678,4,306,28
"RGSL1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RNASEL",2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,3,1,11,1
"RGS16",46,85,1,0,11,1,1,17,27,59,4,15,52,8,0,23,2,0,59,14,7,72,43
"RP11-317P15.4",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
"NPL",87,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,21,4,12,1
"DHX9",21,15,7,3,4,3,1,9,6,14,8,16,9,10,0,6,4,3,2,19,17,273,13
"LAMC1",2,51,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,24,3,1,63,53
"LAMC2",2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,2,1,2,504,7
"NMNAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"SMG7",12,6,3,0,0,2,0,2,1,4,0,4,1,1,0,0,0,1,0,10,8,124,7
"NCF2",125,0,0,9,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,88,1,6,1
"ARPC5",376,77,10,43,22,21,12,30,34,24,32,41,10,21,4,24,13,25,67,331,92,700,88
"RGL1",32,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,4,12,0,2,9
"APOBEC4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"COLGALT2",1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0
"TSEN15",16,10,2,0,5,1,0,8,10,3,5,9,1,1,0,6,0,0,5,9,10,168,5
"RP11-382D12.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C1orf21",23,8,5,0,1,1,1,0,6,0,1,7,1,0,0,1,5,2,3,18,1,124,30
"EDEM3",18,6,1,1,0,4,3,2,2,1,4,0,0,0,0,1,0,2,3,7,0,79,4
"FAM129A",40,3,3,7,7,10,7,11,15,1,15,16,0,6,0,9,7,9,2,47,81,19,0
"GS1-120K12.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RNF2",22,9,3,4,5,1,1,2,2,0,3,5,3,3,1,2,4,1,0,22,7,85,6
"TRMT1L",6,2,0,0,0,0,0,2,0,3,1,0,2,0,0,2,0,0,1,3,3,27,4
"SWT1",2,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,6,0
"IVNS1ABP",134,10,7,3,2,5,2,12,14,16,25,20,5,15,1,8,6,1,0,274,29,229,33
"GS1-279B7.2",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0
"HMCN1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PRG4",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"TPR",27,29,4,7,13,17,4,24,13,18,14,21,9,26,5,5,4,8,5,34,63,483,22
"C1orf27",10,10,1,0,0,3,0,3,1,1,2,2,0,3,0,1,0,2,1,9,7,103,10
"OCLM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GS1-304P7.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTGS2",332,7,1,47,2,3,0,1,0,2,1,2,3,2,0,0,2,0,0,1501,2,51,13
"PACERR",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
"PLA2G4A",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24,0
"LINC01037",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"RGS18",19,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,9,0,1,0
"RP5-1011O1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP5-1011O1.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RGS1",1256,59,54,146,226,91,65,279,318,183,212,313,133,118,5,114,48,237,2,814,1159,215,11
"RGS13",3,0,0,0,0,0,0,0,3,0,0,1,2,1,0,1,0,8,0,3,1,0,0
"RGS2",516,65,28,30,42,28,15,62,96,162,82,106,91,27,1,39,24,198,2,435,121,160,12
"LINC01032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"UCHL5",15,7,1,0,0,0,2,2,4,3,1,2,2,4,0,3,3,0,4,6,11,99,4
"TROVE2",19,24,3,4,4,7,4,15,11,10,18,10,2,14,1,5,6,4,0,32,42,113,26
"RP11-101E13.5",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GLRX2",26,5,1,0,1,3,1,1,4,2,0,1,0,2,0,2,2,1,5,13,4,105,10
"CDC73",25,12,6,4,3,4,0,8,3,10,3,5,1,2,1,5,0,3,3,17,17,127,14
"B3GALT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-563D10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-476B1.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"KCNT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"CFH",9,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,33,1,0,6,20
"CFHR1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASPM",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,38,0
"ZBTB41",2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,3,0,2,25,0
"DENND1B",23,7,2,2,4,1,1,5,12,7,6,13,2,1,0,6,2,5,1,19,15,77,1
"C1orf53",5,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,2,0,37,1
"NEK7",19,8,5,1,4,6,3,2,2,1,3,4,1,4,0,1,2,0,1,18,10,67,8
"RP11-553K8.2",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTPRC",191,1,50,22,62,69,39,91,127,39,95,157,28,85,4,57,51,6,1,201,312,35,1
"MIR181A1HG",5,2,0,5,0,0,0,0,0,0,0,3,0,0,0,1,0,1,1,14,3,1,3
"NR5A2",0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,1,0,0,1,1,15,2
"ZNF281",34,18,3,2,1,5,3,15,7,4,9,7,2,6,3,3,3,3,5,39,35,65,10
"RP11-469A15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-121P12.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"KIF14",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2
"DDX59",4,3,1,1,1,1,0,2,4,2,4,3,2,0,0,0,0,0,2,4,5,46,3
"RP11-92G12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"CAMSAP2",9,11,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,6,2,39,7
"C1orf106",3,2,2,0,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,3,3,241,1
"KIF21B",0,0,0,0,0,3,0,1,2,0,2,6,1,2,0,3,2,0,1,1,1,9,0
"RP11-168O16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ASCL5",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
"TMEM9",17,25,2,0,1,0,2,4,2,0,2,5,1,3,0,0,1,6,4,12,9,156,7
"PKP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"TNNT2",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,111,0
"LAD1",7,2,1,1,2,0,0,0,0,1,0,0,0,1,0,0,0,10,1,9,2,599,1
"RP11-27G14.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TNNI1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"PHLDA3",4,57,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,3,22,6
"CSRP1",47,112,2,1,1,1,3,9,5,4,4,8,2,1,0,2,2,1,28,27,13,300,64
"RP11-134G8.7",2,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,19,1
"RP11-134G8.5",3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,20,0
"NAV1",16,7,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,14,0,8,28
"IPO9-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1
"IPO9",15,13,0,0,2,1,1,2,2,4,3,5,1,1,0,2,0,0,1,10,7,61,11
"SHISA4",5,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,5
"RP11-307B6.3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LMOD1",0,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0
"TIMM17A",59,32,2,9,11,8,4,11,10,10,11,16,8,8,0,8,6,3,15,54,35,450,37
"RNPEP",54,14,0,5,0,3,1,4,2,2,2,4,2,1,0,1,5,2,3,25,13,203,9
"RP11-465N4.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"RP11-465N4.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0
"ELF3",27,12,4,6,2,1,2,6,8,8,6,5,2,6,0,1,8,2,1,44,15,4082,9
"GPR37L1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ARL8A",35,14,0,3,2,4,2,1,1,3,2,3,5,1,0,1,0,0,1,20,7,81,16
"PTPN7",16,1,14,2,12,16,12,38,28,22,26,31,18,16,1,19,8,2,0,24,84,11,2
"LGR6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,1
"UBE2T",5,4,0,0,1,0,1,1,2,3,0,0,1,1,0,2,0,0,1,1,1,169,4
"PPP1R12B",4,5,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,10,3,7,29,0
"RP11-569A11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"KDM5B",4,13,1,0,1,1,2,3,1,3,5,2,1,1,0,0,0,2,2,9,8,58,8
"PCAT6",3,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,32,0
"RABIF",21,6,1,2,3,8,3,6,9,2,5,13,4,12,1,5,8,4,5,11,30,124,10
"KLHL12",9,2,2,1,1,1,0,1,1,0,0,3,1,0,0,3,1,0,2,6,8,79,3
"ADIPOR1",73,15,10,4,4,3,1,10,6,10,7,8,4,9,1,4,2,4,7,51,15,326,20
"CYB5R1",39,10,0,0,1,1,1,4,5,3,2,3,2,7,0,0,3,2,0,10,8,65,12
"TMEM183A",23,29,3,5,8,2,3,9,9,7,6,8,7,6,0,3,3,5,3,22,30,350,13
"ADORA1",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHI3L1",101,69,0,0,0,1,0,0,2,1,0,1,0,3,0,1,0,0,0,11,2,28,1
"CHIT1",2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"LINC01353",2,0,1,0,0,0,0,1,0,3,0,1,0,1,0,0,1,1,0,10,1,3,0
"LINC01136",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0
"BTG2",180,38,11,9,12,4,8,14,24,81,36,29,76,39,2,11,16,14,19,107,69,1191,34
"FMOD",0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
"PRELP",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ATP2B4",17,6,3,0,2,2,3,5,6,1,6,8,0,4,0,3,4,0,6,3,18,24,15
"LAX1",0,2,1,0,5,4,1,5,3,1,4,5,0,3,0,1,1,0,0,0,23,1,0
"ZC3H11A",26,27,3,0,3,3,3,4,5,8,7,7,4,6,0,1,4,1,4,37,23,264,17
"ZBED6",5,8,1,0,1,0,0,1,0,1,4,4,7,1,0,2,2,1,1,12,16,62,4
"SNRPE",116,58,9,11,10,14,8,19,30,31,31,43,21,24,2,18,10,15,15,89,75,1466,55
"SOX13",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25,7
"ETNK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
"REN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
