"","Anti-inflammatory macro/mono","CXCL13+ CD8 Tcells","Double-Negative Tcells","gdTcells","IL17+ CD4 Tcells","LTi cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells"
"SLC27A3",5,2,0,0,1,0,0,6,2,0,0,1,0,0,4,185
"GATAD2B",3,0,1,1,3,0,1,5,5,1,1,1,1,0,1,263
"DENND4B",6,1,0,0,0,0,1,8,2,0,3,1,0,0,1,143
"CRTC2",1,1,0,0,1,0,1,7,1,0,0,0,0,1,1,264
"SLC39A1",27,2,0,1,1,0,1,9,4,1,2,2,0,2,7,2109
"RP11-422P24.12",1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,39
"RP11-422P24.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"CREB3L4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,218
"JTB",80,25,4,7,17,7,19,209,48,6,20,21,8,4,74,9774
"RP11-422P24.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"RAB13",27,1,0,0,0,0,0,0,2,0,3,0,0,4,0,2939
"RPS27",745,514,166,191,433,123,1205,3940,914,494,1027,352,120,151,1751,139948
"NUP210L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"TPM3",133,35,8,10,25,15,18,308,54,13,16,19,8,13,96,6227
"C1orf43",55,9,2,3,11,2,5,86,14,1,5,6,2,4,37,4734
"UBAP2L",11,0,0,0,1,1,3,5,0,0,2,1,1,1,2,531
"HAX1",25,4,1,4,2,2,9,44,8,4,9,5,1,3,13,2205
"ATP8B2",0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
"RP11-350G8.5",4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"IL6R",39,0,0,0,0,0,2,0,0,0,0,1,0,7,5,150
"SHE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-350G8.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"UBE2Q1",7,1,1,0,0,1,1,15,2,1,1,1,0,1,3,709
"ADAR",34,6,0,5,7,3,7,60,15,4,8,5,3,4,21,1058
"KCNN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMVK",26,10,2,4,11,5,4,107,23,2,6,7,3,0,39,2057
"RP11-307C12.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"PBXIP1",8,14,4,1,16,4,9,168,18,6,18,2,1,0,85,365
"PYGO2",1,1,1,0,1,1,2,21,3,1,2,1,0,0,7,161
"RP11-307C12.12",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,16
"SHC1",8,0,0,0,1,1,1,9,0,1,2,0,0,0,2,482
"CKS1B",44,6,0,2,7,1,1,28,6,2,0,4,0,1,5,3022
"FLAD1",1,1,0,0,0,1,5,9,2,2,2,0,0,0,5,606
"ZBTB7B",4,2,0,0,3,0,0,6,0,0,0,0,1,0,2,428
"DCST2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"RP11-307C12.11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"ADAM15",5,0,0,0,0,1,0,6,0,0,0,0,0,2,0,1180
"EFNA4",1,0,0,0,1,0,0,2,1,0,0,0,0,0,3,527
"EFNA3",0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,977
"EFNA1",5,0,0,0,0,0,0,1,1,0,0,3,0,0,2,1989
"SLC50A1",10,3,0,0,1,1,2,8,2,3,1,3,0,5,5,723
"DPM3",16,5,1,1,1,2,2,26,5,0,1,1,0,2,9,2251
"KRTCAP2",41,12,2,4,9,4,10,85,13,3,10,9,3,2,42,4011
"TRIM46",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11
"MUC1",2,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1521
"RP11-263K19.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
"THBS3",1,0,0,0,0,0,0,3,0,0,2,0,0,0,0,56
"MTX1",12,3,0,1,3,2,1,22,3,3,2,0,1,1,5,1018
"GBA",16,0,0,0,0,0,1,2,2,0,1,1,0,0,4,284
"FAM189B",2,0,0,0,1,0,0,3,1,0,0,1,0,0,2,387
"SCAMP3",10,2,0,2,1,1,2,19,3,2,4,3,0,4,12,1055
"CLK2",1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,65
"HCN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
"PKLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"FDPS",16,8,2,5,7,2,6,51,15,2,4,2,0,3,21,4001
"RUSC1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
"RUSC1",5,4,1,1,0,0,1,10,4,0,1,2,0,1,1,872
"ASH1L",14,4,0,1,3,2,5,18,7,4,4,1,1,3,11,906
"ASH1L-AS1",3,0,0,0,1,0,0,5,1,1,2,1,0,0,3,153
"RP11-29H23.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"MSTO1",1,0,0,0,0,0,1,5,0,0,0,0,0,1,1,151
"YY1AP1",4,4,0,1,1,1,2,19,10,0,0,3,1,0,4,607
"DAP3",18,1,1,1,5,3,6,50,12,0,6,5,0,0,21,1452
"GON4L",3,6,2,3,3,1,4,30,5,2,1,3,0,0,12,598
"SYT11",3,3,0,0,6,0,1,7,2,0,3,1,0,0,6,13
"RIT1",17,4,1,0,0,2,2,11,2,0,2,1,0,1,8,316
"KIAA0907",3,3,0,1,2,0,4,15,3,1,0,2,0,1,6,1072
"RXFP4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"ARHGEF2",23,2,0,0,1,0,8,4,3,2,1,0,0,3,5,354
"RP11-336K24.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"SSR2",81,24,7,10,22,7,30,248,51,3,39,18,4,10,70,7502
"UBQLN4",5,2,0,0,2,0,1,5,1,1,2,0,0,0,1,434
"LAMTOR2",78,12,3,2,11,3,4,73,16,2,3,7,2,6,28,3820
"RAB25",0,0,0,0,0,0,2,2,2,0,0,0,0,0,1,4185
"MEX3A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
"LMNA",214,32,8,15,3,4,54,91,43,5,77,6,6,14,196,11843
"SEMA4A",11,0,0,0,0,0,0,0,0,0,0,0,0,1,2,116
"SLC25A44",10,2,0,0,0,0,0,8,2,0,2,0,0,1,3,236
"PMF1-BGLAP",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"PMF1",13,7,1,2,3,2,2,43,13,4,5,6,2,1,29,1249
"BGLAP",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7
"PAQR6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,34
"SMG5",3,0,0,1,0,2,1,6,3,0,0,1,0,0,3,568
"TMEM79",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,66
"GLMP",28,2,0,0,0,1,2,9,2,0,1,1,0,3,4,430
"CCT3",34,8,0,2,16,1,12,79,20,5,8,10,2,0,30,5419
"TSACC",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28
"RP11-139I14.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"C1orf61",2,0,0,1,0,0,0,4,1,0,0,0,1,0,1,16
"RP11-98G7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76
"MEF2D",12,4,0,0,2,2,1,10,3,2,0,3,0,0,9,561
"IQGAP3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,87
"APOA1BP",20,5,0,2,5,1,5,50,7,4,2,5,1,0,24,2221
"GPATCH4",7,3,0,1,1,0,2,19,3,0,1,4,2,0,8,1490
"AL365181.2",1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8
"HAPLN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-284F21.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"BCAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-284F21.10",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
"RP11-284F21.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154
"RP11-66D17.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"CRABP2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
"ISG20L2",5,1,1,1,1,0,7,24,2,0,2,1,0,1,11,1149
"RRNAD1",4,0,0,0,0,0,1,5,1,0,0,0,0,0,4,344
"MRPL24",10,2,1,2,5,0,2,12,4,1,3,2,0,0,6,1443
"HDGF",22,7,3,3,4,1,3,38,7,0,4,1,0,3,10,3249
"PRCC",6,3,1,1,1,0,3,21,3,0,2,3,1,0,6,858
"SH2D2A",3,27,3,5,20,6,0,186,53,2,6,18,2,1,54,71
"NTRK1",0,0,0,0,0,1,0,7,0,0,0,0,0,0,5,0
"INSRR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PEAR1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ARHGEF11",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"ETV3L",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ETV3",40,0,0,0,0,0,1,7,5,0,1,3,0,4,1,403
"FCRL5",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"FCRL4",0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"FCRL3",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"FCRL2",0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,3
"FCRL1",0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0
"KIRREL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"CD1D",5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
"RP11-404O13.5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CD1A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CD1C",0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0
"CD1B",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD1E",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MNDA",32,0,0,0,0,0,2,0,0,0,0,0,0,3,0,4
"PYHIN1",1,4,2,1,6,1,0,29,9,0,3,5,1,0,19,4
"IFI16",14,16,3,5,19,1,5,73,16,2,8,8,0,1,34,333
"AIM2",2,0,0,1,1,0,2,12,1,0,2,0,0,0,7,58
"FCER1A",2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
"DUSP23",40,8,0,1,2,0,4,36,13,0,7,4,3,0,9,3085
"FCRL6",0,5,0,3,0,0,0,0,2,0,0,0,0,0,0,0
"SLAMF8",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C1orf204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"VSIG8",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16
"RP11-190A12.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"CFAP45",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35
"TAGLN2",123,69,9,11,41,9,66,416,89,36,59,34,8,26,147,10739
"IGSF9",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"SLAMF9",12,0,0,0,0,0,0,0,0,0,0,0,0,17,0,11
"LINC01133",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1488
"PIGM",2,0,0,0,0,0,0,3,0,0,1,0,0,0,0,235
"IGSF8",5,2,0,0,1,1,0,10,5,1,2,0,0,2,3,1211
"ATP1A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ATP1A4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-536C5.7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"PEA15",48,1,0,0,1,0,8,12,1,2,0,3,1,2,2,957
"DCAF8",5,0,0,1,1,0,4,11,2,2,1,1,0,2,12,522
"RP11-574F21.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP11-574F21.2",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,12
"PEX19",3,1,0,2,2,0,1,13,1,0,0,0,0,0,5,285
"COPA",19,4,2,0,2,0,1,22,5,4,2,3,0,1,9,1277
"NCSTN",13,1,0,0,3,0,1,6,2,1,2,1,0,0,1,444
"NHLH1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"VANGL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"SLAMF6",0,0,0,1,0,0,0,1,2,1,0,0,0,0,0,14
"CD84",39,2,0,0,3,0,1,14,4,0,2,0,0,0,6,6
"SLAMF1",0,0,1,0,6,0,0,20,4,1,1,0,0,1,15,3
"RP11-404F10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8
"CD48",80,14,6,7,22,2,38,170,36,15,27,6,5,14,61,33
"SLAMF7",53,0,0,1,0,0,2,2,2,1,0,4,0,2,0,5
"LY9",2,1,0,0,0,0,32,8,2,13,0,1,0,0,1,6
"CD244",4,2,0,0,1,1,0,3,7,0,0,3,1,0,0,0
"ITLN1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32
"ITLN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"F11R",7,2,0,1,0,0,0,3,2,0,2,0,0,0,1,1638
"TSTD1",11,6,1,5,8,1,7,53,18,3,13,4,0,3,30,4839
"USF1",3,1,0,0,0,0,0,5,1,0,0,0,0,0,2,37
"ARHGAP30",11,9,1,1,7,0,3,55,17,3,1,6,0,3,22,40
"PVRL4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,379
"RP11-544M22.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"KLHDC9",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,229
"PFDN2",39,17,3,3,10,3,10,71,14,1,13,5,1,2,28,5017
"NIT1",5,1,0,1,0,0,1,10,1,0,0,0,0,0,2,293
"DEDD",3,1,0,1,3,0,1,4,2,0,1,0,1,1,1,314
"UFC1",44,18,6,5,20,5,17,152,30,5,19,11,2,4,55,7246
"RP11-297K8.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"USP21",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50
"PPOX",1,1,0,0,2,0,0,5,0,0,1,1,0,0,3,223
"B4GALT3",9,4,3,0,1,0,3,17,4,0,1,3,1,0,10,919
"ADAMTS4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NDUFS2",21,3,0,1,4,2,5,28,2,0,3,3,0,1,9,2519
"FCER1G",1244,1,0,12,1,2,0,2,0,0,0,70,0,169,0,94
"TOMM40L",2,0,0,0,0,1,0,5,0,0,1,0,1,0,0,50
"NR1I3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
"PCP4L1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"MPZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24
"SDHC",18,6,1,1,6,3,5,59,14,3,3,6,0,2,17,2826
"FCGR2A",272,0,0,0,0,0,1,1,1,0,0,0,0,18,0,22
"HSPA6",65,0,0,0,1,0,4,2,1,0,0,4,2,0,60,113
"FCGR3A",100,0,0,1,0,0,0,0,0,0,0,12,0,0,1,3
"FCGR2B",27,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0
"FCRLA",0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0
"FCRLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"DUSP12",7,2,1,1,1,0,1,10,5,3,1,1,0,0,3,411
"RP11-474I16.8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"ATF6",14,3,0,1,1,0,1,14,2,0,2,1,0,1,3,615
"OLFML2B",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"NOS1AP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
"C1orf226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,155
"SH2D1B",0,0,0,2,0,1,0,0,0,0,0,11,0,0,0,0
"UHMK1",16,5,2,0,2,1,2,29,6,2,3,4,0,1,4,693
"RP11-359K18.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"UAP1",6,7,0,8,2,2,4,30,11,2,7,14,2,3,6,1522
"DDR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"HSD17B7",1,2,0,1,2,0,1,7,2,0,0,3,0,0,4,492
"CCDC190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RGS5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"RGS5.1",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,28
"NUF2",7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,129
"PBX1",1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,570
"LMX1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RXRG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"RP11-280O1.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"RP11-306I1.2",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8
"MGST3",87,9,7,4,4,0,2,54,16,2,11,5,3,7,32,6154
"ALDH9A1",8,4,0,0,4,2,3,20,2,1,3,3,1,1,8,1062
"RP11-466F5.10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"TMCO1",28,5,2,8,12,1,5,81,19,4,8,7,1,1,26,3154
"UCK2",2,1,0,0,2,0,0,5,0,0,0,0,0,0,0,594
"RP11-525G13.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FAM78B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
"RP11-276E17.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"POGK",2,0,0,0,4,1,2,6,0,1,1,0,0,1,2,420
"TADA1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,87
"ILDR2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"GPA33",1,4,0,1,0,1,0,2,4,0,1,6,0,0,1,795
"DUSP27",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,251
"RP11-277B15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38
"POU2F1",2,0,0,1,1,1,1,1,0,0,2,0,0,2,2,342
"CD247",1,14,0,19,15,5,0,111,18,0,17,56,2,1,44,28
"RP11-104L21.3",0,0,0,1,2,2,0,6,0,0,1,0,1,0,2,1
"CREG1",138,3,0,1,1,0,0,10,1,0,0,3,0,17,2,1682
"RP3-455J7.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RCSD1",8,1,3,3,2,1,2,21,5,1,2,2,0,0,8,0
"MPZL1",12,2,0,0,0,0,1,5,0,0,0,0,0,2,0,1607
"ADCY10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"RP1-313L4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"MPC2",46,13,4,6,8,4,6,97,21,3,14,12,2,1,36,6252
"DCAF6",10,0,0,1,1,0,2,21,5,1,1,4,1,0,6,627
"GPR161",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"TIPRL",29,6,0,2,5,1,2,58,8,0,4,4,0,4,17,1045
"SFT2D2",13,4,1,0,1,1,1,13,3,0,1,1,0,1,5,604
"TBX19",1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,24
"RP5-968D22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RP5-968D22.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"XCL2",0,7,0,2,0,6,0,16,40,0,0,24,4,1,0,12
"XCL1",0,3,0,2,0,1,0,4,31,0,0,10,7,1,0,4
"DPT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RP1-10C16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"LINC00970",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"RP5-1018K9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ATP1B1",54,0,1,0,2,0,2,2,1,0,1,0,2,6,9,4974
"NME7",0,6,0,1,2,0,0,14,2,0,1,1,1,0,5,261
"BLZF1",1,1,1,0,2,0,0,7,5,0,3,2,1,0,3,409
"CCDC181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"SLC19A2",7,1,0,0,0,0,0,3,1,0,0,1,0,0,0,197
"RP1-206D15.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"F5",0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,1
"C1orf112",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71
"SELL",1,0,0,0,0,0,8,5,3,2,14,0,0,3,22,7
"METTL18",2,1,0,0,1,0,1,8,2,0,0,1,1,0,6,109
"SCYL3",2,0,0,0,0,1,0,6,0,1,2,0,0,0,2,90
"KIFAP3",2,0,0,2,0,1,0,5,0,0,0,1,0,0,5,217
"RP11-576I22.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"GORAB",0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,54
"PRRX1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"FMO1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FMO4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29
"PRRC2C",49,15,2,7,17,3,21,162,42,2,19,11,3,2,55,3118
"VAMP4",5,1,1,1,5,0,1,13,5,0,0,1,0,0,4,203
"METTL13",0,1,0,0,0,1,0,7,4,0,0,2,0,0,1,333
"DNM3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7
"DNM3OS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIGC",3,6,0,0,1,2,0,16,3,2,4,1,0,0,6,523
"C1orf105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"SUCO",6,1,0,1,3,1,0,15,4,0,2,4,0,1,3,398
"FASLG",0,9,0,0,1,0,0,12,5,0,0,2,1,0,1,1
"TNFSF18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TNFSF4",0,2,0,0,0,1,0,0,1,0,0,1,1,0,1,2
"RP11-296O14.3",1,2,0,0,0,0,0,3,1,0,0,1,1,0,1,2
"PRDX6",75,18,4,1,11,2,16,121,28,2,8,15,4,12,53,5355
"ANKRD45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"KLHL20",2,2,0,0,1,0,1,13,1,0,1,0,0,0,5,196
"CENPL",0,2,1,0,0,0,0,8,0,1,0,0,0,0,4,93
"DARS2",1,0,0,0,0,0,0,4,1,0,0,1,0,1,0,187
"GAS5-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ZBTB37",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,54
"SERPINC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RC3H1",6,2,1,1,3,0,1,11,6,0,0,1,0,0,3,588
"RP11-160H22.3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14
"RP11-160H22.5",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"RABGAP1L",7,5,0,1,5,1,3,39,6,0,4,0,1,0,7,373
"CACYBP",42,19,8,2,36,5,5,228,27,3,22,32,6,2,141,4299
"MRPS14",12,3,1,1,1,0,0,33,5,0,3,5,0,1,9,1305
"KIAA0040",0,2,0,1,1,0,0,22,1,1,4,0,0,1,6,1013
"TNR",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"RP11-318C24.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"RFWD2",1,0,0,0,2,0,1,9,5,0,1,0,0,0,7,853
"RP11-492I21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"RP11-195C7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"RP1-35C21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SEC16B",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,52
"RASAL2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"RASAL2",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
"C1orf220",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"RP5-1098D14.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
"RP11-428K3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"RALGPS2",1,0,0,0,0,0,7,0,0,4,0,0,0,0,1,396
"FAM20B",3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,249
"TOR3A",23,7,0,2,3,1,8,19,1,1,1,6,0,3,7,767
"ABL2",113,0,0,0,0,0,4,2,1,0,1,0,0,12,1,436
"SOAT1",21,4,0,0,2,0,0,8,3,0,2,0,0,3,6,137
"AXDND1",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,92
"TDRD5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"FAM163A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"TOR1AIP2",5,4,0,0,2,3,2,46,3,0,1,1,1,1,14,1118
"RP11-533E19.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,51
"TOR1AIP1",6,3,1,0,1,0,1,18,2,2,2,1,0,2,15,282
"RP11-533E19.5",1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17
"CEP350",9,3,1,0,3,0,0,18,5,1,3,1,0,1,5,439
"RP11-502H18.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"QSOX1",19,5,0,1,0,1,0,14,3,1,2,0,0,2,9,1292
"LHX4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ACBD6",3,4,0,1,3,0,2,10,4,0,1,2,1,0,3,1147
"XPR1",1,0,0,0,1,1,0,6,1,0,0,0,0,2,3,161
"RP11-46A10.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"KIAA1614-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"STX6",9,1,0,0,0,0,0,3,2,0,2,0,0,1,3,240
"MR1",2,0,0,0,3,0,0,5,1,0,1,1,0,0,3,66
"IER5",68,2,0,0,4,3,8,33,10,0,3,0,1,2,17,789
"GLUL",290,1,0,0,0,2,0,4,7,1,2,1,0,23,7,3038
"RGSL1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"RNASEL",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35
"RGS16",0,3,0,2,0,2,11,6,0,1,2,4,1,1,11,384
"RP11-317P15.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"NPL",29,0,0,0,1,0,0,3,3,0,0,0,0,0,0,55
"DHX9",12,4,0,0,3,2,6,19,6,2,4,3,0,0,7,1276
"LAMC1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,267
"LAMC2",2,1,0,0,1,0,1,7,1,0,0,0,0,0,1,3125
"NMNAT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"SMG7",4,1,0,0,1,0,2,3,2,0,1,0,0,0,1,511
"NCF2",39,0,0,0,0,0,0,0,0,0,0,0,0,2,0,63
"ARPC5",112,22,4,6,18,3,16,154,34,5,19,20,3,19,50,4110
"RGL1",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71
