"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Double-Negative Tcells","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","IL22+ CD4 Tcells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","pDCs","Plasma cells","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs"
"ARF3",100,9,5,15,1,1,0,2,2,2,6,0,23,4,2,3,2,0,5,3,44,18,179,17
"WNT10B",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"RP11-386G11.5",8,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,3,0,9,2
"PRKAG1",18,8,2,1,2,2,0,1,2,2,2,0,28,5,1,8,0,1,0,2,7,11,114,6
"KMT2D",20,3,0,1,1,1,1,0,2,0,0,0,3,0,1,1,1,1,0,0,5,3,41,4
"RHEBL1",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
"DHH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"RP11-386G11.8",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMBR1L",20,2,2,1,0,1,1,0,1,0,2,5,20,1,0,3,1,0,1,1,3,22,52,4
"TUBA1B",433,47,10,77,12,16,2,13,3,6,14,9,100,18,5,30,6,6,20,19,254,48,1342,52
"RP11-386G11.10",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0
"TUBA1A",70,54,8,8,3,20,5,11,8,2,10,11,95,16,3,38,4,6,3,0,80,63,139,30
"TUBA1C",110,13,3,13,0,2,4,1,1,5,1,2,29,5,2,9,3,0,6,3,29,17,1171,13
"RP11-977B10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-161H23.5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"PRPH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"TROAP",4,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,96,0
"DNAJC22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0
"SPATS2",17,7,0,1,0,0,0,1,1,0,1,1,11,0,0,1,0,0,1,13,4,2,80,7
"MCRS1",17,8,2,3,2,1,0,2,2,2,0,2,19,5,1,6,2,1,1,3,8,19,125,6
"PRPF40B",1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,22,1
"FMNL3",22,2,0,0,0,1,2,1,1,0,4,1,7,2,0,2,1,0,3,0,7,3,2,10
"TMBIM6",444,28,17,39,4,22,9,15,7,9,8,4,168,36,5,60,13,9,16,33,128,94,1224,33
"NCKAP5L",10,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,13,8
"BCDIN3D-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BCDIN3D",1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,1,3,14,1
"FAIM2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
"RP11-469H8.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"RACGAP1",5,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4,3,27,0
"ASIC1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SMARCD1",9,3,1,2,0,0,1,3,0,0,1,1,23,0,0,3,2,1,2,4,6,9,85,5
"GPD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"COX14",177,18,6,22,2,10,6,6,2,3,11,7,111,15,4,31,11,2,14,7,63,63,522,21
"RP4-605O3.4",5,1,0,0,0,0,2,2,0,1,0,3,5,1,0,5,0,1,0,1,2,3,53,2
"CERS5",14,3,0,2,1,2,1,3,1,1,1,0,17,2,0,4,2,1,1,1,5,10,36,0
"LIMA1",10,15,0,1,0,1,0,3,2,0,3,1,12,0,0,2,0,0,2,2,0,11,284,9
"LARP4",13,3,0,0,1,0,0,0,1,1,1,0,8,2,0,5,0,0,1,1,3,2,84,3
"DIP2B",15,1,0,1,1,2,0,0,0,0,0,0,3,1,0,3,1,0,0,0,5,2,65,0
"ATF1",19,3,2,3,1,3,1,0,1,2,1,0,15,4,0,9,2,2,0,2,4,11,102,2
"METTL7A",33,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,5,7,18,2
"SLC11A2",34,5,0,1,0,1,0,0,0,0,0,1,6,1,0,1,1,1,0,1,8,8,127,2
"LETMD1",12,6,1,2,0,0,0,0,0,0,1,1,15,3,0,9,2,1,0,2,5,11,64,1
"CSRNP2",7,5,2,2,0,1,0,0,0,2,3,1,5,0,0,1,2,1,0,1,4,5,246,2
"TFCP2",18,0,0,1,0,1,0,0,0,1,0,0,2,1,0,1,0,1,2,0,4,1,45,1
"POU6F1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"DAZAP2",242,28,22,32,8,12,5,14,15,12,7,16,165,28,12,40,13,7,19,9,122,102,611,26
"SMAGP",17,2,1,2,0,2,1,1,1,1,1,3,18,7,4,7,0,0,1,1,7,16,494,7
"BIN2",42,0,8,3,0,7,1,1,8,3,5,2,42,17,2,15,4,3,5,1,11,21,53,0
"GALNT6",15,0,1,0,0,1,1,0,1,0,1,0,9,1,0,0,1,0,0,1,3,2,149,0
"SLC4A8",7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3,18,0
"SCN8A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ACVRL1",35,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,70,38
"ACVR1B",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,34,3
"GRASP",47,1,1,9,0,0,0,0,0,0,0,1,0,0,0,3,1,0,22,0,14,0,2,10
"NR4A1",142,26,2,22,1,1,3,1,2,1,1,13,22,1,3,9,3,1,3,11,52,11,1208,28
"RP11-1100L3.8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0
"ATG101",38,15,2,4,1,2,0,1,2,2,0,5,27,5,1,5,9,1,7,4,19,15,251,5
"RP11-1100L3.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KRT80",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,59,0
"KRT7",2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,0
"KRT86",0,0,0,0,13,0,0,0,17,0,0,0,1,2,0,0,23,0,0,0,0,0,2,0
"KRT81",0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,21,0,0,0,0,0,2,0
"KRT83",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"KRT6B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,64,1
"KRT6A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"KRT5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0
"KRT2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"KRT78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"KRT8",221,34,8,25,7,9,13,9,8,8,9,7,133,25,3,47,18,5,14,35,88,64,13935,28
"KRT18",131,19,8,15,4,17,5,2,3,3,3,7,91,16,2,32,13,7,8,25,47,35,12238,24
"EIF4B",110,16,6,20,1,5,4,3,2,6,3,8,112,17,4,50,7,5,19,14,38,42,502,25
"RP11-983P16.4",1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,10,2
"TNS2",1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,7
"SPRYD3",7,3,0,2,0,0,0,0,0,0,0,0,3,0,0,3,0,0,1,1,1,5,32,6
"IGFBP6",1,54,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,4,7
"CSAD",3,2,0,2,0,0,1,1,0,1,0,1,8,0,0,5,1,1,1,0,1,6,57,2
"ZNF740",2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,3,1
"ITGB7",62,0,2,7,3,2,2,5,5,2,9,4,43,7,2,10,5,2,1,14,9,18,7,0
"RARG",4,7,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,43,2
"MFSD5",12,2,1,0,0,1,0,0,1,0,2,0,6,0,0,3,0,0,0,0,4,3,48,0
"ESPL1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,1
"PFDN5",912,147,48,182,14,41,45,40,36,36,52,65,706,96,32,350,65,28,72,67,500,365,2566,96
"RP11-680A11.5",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0
"C12orf10",29,7,1,8,0,0,0,3,1,1,2,2,19,2,0,5,3,1,3,4,10,13,218,12
"AAAS",6,0,1,1,0,2,0,1,0,0,0,0,3,1,0,1,0,0,0,0,1,4,67,0
"SP1",12,4,0,1,0,2,0,0,0,0,3,0,4,1,0,2,0,0,1,0,9,2,79,2
"PRR13",258,25,14,32,8,14,2,7,5,7,14,8,155,26,4,45,11,10,15,15,137,95,1162,14
"PCBP2",297,48,18,53,6,18,16,11,12,16,18,20,218,37,9,57,17,7,30,20,128,95,1103,56
"MAP3K12",5,2,0,3,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,1,1,2,12,1
"RP11-793H13.11",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"TARBP2",9,4,1,3,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,3,5,55,0
"RP11-793H13.10",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
"ATF7",17,1,2,2,0,0,0,1,0,0,2,1,6,3,0,3,1,1,3,0,3,10,89,5
"ATP5G2",578,78,43,118,16,46,32,20,26,12,26,26,441,59,14,131,46,20,44,47,301,228,3460,56
"CALCOCO1",7,2,1,0,0,3,2,0,0,1,0,0,9,0,0,4,2,0,2,6,0,6,29,4
"HOTAIR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HOXC11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
"HOXC10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HOXC6",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HOXC9",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HOXC-AS1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HOXC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"HOXC4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"HOXC5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMUG1",16,2,1,2,0,0,0,1,1,2,0,0,7,2,0,3,1,0,0,4,3,3,97,3
"RP11-834C11.4",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CBX5",22,6,2,2,1,4,0,1,0,3,0,0,17,2,0,3,2,1,2,4,0,9,64,4
"HNRNPA1",672,142,75,173,33,83,41,40,53,42,41,69,810,116,29,347,106,32,68,68,329,458,5811,94
"COPZ1",72,12,3,12,2,2,3,2,0,3,5,3,35,1,1,11,2,2,3,8,30,29,279,12
"GPR84",30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0
"ZNF385A",79,6,0,13,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,24,0,5,1
"ITGA5",31,5,3,6,1,1,0,0,0,0,0,0,6,0,0,1,0,0,0,0,18,2,11,27
"GTSF1",2,1,0,0,0,0,1,0,0,0,0,1,6,0,0,1,0,0,0,0,0,1,1,0
"NCKAP1L",80,0,3,9,0,2,1,3,0,2,5,5,20,9,2,11,3,2,2,2,32,16,7,1
"PDE1B",5,0,0,1,0,1,0,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0
"MUCL1",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"TESPA1",2,0,0,0,0,0,0,1,0,2,1,0,22,2,0,7,1,2,0,1,0,7,2,0
"RP11-110A12.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"METTL7B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0
"ITGA7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"BLOC1S1",337,22,5,48,3,10,10,5,9,2,10,7,104,12,2,42,7,6,9,13,148,66,1276,38
"RDH5",1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,2,63,2
"CD63",1031,182,5,77,8,11,4,4,28,7,13,5,76,35,3,18,39,5,4,21,377,31,1775,137
"RP11-644F5.11",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1
"GDF11",5,5,1,1,0,1,1,1,0,0,0,2,6,4,2,7,1,1,0,3,0,5,17,1
"SARNP",21,4,1,4,0,0,2,0,1,1,1,1,4,2,0,1,0,0,0,0,7,7,48,3
"ORMDL2",62,7,7,7,1,4,5,3,1,2,5,1,47,6,2,8,3,3,2,5,26,19,159,2
"DNAJC14",9,2,0,2,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,4,2,17,1
"MMP19",153,6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,2,9,0
"PYM1",32,2,3,6,0,2,0,1,0,3,2,1,21,3,0,6,3,2,0,1,19,11,75,1
"DGKA",9,0,0,1,0,1,4,1,0,2,1,0,13,5,0,5,1,0,1,0,0,10,29,1
"PMEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"CDK2",5,3,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,5,0,39,1
"RAB5B",36,7,1,2,0,1,3,0,0,1,0,2,11,4,1,1,2,1,5,2,13,4,115,5
"SUOX",8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,1
"IKZF4",3,2,0,0,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,1,9,7,2
"RP11-603J24.21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RPS26",567,104,38,118,19,47,33,36,21,31,56,37,489,71,24,170,49,25,47,80,292,311,4552,122
"ERBB3",6,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,408,0
"PA2G4",95,11,4,10,5,8,9,4,2,6,9,4,94,13,4,19,3,5,4,8,45,38,814,12
"RPL41",4694,1007,451,938,124,426,367,284,243,221,394,512,6297,845,244,2454,432,191,559,703,2370,2835,34093,602
"ZC3H10",1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,10,0
"ESYT1",22,3,1,4,0,1,3,0,2,2,2,0,17,1,1,8,3,1,0,1,9,11,55,1
"RP11-603J24.5",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-603J24.14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MYL6B",27,10,0,3,1,1,0,1,2,1,1,1,19,1,0,1,0,0,1,9,4,16,131,6
"MYL6",1508,324,81,194,30,112,67,54,34,58,125,54,1070,135,21,297,83,40,80,88,652,562,5686,283
"SMARCC2",13,3,0,3,0,1,0,3,0,1,2,3,16,2,2,9,2,0,2,0,5,14,79,3
"RNF41",15,6,2,4,1,4,1,1,3,1,3,1,16,5,3,3,2,1,1,1,5,7,66,3
"NABP2",19,2,0,2,0,2,0,2,2,3,1,0,12,3,1,4,2,0,2,1,7,6,149,6
"SLC39A5",1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,2,159,0
"ANKRD52",4,2,1,1,0,1,0,0,0,0,2,0,6,0,0,1,0,0,1,0,2,3,32,0
"COQ10A",8,2,0,0,1,1,0,0,1,1,1,1,8,3,1,3,1,0,0,1,3,2,10,1
"CS",42,3,1,5,1,0,1,0,1,2,0,0,8,2,0,1,1,0,4,0,8,15,163,0
"RP11-977G19.11",5,0,0,3,0,2,0,0,0,0,0,0,4,1,0,2,2,0,0,0,2,0,16,0
"RP11-977G19.12",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,2,3,1,7,0
"CNPY2",77,24,5,10,2,5,7,3,5,3,5,1,52,4,1,14,3,1,6,18,43,29,522,11
"PAN2",3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,1,0,1,19,4
"IL23A",69,0,0,0,0,0,0,0,0,0,2,1,6,0,0,2,0,0,0,1,36,8,15,0
"STAT2",47,15,0,4,1,2,1,0,1,1,0,0,11,1,2,6,1,2,10,1,21,7,41,3
"APOF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TIMELESS",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,18,0
"SPRYD4",3,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,2,0,0,0,29,0
"GLS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RBMS2",14,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,35,11
"BAZ2A",23,9,4,4,0,2,2,2,0,2,0,5,25,4,1,6,5,3,1,2,13,15,141,2
"ATP5B",280,32,14,36,7,18,8,8,7,7,16,8,115,24,6,45,11,4,13,20,119,78,1607,34
"PTGES3",146,29,14,13,6,7,8,13,9,14,8,8,140,22,4,42,15,4,8,11,56,93,1454,19
"NACA",906,178,75,189,20,63,38,35,52,26,56,71,882,118,27,369,95,34,111,93,440,424,6978,146
"PRIM1",5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,1,0,0,1,1,1,40,0
"HSD17B6",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ZBTB39",1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,3,8,0
"TAC3",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"MYO1A",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,86,0
"NEMP1",6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,11,0,8,1
"NAB2",2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,23,2
"STAT6",31,4,0,5,0,3,0,0,1,0,1,1,15,3,1,3,1,2,6,0,13,5,134,7
"LRP1",59,29,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,19,0,124,1
"NXPH4",0,0,1,0,1,9,2,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,5,0
"SHMT2",22,3,1,6,0,2,0,0,1,3,1,2,11,4,0,2,5,0,2,6,5,12,124,2
"NDUFA4L2",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18,51
"STAC3",29,1,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8,0,3,0
"R3HDM2",26,6,1,2,0,1,0,0,0,3,0,0,14,1,2,4,1,2,5,0,3,8,127,1
"RP11-756H6.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"INHBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"GLI1",0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ARHGAP9",39,2,1,4,2,9,6,3,8,2,5,2,56,14,0,15,9,4,5,2,9,43,10,0
"MARS",7,4,1,4,0,1,0,0,0,0,3,0,13,1,1,5,0,1,0,3,9,6,89,1
"DDIT3",19,5,4,2,3,1,0,2,1,0,1,3,22,5,3,4,2,2,2,5,9,10,313,4
"MBD6",10,2,0,1,1,1,0,1,0,0,0,0,6,2,0,3,0,0,0,0,6,0,69,5
"DCTN2",46,15,4,5,0,2,0,3,1,0,2,1,23,6,0,12,5,0,7,5,14,20,278,15
"KIF5A",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PIP4K2C",5,1,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,2,5,46,0
"DTX3",0,6,0,0,0,1,1,0,1,0,0,0,7,1,0,0,0,0,0,0,1,4,18,0
"ARHGEF25",1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"B4GALNT1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OS9",102,19,0,12,2,0,0,4,2,4,3,3,25,6,2,7,6,1,4,6,22,24,276,13
"RP11-571M6.7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AGAP2",2,0,1,0,1,4,0,1,0,0,1,0,7,1,0,4,2,0,1,1,0,6,3,0
"AGAP2-AS1",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2
"TSPAN31",28,2,3,3,0,1,1,1,0,1,1,0,11,6,0,3,2,0,2,1,3,5,51,3
"CDK4",37,16,1,2,1,0,1,0,1,0,0,2,11,1,3,1,1,0,0,3,16,5,245,11
"MARCH9",6,2,0,0,1,0,0,0,0,0,0,0,7,0,1,2,0,0,0,1,0,2,55,4
"CYP27B1",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"METTL1",6,2,1,0,0,0,1,0,0,1,0,0,3,0,0,2,0,0,0,1,5,0,29,0
"METTL21B",15,3,0,0,0,0,0,0,0,0,2,1,3,0,0,1,0,0,0,1,1,0,8,0
"TSFM",10,2,1,1,0,0,1,0,1,2,0,0,17,5,0,4,0,0,2,0,3,8,63,3
"AVIL",0,3,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,14,0
"RP11-571M6.17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"RP11-571M6.18",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTDSP2",36,11,1,2,1,1,1,0,0,2,2,2,33,1,0,5,0,0,3,1,12,11,137,9
"RP11-620J15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"RP11-620J15.3",3,1,0,1,0,0,2,0,0,1,2,0,7,1,0,2,0,0,1,1,4,0,4,1
"XRCC6BP1",4,2,1,0,0,1,2,0,1,0,0,0,6,0,0,1,0,0,0,0,1,1,56,0
"LRIG3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2
"RP11-150C16.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"SLC16A7",2,2,1,1,0,0,1,1,1,1,2,0,4,2,0,5,0,0,1,0,4,3,1,6
"FAM19A2",2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,6,0
"USP15",41,9,5,8,5,6,5,3,3,2,4,5,61,7,2,20,5,1,9,4,18,52,116,5
"MON2",11,2,0,1,0,1,0,1,0,2,0,2,5,0,1,1,3,0,0,1,3,7,46,1
"LINC01465",3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,6,0
"RP11-631N16.2",1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,2,0,13,1
"RP11-631N16.4",2,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,4,0
"PPM1H",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0
"AVPR1A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DPY19L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TMEM5",14,5,0,1,0,0,0,0,0,0,1,3,2,0,1,4,1,0,2,0,1,9,84,1
"SRGAP1",27,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,89,5
"C12orf66",6,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,1,2,4,18,0
"XPOT",8,2,1,2,0,0,0,0,0,0,0,0,11,2,0,3,0,0,0,1,2,3,76,1
"RP11-114F3.4",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0
"TBK1",28,4,0,6,0,0,0,1,0,0,0,1,7,2,0,3,2,1,0,0,11,10,62,4
"RASSF3",74,2,0,17,0,2,3,1,1,3,2,1,19,3,0,9,0,0,0,0,24,8,153,4
"GNS",139,7,0,15,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,3,52,4,42,8
"TBC1D30",8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,2
"WIF1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0
"LEMD3",5,4,2,1,0,1,0,0,1,1,2,0,3,2,0,1,0,2,1,2,1,1,57,0
"MSRB3",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4
"RP11-230G5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"HMGA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
"RP11-366L20.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LLPH",41,5,1,2,0,4,2,0,1,0,4,0,39,10,1,8,4,1,6,1,14,20,224,3
"RP11-745O10.4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TMBIM4",146,15,1,12,0,4,6,5,2,1,3,4,59,8,2,17,4,2,2,9,62,38,423,12
"IRAK3",33,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,4,1
"HELB",4,1,1,0,0,3,0,0,0,0,0,0,8,3,0,3,0,0,0,0,0,6,17,0
"GRIP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
