"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","Fibroblasts","gdTcells","IL17+ CD4 Tcells","Lymphatic ECs","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive CD4 Tcells","NK cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"PRTFDC1",2,73,0,1,15,0,0,1,0,2,0,0,0,0,1,8,0,0,123,0,0
"RP11-165A20.3",0,5,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,24,0,0
"ENKUR",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"THNSL1",1,7,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,51,1,0
"GPR158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MYO3A",0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
"APBB1IP",104,28,2,6,4,4,5,0,0,43,7,0,7,3,0,2,30,42,3,1,0
"LINC00264",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"PDSS1",15,17,0,1,3,0,0,0,0,0,0,0,0,0,1,2,6,1,196,2,0
"RP13-16H11.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ABI1",153,134,0,2,11,1,4,3,3,18,7,2,5,3,3,16,22,34,498,48,5
"LINC00202-1",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"ANKRD26",6,67,0,0,10,0,0,1,0,3,0,0,0,2,0,8,2,4,42,27,3
"YME1L1",146,191,1,5,43,0,7,12,1,29,1,2,9,4,4,34,52,30,579,67,16
"MASTL",6,18,0,1,1,0,0,0,1,0,0,0,0,0,0,1,3,2,53,5,1
"ACBD5",53,42,1,1,4,1,1,1,0,4,3,0,0,0,3,9,7,2,529,21,1
"RAB18",115,358,0,5,35,0,4,9,1,19,2,4,3,3,2,43,30,27,620,68,18
"MKX",0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"MKX-AS1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ARMC4",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPP7",1,4,0,0,0,0,0,14,0,2,0,1,1,0,0,0,1,0,50,0,1
"RP11-351M16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"WAC-AS1",27,96,0,2,14,0,2,1,0,5,3,2,0,4,0,9,6,11,173,23,6
"WAC",119,184,0,3,27,2,5,2,3,26,9,4,3,4,2,32,26,27,516,69,13
"BAMBI",1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,98,1,0
"C10orf126",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SVIL-AS1",13,25,1,1,6,0,0,1,0,1,0,0,1,0,1,10,0,4,87,15,3
"SVIL",23,255,0,1,56,0,0,15,0,2,0,9,0,0,0,24,10,1,158,97,28
"KIAA1462",2,95,0,0,5,0,0,5,0,0,0,0,0,0,0,3,0,0,4,77,0
"MTPAP",20,35,0,1,4,0,0,1,0,1,0,0,0,2,1,8,2,1,129,10,3
"MAP3K8",149,182,1,14,18,5,1,10,0,8,2,0,0,12,0,25,60,7,66,37,16
"RP11-14C22.6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF438",25,22,0,0,2,0,0,2,0,0,0,0,0,0,0,3,2,2,63,4,2
"ZEB1-AS1",0,20,0,0,3,0,0,2,0,1,0,1,0,0,0,7,0,1,106,8,4
"ZEB1",3,148,0,2,27,0,3,3,0,10,0,2,2,4,0,19,1,14,22,101,12
"RP11-472N13.3",24,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"ARHGAP12",16,62,0,0,10,0,1,1,0,3,0,0,0,0,1,7,1,3,366,27,8
"KIF5B",208,518,2,9,63,0,10,21,2,31,8,8,4,1,12,110,70,40,1711,188,56
"EPC1",54,127,0,2,20,0,3,8,0,33,6,3,9,5,0,18,6,39,317,50,12
"RP11-135A24.4",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"CCDC7",2,5,0,1,2,0,0,0,0,1,1,0,0,1,0,2,0,4,33,1,1
"CCDC7.1",1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,1,35,4,0
"RP11-479G22.8",2,13,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0
"ITGB1",443,2825,3,3,175,4,2,52,0,47,4,19,19,19,28,532,76,42,1873,692,168
"RP11-462L8.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"NRP1",368,122,0,2,34,0,0,0,0,0,1,0,0,0,0,79,37,1,37,169,7
"RP11-342D11.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-90B22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PARD3",1,39,0,0,4,0,0,1,0,0,0,0,0,2,0,7,0,1,93,2,3
"PARD3-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"RP11-297A16.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CUL2",39,54,0,5,4,1,0,3,0,6,0,1,1,1,0,11,2,3,114,20,5
"RP11-297A16.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
"CREM",307,144,5,20,28,12,18,14,0,65,0,1,17,7,2,19,82,144,196,95,11
"CCNY",57,89,0,2,10,0,1,1,0,4,0,0,0,1,0,4,14,2,205,59,3
"RP11-324I22.4",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"RP11-425A6.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FZD8",0,71,0,0,3,0,0,0,0,0,0,1,0,0,0,5,0,0,1,8,0
"ANKRD30A",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-258F22.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"ZNF248",1,20,0,0,3,0,0,1,0,1,0,0,0,0,0,1,2,0,27,6,1
"RP11-162G10.5",0,7,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,4,1,1,0
"ZNF25",16,38,0,0,6,0,1,2,0,1,0,1,0,0,0,6,2,2,18,3,5
"ZNF33A",33,57,0,3,7,1,0,2,0,4,3,0,0,1,0,11,4,6,249,16,5
"ZNF37A",11,71,0,0,9,0,1,3,2,1,1,1,0,4,0,10,5,8,102,19,6
"RP11-508N22.12",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-508N22.13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"LINC00839",0,28,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,1,7,1
"ZNF33B",8,20,0,0,2,0,0,4,0,3,1,0,1,1,0,7,0,3,210,6,6
"BMS1",28,89,0,1,11,0,1,0,0,3,1,0,1,4,3,14,5,9,345,33,6
"LINC01264",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"RET",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,1
"RP11-351D16.3",1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
"CSGALNACT2",71,144,0,3,20,0,1,2,0,6,1,1,1,1,0,13,23,5,44,17,0
"RASGEF1A",7,9,0,0,0,0,0,0,0,2,0,0,0,1,0,1,1,2,2,0,0
"FXYD4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"HNRNPF",277,521,3,11,112,5,7,28,7,78,12,6,15,18,2,76,62,81,1808,169,30
"RP11-517P14.2",2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0
"ZNF487",4,13,0,0,1,0,0,2,0,1,0,0,0,1,0,1,2,0,46,1,0
"ZNF239",1,8,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,26,0,1
"ZNF485",2,4,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,24,0,0
"ZNF32",41,177,0,1,26,2,2,2,3,9,3,1,1,4,2,18,3,13,123,26,11
"LINC00619",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"LINC00840",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"RP11-20J15.3",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CXCL12",29,291,0,0,279,0,0,4,0,0,0,1,0,0,0,31,1,0,10,155,58
"TMEM72-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"RASSF4",186,18,0,8,6,0,0,0,0,0,0,0,0,1,0,15,31,1,22,6,1
"C10orf10",19,565,0,1,146,0,1,23,0,2,0,17,0,1,1,477,0,3,327,315,375
"C10orf25",6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13,3,0
"ZNF22",76,184,1,4,40,0,4,4,0,3,4,0,2,6,1,40,12,7,369,80,28
"OR13A1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ALOX5",117,5,0,10,0,0,0,2,8,0,0,0,0,1,0,1,32,0,252,4,0
"MARCH8",25,25,0,0,3,0,0,0,0,2,0,1,0,0,0,5,2,0,50,7,2
"ZFAND4",2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,16,2,1
"FAM21C",40,38,0,2,7,2,1,1,0,5,0,1,0,0,0,11,12,4,84,12,0
"AGAP4",3,8,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,37,5,0
"TIMM23",43,109,0,1,7,0,0,4,0,6,1,3,2,0,2,12,7,5,288,27,6
"NCOA4",186,167,1,5,23,1,4,9,6,12,1,2,1,3,1,17,36,15,532,47,7
"MSMB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,0,0
"ANXA8L1",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"GPRIN2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
"SYT15",1,21,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,15,8,0
"RP11-38L15.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"RP11-38L15.2",0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,0
"PTPN20",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GDF10",0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0
"RBP3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ZNF488",1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
"ANXA8",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AGAP9",8,13,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,48,4,0
"LINC00864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"CH17-360D5.2",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"CH17-360D5.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MAPK8",16,61,0,0,7,2,1,0,0,3,2,0,1,1,2,4,7,8,237,24,3
"ARHGAP22",48,34,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,0,6,7,1
"WDFY4",25,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0
"LRRC18",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VSTM4",4,147,0,0,19,0,0,4,0,0,0,0,0,0,0,20,0,2,4,1,4
"C10orf128",68,2,0,2,0,0,1,2,5,3,0,0,1,0,0,9,21,15,2,30,0
"RP11-123B3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"ERCC6",8,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,0
"PGBD3",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"C10orf53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"PARG",17,32,0,1,1,0,0,0,1,4,0,0,0,2,1,5,3,2,77,5,0
"TIMM23B",7,25,0,2,3,0,0,1,0,6,2,0,1,1,0,1,3,2,47,4,5
"LINC00843",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AGAP6",7,16,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,66,9,3
"FAM21A",37,37,0,1,3,0,1,1,0,2,1,0,1,0,0,6,7,4,108,12,3
"ASAH2",3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0
"SGMS1",44,26,0,1,7,0,0,2,0,4,1,0,0,1,1,4,5,11,106,14,6
"SGMS1-AS1",3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,1
"ASAH2B",1,11,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43,3,2
"A1CF",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,154,0,0
"PRKG1",0,59,0,0,6,0,0,0,0,0,0,0,0,0,0,20,0,0,28,0,25
"RP11-96B5.3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CSTF2T",19,57,0,1,9,0,0,2,0,9,3,0,1,1,0,3,3,14,86,14,4
"PRKG1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DKK1",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RP11-556E13.1",13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZWINT",18,26,0,0,1,0,0,1,0,1,0,0,0,0,2,4,2,1,325,3,1
"IPMK",15,14,0,0,1,0,0,1,0,0,0,0,0,0,0,2,4,0,48,5,0
"CISD1",51,444,1,0,51,1,2,32,0,9,5,10,2,3,15,29,14,22,1429,95,11
"UBE2D1",180,136,0,10,26,0,3,4,0,8,4,0,0,1,1,24,72,16,227,36,8
"TFAM",39,90,0,1,12,0,0,1,1,7,3,1,0,5,0,8,9,10,288,33,9
"BICC1",0,309,0,0,40,0,0,0,0,1,0,0,0,0,0,3,1,0,2,2,0
"LINC00844",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"PHYHIPL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"FAM13C",0,9,0,0,9,0,0,3,0,0,0,0,0,0,0,64,0,0,1,17,12
"RP11-135D11.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC16A9",0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1
"MRLN",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCDC6",43,91,1,0,26,1,0,4,0,4,3,3,0,3,1,18,6,10,315,24,8
"LINC01553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ANK3",0,15,0,0,0,0,0,0,0,5,0,0,7,0,0,2,0,4,59,0,0
"RP11-388P9.2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-131N11.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDK1",8,10,0,0,1,0,1,0,0,2,0,0,0,1,1,3,5,3,219,6,3
"RHOBTB1",12,50,0,0,3,0,0,1,0,0,0,1,0,0,0,4,1,0,24,12,0
"TMEM26",10,6,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"C10orf107",0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2
"RP11-63A2.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARID5B",120,1084,2,7,210,0,10,50,0,45,3,6,11,5,0,147,20,125,211,127,149
"RTKN2",7,5,0,0,2,0,0,0,0,4,2,0,1,0,1,1,0,85,66,1,0
"RP11-120C12.3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF365",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"ADO",20,46,0,0,5,0,1,0,0,4,1,0,0,1,0,4,4,1,103,10,1
"EGR2",43,104,1,0,35,0,0,0,2,4,0,0,0,0,0,3,11,0,28,2,0
"NRBF2",71,226,0,2,22,1,2,2,2,12,4,1,1,0,1,26,12,12,248,13,6
"JMJD1C",80,197,1,3,47,0,3,15,0,22,2,2,5,3,3,52,37,26,475,95,11
"JMJD1C-AS1",0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0
"REEP3",136,593,3,1,46,2,1,41,0,11,0,8,2,5,14,116,25,32,810,95,45
"RP11-170M17.1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-174J11.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-179K3.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LINC01515",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,1,0
"CTNNA3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,12,0,1
"DNAJC12",2,35,0,3,14,0,0,2,0,1,0,0,0,1,2,5,1,0,287,19,0
"RP11-57G10.8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"SIRT1",12,21,0,0,9,0,0,3,0,1,1,1,1,0,0,1,4,1,77,5,4
"HERC4",41,87,0,0,8,1,0,3,0,10,1,0,0,2,0,5,8,13,243,36,6
"PBLD",6,18,0,0,5,0,0,0,0,3,0,0,0,0,0,4,1,0,83,3,2
"HNRNPH3",141,328,1,3,62,5,7,17,6,35,5,1,7,10,11,52,53,44,860,69,37
"RUFY2",10,45,0,0,5,0,0,1,1,4,2,0,1,0,1,6,2,3,65,22,4
"DNA2",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0
"SLC25A16",11,38,0,0,2,1,0,3,0,2,0,0,2,1,0,7,4,5,57,12,1
"TET1",0,28,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,6,1
"CCAR1",96,180,2,3,27,1,3,7,0,27,3,3,1,6,3,30,14,18,608,63,5
"DDX50",34,151,0,1,24,0,2,6,0,14,2,3,4,1,0,27,6,17,220,29,14
"DDX21",190,352,0,7,34,3,4,7,3,29,6,1,12,7,6,46,55,29,1329,151,26
"KIF1BP",31,68,0,0,9,0,0,3,2,2,0,2,1,0,0,16,0,3,126,12,16
"SRGN",4563,161,31,183,62,60,68,1,120,577,69,1,98,158,1,11,2271,842,183,276,21
"VPS26A",117,159,4,8,18,0,6,10,0,17,7,2,1,5,2,22,31,17,442,43,11
"SUPV3L1",12,29,1,0,2,0,1,0,1,5,1,0,0,3,1,5,0,3,83,8,1
"HKDC1",7,13,0,0,1,0,1,0,0,0,1,1,0,0,2,3,0,1,431,4,2
"HK1",89,120,0,5,9,1,2,7,0,5,3,1,1,2,2,21,22,18,183,41,5
"TACR2",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,2
"TSPAN15",37,43,0,2,3,0,0,23,0,2,0,1,2,0,3,25,1,1,1107,143,7
"RP11-343J3.2",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"C10orf35",1,4,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,2,34,2,0
"COL13A1",1,54,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,2,29,2
"H2AFY2",21,111,0,4,10,0,1,0,0,7,0,1,0,2,1,2,0,2,1,3,3
"AIFM2",23,69,0,0,10,0,2,0,1,0,0,0,1,1,1,9,1,4,225,2,3
"TYSND1",9,33,0,2,4,0,0,1,0,6,0,1,0,0,1,1,2,2,56,6,3
"SAR1A",114,495,1,5,40,2,5,11,4,13,0,6,4,8,7,36,22,14,760,59,9
"PPA1",127,682,2,20,72,1,10,7,1,53,4,12,3,2,46,128,81,68,3125,152,33
"NPFFR1",1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0
"LRRC20",1,4,0,1,1,0,0,0,0,0,1,1,0,0,0,3,0,0,23,2,0
"EIF4EBP2",94,131,2,6,21,1,0,4,1,14,4,1,2,3,2,27,18,10,467,46,10
"NODAL",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"PALD1",17,3,0,1,0,0,0,8,0,0,0,0,0,0,0,6,0,0,25,51,5
"PRF1",2,3,3,1,0,8,4,0,0,31,5,0,2,68,0,10,3,46,6,1,0
"ADAMTS14",0,30,0,0,3,0,0,0,0,0,0,0,0,0,0,6,1,0,8,0,0
"SGPL1",80,91,0,0,6,0,0,1,0,5,0,0,1,0,1,14,20,4,233,4,1
"PCBD1",162,250,0,6,39,0,2,14,4,12,4,8,2,2,56,30,25,18,2354,49,32
"UNC5B",29,381,0,1,20,1,0,22,2,1,0,0,0,0,0,20,3,0,35,77,0
"UNC5B-AS1",5,44,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,2,248,2,1
"SLC29A3",43,22,0,0,4,0,0,0,0,0,0,0,0,0,1,1,4,1,47,4,0
"CDH23",6,22,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0
"C10orf105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"C10orf54",290,197,3,18,36,1,3,17,2,51,3,0,9,7,4,49,144,48,500,139,34
"PSAP",5167,2581,4,49,430,4,8,51,9,34,5,8,6,7,40,196,684,62,2077,395,95
"RP11-472G21.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CHST3",1,56,0,0,7,0,0,1,0,0,0,0,0,0,0,11,0,0,4,10,3
"SPOCK2",17,12,3,0,1,7,28,1,0,103,8,0,18,7,0,1,1,227,4,10,0
"ASCC1",11,67,0,1,15,0,1,6,1,6,3,0,0,2,1,6,6,8,84,17,3
"ANAPC16",283,706,7,12,104,5,26,46,8,117,22,10,13,23,12,106,76,186,1843,172,113
"DDIT4",442,2448,5,19,328,10,45,39,26,260,40,0,33,68,3,74,209,317,1375,406,48
"RP11-442H21.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"DNAJB12",37,143,2,1,21,0,0,3,0,8,1,1,2,2,2,22,12,14,286,38,10
"MICU1",38,145,0,2,19,0,2,4,0,7,0,2,0,2,1,17,10,9,325,19,8
"MCU",19,38,0,0,7,0,0,2,0,3,0,0,0,0,1,10,3,3,303,11,2
"OIT3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
"P4HA1",130,391,0,2,35,1,2,2,3,2,1,0,0,2,4,27,34,8,576,24,2
"RP11-344N10.5",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0
"NUDT13",0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,23,4,0
"RP11-152N13.16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
"ECD",20,49,0,3,11,0,1,1,0,4,0,0,0,2,0,9,2,3,122,13,2
"FAM149B1",15,23,0,0,5,0,0,0,1,0,0,0,0,0,0,4,0,0,65,11,1
"DNAJC9",25,59,0,1,2,2,1,2,2,17,2,0,0,3,1,5,2,19,247,16,1
"DNAJC9-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"MRPS16",125,310,0,3,43,0,1,10,5,13,2,3,0,3,23,25,22,26,984,71,17
"RP11-152N13.5",2,10,0,1,2,0,0,0,1,1,0,0,0,0,0,3,0,3,26,4,0
"CFAP70",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
"ANXA7",179,407,6,3,95,0,9,23,4,29,7,5,5,3,4,52,28,59,651,82,37
"MSS51",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,2,0
"PPP3CB",46,86,1,1,19,0,0,4,0,4,1,3,0,2,0,12,5,5,123,23,9
"USP54",5,29,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,131,5,0
"RP11-464F9.20",1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,17,1,0
"RP11-464F9.22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"MYOZ1",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5
"SYNPO2L",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"AGAP5",4,9,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,36,1,1
"RP11-574K11.29",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"SEC24C",29,61,1,1,4,0,0,2,0,6,2,0,2,1,1,11,8,5,186,19,2
"FUT11",34,121,0,0,8,0,0,6,0,1,1,1,0,3,0,15,5,3,51,22,2
"CHCHD1",154,339,2,5,34,1,5,8,2,22,4,1,3,3,14,37,27,33,1037,100,14
"ZSWIM8",26,61,1,0,4,0,1,4,0,4,0,1,1,1,0,7,7,7,124,18,2
"RP11-574K11.31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NDST2",9,6,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,1,19,2,0
"CAMK2G",23,66,0,1,4,0,3,0,1,10,5,5,2,3,1,28,13,12,318,25,41
"PLAU",259,1121,0,2,17,0,1,0,0,1,0,0,0,2,2,51,13,2,40,72,14
"C10orf55",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"VCL",15,334,1,0,19,0,1,2,3,3,0,5,1,1,0,87,3,5,454,69,36
"AP3M1",33,56,0,0,4,1,0,0,0,8,1,0,2,1,0,8,2,5,155,13,7
"ADK",24,78,2,3,11,0,0,1,0,4,1,1,2,1,3,5,7,16,248,12,3
"KAT6B",17,68,0,0,13,0,1,2,0,11,2,0,2,4,0,12,2,5,150,13,5
"SAMD8",33,66,0,0,5,1,2,5,0,1,0,0,2,0,0,7,7,8,101,22,2
"VDAC2",306,873,2,12,103,1,6,17,5,52,5,9,13,14,36,122,80,78,3262,156,68
"COMTD1",42,63,0,1,3,1,0,7,0,5,2,3,1,1,14,12,9,14,912,13,11
"ZNF503-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
"ZNF503",21,213,0,1,26,0,0,1,0,0,0,3,0,2,0,28,7,0,14,10,17
"ZNF503-AS2",2,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1
"RP11-399K21.13",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,2,1,1
"C10orf11",93,33,0,5,4,0,0,4,2,1,0,1,0,0,1,2,9,0,3,25,0
"KCNMA1",185,3,0,3,2,0,0,0,0,0,0,12,0,0,0,2,21,0,7,0,4
