"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","CXCL13+ CD8 Tcells","Cytotoxic CD8 Tcells","Fibroblasts","Follicular CD4 Tcells","Mast cells","Memory CD4 Tcells","Memory CD8 Tcells","Naive CD4 Tcells","NK cells","NKT cells","Normal Epithelial cells","Pericytes","Pro-inflammatory macro/mono","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"ARFIP1",35,10,0,0,0,8,0,1,0,2,0,0,0,0,16,9,9,470,19,2
"TIGD4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
"FHDC1",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,64,0,0
"TRIM2",13,4,0,1,0,13,0,0,0,0,0,0,0,8,6,3,1,976,8,1
"MND1",2,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,98,2,0
"KIAA0922",4,0,1,0,0,5,1,0,1,1,3,2,1,0,15,5,4,7,4,2
"TLR2",164,0,0,0,0,2,0,0,0,0,0,0,0,0,0,67,0,11,0,0
"RNF175",1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"SFRP2",16,308,0,0,0,5605,1,1,1,0,2,0,0,1,3,4,4,90,5,1
"RP11-290O12.2",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-9N12.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"PLRG1",43,16,2,4,1,20,2,0,10,6,0,7,0,1,14,13,6,456,26,3
"FGB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
"FGA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"FGG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LRAT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MAP9",0,12,0,0,0,3,0,0,4,1,1,1,0,0,9,0,6,0,0,0
"GUCY1A3",3,55,0,0,0,135,0,0,0,0,0,0,0,0,46,0,0,6,1,5
"GUCY1B3",2,16,0,0,0,51,0,0,0,0,0,0,0,0,81,0,0,5,0,7
"TDO2",2,48,0,0,0,55,0,0,1,0,0,0,0,0,45,0,0,2,0,0
"CTSO",47,22,0,0,1,63,0,1,1,1,0,1,1,2,16,18,9,140,16,1
"PDGFC",43,37,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,3,0,1
"GLRB",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FAM198B",148,39,0,0,0,56,0,0,0,0,0,1,0,1,3,23,0,54,130,0
"RP11-597D13.9",9,2,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,0
"TMEM144",34,2,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,295,6,0
"C4orf46",9,5,0,1,0,8,0,0,0,0,0,0,0,0,2,2,1,53,5,0
"ETFDH",15,7,1,1,0,13,0,1,3,3,3,3,0,4,4,6,3,312,8,1
"PPID",45,23,1,1,3,12,0,1,5,3,2,2,2,6,13,11,14,827,29,3
"FNIP2",164,13,1,0,1,18,0,0,2,0,0,1,0,3,9,35,0,763,43,2
"RAPGEF2",13,6,1,1,0,4,0,2,2,0,1,1,0,0,16,10,5,171,28,2
"NAF1",12,4,0,1,0,11,0,0,2,2,0,1,0,0,3,7,2,111,4,1
"NPY1R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
"TMA16",39,37,4,0,1,29,4,1,3,5,4,4,3,12,13,23,20,881,24,3
"MARCH1",286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93,0,5,0,0
"RP11-218F10.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0
"LINC01207",4,2,1,1,0,1,0,0,0,1,1,0,0,21,3,1,0,1302,4,0
"APELA",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM61",2,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,2,2,0,0
"FAM218A",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TRIM60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TMEM192",58,9,3,0,2,12,0,1,1,1,2,6,2,0,2,5,6,329,13,0
"KLHL2",41,6,0,0,0,1,0,0,0,1,0,1,0,1,2,7,2,80,12,0
"MSMO1",32,25,0,1,1,9,2,0,7,8,3,1,1,37,9,6,12,2308,22,0
"CPE",3,30,0,0,0,21,0,0,0,0,0,0,0,0,161,0,2,21,14,21
"TLL1",0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,22,0
"SPOCK3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"ANXA10",25,7,0,1,0,2,1,0,1,3,1,1,2,67,2,12,4,3530,9,0
"DDX60",46,6,1,2,2,1,2,1,5,7,1,6,1,7,3,16,10,817,16,0
"DDX60L",95,5,0,0,0,7,0,0,3,6,1,0,0,1,3,39,12,386,15,0
"PALLD",17,186,0,0,0,56,0,0,1,0,1,0,0,6,103,6,2,488,19,14
"CBR4",26,9,0,1,1,13,1,0,7,3,2,1,1,4,3,5,5,505,27,3
"RP11-483A20.3",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SH3RF1",16,6,0,0,0,2,0,0,0,1,1,0,0,1,16,2,0,354,5,0
"NEK1",17,12,2,0,0,13,0,0,1,1,0,2,2,0,8,1,5,71,7,3
"CLCN3",35,17,1,0,1,7,0,1,0,3,0,0,0,3,8,6,8,873,28,1
"C4orf27",62,26,1,0,1,41,3,0,5,4,4,0,0,1,23,22,30,276,31,9
"MFAP3L",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0
"AADAT",1,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,52,0,0
"LINC01612",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
"GALNTL6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-10K16.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"GALNT7",32,9,0,0,0,2,0,0,2,2,1,1,0,3,2,6,7,405,9,0
"RP11-798M19.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HMGB2",171,41,9,15,2,23,35,0,77,44,30,15,10,4,82,95,95,2148,57,0
"RP11-798M19.6",14,9,0,0,0,6,2,1,0,4,0,1,0,0,6,1,5,32,19,0
"SAP30",54,7,0,0,0,4,0,0,0,0,0,0,0,0,0,30,1,57,1,0
"SCRG1",3,5,0,0,0,10,0,0,0,1,0,0,0,0,0,3,0,3,4,0
"HAND2",0,13,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"HAND2-AS1",0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"RP11-161D15.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-248N22.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBXO8",34,14,1,0,0,15,3,0,3,2,2,1,0,4,19,4,10,250,17,1
"CEP44",8,5,0,0,0,3,0,0,2,1,0,0,1,0,6,3,4,122,8,0
"HPGD",6,0,0,0,0,6,0,43,7,1,6,1,0,16,1,4,29,926,4,1
"RP11-440I14.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"GPM6A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
"WDR17",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"SPCS3",307,67,2,9,1,26,3,0,10,9,3,12,8,20,22,73,32,1432,101,4
"VEGFC",0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,41,0
"NEIL3",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,14,0,0
"AGA",36,17,0,0,1,8,1,1,4,2,0,2,1,1,6,7,13,130,20,1
"AC108142.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TENM3",0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RP11-188P17.2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DCTD",80,47,0,0,0,37,2,0,6,1,3,10,0,19,16,16,19,711,43,2
"WWC2-AS2",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
"WWC2",19,15,0,0,0,13,0,0,1,0,0,0,1,1,4,3,1,41,19,3
"CDKN2AIP",14,9,0,1,1,4,0,2,9,5,3,3,0,0,5,1,10,377,10,1
"RP11-367N14.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ING2",45,10,0,1,0,15,0,0,4,3,2,0,0,1,13,5,8,350,11,0
"RP11-367N14.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RWDD4",48,25,0,2,0,24,0,0,11,5,2,7,1,11,8,18,8,613,44,1
"TRAPPC11",21,10,0,0,0,8,1,0,2,2,1,0,0,0,3,7,4,150,15,0
"STOX2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
"ENPP6",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"RP11-290F5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"RP11-290F5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"IRF2",100,25,3,4,1,18,6,0,20,13,7,11,0,1,19,36,36,505,31,0
"RP11-326I11.3",5,4,2,0,0,5,0,0,2,3,1,0,0,0,2,4,4,76,4,0
"RP11-326I11.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-242J7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"CASP3",32,9,0,2,3,5,2,2,3,8,3,2,2,3,13,9,6,442,21,0
"PRIMPOL",11,12,0,0,0,3,0,1,0,2,0,0,0,0,2,5,4,134,4,0
"CENPU",4,2,0,0,0,3,0,0,1,0,0,0,0,2,8,1,0,237,7,0
"ACSL1",138,10,0,0,0,9,1,0,0,0,0,0,0,2,3,71,4,405,4,0
"RP11-701P16.2",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
"MIR3945HG",51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,2,1,0
"LINC01093",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC25A4",9,8,1,0,0,16,0,0,1,3,1,0,1,5,10,1,4,862,19,9
"CFAP97",49,38,3,5,1,33,2,0,12,3,5,5,2,0,7,8,22,568,34,3
"SNX25",4,4,0,0,0,2,0,0,0,0,1,0,1,0,1,0,0,85,5,0
"LRP2BP",3,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,24,0,0
"ANKRD37",22,17,0,0,0,8,2,0,1,2,1,4,1,0,3,10,3,314,14,0
"UFSP2",29,16,1,1,1,18,3,0,3,5,1,2,0,3,15,4,13,320,30,3
"C4orf47",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
"CCDC110",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
"RP11-279O9.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,1,2
"PDLIM3",2,166,0,0,0,20,0,1,0,0,0,2,0,1,151,1,2,9,53,26
"SORBS2",1,14,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,221,42,23
"TLR3",7,1,0,0,0,10,0,0,0,0,0,1,0,0,2,1,0,121,1,1
"FAM149A",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"CYP4V2",10,4,0,0,0,5,0,0,2,2,0,0,0,0,2,2,2,110,3,0
"KLKB1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
"FAT1",8,26,0,0,0,15,1,0,0,0,0,0,0,2,22,2,0,749,4,1
"RP11-696F12.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RP11-138B4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"RP11-91J3.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1
"RP11-366H4.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"RP11-756P10.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AF146191.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"FRG1",124,41,4,7,0,39,5,1,13,8,3,8,0,4,34,45,33,984,59,2
"PLEKHG4B",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"CCDC127",25,9,1,0,0,6,1,0,5,0,0,3,1,0,5,5,7,288,14,1
"SDHA",69,39,6,1,3,39,5,2,21,12,7,6,1,5,31,23,42,1304,51,5
"PDCD6",201,89,7,7,4,92,6,9,21,20,12,8,0,19,46,58,61,2361,126,8
"AHRR",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,0,0
"EXOC3-AS1",2,4,1,1,0,2,0,0,3,1,0,0,0,0,2,1,3,40,3,1
"EXOC3",35,13,1,1,0,9,1,1,0,2,2,2,0,1,7,7,12,281,16,0
"PP7080",20,10,1,0,0,7,0,0,1,1,1,2,0,7,6,5,7,749,11,0
"SLC9A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CEP72",2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,50,1,0
"TPPP",0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,63,0,1
"CTD-2589H19.6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"ZDHHC11B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0
"ZDHHC11",1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,18,0,0
"BRD9",33,18,3,1,3,10,2,0,5,8,1,3,1,2,14,14,16,433,39,2
"TRIP13",2,2,0,1,0,1,0,0,0,0,0,1,0,1,3,0,1,172,1,0
"RP11-43F13.3",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"RP11-43F13.4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NKD2",1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,69,1,0
"SLC12A7",53,5,0,0,0,5,0,0,1,1,0,0,1,3,2,13,6,744,27,0
"CTD-3080P12.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"SLC6A19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"TERT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CLPTM1L",54,15,0,1,3,7,0,0,1,2,3,3,0,6,10,10,6,638,29,2
"LINC01511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
"SLC6A3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LPCAT1",31,3,1,0,0,7,0,0,3,2,1,2,0,3,2,18,3,256,18,0
"CTD-2012J19.3",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0
"MRPL36",72,91,1,2,0,62,4,3,12,6,7,4,0,9,43,13,25,1178,77,4
"NDUFS6",490,210,8,12,7,136,9,8,34,28,17,27,4,102,119,157,103,6697,220,8
"CTD-2194D22.3",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0
"RP11-259O2.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LSINCT5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"RP11-129I19.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"IRX2",4,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,426,0,1
"C5orf38",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,56,0,1
"ADAMTS16",0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ICE1",28,13,1,2,1,13,2,2,4,3,4,4,0,0,11,9,7,248,22,0
"FLJ33360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
"MED10",69,64,2,5,1,38,4,1,16,13,6,6,2,7,21,24,23,1150,57,4
"UBE2QL1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NSUN2",24,3,0,2,0,3,1,0,1,2,1,2,0,3,10,8,5,388,16,1
"SRD5A1",21,13,1,0,0,11,0,0,0,2,0,0,0,4,4,8,3,220,3,0
"CTD-2044J15.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PAPD7",13,3,0,0,1,4,0,0,0,0,0,1,0,1,2,11,1,139,9,0
"ADCY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C5orf49",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MTRR",13,5,0,1,0,8,1,0,2,1,0,1,1,0,4,3,5,166,5,0
"FASTKD3",16,7,1,0,0,2,1,0,1,2,0,0,0,0,1,2,6,92,7,0
"MIR4458HG",0,8,0,0,0,12,0,2,1,0,0,0,0,0,12,0,7,0,12,1
"SEMA5A",0,9,0,0,0,20,0,0,0,0,0,0,0,0,18,0,0,6,0,0
"SNHG18",1,33,0,0,0,46,0,0,0,0,0,1,0,0,31,0,0,42,0,3
"CTD-2199O4.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CTD-2199O4.6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FAM173B",7,5,1,0,0,3,0,0,1,0,2,2,0,0,3,1,4,147,4,0
"CTD-2256P15.1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"CCT5",214,76,6,4,1,44,3,2,18,14,5,7,2,32,59,48,42,3197,94,3
"CTD-2256P15.4",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"CTD-2256P15.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"CMBL",15,16,0,1,0,24,1,0,1,1,1,0,0,20,2,3,4,1258,5,0
"CTD-2256P15.2",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,39,1,0
"MARCH6",81,44,3,0,0,22,2,1,8,9,4,4,0,1,18,17,18,738,41,2
"ROPN1L",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"LINC01513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"ANKRD33B",1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1,0
"DAP",74,70,0,4,1,36,3,2,7,5,3,6,1,43,25,32,23,1428,56,3
"CTD-2154B17.4",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DNAH5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"TRIO",45,32,1,0,0,12,0,1,0,0,0,0,0,0,8,11,0,210,21,1
"AC016549.1",8,4,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,40,2,0
"FAM105A",120,3,1,3,0,4,2,1,6,8,3,3,1,1,0,43,16,281,2,0
"CTD-2165H16.4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0
"OTULIN",24,6,0,0,1,4,1,0,2,4,1,4,0,0,1,5,8,100,8,0
"ANKH",48,32,1,0,0,8,0,0,3,2,3,1,0,1,4,4,3,165,16,0
"CTB-40H15.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"FBXL7",0,5,0,0,0,12,0,0,0,0,0,0,0,0,3,1,0,3,18,0
"RP1-167G20.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ZNF622",86,32,1,1,2,24,4,1,4,6,2,5,0,1,8,7,12,651,19,2
"FAM134B",4,2,0,0,0,3,1,0,2,0,2,2,0,0,0,2,3,195,2,0
"RP11-260E18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MYO10",4,27,1,1,0,10,1,0,0,0,0,0,0,0,5,2,0,541,100,0
"BASP1",116,99,0,0,0,148,0,1,0,0,0,0,0,0,3,20,2,6,1,0
"CTD-2139B15.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
"RP11-454P21.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CTD-2023M8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"RP11-360I2.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CTD-2306M5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CDH6",1,3,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,2,0,5
"DROSHA",19,4,0,0,0,4,0,1,3,1,0,0,1,1,10,1,4,178,10,0
"C5orf22",13,4,0,1,0,3,0,2,0,1,0,0,0,0,1,5,5,58,6,0
"PDZD2",0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,5,0
"CTD-2152M20.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"GOLPH3",82,29,0,4,0,33,3,0,9,2,1,2,1,0,18,16,8,651,28,4
"CTD-2186M15.3",5,2,0,0,0,5,0,0,1,0,0,0,0,0,2,1,3,50,2,0
"MTMR12",12,4,0,0,1,1,0,0,0,1,0,2,0,0,2,2,2,79,13,2
"ZFR",69,20,1,3,0,15,2,1,4,4,6,6,0,4,20,24,15,581,34,5
"SUB1",824,269,36,26,20,250,29,18,101,95,44,47,12,178,134,337,303,9479,318,16
"NPR3",0,3,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,4,2,0
"CTD-2203K17.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
"TARS",62,35,0,1,0,20,2,1,4,1,0,2,0,7,9,11,11,952,33,2
"ADAMTS12",1,73,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,1,0,0
"SLC45A2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AMACR",1,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,39,0,0
"C1QTNF3",0,52,0,0,0,249,0,0,0,0,0,0,0,0,0,0,1,19,1,0
"RP11-1250I15.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CTD-2024P10.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"RAI14",11,63,0,0,0,9,0,0,0,1,0,0,0,0,13,3,0,74,97,1
"CTD-2517O10.6",0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0
"RAD1",30,20,1,1,0,13,1,0,1,2,1,0,0,1,9,2,5,257,11,1
"BRIX1",56,16,5,2,0,14,0,2,9,7,4,3,0,4,13,12,10,793,26,0
"DNAJC21",50,8,0,1,1,3,1,0,3,3,1,2,0,0,4,15,7,400,29,2
"PRLR",3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,84,0,0
"SPEF2",0,1,0,0,0,1,0,0,1,2,2,3,0,0,0,2,0,28,2,0
"IL7R",600,61,3,2,2,2,30,0,273,48,102,38,25,1,1,78,232,35,2,0
"CAPSL",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LMBRD2",21,3,1,2,0,2,0,1,0,1,0,0,1,2,2,10,3,192,11,1
"SKP2",3,1,0,1,0,6,0,0,1,1,0,1,0,0,4,4,2,148,6,0
"NADK2",16,3,0,0,1,5,0,0,0,1,0,0,0,0,0,3,1,140,2,1
"NADK2-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"SLC1A3",164,9,0,0,0,3,0,0,0,0,0,0,0,0,0,34,0,5,0,0
"CTD-2353F22.1",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"NIPBL",101,27,1,1,4,20,5,1,13,3,0,10,0,2,10,29,21,653,56,1
"C5orf42",9,9,0,0,0,4,0,0,0,1,0,1,0,0,10,0,2,1,24,0
"NUP155",10,5,0,0,1,4,0,0,0,1,1,1,1,0,5,2,3,127,9,0
"WDR70",29,9,1,0,0,13,0,0,3,4,1,0,0,2,13,11,12,113,28,1
"GDNF",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CTD-2207A17.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"EGFLAM",0,2,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,2,0,0
"CTD-2263F21.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"LIFR",0,3,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,48,0
"LIFR-AS1",0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"LINC01265",0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OSMR-AS1",0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0
"OSMR",1,37,0,0,0,29,0,0,0,0,0,0,0,0,15,0,0,9,30,1
"RICTOR",44,18,1,3,0,12,5,1,13,9,6,4,0,0,13,15,19,455,29,0
"FYB",635,2,23,31,13,4,40,0,94,71,50,31,6,1,0,250,178,24,0,0
"C9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"DAB2",799,86,0,0,0,134,0,0,1,1,1,0,0,1,32,66,0,335,75,2
"CTD-2078B5.2",0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0
"PTGER4",48,1,1,3,4,11,6,1,21,9,22,14,5,0,1,11,25,35,2,0
"TTC33",13,8,0,0,0,4,0,0,2,0,1,0,0,0,9,0,5,89,10,1
"PRKAA1",42,13,0,0,0,17,0,0,6,2,5,1,0,3,14,9,9,717,48,3
"RPL37",3121,2179,176,131,74,1962,143,59,876,484,560,463,83,1147,904,1297,1525,42878,2413,83
"CARD6",14,1,0,0,0,6,1,0,1,0,0,1,0,0,1,2,4,114,15,0
"C7",1,0,0,0,0,187,0,0,0,0,0,0,0,0,4,0,0,5,16,0
"C6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PLCXD3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"OXCT1",10,8,1,0,1,8,1,0,3,3,4,1,1,4,8,1,12,205,8,0
"C5orf51",17,9,1,0,0,4,0,0,1,2,1,2,2,0,3,6,4,145,7,0
"FBXO4",15,10,1,1,1,10,0,0,5,3,2,1,0,0,2,3,5,172,14,1
"GHR",0,2,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,1,3,0
"CCDC152",14,1,0,3,0,0,0,0,2,4,0,0,0,0,0,4,1,2,2,0
"SEPP1",800,45,1,0,0,260,0,0,2,0,0,0,0,19,72,2,2,912,47,10
"CTD-2201E18.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"CTD-2035E11.3",10,4,1,1,0,1,1,0,5,4,0,3,1,0,0,3,6,20,5,0
