"","ImmProt_T4.naive_01","ImmProt_T4.naive_02","ImmProt_T4.naive_03","ImmProt_T4.naive_04","ImmProt_T4.naive_01_activated","ImmProt_T4.naive_02_activated","ImmProt_T4.naive_03_activated","ImmProt_T4.naive_04_activated"
"1468",1,0,1,0,0,0,0,0
"64849",NA,NA,NA,NA,NA,NA,NA,NA
"1645",0,0,0,0,0,0,0,0
"1109",NA,NA,NA,NA,NA,NA,NA,NA
"6718",1,0,0,0,0,0,0,0
"6510",0,0,1,0,0,0,0,1
"6509",1,1,1,1,0,1,1,1
"56301",NA,NA,NA,NA,NA,NA,NA,NA
"6520",1,1,1,1,1,1,1,1
"211",1,0,0,0,1,1,0,0
"23464",1,1,1,0,1,1,1,0
"212",NA,NA,NA,NA,NA,NA,NA,NA
"59272",NA,NA,NA,NA,NA,NA,NA,NA
"6542",NA,NA,NA,NA,NA,NA,NA,NA
"6541",0,0,1,0,1,1,0,0
"84889",NA,NA,NA,NA,NA,NA,NA,NA
"54407",1,1,0,1,1,0,1,1
"81539",0,1,1,0,0,1,1,1
"340024",NA,NA,NA,NA,NA,NA,NA,NA
"11254",NA,NA,NA,NA,NA,NA,NA,NA
"57393",NA,NA,NA,NA,NA,NA,NA,NA
"55089",NA,NA,NA,NA,NA,NA,NA,NA
"2875",NA,NA,NA,NA,NA,NA,NA,NA
"84706",1,1,0,1,1,1,1,1
"92745",0,0,0,0,0,1,0,1
"10991",NA,NA,NA,NA,NA,NA,NA,NA
"284273",0,0,1,1,1,0,1,0
"10327",1,1,1,1,1,1,1,1
"8854",0,0,0,0,1,0,0,1
"224",0,0,1,1,0,0,1,1
"223",1,1,1,1,1,1,1,1
"216",1,0,1,0,0,0,1,1
"501",0,1,1,0,1,1,0,1
"217",0,1,1,0,1,0,0,1
"219",0,1,1,1,1,1,0,0
"239",0,0,1,1,0,0,1,0
"247",1,0,0,1,1,1,1,0
"246",0,1,0,0,0,0,0,0
"231",1,1,1,1,1,1,1,1
"8574",1,1,1,1,1,1,1,1
"23600",0,0,0,1,0,0,0,0
"115286",0,1,0,1,0,0,0,0
"271",1,0,0,1,1,1,1,0
"272",0,0,0,0,0,0,0,0
"270",NA,NA,NA,NA,NA,NA,NA,NA
"290",1,0,0,1,0,1,0,1
"278",NA,NA,NA,NA,NA,NA,NA,NA
"277",0,0,0,0,0,0,0,0
"279",0,0,0,0,0,0,0,0
"280",0,0,0,0,0,0,0,0
"6519",NA,NA,NA,NA,NA,NA,NA,NA
"276",0,0,0,0,0,0,0,0
"11136",NA,NA,NA,NA,NA,NA,NA,NA
"10998",NA,NA,NA,NA,NA,NA,NA,NA
"113451",NA,NA,NA,NA,NA,NA,NA,NA
"9057",1,0,1,0,1,0,0,0
"384",1,0,0,0,0,1,0,0
"445",0,0,0,0,0,0,0,0
"83884",NA,NA,NA,NA,NA,NA,NA,NA
"10166",1,1,0,1,1,1,0,0
"410",0,1,1,1,1,0,0,0
"427",0,1,0,1,1,0,1,0
"9963",NA,NA,NA,NA,NA,NA,NA,NA
"9962",NA,NA,NA,NA,NA,NA,NA,NA
"80150",0,0,0,0,1,1,0,0
"440",0,1,0,1,1,1,1,0
"790",0,0,0,0,0,0,0,0
"6505",NA,NA,NA,NA,NA,NA,NA,NA
"6512",NA,NA,NA,NA,NA,NA,NA,NA
"6511",NA,NA,NA,NA,NA,NA,NA,NA
"6507",0,0,0,0,0,0,0,0
"6506",0,0,0,0,0,0,0,0
"9296",1,1,0,1,1,1,0,0
"51606",0,0,0,1,1,1,0,0
"533",NA,NA,NA,NA,NA,NA,NA,NA
"90423",0,0,0,0,0,0,1,0
"528",1,0,1,1,0,0,1,1
"525",NA,NA,NA,NA,NA,NA,NA,NA
"10312",0,0,0,1,0,1,1,0
"127124",NA,NA,NA,NA,NA,NA,NA,NA
"245973",NA,NA,NA,NA,NA,NA,NA,NA
"50617",NA,NA,NA,NA,NA,NA,NA,NA
"9114",0,1,1,1,1,0,1,1
"23545",1,0,1,1,0,1,1,1
"8992",NA,NA,NA,NA,NA,NA,NA,NA
"535",0,0,1,1,1,0,0,1
"527",0,1,1,1,0,1,1,1
"526",1,1,1,1,1,1,1,1
"523",1,1,1,1,1,1,1,1
"529",1,1,1,1,1,1,1,0
"9550",1,1,1,1,1,1,1,1
"51382",0,1,0,1,1,1,1,0
"245972",1,0,1,1,1,0,1,0
"957",NA,NA,NA,NA,NA,NA,NA,NA
"956",NA,NA,NA,NA,NA,NA,NA,NA
"955",NA,NA,NA,NA,NA,NA,NA,NA
"953",0,0,0,0,1,0,0,0
"954",NA,NA,NA,NA,NA,NA,NA,NA
"377841",NA,NA,NA,NA,NA,NA,NA,NA
"293",1,1,1,1,1,1,1,1
"291",1,1,0,0,0,1,0,0
"292",1,1,1,1,1,1,1,1
"4126",0,1,0,1,1,1,1,0
"8706",NA,NA,NA,NA,NA,NA,NA,NA
"10317",NA,NA,NA,NA,NA,NA,NA,NA
"84002",NA,NA,NA,NA,NA,NA,NA,NA
"3141",0,0,0,1,1,1,0,0
"140679",NA,NA,NA,NA,NA,NA,NA,NA
"8424",NA,NA,NA,NA,NA,NA,NA,NA
"53630",NA,NA,NA,NA,NA,NA,NA,NA
"635",0,0,0,0,0,0,0,0
"23743",NA,NA,NA,NA,NA,NA,NA,NA
"10599",NA,NA,NA,NA,NA,NA,NA,NA
"1244",NA,NA,NA,NA,NA,NA,NA,NA
"8714",0,0,0,1,0,0,0,1
"28234",NA,NA,NA,NA,NA,NA,NA,NA
"645",1,1,0,1,1,1,1,0
"644",1,1,1,1,1,1,1,0
"9488",0,0,0,0,0,1,0,0
"10380",1,1,1,1,1,1,1,1
"686",1,0,0,1,1,0,0,0
"8884",1,1,1,1,0,1,1,0
"80704",NA,NA,NA,NA,NA,NA,NA,NA
"51733",NA,NA,NA,NA,NA,NA,NA,NA
"7108",1,1,0,0,0,0,0,0
"50814",0,1,1,1,0,1,1,0
"3295",0,1,1,1,1,1,1,0
"6307",0,1,0,1,0,1,1,0
"493",0,0,1,1,0,1,1,0
"492",0,0,0,1,0,1,1,0
"491",NA,NA,NA,NA,NA,NA,NA,NA
"490",1,0,1,0,0,1,0,1
"847",1,1,1,1,1,1,1,1
"6543",NA,NA,NA,NA,NA,NA,NA,NA
"6547",NA,NA,NA,NA,NA,NA,NA,NA
"6546",0,0,0,0,0,0,1,0
"166785",1,0,0,1,1,0,0,1
"2538",NA,NA,NA,NA,NA,NA,NA,NA
"92579",0,1,1,0,1,1,0,1
"1373",0,0,0,0,0,0,0,0
"873",1,1,1,1,1,1,1,0
"10423",0,0,1,1,0,1,1,1
"8760",0,1,1,1,0,1,0,1
"1040",NA,NA,NA,NA,NA,NA,NA,NA
"56994",0,0,0,0,0,0,0,0
"10390",1,0,1,1,1,1,1,0
"64781",0,0,0,0,0,0,0,0
"10087",1,1,0,1,1,1,0,0
"6565",NA,NA,NA,NA,NA,NA,NA,NA
"9023",NA,NA,NA,NA,NA,NA,NA,NA
"1103",NA,NA,NA,NA,NA,NA,NA,NA
"162466",0,0,0,0,1,0,1,1
"9468",NA,NA,NA,NA,NA,NA,NA,NA
"5130",1,0,0,1,1,0,0,1
"6579",NA,NA,NA,NA,NA,NA,NA,NA
"6555",NA,NA,NA,NA,NA,NA,NA,NA
"6554",NA,NA,NA,NA,NA,NA,NA,NA
"55349",0,0,0,0,0,0,0,0
"1120",0,1,0,1,0,1,1,0
"1119",NA,NA,NA,NA,NA,NA,NA,NA
"60482",NA,NA,NA,NA,NA,NA,NA,NA
"6582",NA,NA,NA,NA,NA,NA,NA,NA
"6584",NA,NA,NA,NA,NA,NA,NA,NA
"6820",NA,NA,NA,NA,NA,NA,NA,NA
"10948",0,1,0,1,0,1,1,1
"19",1,0,1,1,0,0,1,1
"1118",0,1,0,0,0,0,1,0
"27159",NA,NA,NA,NA,NA,NA,NA,NA
"54682",NA,NA,NA,NA,NA,NA,NA,NA
"9058",NA,NA,NA,NA,NA,NA,NA,NA
"6576",1,1,1,1,1,1,1,1
"1159",1,0,0,0,0,0,0,0
"548596",1,0,0,0,0,0,0,0
"1160",NA,NA,NA,NA,NA,NA,NA,NA
"1158",0,0,1,0,0,0,1,0
"1152",0,0,0,1,1,1,1,0
"5172",NA,NA,NA,NA,NA,NA,NA,NA
"65010",NA,NA,NA,NA,NA,NA,NA,NA
"54675",NA,NA,NA,NA,NA,NA,NA,NA
"10559",0,0,1,0,1,1,0,0
"55907",1,1,1,1,1,1,1,1
"8034",0,0,0,0,1,0,1,1
"8824",NA,NA,NA,NA,NA,NA,NA,NA
"51805",0,0,1,1,1,1,0,0
"51004",0,1,0,1,1,0,0,0
"10229",0,1,1,0,1,0,0,1
"2650",0,0,0,0,1,1,0,0
"9245",NA,NA,NA,NA,NA,NA,NA,NA
"51301",0,0,0,0,1,1,0,0
"192134",NA,NA,NA,NA,NA,NA,NA,NA
"386757",NA,NA,NA,NA,NA,NA,NA,NA
"6535",NA,NA,NA,NA,NA,NA,NA,NA
"1384",0,1,0,1,1,1,0,0
"6583",0,0,0,0,0,0,0,0
"1431",1,1,1,1,1,1,1,1
"54677",0,1,1,1,1,0,0,0
"8140",1,1,0,0,0,1,0,1
"23428",NA,NA,NA,NA,NA,NA,NA,NA
"1036",NA,NA,NA,NA,NA,NA,NA,NA
"23657",0,0,0,0,0,0,1,0
"57379",0,0,0,0,0,0,0,0
"978",0,0,0,0,0,0,1,0
"7371",1,1,1,1,1,0,0,1
"83549",0,1,1,1,1,0,0,0
"51727",1,1,1,1,1,1,1,1
"129607",0,0,1,1,1,0,1,1
"160851",1,0,0,1,0,0,1,1
"8526",0,1,1,1,0,1,0,0
"1606",1,1,1,1,1,1,1,1
"8527",0,0,0,0,0,0,0,0
"1607",0,1,0,1,1,1,1,0
"1608",1,0,0,0,1,0,0,0
"1609",0,1,0,1,1,1,0,1
"8525",1,1,0,1,1,1,1,0
"9162",NA,NA,NA,NA,NA,NA,NA,NA
"1610",NA,NA,NA,NA,NA,NA,NA,NA
"51022",NA,NA,NA,NA,NA,NA,NA,NA
"2745",1,1,1,1,1,1,1,1
"8528",NA,NA,NA,NA,NA,NA,NA,NA
"10455",1,1,1,0,1,1,1,0
"1632",1,1,1,1,1,1,1,0
"1633",1,1,1,1,1,1,1,1
"1638",NA,NA,NA,NA,NA,NA,NA,NA
"6319",1,1,1,1,0,1,1,1
"9415",0,0,0,0,1,1,1,0
"3992",0,0,1,0,1,0,0,0
"8694",1,0,0,0,1,0,1,1
"84649",0,0,0,0,1,1,0,0
"1716",0,0,1,1,1,0,1,0
"6513",1,1,0,0,0,1,1,0
"6517",NA,NA,NA,NA,NA,NA,NA,NA
"6515",0,0,1,1,0,1,1,0
"1718",1,0,0,0,0,1,0,0
"1581",NA,NA,NA,NA,NA,NA,NA,NA
"1717",1,0,0,0,0,1,0,1
"8560",1,0,1,1,1,0,0,0
"123099",NA,NA,NA,NA,NA,NA,NA,NA
"11309",0,0,0,0,0,0,0,0
"6783",1,0,1,1,0,0,0,0
"1723",0,1,1,1,0,1,1,0
"1809",NA,NA,NA,NA,NA,NA,NA,NA
"1808",1,1,1,1,1,1,1,1
"1807",NA,NA,NA,NA,NA,NA,NA,NA
"23539",NA,NA,NA,NA,NA,NA,NA,NA
"2224",1,1,1,1,1,1,1,1
"29958",NA,NA,NA,NA,NA,NA,NA,NA
"60386",0,1,0,0,1,1,1,0
"84920",1,1,0,0,1,1,0,0
"79087",0,1,0,1,1,1,0,1
"26002",NA,NA,NA,NA,NA,NA,NA,NA
"1621",0,0,0,0,0,0,0,0
"7299",NA,NA,NA,NA,NA,NA,NA,NA
"6530",NA,NA,NA,NA,NA,NA,NA,NA
"6581",NA,NA,NA,NA,NA,NA,NA,NA
"669",0,1,0,1,0,0,1,1
"5224",NA,NA,NA,NA,NA,NA,NA,NA
"5223",1,1,1,1,1,1,1,1
"4597",0,1,0,1,1,1,1,0
"51071",0,1,0,1,1,1,1,0
"1806",0,1,0,1,1,0,1,0
"7083",0,0,0,0,1,1,1,0
"7084",1,0,0,0,0,0,0,0
"1854",1,1,1,1,1,1,1,1
"3704",1,1,1,1,1,1,1,1
"10682",0,1,0,1,0,1,1,0
"1892",1,1,1,1,1,1,1,1
"549",0,0,0,1,0,1,1,0
"1962",0,1,1,0,1,1,1,0
"1891",0,0,0,0,0,0,0,0
"11001",1,1,1,0,0,1,1,0
"28231",NA,NA,NA,NA,NA,NA,NA,NA
"53919",NA,NA,NA,NA,NA,NA,NA,NA
"10257",1,1,0,1,1,1,1,0
"28232",NA,NA,NA,NA,NA,NA,NA,NA
"2109",1,1,1,1,1,1,1,1
"2108",0,0,0,0,0,0,0,0
"2110",1,0,1,0,1,0,1,0
"55500",1,0,1,1,0,1,1,1
"55224",NA,NA,NA,NA,NA,NA,NA,NA
"8790",0,1,0,1,0,1,1,0
"51086",NA,NA,NA,NA,NA,NA,NA,NA
"2181",0,0,1,1,0,0,1,1
"2180",1,0,0,1,0,0,1,0
"2182",0,0,0,1,0,1,1,0
"81616",NA,NA,NA,NA,NA,NA,NA,NA
"51703",0,0,1,1,1,0,0,1
"23305",0,1,0,1,0,0,1,0
"116285",NA,NA,NA,NA,NA,NA,NA,NA
"5167",1,0,0,0,0,1,1,0
"5169",0,0,0,0,0,0,0,0
"6785",NA,NA,NA,NA,NA,NA,NA,NA
"60481",0,0,1,1,0,1,1,1
"54898",NA,NA,NA,NA,NA,NA,NA,NA
"79071",NA,NA,NA,NA,NA,NA,NA,NA
"1579",NA,NA,NA,NA,NA,NA,NA,NA
"2194",1,1,0,1,1,1,1,0
"10999",0,0,1,1,0,1,1,0
"376497",0,1,1,0,0,1,0,0
"230",1,1,1,1,1,1,1,1
"226",0,0,0,0,0,0,0,0
"229",0,0,0,0,0,0,0,0
"5208",1,0,1,0,1,1,0,0
"5207",NA,NA,NA,NA,NA,NA,NA,NA
"2203",1,1,0,0,1,1,1,0
"5210",0,0,0,0,0,0,1,0
"5209",1,1,0,1,0,1,0,0
"8789",1,1,1,0,1,0,1,0
"2235",0,0,0,0,0,0,0,0
"10840",NA,NA,NA,NA,NA,NA,NA,NA
"79901",1,0,0,1,0,0,0,0
"197258",1,1,0,1,1,1,0,1
"125061",0,0,0,0,0,0,1,0
"1719",0,1,0,0,1,1,0,1
"2356",1,1,1,0,1,0,1,0
"155184",NA,NA,NA,NA,NA,NA,NA,NA
"29988",0,0,0,0,0,0,0,0
"66035",NA,NA,NA,NA,NA,NA,NA,NA
"6518",1,0,0,1,0,0,0,0
"6514",NA,NA,NA,NA,NA,NA,NA,NA
"160428",NA,NA,NA,NA,NA,NA,NA,NA
"25902",0,1,1,0,0,1,1,0
"4522",0,0,0,0,0,0,0,0
"2519",0,1,0,1,1,0,1,0
"2517",0,0,1,1,0,1,1,1
"2184",1,0,0,1,1,1,1,0
"2271",1,1,1,1,1,1,1,1
"2523",NA,NA,NA,NA,NA,NA,NA,NA
"2525",NA,NA,NA,NA,NA,NA,NA,NA
"10690",NA,NA,NA,NA,NA,NA,NA,NA
"2683",1,0,1,1,1,0,1,0
"9334",1,1,1,0,0,1,1,1
"8704",NA,NA,NA,NA,NA,NA,NA,NA
"8703",1,1,1,1,1,1,0,0
"2820",0,0,0,1,1,1,1,0
"5832",1,1,1,1,1,1,1,1
"9563",0,1,0,1,1,1,1,0
"2539",1,0,0,1,0,1,1,1
"2542",0,0,0,0,0,0,0,0
"2593",0,1,0,1,1,0,1,0
"9514",NA,NA,NA,NA,NA,NA,NA,NA
"5476",0,1,0,1,1,0,0,0
"2720",0,0,1,1,1,1,1,0
"2588",1,0,1,1,1,0,1,0
"2581",0,0,1,1,1,0,1,0
"2583",NA,NA,NA,NA,NA,NA,NA,NA
"55454",1,0,1,0,1,1,0,1
"55790",0,1,1,1,0,0,0,0
"79586",0,0,0,1,0,0,1,1
"337876",NA,NA,NA,NA,NA,NA,NA,NA
"22856",0,0,0,0,1,1,1,0
"63917",NA,NA,NA,NA,NA,NA,NA,NA
"11226",0,0,1,1,0,0,1,0
"55568",1,0,1,1,0,0,0,0
"2589",1,0,1,1,0,1,1,0
"51809",0,0,1,1,0,1,1,1
"8693",0,1,1,1,1,0,1,1
"2591",0,1,1,0,0,1,1,0
"117248",NA,NA,NA,NA,NA,NA,NA,NA
"26290",NA,NA,NA,NA,NA,NA,NA,NA
"114805",NA,NA,NA,NA,NA,NA,NA,NA
"79695",NA,NA,NA,NA,NA,NA,NA,NA
"50614",NA,NA,NA,NA,NA,NA,NA,NA
"79623",NA,NA,NA,NA,NA,NA,NA,NA
"2590",1,0,1,0,0,1,1,0
"11227",NA,NA,NA,NA,NA,NA,NA,NA
"81031",NA,NA,NA,NA,NA,NA,NA,NA
"126792",1,0,1,1,1,1,0,1
"11285",0,0,0,1,1,1,0,0
"8972",0,1,1,0,0,0,1,1
"175",1,1,0,0,0,0,0,1
"26301",NA,NA,NA,NA,NA,NA,NA,NA
"4329",1,1,1,1,1,1,1,1
"7915",0,1,1,1,0,1,0,1
"2731",0,0,0,0,0,0,0,0
"275",1,0,0,1,1,0,0,1
"2653",1,0,0,1,1,0,0,0
"2651",NA,NA,NA,NA,NA,NA,NA,NA
"55343",NA,NA,NA,NA,NA,NA,NA,NA
"8836",0,1,1,1,1,1,1,0
"79017",1,0,1,1,1,0,0,0
"8908",NA,NA,NA,NA,NA,NA,NA,NA
"2992",0,1,1,1,1,1,0,0
"2997",1,1,0,1,1,1,1,0
"2998",NA,NA,NA,NA,NA,NA,NA,NA
"2687",NA,NA,NA,NA,NA,NA,NA,NA
"6472",1,1,1,1,1,1,1,1
"6470",0,1,0,1,1,1,1,0
"2717",1,1,0,1,1,1,1,0
"2632",1,0,0,1,0,1,1,0
"2990",0,1,0,1,1,0,1,1
"8372",0,1,1,1,0,0,0,1
"26035",0,1,0,1,0,0,0,0
"54480",0,0,0,0,0,1,1,1
"2131",0,0,0,0,0,0,0,1
"2132",1,0,0,1,1,0,1,0
"27087",NA,NA,NA,NA,NA,NA,NA,NA
"26229",1,0,1,0,1,0,1,1
"135152",NA,NA,NA,NA,NA,NA,NA,NA
"4669",0,1,1,1,1,1,1,0
"64579",NA,NA,NA,NA,NA,NA,NA,NA
"9348",NA,NA,NA,NA,NA,NA,NA,NA
"8509",0,0,1,1,0,0,1,0
"3340",0,1,1,1,1,1,1,1
"2137",NA,NA,NA,NA,NA,NA,NA,NA
"2135",0,0,0,0,0,0,0,0
"2134",NA,NA,NA,NA,NA,NA,NA,NA
"144195",NA,NA,NA,NA,NA,NA,NA,NA
"154091",NA,NA,NA,NA,NA,NA,NA,NA
"11182",0,0,1,0,0,0,1,0
"56606",1,0,0,0,0,0,0,0
"6523",NA,NA,NA,NA,NA,NA,NA,NA
"178",0,0,0,1,1,1,1,0
"5837",NA,NA,NA,NA,NA,NA,NA,NA
"5834",1,1,1,1,1,1,1,1
"5836",1,0,0,1,1,0,0,1
"2729",0,1,0,1,0,1,0,0
"2730",1,1,0,1,1,1,0,0
"2746",1,1,1,1,1,1,1,1
"2747",1,1,1,1,1,1,1,1
"10841",NA,NA,NA,NA,NA,NA,NA,NA
"27165",NA,NA,NA,NA,NA,NA,NA,NA
"2744",1,1,1,1,1,1,1,1
"79751",0,0,1,1,0,1,1,1
"83733",NA,NA,NA,NA,NA,NA,NA,NA
"2639",0,1,1,1,1,0,1,1
"57084",NA,NA,NA,NA,NA,NA,NA,NA
"57030",NA,NA,NA,NA,NA,NA,NA,NA
"246213",NA,NA,NA,NA,NA,NA,NA,NA
"51179",NA,NA,NA,NA,NA,NA,NA,NA
"54363",NA,NA,NA,NA,NA,NA,NA,NA
"2628",0,0,0,0,1,1,1,0
"9380",1,1,1,1,1,1,1,1
"2712",1,1,0,0,1,0,1,0
"2713",NA,NA,NA,NA,NA,NA,NA,NA
"2710",1,1,1,0,0,1,1,0
"3029",0,1,0,1,1,0,0,0
"6536",NA,NA,NA,NA,NA,NA,NA,NA
