"","original","FastCore","GIMME","IMAT","CORDA","tINIT"
"BETALDHxm",NA,"-","-1","-1","-","-2"
"BHBtm",NA,"-","-1","-1","-","-2"
"BHMT",1,"Present","1","1","Medium","10"
"BILDGLCURt",0,"-","0","0","Negative","-8"
"BTNDm",0,"-","0","0","Negative","-8"
"BTNPL",0,"-","0","0","Negative","-8"
"BTNt3i_1",0,"-","0","0","Negative","-8"
"BZtr",NA,"-","-1","-1","-","-2"
"C160CPT1",1,"Present","1","1","Medium","10"
"C160CPT2",1,"Present","1","1","Medium","10"
"C160CRNt",2,"Present","2","2","High","15"
"C161CPT1",1,"Present","1","1","Medium","10"
"C161CPT12",1,"Present","1","1","Medium","10"
"C161CPT2",0,"-","0","0","Negative","-8"
"C161CRN2t",2,"Present","2","2","High","15"
"C161CRNt",2,"Present","2","2","High","15"
"C180CPT1",1,"Present","1","1","Medium","10"
"C181CPT1",1,"Present","1","1","Medium","10"
"C181CRNt",2,"Present","2","2","High","15"
"C204CPT1",1,"Present","1","1","Medium","10"
"C204CPT2",0,"-","0","0","Negative","-8"
"C226COAtx",NA,"-","-1","-1","-","-2"
"C226CPT1",1,"Present","1","1","Medium","10"
"C226CPT2",0,"-","0","0","Negative","-8"
"C226CRNt",NA,"-","-1","-1","-","-2"
"C3STDH1r",1,"Present","1","1","Medium","10"
"C4STMO1r",0,"-","0","0","Negative","-8"
"C4STMO2Pr",1,"Present","1","1","Medium","10"
"CAATPS_1",1,"Present","1","1","Medium","10"
"CAROtr",NA,"-","-1","-1","-","-2"
"CAt7r",0,"-","0","0","Negative","-8"
"CATm",3,"Present","2","2","High","20"
"CATp",3,"Present","2","2","High","20"
"CBPPer",0,"-","0","0","Negative","-8"
"CBR2",2,"Present","2","2","High","15"
"CDIPTr",0,"-","0","0","Negative","-8"
"CDPDAGtm",NA,"-","-1","-1","-","-2"
"CDS",2,"Present","2","2","High","15"
"CERT1gt",1,"Present","1","1","Medium","10"
"CERT1rt",1,"Present","1","1","Medium","10"
"CERT2rt",1,"Present","1","1","Medium","10"
"CH25H",0,"-","0","0","Negative","-8"
"CHATn",0,"-","0","0","Negative","-8"
"CHLP",0,"-","0","0","Negative","-8"
"CHOLD2m",0,"-","0","0","Negative","-8"
"CHOLK",1,"Present","1","1","Medium","10"
"CHOLPtl",NA,"-","-1","-1","-","-2"
"CHOLtn",NA,"-","-1","-1","-","-2"
"CHOLtr",NA,"-","-1","-1","-","-2"
"CHSTEROLt3",NA,"-","-1","-1","-","-2"
"CITRtm",0,"-","0","0","Negative","-8"
"CITtam",2,"Present","2","2","High","15"
"CK_cho",0,"-","0","0","Negative","-8"
"CLHCO3tex2",0,"-","0","0","Negative","-8"
"CLOXAtex2",0,"-","0","0","Negative","-8"
"CLPNDCOAtx",NA,"-","-1","-1","-","-2"
"CLPNDCPT1",1,"Present","1","1","Medium","10"
"CLPNDt",NA,"-","-1","-1","-","-2"
"CMPACNAtn",NA,"-","-1","-1","-","-2"
"ACNMCT",2,"Present","2","2","High","15"
"CO2tg",NA,"-","-1","-1","-","-2"
"CO2tm",NA,"-","-1","-1","-","-2"
"COAtim",0,"-","0","0","Negative","-8"
"COKECBESr",0,"-","0","0","Negative","-8"
"COQ3m",0,"-","0","0","Negative","-8"
"COQ6m",0,"-","0","0","Negative","-8"
"COQ7m",1,"Present","1","1","Medium","10"
"CORE3GTg",0,"-","0","0","Negative","-8"
"CORE6GTg",0,"-","0","0","Negative","-8"
"CORE7GTg",NA,"-","-1","-1","-","-2"
"CREATt4_2_r",0,"-","0","0","Negative","-8"
"CREATtmdiffir",NA,"-","-1","-1","-","-2"
"CRMPte",NA,"-","-1","-1","-","-2"
"CRNCAR3tp",NA,"-","-1","-1","-","-2"
"CRNCARtp",0,"-","0","0","Negative","-8"
"CRNt",0,"-","0","0","Negative","-8"
"CRNtHa",1,"Present","1","1","Medium","10"
"CRNtuNa",0,"-","0","0","Negative","-8"
"CRTNsyn_cho",NA,"-","-1","-1","-","-2"
"CRTSLt",NA,"-","-1","-1","-","-2"
"CRTSLtm",NA,"-","-1","-1","-","-2"
"CRTSLtr",NA,"-","-1","-1","-","-2"
"CRVNCtr",NA,"-","-1","-1","-","-2"
"CSAPASEly",NA,"-","-1","-1","-","-2"
"CSCPASEly",NA,"-","-1","-1","-","-2"
"CSEPASEly",NA,"-","-1","-1","-","-2"
"CSNAT2m",0,"-","0","0","Negative","-8"
"CSNAT2x",0,"-","0","0","Negative","-8"
"CSNAT3x",0,"-","0","0","Negative","-8"
"CSNATm",0,"-","0","0","Negative","-8"
"CSNATp",0,"-","0","0","Negative","-8"
"CSNATr",0,"-","0","0","Negative","-8"
"CSPG_Atly",NA,"-","-1","-1","-","-2"
"CSPG_Ct",NA,"-","-1","-1","-","-2"
"CSPG_Ctly",NA,"-","-1","-1","-","-2"
"CSPG_Dt",NA,"-","-1","-1","-","-2"
"CSPG_Dtly",NA,"-","-1","-1","-","-2"
"CTPtn",NA,"-","-1","-1","-","-2"
"CYANt",NA,"-","-1","-1","-","-2"
"CYANtm",NA,"-","-1","-1","-","-2"
"CYSALANaEx",0,"-","0","0","Negative","-8"
"CYSASNNaEx",0,"-","0","0","Negative","-8"
"CYSGLYex",0,"-","0","0","Negative","-8"
"CYSO",0,"-","0","0","Negative","-8"
"CYSSERNaEx",0,"-","0","0","Negative","-8"
"CYStec",0,"-","0","0","Negative","-8"
"CYSTGLUex",1,"Present","1","1","Medium","10"
"CYTD",1,"Present","1","1","Medium","10"
"CYTDn",0,"-","0","0","Negative","-8"
"CYTDt",0,"-","0","0","Negative","-8"
"CYTDtl",0,"-","0","0","Negative","-8"
"CYTK12",3,"Present","2","2","High","20"
"CYTK12n",3,"Present","2","2","High","20"
"CYTK13n",3,"Present","2","2","High","20"
"CYTK14",3,"Present","2","2","High","20"
"CYTK1m",0,"-","0","0","Negative","-8"
"CYTK2n",3,"Present","2","2","High","20"
"CYTK3",0,"-","0","0","Negative","-8"
"CYTK4",0,"-","0","0","Negative","-8"
"CYTK5n",3,"Present","2","2","High","20"
"CPK1",3,"Present","2","2","High","20"
"CYTK6n",3,"Present","2","2","High","20"
"CYTK7",3,"Present","2","2","High","20"
"CYTK7n",3,"Present","2","2","High","20"
"CYTK8",3,"Present","2","2","High","20"
"CYTK8n",3,"Present","2","2","High","20"
"DADNK",NA,"-","-1","-1","-","-2"
"DAG_HSter",NA,"-","-1","-1","-","-2"
"DAGK_hs",3,"Present","2","2","High","20"
"DARGOp",0,"-","0","0","Negative","-8"
"DASCBH",NA,"-","-1","-1","-","-2"
"DASPO1p",0,"-","0","0","Negative","-8"
"DATPtn",NA,"-","-1","-1","-","-2"
"DCK1m",NA,"-","-1","-1","-","-2"
"DCK1n",3,"Present","2","2","High","20"
"DLNLCGCPT2",0,"-","0","0","Negative","-8"
"DCSPTN1CPT1",1,"Present","1","1","Medium","10"
"DCSPTN1CRNt",2,"Present","2","2","High","15"
"DCSPTN1t",NA,"-","-1","-1","-","-2"
"DCTPtn",NA,"-","-1","-1","-","-2"
"DCYTD",1,"Present","1","1","Medium","10"
"DCYTDn",0,"-","0","0","Negative","-8"
"DCYTt",0,"-","0","0","Negative","-8"
"DECDPtm",NA,"-","-1","-1","-","-2"
"DEDOLP2_L",NA,"-","-1","-1","-","-2"
"DESAT18_10",0,"-","0","0","Negative","-8"
"DESAT18_6",0,"-","0","0","Negative","-8"
"DESAT18_12",0,"-","0","0","Negative","-8"
"DESAT22_2p",NA,"-","-1","-1","-","-2"
"DESAT24_1",0,"-","0","0","Negative","-8"
"DGCHOLte",NA,"-","-1","-1","-","-2"
"DGSNt",0,"-","0","0","Negative","-8"
"DGSNtm",NA,"-","-1","-1","-","-2"
"DHCRD2",1,"Present","1","1","Medium","10"
"DHDPBMTm",0,"-","0","0","Negative","-8"
"DHEASt",1,"Present","1","1","Medium","10"
"DHEASULT",1,"Present","1","1","Medium","10"
"DHEAtr",NA,"-","-1","-1","-","-2"
"DHFtl",NA,"-","-1","-1","-","-2"
"DHFtm",NA,"-","-1","-1","-","-2"
"DHORD9",0,"-","0","0","Negative","-8"
"DHPM1",2,"Present","2","2","High","15"
"DIGALSGALSIDEtg",NA,"-","-1","-1","-","-2"
"DIGALSIDEtl",NA,"-","-1","-1","-","-2"
"DITPtn",NA,"-","-1","-1","-","-2"
"D_LACt2",1,"Present","1","1","Medium","10"
"DLNLCGCPT1",1,"Present","1","1","Medium","10"
"DMANTIPYRINEte",NA,"-","-1","-1","-","-2"
"DMATTx",3,"Present","2","2","High","20"
"DMGDHm",0,"-","0","0","Negative","-8"
"DMGtm",NA,"-","-1","-1","-","-2"
"DMHPTCRNCPT2",NA,"-","-1","-1","-","-2"
"DMHPTCRNte",NA,"-","-1","-1","-","-2"
"C110CPT2m",NA,"-","-1","-1","-","-2"
"DMNONCRNt",NA,"-","-1","-1","-","-2"
"DNADtn",NA,"-","-1","-1","-","-2"
"DNDPt10m",0,"-","0","0","Negative","-8"
"DNDPt11m",0,"-","0","0","Negative","-8"
"DNDPt13m",0,"-","0","0","Negative","-8"
"DNDPt14m",0,"-","0","0","Negative","-8"
"DNDPt15m",0,"-","0","0","Negative","-8"
"DNDPt16m",0,"-","0","0","Negative","-8"
"DNDPt17m",0,"-","0","0","Negative","-8"
"DNDPt18m",0,"-","0","0","Negative","-8"
"DNDPt1m",0,"-","0","0","Negative","-8"
"DNDPt20m",0,"-","0","0","Negative","-8"
"DNDPt21m",0,"-","0","0","Negative","-8"
"DNDPt25m",0,"-","0","0","Negative","-8"
"DNDPt28m",0,"-","0","0","Negative","-8"
"DNDPt32m",0,"-","0","0","Negative","-8"
"DNDPt37m",0,"-","0","0","Negative","-8"
"DNDPt38m",0,"-","0","0","Negative","-8"
"DNDPt39m",0,"-","0","0","Negative","-8"
"DNDPt40m",0,"-","0","0","Negative","-8"
"DNDPt42m",0,"-","0","0","Negative","-8"
"DNDPt43m",0,"-","0","0","Negative","-8"
"DNDPt45m",0,"-","0","0","Negative","-8"
"DNDPt49m",0,"-","0","0","Negative","-8"
"DNDPt50m",0,"-","0","0","Negative","-8"
"DNDPt57m",0,"-","0","0","Negative","-8"
"DNDPt59m",0,"-","0","0","Negative","-8"
"DNDPt5m",0,"-","0","0","Negative","-8"
"DNDPt60m",0,"-","0","0","Negative","-8"
"DNDPt61m",0,"-","0","0","Negative","-8"
"DNDPt62m",0,"-","0","0","Negative","-8"
"DNDPt63m",0,"-","0","0","Negative","-8"
"DNDPt6m",0,"-","0","0","Negative","-8"
"DOLGPP_Ler",NA,"-","-1","-1","-","-2"
"DOLICHOL_Lter",NA,"-","-1","-1","-","-2"
"DOLICHOL_Uter",NA,"-","-1","-1","-","-2"
"DOLK_U",NA,"-","-1","-1","-","-2"
"DOLPH_Uer",0,"-","0","0","Negative","-8"
"DOLPMT_U",0,"-","0","0","Negative","-8"
"DOLP_Lter",NA,"-","-1","-1","-","-2"
"DOLP_Uter",NA,"-","-1","-1","-","-2"
"DOPAt4_2_r",0,"-","0","0","Negative","-8"
"DOPAtu",0,"-","0","0","Negative","-8"
"DOPAVESSEC_1",1,"Present","1","1","Medium","10"
"DPCOAtl",NA,"-","-1","-1","-","-2"
"DPGase",3,"Present","2","2","High","20"
"DSAT",NA,"-","-1","-1","-","-2"
"DTDPtn",NA,"-","-1","-1","-","-2"
"DUDPtn",NA,"-","-1","-1","-","-2"
"DURAD",0,"-","0","0","Negative","-8"
"DURAD2",0,"-","0","0","Negative","-8"
"DURIK1",0,"-","0","0","Negative","-8"
"DURIt",0,"-","0","0","Negative","-8"
"DUTPDPm",3,"Present","2","2","High","20"
"EBASTINEOHtr",NA,"-","-1","-1","-","-2"
"EBASTINEte",NA,"-","-1","-1","-","-2"
"ECOAH12m",3,"Present","2","2","High","20"
"ECOAH9m",3,"Present","2","2","High","20"
"EICOSTETCPT1",1,"Present","1","1","Medium","10"
"ESTRADIOLGLCtr",NA,"-","-1","-1","-","-2"
"ESTRADIOLt",NA,"-","-1","-1","-","-2"
"ESTRIOLGLCte",1,"Present","1","1","Medium","10"
"ESTRIOLtr",NA,"-","-1","-1","-","-2"
"ESTRONEGLCt",0,"-","0","0","Negative","-8"
"ESTRONESt",1,"Present","1","1","Medium","10"
"ESTRONESt2",0,"-","0","0","Negative","-8"
"ESTRONEtr",NA,"-","-1","-1","-","-2"
"ETF",2,"Present","2","2","High","15"
"ETFQO",0,"-","0","0","Negative","-8"
"ETHAK",1,"Present","1","1","Medium","10"
"EX_10fthf5glu_e",NA,"-","-1","-1","-","-2"
"EX_10fthf6glu_e",NA,"-","-1","-1","-","-2"
"EX_10fthf7glu_e",NA,"-","-1","-1","-","-2"
"EX_11_cis_retfa_e",NA,"-","-1","-1","-","-2"
"EX_13_cis_retnglc_e",NA,"-","-1","-1","-","-2"
"EX_24nph_e",NA,"-","-1","-1","-","-2"
"EX_25hvitd3_e",NA,"-","-1","-1","-","-2"
"EX_2hb_e",NA,"-","-1","-1","-","-2"
"EX_2mcit_e",NA,"-","-1","-1","-","-2"
"EX_34dhphe_e",NA,"-","-1","-1","-","-2"
"EX_35cgmp_e",NA,"-","-1","-1","-","-2"
"EX_4hphac_e",NA,"-","-1","-1","-","-2"
"EX_4mptnl_e",NA,"-","-1","-1","-","-2"
"EX_7dhf_e",NA,"-","-1","-1","-","-2"
"EX_7thf_e",NA,"-","-1","-1","-","-2"
"EX_9_cis_retfa_e",NA,"-","-1","-1","-","-2"
"EX_acetone_e",NA,"-","-1","-1","-","-2"
"EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e",NA,"-","-1","-1","-","-2"
"EX_acnacngal14acglcgalgluside_hs_e",NA,"-","-1","-1","-","-2"
"EX_adp_e",NA,"-","-1","-1","-","-2"
"EX_ahandrostanglc_e",NA,"-","-1","-1","-","-2"
"EX_ala_B_e",NA,"-","-1","-1","-","-2"
"EX_ala__D_e",NA,"-","-1","-1","-","-2"
"EX_aldstrn_e",NA,"-","-1","-1","-","-2"
"EX_andrstrn_e",NA,"-","-1","-1","-","-2"
"EX_andrstrnglc_e",NA,"-","-1","-1","-","-2"
"EX_antipyrene_e",NA,"-","-1","-1","-","-2"
"EX_appnn_e",NA,"-","-1","-1","-","-2"
"EX_arach_e",NA,"-","-1","-1","-","-2"
"EX_bhb_e",NA,"-","-1","-1","-","-2"
"EX_bildglcur_e",NA,"-","-1","-1","-","-2"
"EX_biocyt_e",NA,"-","-1","-1","-","-2"
"EX_caro_e",NA,"-","-1","-1","-","-2"
"EX_carveol_e",NA,"-","-1","-1","-","-2"
"EX_chol_e",NA,"-","-1","-1","-","-2"
"EX_cholate_e",NA,"-","-1","-1","-","-2"
"EX_chtn_e",NA,"-","-1","-1","-","-2"
"EX_clpnd_e",NA,"-","-1","-1","-","-2"
"EX_coumarin_e",NA,"-","-1","-1","-","-2"
"EX_creat_e",NA,"-","-1","-1","-","-2"
"EX_crmp_hs_e",NA,"-","-1","-1","-","-2"
"EX_crn_e",NA,"-","-1","-1","-","-2"
"EX_crtstrn_e",NA,"-","-1","-1","-","-2"
"EX_crvnc_e",NA,"-","-1","-1","-","-2"
"EX_cspg_c_e",NA,"-","-1","-1","-","-2"
"EX_cspg_e_e",NA,"-","-1","-1","-","-2"
"EX_cyan_e",NA,"-","-1","-1","-","-2"
"EX_dag_hs_e",NA,"-","-1","-1","-","-2"
"EX_dcsptn1_e",NA,"-","-1","-1","-","-2"
"EX_dhdascb_e",NA,"-","-1","-1","-","-2"
"EX_dheas_e",NA,"-","-1","-1","-","-2"
"EX_dhf_e",NA,"-","-1","-1","-","-2"
"EX_digalsgalside_hs_e",NA,"-","-1","-1","-","-2"
"EX_dlnlcg_e",NA,"-","-1","-1","-","-2"
"EX_dmantipyrine_e",NA,"-","-1","-1","-","-2"
"EX_dmhptcrn_e",NA,"-","-1","-1","-","-2"
"EX_dopa_e",NA,"-","-1","-1","-","-2"
"EX_eaflatoxin_e",NA,"-","-1","-1","-","-2"
"EX_ebastine_e",NA,"-","-1","-1","-","-2"
"EX_eicostet_e",NA,"-","-1","-1","-","-2"
"EX_estradiolglc_e",NA,"-","-1","-1","-","-2"
"EX_fucacngalacglcgalgluside_hs_e",NA,"-","-1","-1","-","-2"
"EX_fucfuc12gal14acglcgalgluside_hs_e",NA,"-","-1","-1","-","-2"
"EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e",NA,"-","-1","-1","-","-2"
"EX_fucfucgalacglcgalgluside_hs_e",NA,"-","-1","-1","-","-2"
"EX_fucgal14acglcgalgluside_hs_e",NA,"-","-1","-1","-","-2"
"EX_fucgalgbside_hs_e",NA,"-","-1","-1","-","-2"
"EX_fuc__L_e",NA,"-","-1","-1","-","-2"
"EX_galacglcgalgbside_hs_e",NA,"-","-1","-1","-","-2"
"EX_galfucgalacglcgal14acglcgalgluside_hs_e",NA,"-","-1","-1","-","-2"
"EX_gd1c_hs_e",NA,"-","-1","-1","-","-2"
"EX_gdp_e",NA,"-","-1","-1","-","-2"
"EX_gluala_e",NA,"-","-1","-1","-","-2"
"EX_glyc__S_e",NA,"-","-1","-1","-","-2"
