"Gene_stable_ID","Transcript_stable_ID","Protein_stable_ID","UniProtKB_Swiss_Prot_ID","Gene_name","NCBI_gene_ID"
"ENSG00000005075","ENST00000292614","ENSP00000292614","P52435","POLR2J",5439
"ENSG00000005075","ENST00000393794","ENSP00000377383","","POLR2J",5439
"ENSG00000005187","ENST00000289416","ENSP00000289416","Q53FZ2","ACSM3",6296
"ENSG00000005187","ENST00000440284","ENSP00000394565","Q53FZ2","ACSM3",6296
"ENSG00000005187","ENST00000561584","ENSP00000456055","","ACSM3",6296
"ENSG00000005187","ENST00000561795","ENSP00000458068","","ACSM3",6296
"ENSG00000005187","ENST00000562251","ENSP00000456767","","ACSM3",6296
"ENSG00000005187","ENST00000563914","ENSP00000457926","","ACSM3",6296
"ENSG00000005187","ENST00000564701","ENSP00000457158","","ACSM3",6296
"ENSG00000005187","ENST00000568235","ENSP00000457003","","ACSM3",6296
"ENSG00000005187","ENST00000569141","ENSP00000457608","","ACSM3",6296
"ENSG00000005249","ENST00000265717","ENSP00000265717","P31323","PRKAR2B",5577
"ENSG00000005339","ENST00000262367","ENSP00000262367","Q92793","CREBBP",1387
"ENSG00000005339","ENST00000382070","ENSP00000371502","Q92793","CREBBP",1387
"ENSG00000005339","ENST00000570939","ENSP00000461002","","CREBBP",1387
"ENSG00000005339","ENST00000571826","ENSP00000459490","","CREBBP",1387
"ENSG00000005339","ENST00000572134","ENSP00000458254","","CREBBP",1387
"ENSG00000005339","ENST00000573517","ENSP00000460474","","CREBBP",1387
"ENSG00000005339","ENST00000637492","ENSP00000490244","","CREBBP",1387
"ENSG00000005381","ENST00000225275","ENSP00000225275","P05164","MPO",4353
"ENSG00000005381","ENST00000577220","ENSP00000464668","","MPO",4353
"ENSG00000005421","ENST00000222381","ENSP00000222381","P27169","PON1",5444
"ENSG00000005421","ENST00000433729","ENSP00000407359","","PON1",5444
"ENSG00000005469","ENST00000331536","ENSP00000331981","Q9UKG9","CROT",54677
"ENSG00000005469","ENST00000412227","ENSP00000404867","Q9UKG9","CROT",54677
"ENSG00000005469","ENST00000419147","ENSP00000413575","Q9UKG9","CROT",54677
"ENSG00000005469","ENST00000442291","ENSP00000411983","","CROT",54677
"ENSG00000005471","ENST00000265723","ENSP00000265723","P21439","ABCB4",5244
"ENSG00000005471","ENST00000358400","ENSP00000351172","P21439","ABCB4",5244
"ENSG00000005471","ENST00000359206","ENSP00000352135","P21439","ABCB4",5244
"ENSG00000005471","ENST00000417608","ENSP00000394511","","ABCB4",5244
"ENSG00000005471","ENST00000440025","ENSP00000395716","","ABCB4",5244
"ENSG00000005471","ENST00000453593","ENSP00000392983","P21439","ABCB4",5244
"ENSG00000005471","ENST00000643670","ENSP00000496629","","ABCB4",5244
"ENSG00000005471","ENST00000644106","ENSP00000493477","","ABCB4",5244
"ENSG00000005471","ENST00000649586","ENSP00000496956","","ABCB4",5244
"ENSG00000005483","ENST00000257745","ENSP00000257745","Q8IZD2","KMT2E",55904
"ENSG00000005483","ENST00000311117","ENSP00000312379","Q8IZD2","KMT2E",55904
"ENSG00000005483","ENST00000334884","ENSP00000335398","Q8IZD2","KMT2E",55904
"ENSG00000005483","ENST00000473063","ENSP00000417156","","KMT2E",55904
"ENSG00000005483","ENST00000474203","ENSP00000420206","","KMT2E",55904
"ENSG00000005483","ENST00000476671","ENSP00000417888","Q8IZD2","KMT2E",55904
"ENSG00000005483","ENST00000478079","ENSP00000419525","","KMT2E",55904
"ENSG00000005483","ENST00000478990","ENSP00000419883","","KMT2E",55904
"ENSG00000005483","ENST00000479838","ENSP00000473963","","KMT2E",55904
"ENSG00000005483","ENST00000482560","ENSP00000417193","","KMT2E",55904
"ENSG00000005483","ENST00000495267","ENSP00000420415","","KMT2E",55904
"ENSG00000005483","ENST00000622386","ENSP00000482147","","KMT2E",55904
"ENSG00000005810","ENST00000357337","ENSP00000349892","O75592","MYCBP2",23077
"ENSG00000005810","ENST00000429715","ENSP00000413907","","MYCBP2",23077
"ENSG00000005810","ENST00000466564","ENSP00000481482","","MYCBP2",23077
"ENSG00000005810","ENST00000544440","ENSP00000444596","O75592","MYCBP2",23077
"ENSG00000005810","ENST00000612956","ENSP00000483488","","MYCBP2",23077
"ENSG00000005882","ENST00000007708","ENSP00000007708","Q15119","PDK2",5164
"ENSG00000005882","ENST00000503176","ENSP00000420927","Q15119","PDK2",5164
"ENSG00000005882","ENST00000503614","ENSP00000425265","","PDK2",5164
"ENSG00000005882","ENST00000505440","ENSP00000425615","","PDK2",5164
"ENSG00000005882","ENST00000508030","ENSP00000427682","","PDK2",5164
"ENSG00000005882","ENST00000510219","ENSP00000423310","","PDK2",5164
"ENSG00000005882","ENST00000512238","ENSP00000421178","","PDK2",5164
"ENSG00000005882","ENST00000614357","ENSP00000481915","Q15119","PDK2",5164
"ENSG00000006007","ENST00000353258","ENSP00000261386","Q9NZC3","GDE1",51573
"ENSG00000006007","ENST00000564172","ENSP00000457431","","GDE1",51573
"ENSG00000006007","ENST00000569773","ENSP00000454755","","GDE1",51573
"ENSG00000006007","ENST00000569899","ENSP00000456295","","GDE1",51573
"ENSG00000006062","ENST00000344686","ENSP00000478552","Q99558","MAP3K14",9020
"ENSG00000006062","ENST00000376926","ENSP00000482657","Q99558","MAP3K14",9020
"ENSG00000006062","ENST00000617331","ENSP00000480974","","MAP3K14",9020
"ENSG00000006062","ENST00000648527","ENSP00000497704","","MAP3K14",9020
"ENSG00000006071","ENST00000302539","ENSP00000303960","Q09428","ABCC8",6833
"ENSG00000006071","ENST00000389817","ENSP00000374467","Q09428","ABCC8",6833
"ENSG00000006071","ENST00000526168","ENSP00000437233","","ABCC8",6833
"ENSG00000006071","ENST00000527905","ENSP00000431653","","ABCC8",6833
"ENSG00000006071","ENST00000528374","ENSP00000433638","","ABCC8",6833
"ENSG00000006071","ENST00000531642","ENSP00000435378","","ABCC8",6833
"ENSG00000006071","ENST00000531891","ENSP00000434893","","ABCC8",6833
"ENSG00000006071","ENST00000532728","ENSP00000495427","","ABCC8",6833
"ENSG00000006071","ENST00000612903","ENSP00000483031","Q09428","ABCC8",6833
"ENSG00000006071","ENST00000642271","ENSP00000493749","","ABCC8",6833
"ENSG00000006071","ENST00000642579","ENSP00000496714","","ABCC8",6833
"ENSG00000006071","ENST00000642902","ENSP00000493601","","ABCC8",6833
"ENSG00000006071","ENST00000643260","ENSP00000494450","","ABCC8",6833
"ENSG00000006071","ENST00000643562","ENSP00000496124","","ABCC8",6833
"ENSG00000006071","ENST00000643878","ENSP00000495271","Q09428","ABCC8",6833
"ENSG00000006071","ENST00000643925","ENSP00000495697","","ABCC8",6833
"ENSG00000006071","ENST00000644447","ENSP00000496282","","ABCC8",6833
"ENSG00000006071","ENST00000644472","ENSP00000495378","","ABCC8",6833
"ENSG00000006071","ENST00000644484","ENSP00000493558","","ABCC8",6833
"ENSG00000006071","ENST00000644542","ENSP00000495532","Q09428","ABCC8",6833
"ENSG00000006071","ENST00000644649","ENSP00000494519","","ABCC8",6833
"ENSG00000006071","ENST00000644675","ENSP00000494567","","ABCC8",6833
"ENSG00000006071","ENST00000644757","ENSP00000495085","","ABCC8",6833
"ENSG00000006071","ENST00000644772","ENSP00000494321","","ABCC8",6833
"ENSG00000006071","ENST00000645076","ENSP00000494791","","ABCC8",6833
"ENSG00000006071","ENST00000645417","ENSP00000495891","","ABCC8",6833
"ENSG00000006071","ENST00000645744","ENSP00000494564","","ABCC8",6833
"ENSG00000006071","ENST00000645760","ENSP00000496309","","ABCC8",6833
"ENSG00000006071","ENST00000645884","ENSP00000495516","","ABCC8",6833
"ENSG00000006071","ENST00000646003","ENSP00000495259","","ABCC8",6833
"ENSG00000006071","ENST00000646207","ENSP00000495025","","ABCC8",6833
"ENSG00000006071","ENST00000646276","ENSP00000496070","","ABCC8",6833
"ENSG00000006071","ENST00000646592","ENSP00000494407","","ABCC8",6833
"ENSG00000006071","ENST00000646737","ENSP00000494874","","ABCC8",6833
"ENSG00000006071","ENST00000646902","ENSP00000494101","","ABCC8",6833
"ENSG00000006071","ENST00000646993","ENSP00000493720","","ABCC8",6833
"ENSG00000006071","ENST00000647013","ENSP00000496741","","ABCC8",6833
"ENSG00000006071","ENST00000647015","ENSP00000495389","","ABCC8",6833
"ENSG00000006071","ENST00000647086","ENSP00000493677","","ABCC8",6833
"ENSG00000006071","ENST00000647158","ENSP00000495744","","ABCC8",6833
"ENSG00000006432","ENST00000381250","ENSP00000370649","","MAP3K9",4293
"ENSG00000006432","ENST00000553414","ENSP00000451038","","MAP3K9",4293
"ENSG00000006432","ENST00000554146","ENSP00000451921","","MAP3K9",4293
"ENSG00000006432","ENST00000554752","ENSP00000451612","P80192","MAP3K9",4293
"ENSG00000006432","ENST00000555993","ENSP00000451263","P80192","MAP3K9",4293
"ENSG00000006432","ENST00000611979","ENSP00000480011","","MAP3K9",4293
"ENSG00000006530","ENST00000355413","ENSP00000347581","Q53H12","AGK",55750
"ENSG00000006530","ENST00000473247","ENSP00000420776","","AGK",55750
"ENSG00000006530","ENST00000473884","ENSP00000420540","","AGK",55750
"ENSG00000006530","ENST00000492693","ENSP00000418789","Q53H12","AGK",55750
"ENSG00000006530","ENST00000494688","ENSP00000418101","","AGK",55750
"ENSG00000006530","ENST00000629555","ENSP00000487274","","AGK",55750
"ENSG00000006530","ENST00000647568","ENSP00000497039","","AGK",55750
"ENSG00000006530","ENST00000648068","ENSP00000498112","","AGK",55750
"ENSG00000006530","ENST00000648395","ENSP00000497666","","AGK",55750
"ENSG00000006530","ENST00000648690","ENSP00000497945","","AGK",55750
"ENSG00000006530","ENST00000649014","ENSP00000497984","","AGK",55750
"ENSG00000006530","ENST00000649286","ENSP00000497280","","AGK",55750
"ENSG00000006530","ENST00000649365","ENSP00000496835","","AGK",55750
"ENSG00000006530","ENST00000649790","ENSP00000498193","","AGK",55750
"ENSG00000006530","ENST00000649914","ENSP00000497848","","AGK",55750
"ENSG00000006530","ENST00000650006","ENSP00000497457","","AGK",55750
"ENSG00000006530","ENST00000650365","ENSP00000497358","","AGK",55750
"ENSG00000006530","ENST00000650547","ENSP00000496789","","AGK",55750
"ENSG00000006534","ENST00000342456","ENSP00000473990","P43353","ALDH3B1",221
"ENSG00000006534","ENST00000527514","ENSP00000478380","","ALDH3B1",221
"ENSG00000006534","ENST00000612297","ENSP00000484901","","ALDH3B1",221
"ENSG00000006534","ENST00000614849","ENSP00000478486","P43353","ALDH3B1",221
"ENSG00000006534","ENST00000615463","ENSP00000479948","","ALDH3B1",221
"ENSG00000006534","ENST00000616697","ENSP00000477789","","ALDH3B1",221
"ENSG00000006534","ENST00000617288","ENSP00000481604","P43353","ALDH3B1",221
"ENSG00000006534","ENST00000617449","ENSP00000483988","","ALDH3B1",221
"ENSG00000006534","ENST00000619675","ENSP00000478632","","ALDH3B1",221
"ENSG00000006625","ENST00000005374","ENSP00000005374","O75223","GGCT",79017
"ENSG00000006625","ENST00000275428","ENSP00000275428","O75223","GGCT",79017
"ENSG00000006625","ENST00000409144","ENSP00000386610","O75223","GGCT",79017
"ENSG00000006625","ENST00000409390","ENSP00000387235","O75223","GGCT",79017
"ENSG00000006625","ENST00000409436","ENSP00000386686","","GGCT",79017
"ENSG00000006625","ENST00000426081","ENSP00000390094","","GGCT",79017
"ENSG00000006625","ENST00000440082","ENSP00000408015","","GGCT",79017
"ENSG00000006625","ENST00000447901","ENSP00000387809","","GGCT",79017
"ENSG00000006695","ENST00000261643","ENSP00000261643","Q12887","COX10",1352
"ENSG00000006695","ENST00000429152","ENSP00000397750","","COX10",1352
"ENSG00000006695","ENST00000580561","ENSP00000462190","","COX10",1352
"ENSG00000006695","ENST00000581931","ENSP00000462512","","COX10",1352
"ENSG00000006756","ENST00000381154","ENSP00000370546","P51689","ARSD",414
"ENSG00000006756","ENST00000458014","ENSP00000409180","","ARSD",414
"ENSG00000006756","ENST00000559324","ENSP00000453789","","ARSD",414
"ENSG00000006757","ENST00000381042","ENSP00000370430","P41247","PNPLA4",8228
"ENSG00000006757","ENST00000442940","ENSP00000406698","","PNPLA4",8228
"ENSG00000006757","ENST00000444736","ENSP00000415245","P41247","PNPLA4",8228
"ENSG00000006757","ENST00000537427","ENSP00000443157","P41247","PNPLA4",8228
"ENSG00000006837","ENST00000265334","ENSP00000265334","Q8IVW4","CDKL3",51265
"ENSG00000006837","ENST00000518990","ENSP00000427836","","CDKL3",51265
"ENSG00000006837","ENST00000519312","ENSP00000427738","","CDKL3",51265
"ENSG00000006837","ENST00000520592","ENSP00000428498","","CDKL3",51265
"ENSG00000006837","ENST00000520693","ENSP00000430777","","CDKL3",51265
"ENSG00000006837","ENST00000521118","ENSP00000428689","","CDKL3",51265
"ENSG00000006837","ENST00000521755","ENSP00000427964","","CDKL3",51265
"ENSG00000006837","ENST00000523054","ENSP00000428500","","CDKL3",51265
"ENSG00000006837","ENST00000523832","ENSP00000430496","Q8IVW4","CDKL3",51265
"ENSG00000007001","ENST00000005756","ENSP00000005756","O95045","UPP2",151531
"ENSG00000007001","ENST00000605860","ENSP00000474090","O95045","UPP2",151531
"ENSG00000007047","ENST00000262891","ENSP00000262891","Q96L34","MARK4",57787
"ENSG00000007047","ENST00000300843","ENSP00000300843","Q96L34","MARK4",57787
"ENSG00000007047","ENST00000587566","ENSP00000465414","","MARK4",57787
"ENSG00000007047","ENST00000590909","ENSP00000465613","","MARK4",57787
"ENSG00000007047","ENST00000592207","ENSP00000466843","","MARK4",57787
"ENSG00000007047","ENST00000592762","ENSP00000466702","","MARK4",57787
"ENSG00000007047","ENST00000620044","ENSP00000480702","","MARK4",57787
"ENSG00000007047","ENST00000622871","ENSP00000484974","","MARK4",57787
"ENSG00000007168","ENST00000397195","ENSP00000380378","P43034","PAFAH1B1",5048
"ENSG00000007168","ENST00000570400","ENSP00000460258","","PAFAH1B1",5048
"ENSG00000007168","ENST00000574468","ENSP00000460591","","PAFAH1B1",5048
"ENSG00000007168","ENST00000576586","ENSP00000461087","","PAFAH1B1",5048
"ENSG00000007171","ENST00000313735","ENSP00000327251","P35228","NOS2",4843
"ENSG00000007171","ENST00000621962","ENSP00000482291","P35228","NOS2",4843
"ENSG00000007171","ENST00000646938","ENSP00000494870","","NOS2",4843
"ENSG00000007216","ENST00000314669","ENSP00000316202","Q13183","SLC13A2",9058
"ENSG00000007216","ENST00000444914","ENSP00000392411","Q13183","SLC13A2",9058
"ENSG00000007216","ENST00000459818","ENSP00000464074","","SLC13A2",9058
"ENSG00000007216","ENST00000545060","ENSP00000441935","","SLC13A2",9058
"ENSG00000007216","ENST00000577903","ENSP00000463457","","SLC13A2",9058
"ENSG00000007216","ENST00000579281","ENSP00000463421","","SLC13A2",9058
"ENSG00000007264","ENST00000310132","ENSP00000308734","P42679","MATK",4145
"ENSG00000007264","ENST00000395040","ENSP00000378481","P42679","MATK",4145
"ENSG00000007264","ENST00000395045","ENSP00000378485","P42679","MATK",4145
"ENSG00000007264","ENST00000585778","ENSP00000468030","","MATK",4145
"ENSG00000007264","ENST00000587180","ENSP00000468465","","MATK",4145
"ENSG00000007264","ENST00000588983","ENSP00000465761","","MATK",4145
"ENSG00000007264","ENST00000590028","ENSP00000467006","","MATK",4145
"ENSG00000007264","ENST00000590493","ENSP00000468576","","MATK",4145
"ENSG00000007264","ENST00000590849","ENSP00000467992","","MATK",4145
"ENSG00000007264","ENST00000590980","ENSP00000467472","","MATK",4145
"ENSG00000007264","ENST00000591059","ENSP00000465556","","MATK",4145
"ENSG00000007264","ENST00000619596","ENSP00000483213","P42679","MATK",4145
"ENSG00000007350","ENST00000369912","ENSP00000358928","P51854","TKTL1",8277
"ENSG00000007350","ENST00000369915","ENSP00000358931","P51854","TKTL1",8277
"ENSG00000007350","ENST00000426203","ENSP00000416552","","TKTL1",8277
"ENSG00000007350","ENST00000426989","ENSP00000401111","","TKTL1",8277
"ENSG00000007350","ENST00000439635","ENSP00000399763","","TKTL1",8277
"ENSG00000007541","ENST00000026218","ENSP00000026218","Q9BRB3","PIGQ",9091
"ENSG00000007541","ENST00000293874","ENSP00000293874","","PIGQ",9091
"ENSG00000007541","ENST00000321878","ENSP00000326674","Q9BRB3","PIGQ",9091
"ENSG00000007541","ENST00000409527","ENSP00000386760","Q9BRB3","PIGQ",9091
"ENSG00000007541","ENST00000420990","ENSP00000409341","","PIGQ",9091
"ENSG00000007541","ENST00000422307","ENSP00000413753","","PIGQ",9091
"ENSG00000007541","ENST00000439574","ENSP00000387820","","PIGQ",9091
"ENSG00000007541","ENST00000443147","ENSP00000410434","","PIGQ",9091
"ENSG00000007541","ENST00000470411","ENSP00000439650","Q9BRB3","PIGQ",9091
"ENSG00000007541","ENST00000540241","ENSP00000439374","","PIGQ",9091
"ENSG00000007541","ENST00000635205","ENSP00000489216","","PIGQ",9091
"ENSG00000007541","ENST00000635909","ENSP00000490267","","PIGQ",9091
"ENSG00000007541","ENST00000636005","ENSP00000490498","","PIGQ",9091
"ENSG00000007541","ENST00000636657","ENSP00000490087","","PIGQ",9091
"ENSG00000007541","ENST00000637468","ENSP00000490672","","PIGQ",9091
"ENSG00000007541","ENST00000638143","ENSP00000490695","","PIGQ",9091
"ENSG00000007933","ENST00000367755","ENSP00000356729","P31513","FMO3",2328
"ENSG00000007933","ENST00000472784","ENSP00000476963","","FMO3",2328
"ENSG00000007933","ENST00000479749","ENSP00000477451","","FMO3",2328
"ENSG00000007944","ENST00000349606","ENSP00000008686","","MYLIP",29116
"ENSG00000007944","ENST00000356840","ENSP00000349298","Q8WY64","MYLIP",29116
"ENSG00000008086","ENST00000379989","ENSP00000369325","O76039","CDKL5",6792
"ENSG00000008086","ENST00000379996","ENSP00000369332","O76039","CDKL5",6792
"ENSG00000008086","ENST00000463994","ENSP00000485184","","CDKL5",6792
"ENSG00000008086","ENST00000623364","ENSP00000485581","","CDKL5",6792
"ENSG00000008086","ENST00000623535","ENSP00000485244","O76039","CDKL5",6792
"ENSG00000008086","ENST00000624700","ENSP00000485359","","CDKL5",6792
"ENSG00000008086","ENST00000624953","ENSP00000485625","","CDKL5",6792
"ENSG00000008086","ENST00000635828","ENSP00000490170","","CDKL5",6792
"ENSG00000008086","ENST00000637881","ENSP00000489879","","CDKL5",6792
"ENSG00000008118","ENST00000009105","ENSP00000009105","Q96NX5","CAMK1G",57172
"ENSG00000008118","ENST00000361322","ENSP00000354861","Q96NX5","CAMK1G",57172
"ENSG00000008118","ENST00000423146","ENSP00000392173","","CAMK1G",57172
"ENSG00000008128","ENST00000356200","ENSP00000348529","","CDK11A",728642
"ENSG00000008128","ENST00000357760","ENSP00000350403","","CDK11A",728642
"ENSG00000008128","ENST00000358779","ENSP00000351629","Q9UQ88","CDK11A",728642
"ENSG00000008128","ENST00000378633","ENSP00000367900","Q9UQ88","CDK11A",728642
"ENSG00000008128","ENST00000378638","ENSP00000367905","","CDK11A",728642
"ENSG00000008128","ENST00000401096","ENSP00000383874","","CDK11A",728642
"ENSG00000008128","ENST00000404249","ENSP00000384442","Q9UQ88","CDK11A",728642
"ENSG00000008128","ENST00000460465","ENSP00000462289","","CDK11A",728642
"ENSG00000008128","ENST00000479362","ENSP00000423900","","CDK11A",728642
"ENSG00000008128","ENST00000509982","ENSP00000422149","","CDK11A",728642
"ENSG00000008130","ENST00000341426","ENSP00000341679","O95544","NADK",65220
"ENSG00000008130","ENST00000341991","ENSP00000344340","O95544","NADK",65220
"ENSG00000008130","ENST00000342348","ENSP00000339727","","NADK",65220
"ENSG00000008130","ENST00000378625","ENSP00000367890","O95544","NADK",65220
"ENSG00000008130","ENST00000469045","ENSP00000462589","","NADK",65220
"ENSG00000008130","ENST00000489538","ENSP00000462999","","NADK",65220
"ENSG00000008130","ENST00000497186","ENSP00000464096","","NADK",65220
"ENSG00000008130","ENST00000498806","ENSP00000464137","","NADK",65220
"ENSG00000008300","ENST00000164024","ENSP00000164024","Q9NYQ7","CELSR3",1951
"ENSG00000008311","ENST00000358954","ENSP00000351834","","AASS",10157
"ENSG00000008311","ENST00000393376","ENSP00000377040","Q9UDR5","AASS",10157
"ENSG00000008311","ENST00000417368","ENSP00000403768","Q9UDR5","AASS",10157
"ENSG00000008311","ENST00000426162","ENSP00000394180","","AASS",10157
