"REACTION","SUBSYSTEM"
"SQLEr","Cholesterol metabolism"
"SQLSr","Cholesterol metabolism"
"XOLEST181CEH","Cholesterol metabolism"
"XOLEST182CEH","Cholesterol metabolism"
"XOLEST183CEH","Cholesterol metabolism"
"XOLEST204CEH","Cholesterol metabolism"
"XOLEST205CEH","Cholesterol metabolism"
"XOLEST226CEH","Cholesterol metabolism"
"r0170","Cholesterol metabolism"
"r0575","Cholesterol metabolism"
"r0780","Cholesterol metabolism"
"r0781","Cholesterol metabolism"
"r0783","Cholesterol metabolism"
"r1380","Cholesterol metabolism"
"r1381","Cholesterol metabolism"
"HMR_7200","Chondroitin / heparan sulfate biosynthesis"
"HMR_7202","Chondroitin / heparan sulfate biosynthesis"
"HMR_7203","Chondroitin / heparan sulfate biosynthesis"
"HMR_7205","Chondroitin / heparan sulfate biosynthesis"
"HMR_7206","Chondroitin / heparan sulfate biosynthesis"
"HMR_7207","Chondroitin / heparan sulfate biosynthesis"
"HMR_7208","Chondroitin / heparan sulfate biosynthesis"
"HMR_7209","Chondroitin / heparan sulfate biosynthesis"
"HMR_7210","Chondroitin / heparan sulfate biosynthesis"
"HMR_7211","Chondroitin / heparan sulfate biosynthesis"
"HMR_7212","Chondroitin / heparan sulfate biosynthesis"
"HMR_7213","Chondroitin / heparan sulfate biosynthesis"
"HMR_7214","Chondroitin / heparan sulfate biosynthesis"
"HMR_7215","Chondroitin / heparan sulfate biosynthesis"
"HMR_7216","Chondroitin / heparan sulfate biosynthesis"
"HMR_7217","Chondroitin / heparan sulfate biosynthesis"
"HMR_7218","Chondroitin / heparan sulfate biosynthesis"
"HMR_7219","Chondroitin / heparan sulfate biosynthesis"
"HMR_7220","Chondroitin / heparan sulfate biosynthesis"
"HMR_7221","Chondroitin / heparan sulfate biosynthesis"
"HMR_7222","Chondroitin / heparan sulfate biosynthesis"
"HMR_7490","Chondroitin / heparan sulfate biosynthesis"
"HMR_7491","Chondroitin / heparan sulfate biosynthesis"
"HMR_7492","Chondroitin / heparan sulfate biosynthesis"
"HMR_7493","Chondroitin / heparan sulfate biosynthesis"
"HMR_7494","Chondroitin / heparan sulfate biosynthesis"
"HMR_7495","Chondroitin / heparan sulfate biosynthesis"
"HMR_7496","Chondroitin / heparan sulfate biosynthesis"
"HMR_7497","Chondroitin / heparan sulfate biosynthesis"
"HMR_7498","Chondroitin / heparan sulfate biosynthesis"
"HMR_7509","Chondroitin / heparan sulfate biosynthesis"
"HMR_7510","Chondroitin / heparan sulfate biosynthesis"
"HMR_7519","Chondroitin / heparan sulfate biosynthesis"
"HMR_7520","Chondroitin / heparan sulfate biosynthesis"
"HMR_7521","Chondroitin / heparan sulfate biosynthesis"
"HMR_7522","Chondroitin / heparan sulfate biosynthesis"
"HMR_7534","Chondroitin / heparan sulfate biosynthesis"
"HMR_7535","Chondroitin / heparan sulfate biosynthesis"
"HMR_7536","Chondroitin / heparan sulfate biosynthesis"
"HMR_7537","Chondroitin / heparan sulfate biosynthesis"
"HMR_7538","Chondroitin / heparan sulfate biosynthesis"
"HMR_7551","Chondroitin / heparan sulfate biosynthesis"
"HMR_7552","Chondroitin / heparan sulfate biosynthesis"
"HMR_7553","Chondroitin / heparan sulfate biosynthesis"
"HMR_7554","Chondroitin / heparan sulfate biosynthesis"
"HMR_7501","Chondroitin sulfate degradation"
"HMR_7502","Chondroitin sulfate degradation"
"HMR_7503","Chondroitin sulfate degradation"
"HMR_7504","Chondroitin sulfate degradation"
"HMR_7505","Chondroitin sulfate degradation"
"HMR_7506","Chondroitin sulfate degradation"
"HMR_7507","Chondroitin sulfate degradation"
"HMR_7508","Chondroitin sulfate degradation"
"HMR_7513","Chondroitin sulfate degradation"
"HMR_7514","Chondroitin sulfate degradation"
"HMR_7515","Chondroitin sulfate degradation"
"HMR_7516","Chondroitin sulfate degradation"
"HMR_7517","Chondroitin sulfate degradation"
"HMR_7518","Chondroitin sulfate degradation"
"HMR_7525","Chondroitin sulfate degradation"
"HMR_7526","Chondroitin sulfate degradation"
"HMR_7527","Chondroitin sulfate degradation"
"HMR_7528","Chondroitin sulfate degradation"
"HMR_7529","Chondroitin sulfate degradation"
"HMR_7530","Chondroitin sulfate degradation"
"HMR_7531","Chondroitin sulfate degradation"
"HMR_7532","Chondroitin sulfate degradation"
"HMR_7533","Chondroitin sulfate degradation"
"HMR_7541","Chondroitin sulfate degradation"
"HMR_7542","Chondroitin sulfate degradation"
"HMR_7543","Chondroitin sulfate degradation"
"HMR_7544","Chondroitin sulfate degradation"
"HMR_7545","Chondroitin sulfate degradation"
"HMR_7546","Chondroitin sulfate degradation"
"HMR_7547","Chondroitin sulfate degradation"
"HMR_7548","Chondroitin sulfate degradation"
"HMR_7549","Chondroitin sulfate degradation"
"HMR_7550","Chondroitin sulfate degradation"
"HMR_7557","Chondroitin sulfate degradation"
"HMR_7558","Chondroitin sulfate degradation"
"HMR_7559","Chondroitin sulfate degradation"
"HMR_7560","Chondroitin sulfate degradation"
"HMR_7561","Chondroitin sulfate degradation"
"HMR_7562","Chondroitin sulfate degradation"
"HMR_7563","Chondroitin sulfate degradation"
"HMR_7564","Chondroitin sulfate degradation"
"HMR_7565","Chondroitin sulfate degradation"
"HMR_7566","Chondroitin sulfate degradation"
"HMR_7567","Chondroitin sulfate degradation"
"LAPCOAe","CoA catabolism"
"DPCOAPPe","CoA synthesis"
"PAN4PPe","CoA synthesis"
"PNTKm","CoA synthesis"
"PPNCL3","CoA synthesis"
"DKMPPD2","Cysteine and methionine metabolism"
"DKMPPD3","Cysteine and methionine metabolism"
"HMR_3875","Cysteine and methionine metabolism"
"HMR_3877","Cysteine and methionine metabolism"
"HMR_3879","Cysteine and methionine metabolism"
"HMR_3881","Cysteine and methionine metabolism"
"HMR_3912","Cysteine and methionine metabolism"
"HMR_3917","Cysteine and methionine metabolism"
"HMR_3919","Cysteine and methionine metabolism"
"HMR_3920","Cysteine and methionine metabolism"
"HMR_3922","Cysteine and methionine metabolism"
"HMR_3928","Cysteine and methionine metabolism"
"HMR_3995","Cysteine and methionine metabolism"
"HMR_3996","Cysteine and methionine metabolism"
"HMR_4072","Cysteine and methionine metabolism"
"HMR_4189","Cysteine and methionine metabolism"
"HMR_4302","Cysteine and methionine metabolism"
"HMR_4323","Cysteine and methionine metabolism"
"HMR_5381","Cysteine and methionine metabolism"
"HMR_5385","Cysteine and methionine metabolism"
"HMR_5386","Cysteine and methionine metabolism"
"HMR_5387","Cysteine and methionine metabolism"
"HMR_5388","Cysteine and methionine metabolism"
"HMR_5389","Cysteine and methionine metabolism"
"HMR_5390","Cysteine and methionine metabolism"
"HMR_5391","Cysteine and methionine metabolism"
"HMR_5418","Cysteine and methionine metabolism"
"HMR_5419","Cysteine and methionine metabolism"
"HMR_6515","Cysteine and methionine metabolism"
"HMR_6518","Cysteine and methionine metabolism"
"HMR_6519","Cysteine and methionine metabolism"
"HMR_6520","Cysteine and methionine metabolism"
"HMR_6523","Cysteine and methionine metabolism"
"HMR_8062","Cysteine and methionine metabolism"
"HMR_8066","Cysteine and methionine metabolism"
"HMR_8067","Cysteine and methionine metabolism"
"HMR_8068","Cysteine and methionine metabolism"
"HMR_8069","Cysteine and methionine metabolism"
"HMR_8641","Cysteine and methionine metabolism"
"HMR_8682","Cysteine and methionine metabolism"
"HMR_8683","Cysteine and methionine metabolism"
"HMR_8684","Cysteine and methionine metabolism"
"HMR_8685","Cysteine and methionine metabolism"
"HYPTROXe","Cysteine and methionine metabolism"
"LHCYSTIN","Cysteine and methionine metabolism"
"METDECARc","Cysteine and methionine metabolism"
"METTRANSc","Cysteine and methionine metabolism"
"SFCYSc","Cysteine and methionine metabolism"
"r0001","Cysteine and methionine metabolism"
"r0193","Cysteine and methionine metabolism"
"HMR_5407","Miscellaneous"
"BGLUGCHe","Dietary fiber binding"
"BGLUTCHLe","Dietary fiber binding"
"BGLUTDECHOe","Dietary fiber binding"
"GUMDCHAe","Dietary fiber binding"
"GUMGCHLe","Dietary fiber binding"
"GUMTCHOLe","Dietary fiber binding"
"PECDCHe","Dietary fiber binding"
"PECGCHLe","Dietary fiber binding"
"PECTCHLe","Dietary fiber binding"
"PSYGCHe","Dietary fiber binding"
"PSYTCHe","Dietary fiber binding"
"PSYTDECHe","Dietary fiber binding"
"3HLVSTitr","Drug metabolism"
"LSTNM7TDhc","Drug metabolism"
"4OHMDZhr","Drug metabolism"
"6MELVSTthep","Drug metabolism"
"NFDOHtep","Drug metabolism"
"56EPPVSitr","Drug metabolism"
"1531TALThr","Drug metabolism"
"LVSTOXD3Hhep","Drug metabolism"
"FVSCOAhc","Drug metabolism"
"3HIBUPGLUC_Sitr","Drug metabolism"
"AM1ACSteb","Drug metabolism"
"15DMTtu","Drug metabolism"
"CSAtd","Drug metabolism"
"13HTACRitr","Drug metabolism"
"TMDOATPtsc","Drug metabolism"
"4OHMDZtev","Drug metabolism"
"ALLOPtepvb","Drug metabolism"
"ATVLACGLCURhc","Drug metabolism"
"3MEACMPhc","Drug metabolism"
"ATVACIDhr","Drug metabolism"
"TMDM3hr","Drug metabolism"
"6BHGLZGLCitr","Drug metabolism"
"AM19CSteb","Drug metabolism"
"1331TACRhr","Drug metabolism"
"2HATVACIDteb","Drug metabolism"
"IBUP_RCYPCARhep","Drug metabolism"
"7BHGLZitr","Drug metabolism"
"6BHGLZitr","Drug metabolism"
"7HPVShc","Drug metabolism"
"TMACMPitr","Drug metabolism"
"RSVGLUChc","Drug metabolism"
"CRGLZABCt","Drug metabolism"
"3HIBUP_Sthv","Drug metabolism"
"4HATVLAChc","Drug metabolism"
"IBUPGLUCtchep","Drug metabolism"
"6BHGLZGLCABCt","Drug metabolism"
"6HSMVhep","Drug metabolism"
"14HMDZALThr","Drug metabolism"
"THSACMPitr","Drug metabolism"
"AM1CSAtep","Drug metabolism"
"3HPVStep","Drug metabolism"
"AM1ACCStev","Drug metabolism"
"ACMPGLUTthc","Drug metabolism"
"1331TACRteb","Drug metabolism"
"CRVSM24tev","Drug metabolism"
"2HATVACIDtep","Drug metabolism"
"NDERSVteb","Drug metabolism"
"LVSTACIDhep","Drug metabolism"
"AM19CShr","Drug metabolism"
"CARIBUP_Sitr","Drug metabolism"
"CSAitr","Drug metabolism"
"4HATVACIDOXDhc","Drug metabolism"
"6MSMVhep","Drug metabolism"
"2HATVLACteb","Drug metabolism"
"EPOXTACtev","Drug metabolism"
"EPOXTACteb","Drug metabolism"
"CVM1GLUChc","Drug metabolism"
"6HMSMVitr","Drug metabolism"
"TRIPVSitr","Drug metabolism"
"AM4NCSitr","Drug metabolism"
"3OHACMPtev","Drug metabolism"
"AM1CCStev","Drug metabolism"
"ALLOPOXDhep","Drug metabolism"
"PTVSTtu","Drug metabolism"
"NDERSVitr","Drug metabolism"
"3MEACMPitr","Drug metabolism"
"2HATVLAChc","Drug metabolism"
"MDZitr","Drug metabolism"
"5OHFVSGLUtev","Drug metabolism"
"1HMDZGLUChc","Drug metabolism"
"LSTNM1tev","Drug metabolism"
"LSTN1GLUCitr","Drug metabolism"
"TSACMGLUChr","Drug metabolism"
"7BHGLZGLCtev","Drug metabolism"
"7HPVSteb","Drug metabolism"
"TSACMSULtev","Drug metabolism"
"Am19CStev","Drug metabolism"
"6BHGLZhr","Drug metabolism"
"AM1CSAitr","Drug metabolism"
"7HPVSitr","Drug metabolism"
"LSTNM1hr","Drug metabolism"
"CRVSM31hc","Drug metabolism"
"IBUP_RASCL1hep","Drug metabolism"
"14HMDZhr","Drug metabolism"
"3HPVSTEThc","Drug metabolism"
"4HMDGLUCtev","Drug metabolism"
"SMVLAChep","Drug metabolism"
"THRFVShc","Drug metabolism"
"1HIBUPGLUitr","Drug metabolism"
"DEOXFVShc","Drug metabolism"
"3HPVSTETCOAhcm","Drug metabolism"
"OXYPtepv","Drug metabolism"
"ACMPGLUtep","Drug metabolism"
"2HATVACIDhc","Drug metabolism"
"MERACMPthc","Drug metabolism"
"2HATVLACOXDhc","Drug metabolism"
"PTVSTM13te","Drug metabolism"
"2HIBUP_Sitr","Drug metabolism"
"PVSGLUCteb","Drug metabolism"
"12HTACRhr","Drug metabolism"
"6MELVACIDitr","Drug metabolism"
"4HATVACIDthc","Drug metabolism"
"CRVSitr","Drug metabolism"
"TRIPVShc","Drug metabolism"
"TMDtd","Drug metabolism"
"4HATVACIDhc","Drug metabolism"
"6AHGLZABCt","Drug metabolism"
"LSTNM5tev","Drug metabolism"
"AM1CSAhr","Drug metabolism"
"ALLOP1tu","Drug metabolism"
"6HSMVACIDteb","Drug metabolism"
"IBUP_Rtdu","Drug metabolism"
"56DHPVSitr","Drug metabolism"
"SMVGLUCLAChep","Drug metabolism"
"SMVGLUChep","Drug metabolism"
"7AHGLZtev","Drug metabolism"
"PVSOATPtu","Drug metabolism"
"AM1ACCSitr","Drug metabolism"
"TACRitr","Drug metabolism"
"6BHGLZGLChr","Drug metabolism"
"CRVSM22hc","Drug metabolism"
"DESFVSitr","Drug metabolism"
"LSTNM7itr","Drug metabolism"
"GTACMPitr","Drug metabolism"
"LVSTACOXD6Hhep","Drug metabolism"
"CRVSM24teb","Drug metabolism"
"ACMPGLUthc","Drug metabolism"
"12HTACRitr","Drug metabolism"
"AM4N9CSitr","Drug metabolism"
"LVSTOXD6METhep","Drug metabolism"
"TRIPVStev","Drug metabolism"
"TMDM1itr","Drug metabolism"
"IBUP_SACOT2","Drug metabolism"
"MHGLZitr","Drug metabolism"
"NFDLAChc","Drug metabolism"
"AM1CCSitr","Drug metabolism"
"4HATVLACthc","Drug metabolism"
"IBUP_RCYP3hep","Drug metabolism"
"IBUP_SCONJhep","Drug metabolism"
"NFDtd","Drug metabolism"
"3HSMVACIDhep","Drug metabolism"
"PTVSTLACtev","Drug metabolism"
"IBUP_Rshep","Drug metabolism"
"35DSMVhep","Drug metabolism"
"TMDM5OATt","Drug metabolism"
"GLC3MEACPitr","Drug metabolism"
"6OHFVSGLUitr","Drug metabolism"
"STACMPhc","Drug metabolism"
"3ISPVSteb","Drug metabolism"
"4HATVLACtep","Drug metabolism"
"4HATVLACteb","Drug metabolism"
"CRVStu","Drug metabolism"
"15DMThr","Drug metabolism"
"PTVSTLACitr","Drug metabolism"
"FVSTETGLUtev","Drug metabolism"
"CRVS1tev","Drug metabolism"
"CRVSATPtu","Drug metabolism"
"6MELACAChep","Drug metabolism"
"6OHFVSGLUtev","Drug metabolism"
"CRVSATPthc","Drug metabolism"
"AM1ACStep","Drug metabolism"
"OXYP2CONJ","Drug metabolism"
"PVSGLUCitr","Drug metabolism"
"FVShc","Drug metabolism"
"35DSMVitr","Drug metabolism"
"CYSACMPitr","Drug metabolism"
"TLACFVShc","Drug metabolism"
"ACMPGLUTdt","Drug metabolism"
"LSTNM7hr","Drug metabolism"
"ACMPitr","Drug metabolism"
"AM1CGLChr","Drug metabolism"
"6BHGLZABCt","Drug metabolism"
"6CSMVACIDteb","Drug metabolism"
"2HATVACIDOXDhc","Drug metabolism"
"NFDACtep","Drug metabolism"
"3HSMVACIDteb","Drug metabolism"
"MDZtd","Drug metabolism"
"1513DTALThr","Drug metabolism"
"1531TACRitr","Drug metabolism"
"4HATVACIDtep","Drug metabolism"
"LVSTACIDtu","Drug metabolism"
"4HATVACIDteb","Drug metabolism"
"3ISPVSitr","Drug metabolism"
"5OHFVSGLUitr","Drug metabolism"
"2HATVACIDGLUChr","Drug metabolism"
"NFDNPYitr","Drug metabolism"
"2HIBUP_Ritr","Drug metabolism"
"IBUP_RCYP2hep","Drug metabolism"
"THSACMPhr","Drug metabolism"
"3HPVSCOAitm","Drug metabolism"
"MHGLZtev","Drug metabolism"
"TLACFVStev","Drug metabolism"
"15DMTitr","Drug metabolism"
"AM9CSAteb","Drug metabolism"
"PTVSTM3eb","Drug metabolism"
"6HSMVitr","Drug metabolism"
"1HIBUP_SGLUhep","Drug metabolism"
"35DHPVSitr","Drug metabolism"
"7AHGLZhr","Drug metabolism"
"1HMDGLUCitr","Drug metabolism"
"ACMPGLUChr","Drug metabolism"
"1HIBUP_Sitr","Drug metabolism"
"ATVACIDtdu","Drug metabolism"
"2HIBUP_Rthv","Drug metabolism"
"CRVSthc","Drug metabolism"
"2HATVACIDGLUCitr","Drug metabolism"
"CRVSM23hc","Drug metabolism"
"1513TACRtep","Drug metabolism"
"AM1C4N9CSteb","Drug metabolism"
"6HMSMVhep","Drug metabolism"
"1HIBUPGLUC_Sthv","Drug metabolism"
"3HLVSTACtbc","Drug metabolism"
"FVSTETtev","Drug metabolism"
"3HPVSTETCOAitx","Drug metabolism"
"THRFVStev","Drug metabolism"
"GLC3MEACPhr","Drug metabolism"
"6BHGLZGLCtev","Drug metabolism"
"2HATVACIDitr","Drug metabolism"
"OXYP1CONJ","Drug metabolism"
"DEOXFVStev","Drug metabolism"
"1531TACRhr","Drug metabolism"
"FVSTETGLUhc","Drug metabolism"
"ATVACIDOATPtu","Drug metabolism"
"RSVATPtu","Drug metabolism"
"PVSHtu","Drug metabolism"
"7AHGLZABCt","Drug metabolism"
"SULPACMPtev","Drug metabolism"
"31DMTtu","Drug metabolism"
"AM1ACCShr","Drug metabolism"
"3OHACMPhr","Drug metabolism"
"IBUP_Stbc","Drug metabolism"
"15DMTtep","Drug metabolism"
"3HIBUP_Ritr","Drug metabolism"
"CRVSM22itr","Drug metabolism"
"3HLVSTAChep","Drug metabolism"
"TSACMGLUCitr","Drug metabolism"
"IBUP_Stdu","Drug metabolism"
"LST4EXPitr","Drug metabolism"
"DESFVShc","Drug metabolism"
"LVSTPGPtu","Drug metabolism"
"LSTNM1itr","Drug metabolism"
"DHGLZtev","Drug metabolism"
"2HIBUP_SGLUhep","Drug metabolism"
"TMDM5hr","Drug metabolism"
"1OHMDZtep","Drug metabolism"
"STACMPtev","Drug metabolism"
"AM1C9CSteb","Drug metabolism"
"AM1ACShr","Drug metabolism"
"MDZtu","Drug metabolism"
"AM9CSAtep","Drug metabolism"
"6MELVACtbc","Drug metabolism"
"FVStu","Drug metabolism"
"AM1ALCSteb","Drug metabolism"
"4HATVACIDitr","Drug metabolism"
"AM1ALCStep","Drug metabolism"
"3HSMVhep","Drug metabolism"
"2HIBUP_Sthv","Drug metabolism"
"UDPRIBc","Drug metabolism"
"CRVSM23tev","Drug metabolism"
"6OHFVSteb","Drug metabolism"
"CRVSM1teb","Drug metabolism"
"PTVSTATPtu","Drug metabolism"
"6CSMVACIDhep","Drug metabolism"
"NFDACOXDhc","Drug metabolism"
"IBUP_Ritr","Drug metabolism"
"LSTNitr","Drug metabolism"
"4BHGLZtev","Drug metabolism"
"RSVitr","Drug metabolism"
"SMVHYDROhep","Drug metabolism"
"LSTNM5hr","Drug metabolism"
"CRVSM1hc","Drug metabolism"
"MDZGLCtev","Drug metabolism"
"1OHMDZitr","Drug metabolism"
"DSPVShc","Drug metabolism"
"FVSitr","Drug metabolism"
"6OHFVSitr","Drug metabolism"
"CRVS1M24hc","Drug metabolism"
"ISOLVSTtbc","Drug metabolism"
"6EPVStep","Drug metabolism"
"31DMTtep","Drug metabolism"
"CARIBUP_Sthv","Drug metabolism"
"PTVSTM3hc","Drug metabolism"
"PAPitr","Drug metabolism"
"PTVSTLAChc","Drug metabolism"
"ATVLAChr","Drug metabolism"
"CSAtu","Drug metabolism"
"3OHACMPitr","Drug metabolism"
"TSACMSULhc","Drug metabolism"
"CSASULPteb","Drug metabolism"
"IBUPGT_HEP","Drug metabolism"
"56EPPVSteb","Drug metabolism"
"RSVSPONhc","Drug metabolism"
"3HPVSteb","Drug metabolism"
"H2O2itr","Drug metabolism"
"PTVSTGLUChc","Drug metabolism"
"2HIBUPGLUC_Sthv","Drug metabolism"
"RSVtu","Drug metabolism"
"4BHGLZABCt","Drug metabolism"
"31DMThr","Drug metabolism"
"PVSGLUCtev","Drug metabolism"
"NFDOHitr","Drug metabolism"
"LSTNM2hr","Drug metabolism"
"CRVS23M24hc","Drug metabolism"
"3HIBUP_SGLUhep","Drug metabolism"
"ALLOP2tu","Drug metabolism"
"56DHPVSteb","Drug metabolism"
"PTVSThc","Drug metabolism"
"AM1C9CShr","Drug metabolism"
"PROFVShc","Drug metabolism"
"AM1CGLCteb","Drug metabolism"
"AM1ALCShr","Drug metabolism"
"3ISPVShc","Drug metabolism"
"3HPVSTETteb","Drug metabolism"
"AM1ACSitr","Drug metabolism"
"IBUP_Sitr","Drug metabolism"
"MERACMPtep","Drug metabolism"
"12HTACRtu","Drug metabolism"
"DSPVSteb","Drug metabolism"
"AM1CCShr","Drug metabolism"
"ATVACIDMCTtu","Drug metabolism"
"SMVtu","Drug metabolism"
"ISOLVSTAChep","Drug metabolism"
"LST4EXPTDhc","Drug metabolism"
"6AHGLZtev","Drug metabolism"
"56EPPVShc","Drug metabolism"
"TACRtu","Drug metabolism"
"PROFVSCOAitx","Drug metabolism"
"PTVSTitr","Drug metabolism"
"6MELVSTitr","Drug metabolism"
"1HMDGLUChr","Drug metabolism"
"AM1CGLCitr","Drug metabolism"
"ATVACIDtu","Drug metabolism"
"RSVtev","Drug metabolism"
"1513TACRitr","Drug metabolism"
"ACMPGLUTtep","Drug metabolism"
"ACMPtu","Drug metabolism"
"3HPVSTETtev","Drug metabolism"
"CRGLZtev","Drug metabolism"
"TMDitr","Drug metabolism"
"DSPVSitr","Drug metabolism"
"LVACLAChep","Drug metabolism"
"35DHPVSthc","Drug metabolism"
"PAPSitr","Drug metabolism"
"3HPVSitr","Drug metabolism"
"CRVSM31itr","Drug metabolism"
"2HATVACIDthc","Drug metabolism"
"ATVACYLGLUChc","Drug metabolism"
"SMVitr","Drug metabolism"
"AM4NC9CSteb","Drug metabolism"
"IBUP_SCYP1hep","Drug metabolism"
"6CSMVhep","Drug metabolism"
"IBUP_SCYP2hep","Drug metabolism"
"SMVACIDitr","Drug metabolism"
"3HPVSCOAitx","Drug metabolism"
"1331TACRtev","Drug metabolism"
"35DSMVteb","Drug metabolism"
"GTACMPhr","Drug metabolism"
"LSTNM7thc","Drug metabolism"
"FVSTETitr","Drug metabolism"
"CARIBUP_Rthv","Drug metabolism"
"RSVLAChv","Drug metabolism"
"LSTNRATt","Drug metabolism"
"35DHPVStep","Drug metabolism"
"CSASULPtev","Drug metabolism"
"7HPVStev","Drug metabolism"
"PTVSTM13hr","Drug metabolism"
"6AHGLZhr","Drug metabolism"
"13DMTtu","Drug metabolism"
"SMVACIDtev","Drug metabolism"
"CSASULPhc","Drug metabolism"
"FVSTETGLUitr","Drug metabolism"
"PTVSTM3itr","Drug metabolism"
"LSTNM4hr","Drug metabolism"
"AM1ALCSitr","Drug metabolism"
"6HLVSTitr","Drug metabolism"
"AM9CSAhr","Drug metabolism"
"31DMTitr","Drug metabolism"
"NAPQIhr","Drug metabolism"
"2HIBUPGLUC_Sitr","Drug metabolism"
"DHGLZhc","Drug metabolism"
"6HLVSTACIDitr","Drug metabolism"
"AM4N9CShr","Drug metabolism"
"4OHMDZitr","Drug metabolism"
"S3MEACMPhc","Drug metabolism"
"SMVthep","Drug metabolism"
"AM19CSitr","Drug metabolism"
"CARIBUP_SGLUhep","Drug metabolism"
"4BHGLZitr","Drug metabolism"
"3HIBUPGLUC_Sthv","Drug metabolism"
"TSACGLUCtev","Drug metabolism"
"AM4NCStep","Drug metabolism"
"LVSTtu","Drug metabolism"
"GLZtd","Drug metabolism"
"AM1C9CStev","Drug metabolism"
"4HMDZGLUChr","Drug metabolism"
"LSTNM5itr","Drug metabolism"
"LSTNtd","Drug metabolism"
"AM1CCSteb","Drug metabolism"
"CRVSM24itr","Drug metabolism"
"DEOXFVSitx","Drug metabolism"
"56DHPVShc","Drug metabolism"
"35DHPVShc","Drug metabolism"
"1531TACRteb","Drug metabolism"
"6OHFVSGLUhc","Drug metabolism"
"7BHGLZGLChr","Drug metabolism"
"14HMDZitr","Drug metabolism"
"3HPVSthc","Drug metabolism"
"OXYPR7tehv","Drug metabolism"
"ATVETHGLUChc","Drug metabolism"
"PTVSTtep","Drug metabolism"
"LVSTACOXD6MEhep","Drug metabolism"
"TACRDtsc","Drug metabolism"
"1513TACRtu","Drug metabolism"
"TMDM5itr","Drug metabolism"
"CYSAMPtev","Drug metabolism"
"CRVSM23hr","Drug metabolism"
"RSVhc","Drug metabolism"
"6HLVSTAChep","Drug metabolism"
"TLACFVSitr","Drug metabolism"
"MDZGLCitr","Drug metabolism"
"S3MEACMPtev","Drug metabolism"
"2HATVLACGLUCteb","Drug metabolism"
"MHGLZABCt","Drug metabolism"
"1331TAALThr","Drug metabolism"
"7BHGLZGLCitr","Drug metabolism"
"ACMPGLUitr","Drug metabolism"
"PVStep","Drug metabolism"
"AM4N9CShc","Drug metabolism"
"LST4EXPhr","Drug metabolism"
"ATVLACitr","Drug metabolism"
"4BHGLZhr","Drug metabolism"
"Am1CSAteb","Drug metabolism"
"14MDZtev","Drug metabolism"
"ATVLACThc","Drug metabolism"
"PVSGLUChc","Drug metabolism"
"PROFVSCOAhc","Drug metabolism"
"6EPVSthc","Drug metabolism"
"NFDLACtep","Drug metabolism"
"6OHFVShc","Drug metabolism"
"NFDDMEThr","Drug metabolism"
"2HATVLACtep","Drug metabolism"
"PVSATPtu","Drug metabolism"
"CARIBUPGLU_Sitr","Drug metabolism"
"PTVSTM13itr","Drug metabolism"
"4HATVLACitr","Drug metabolism"
"2HATVACIDGLUCteb","Drug metabolism"
"TMDOATtev","Drug metabolism"
"RSVLACteb","Drug metabolism"
"IBUP_Stdhep","Drug metabolism"
"12HTACRtep","Drug metabolism"
"3HPVSTETCOAitm","Drug metabolism"
"LVSTitr","Drug metabolism"
"MDZGLChr","Drug metabolism"
"DHGLZABCt","Drug metabolism"
"LVSTOXD6Hhep","Drug metabolism"
"LSTNM4itr","Drug metabolism"
"CARBIBUP_SGLUthv","Drug metabolism"
"FVSitx","Drug metabolism"
"OXYPR1tehv","Drug metabolism"
"1531TACRtev","Drug metabolism"
"GLYitr","Drug metabolism"
"ACMPGLUTitr","Drug metabolism"
"LSTNM2itr","Drug metabolism"
"LST4EXPthc","Drug metabolism"
"AM4NCShr","Drug metabolism"
"1OHMDZhr","Drug metabolism"
"ACMPthc","Drug metabolism"
"TMDOATthc","Drug metabolism"
"3HSMVitr","Drug metabolism"
"3HIBUP_Rthv","Drug metabolism"
"6HMSMVACIDhep","Drug metabolism"
"ATVLAChc","Drug metabolism"
"4HATVLACOXDhc","Drug metabolism"
"TMACMPhr","Drug metabolism"
"IBUP_Rtdhep","Drug metabolism"
"ACMPGLUTTRsc","Drug metabolism"
"3HIBUP_Sitr","Drug metabolism"
"ATVACIDitr","Drug metabolism"
"AM9CSAitr","Drug metabolism"
"PVSitr","Drug metabolism"
"ATVACIDhc","Drug metabolism"
"ATVLACtu","Drug metabolism"
"CYSACMPAChc","Drug metabolism"
"2HATVLACGLUCitr","Drug metabolism"
"AM1C4N9CShc","Drug metabolism"
"SMVACIDhep","Drug metabolism"
"7BHGLZhr","Drug metabolism"
"RSVLACitr","Drug metabolism"
"7BHGLZABCt","Drug metabolism"
"TRIPVSteb","Drug metabolism"
"AM1C9CSitr","Drug metabolism"
"EPOXTACitr","Drug metabolism"
"DESFVSteb","Drug metabolism"
"1HIBUP_Sthv","Drug metabolism"
"ATVLACh2r","Drug metabolism"
"LSTNM2tev","Drug metabolism"
"2HATVLACGLUChr","Drug metabolism"
"6EPVShc","Drug metabolism"
"NFDACitr","Drug metabolism"
"EPOXTAChr","Drug metabolism"
"TMDM3itr","Drug metabolism"
"13DMThr","Drug metabolism"
"TMDM3OATt","Drug metabolism"
"CRVSM23teb","Drug metabolism"
"2HATVLACthc","Drug metabolism"
"AM1A4NCSteb","Drug metabolism"
"LSTN1GLUChr","Drug metabolism"
"TMDM1OATt","Drug metabolism"
"LSTNM4tev","Drug metabolism"
