"","Anti-inflammatory macro/mono","CAFs","CD8aa IELs","cDCs","CXCL13+ CD8 Tcells","Double-Negative Tcells","Enteric glia cells","Fibroblasts","Follicular CD4 Tcells","gdTcells","IL17+ CD4 Tcells","Mast cells","Memory Bcells","Memory CD4 Tcells","Memory CD8 Tcells","Myofibroblasts","Naive Bcells","Naive CD4 Tcells","NK cells","NKT cells","Pericytes","Plasma cells","Pro-inflammatory macro/mono","Proliferative Bcells","Proliferative CD4 Tcells","Proliferative CD8 Tcells","Regulatory CD4 Tcells","Tumour Epithelial cells","Vascular ECs","VSMCs"
"C3orf67",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,9,3,0
"FHIT",9,6,1,1,0,1,1,3,1,0,0,3,7,0,0,1,1,6,0,0,4,3,1,0,0,1,2,84,8,0
"PTPRG",1,27,0,1,1,0,0,16,0,0,0,1,10,0,2,1,8,1,0,0,72,2,0,0,0,0,0,45,180,4
"C3orf14",20,17,0,0,14,0,1,9,0,0,1,1,0,3,11,1,2,1,0,0,11,1,2,1,17,13,6,44,27,1
"CADPS",1,5,1,0,0,0,0,0,0,0,0,27,1,0,1,0,0,0,1,0,2,1,0,1,0,0,0,108,2,1
"SYNPR-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C3orf49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"THOC7",63,55,2,6,27,2,0,32,3,1,17,19,35,30,26,1,10,8,4,2,43,13,5,18,27,23,48,612,108,3
"ATXN7",22,20,4,1,10,3,0,21,9,3,14,12,25,30,17,0,7,15,0,1,25,4,3,4,25,23,31,108,50,4
"SCAANT1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"PSMD6-AS2",0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,0,0,1,2,2,1
"RP11-245J9.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"PSMD6",24,27,3,2,15,0,0,10,5,2,11,13,15,15,15,2,8,7,1,1,21,8,6,9,11,10,16,232,61,1
"RP11-245J9.4",1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,3,0,0,2,0,1,1,0,1,0
"RP11-245J9.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"PRICKLE2-AS1",0,8,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,3,0
"PRICKLE2",1,11,0,0,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,7,13,1
"ADAMTS9",0,6,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,20,628,6
"ADAMTS9-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0
"ADAMTS9-AS2",0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,11,0
"MAGI1",1,5,0,0,1,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,16,0,0,0,0,1,1,48,145,0
"SLC25A26",18,39,5,3,14,2,1,9,0,1,4,5,19,7,14,1,5,10,1,1,20,6,1,3,5,7,21,111,29,1
"LRIG1",2,21,0,0,3,0,0,6,0,0,1,1,0,3,0,4,1,1,0,0,9,1,0,1,5,0,4,45,13,1
"KBTBD8",4,0,0,0,2,0,0,1,0,0,0,0,13,0,3,0,3,1,1,1,0,1,1,2,6,3,7,5,2,0
"SUCLG2",56,68,4,0,21,2,1,19,3,1,13,6,20,18,26,2,9,7,2,1,48,17,5,4,19,9,36,510,58,5
"SUCLG2-AS1",0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
"FAM19A1",0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EOGT",27,10,1,0,4,0,1,2,0,0,1,4,0,1,3,0,0,1,0,0,9,0,1,0,5,2,6,15,64,2
"CTD-2013N24.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"TMF1",38,62,2,3,29,3,1,24,7,1,15,19,45,37,31,2,19,13,7,3,55,20,4,9,28,23,49,264,87,3
"UBA3",24,24,1,2,8,0,1,6,6,0,5,11,11,4,15,0,3,4,2,1,20,5,5,3,13,9,14,128,36,0
"ARL6IP5",288,137,16,18,77,4,12,118,25,4,63,65,89,104,116,9,23,49,14,9,79,22,53,14,109,91,261,562,195,7
"LMOD3",0,1,0,0,8,2,0,1,1,1,1,2,2,6,12,0,2,4,0,0,6,7,0,0,8,4,13,3,1,0
"FRMD4B",57,0,9,3,11,2,0,6,3,2,14,3,1,34,11,0,0,10,0,4,4,6,4,0,18,5,87,76,129,0
"MITF",52,42,0,2,0,0,0,12,0,0,0,38,1,1,0,2,0,0,0,0,8,1,3,0,1,0,0,7,0,0
"LINC01212",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"FOXP1",46,111,8,3,25,6,1,64,6,2,7,97,152,42,35,5,64,29,5,9,145,9,9,14,28,33,46,319,313,14
"RP11-154H23.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,2,3,7,0
"EIF4E3",5,8,1,1,10,0,0,5,4,1,11,0,2,14,18,1,0,4,1,3,6,3,4,0,24,7,18,19,4,0
"GPR27",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"PROK2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
"LINC00877",6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,3,0,0,1,0,0,0
"RYBP",31,21,2,0,18,0,0,21,1,0,6,5,10,16,17,1,9,6,4,2,29,22,10,5,15,9,43,107,84,3
"SHQ1",0,4,0,1,3,0,0,0,2,0,2,1,3,0,0,0,2,0,0,0,2,0,2,0,3,3,1,29,13,1
"GXYLT2",0,22,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"PPP4R2",29,62,4,1,32,0,2,21,4,1,19,12,23,18,31,0,8,9,3,2,58,17,8,7,35,29,38,202,99,1
"EBLN2",1,4,0,2,7,1,1,3,2,0,4,1,6,6,2,0,2,3,1,0,9,3,1,1,3,6,9,29,10,0
"PDZRN3",1,20,0,0,0,0,1,7,0,0,1,0,0,0,0,1,1,0,0,0,5,0,0,0,0,0,1,9,0,0
"CNTN3",0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,27,0,0
"RP11-803B1.8",0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,8,3,0
"CTD-2026G6.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"LINC00960",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0
"ZNF717",7,5,0,1,0,0,0,1,0,0,1,2,2,0,0,0,3,0,0,0,3,1,0,0,0,0,1,35,5,1
"ROBO2",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"ROBO1",3,50,0,0,1,0,0,11,0,0,0,2,0,0,1,0,0,0,0,0,20,0,0,0,0,0,1,1,35,2
"GBE1",14,9,1,1,1,0,0,7,0,1,1,9,6,1,4,1,3,0,0,1,10,2,2,1,7,1,8,23,33,1
"LINC00971",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"CADM2",0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"VGLL3",0,27,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,1,2
"LINC00506",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CHMP2B",40,45,5,2,11,1,0,23,7,0,7,7,29,10,15,1,5,7,1,1,46,8,5,3,16,9,35,422,69,2
"HTR1F",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,3,3,0
"CGGBP1",29,46,5,2,22,1,2,15,6,0,11,17,38,29,36,4,9,9,5,3,53,14,9,8,28,27,43,168,69,5
"RP11-159G9.5",1,1,0,0,1,0,0,0,1,0,1,1,3,1,4,0,2,0,0,0,3,2,0,0,0,1,4,4,4,0
"ZNF654",6,2,1,1,8,0,1,2,1,0,4,1,11,8,9,0,2,4,2,0,8,0,0,1,6,9,6,20,18,2
"C3orf38",16,9,1,3,10,2,0,5,0,0,6,4,15,7,14,0,3,5,0,2,14,5,3,4,9,6,20,59,17,0
"EPHA3",0,15,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,34,0,0,0,0,0,0,0,1,2
"PROS1",3,10,0,0,1,0,0,22,0,0,0,7,0,0,0,0,0,0,0,0,24,0,0,0,1,0,2,35,68,1
"ARL13B",17,12,1,1,3,0,0,15,3,0,2,1,5,4,9,0,2,1,0,0,25,1,0,1,3,5,10,29,28,4
"STX19",0,1,1,0,0,0,0,1,0,0,1,0,2,0,1,0,2,0,0,0,0,2,0,0,0,0,0,51,3,0
"DHFRL1",3,6,1,0,4,0,0,4,0,0,2,0,5,1,3,0,0,1,0,0,9,2,0,0,4,1,8,16,5,0
"NSUN3",6,3,0,1,5,0,0,3,2,0,2,2,8,4,7,0,2,0,1,2,4,2,1,1,2,6,5,49,5,2
"MTRNR2L12",36,16,2,0,16,1,0,25,4,1,6,9,27,9,22,2,6,6,2,1,31,10,10,4,10,7,25,268,70,2
"ARL6",3,5,0,0,1,0,0,1,0,0,1,0,1,2,1,0,0,1,0,0,7,1,0,0,0,0,2,11,7,0
"CRYBG3",15,14,0,0,0,0,0,11,0,0,0,0,3,1,0,0,0,1,0,1,14,1,1,0,0,0,1,39,111,0
"MINA",11,10,0,2,3,0,0,6,2,0,2,1,7,7,5,0,3,1,1,0,13,7,0,0,2,4,2,105,21,0
"CLDND1",29,25,19,4,17,8,4,13,8,5,14,7,21,27,27,1,9,28,6,3,47,16,5,4,22,21,51,92,73,9
"CPOX",11,7,0,1,2,0,0,4,0,0,0,1,1,1,2,0,0,0,1,0,3,1,0,0,1,1,4,32,6,1
"GPR15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ST3GAL6-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
"ST3GAL6",31,2,0,1,0,0,2,1,0,0,1,4,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,30,0
"DCBLD2",1,22,0,0,0,0,0,15,0,0,0,0,1,0,0,1,0,0,0,0,36,1,0,0,1,0,0,43,4,3
"RP11-201E8.1",0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COL8A1",3,226,0,0,1,0,2,69,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,9,3
"RP11-383I23.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"CMSS1",16,15,1,1,9,0,0,15,6,0,5,4,20,6,13,0,5,6,2,0,13,3,2,12,10,7,19,216,63,0
"FILIP1L",33,391,1,0,2,0,0,120,1,0,1,3,4,1,4,26,2,0,0,0,651,0,1,0,2,3,0,21,135,36
"TBC1D23",18,17,1,1,7,0,0,7,3,0,3,5,8,6,10,2,1,2,2,2,21,4,0,2,1,5,6,71,30,1
"NIT2",31,40,5,2,8,1,0,11,1,0,3,6,12,4,25,2,6,1,1,1,40,2,5,0,15,14,21,312,17,0
"TOMM70A",18,14,2,3,5,2,0,9,1,0,1,3,15,4,13,0,1,5,1,1,23,5,2,3,9,5,13,92,39,3
"LNP1",0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,1,3,0,1
"TMEM45A",0,27,0,0,0,0,0,31,0,0,0,5,0,0,0,0,0,0,0,0,14,2,0,1,0,0,0,8,2,2
"ADGRG7",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,31,1,0
"TFG",36,60,2,3,8,0,1,33,3,0,3,8,11,11,10,1,2,7,3,1,42,18,8,4,4,12,23,408,102,1
"ABI3BP",0,29,0,0,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,1
"IMPG2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,10,0
"SENP7",7,6,4,1,16,4,0,9,2,1,5,9,7,20,9,0,8,16,1,0,18,1,6,0,11,7,27,26,49,1
"TRMT10C",16,24,8,1,14,0,0,11,3,0,2,4,22,13,14,0,9,10,1,2,22,8,1,8,18,12,13,377,63,0
"PCNP",39,82,8,2,35,5,0,24,13,0,17,18,45,31,44,1,18,14,2,2,89,17,17,18,39,37,45,317,110,5
"ZBTB11",9,13,5,0,13,0,0,2,5,1,5,3,4,7,6,1,2,0,2,0,7,6,5,2,9,14,15,37,26,0
"ZBTB11-AS1",1,1,0,1,0,0,0,1,1,0,0,0,2,1,2,0,0,2,0,0,0,1,1,0,2,3,4,4,8,0
"RPL24",816,1122,124,82,461,55,25,994,152,20,265,325,1197,542,631,50,395,395,89,65,1174,407,216,220,492,310,1083,8516,2553,81
"CEP97",4,3,3,0,6,1,0,1,1,0,1,1,1,2,7,1,1,2,0,0,6,6,0,2,6,13,9,11,10,0
"NXPE3",11,3,0,0,7,0,1,3,1,0,2,7,9,8,6,0,1,3,0,2,5,16,0,1,3,3,12,6,17,0
"NFKBIZ",138,203,4,13,40,2,6,211,29,6,32,123,69,70,69,2,23,33,23,12,194,67,87,1,48,24,129,259,364,15
"RP11-221J22.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ALCAM",58,5,0,4,1,1,5,5,3,0,0,1,16,1,8,1,4,5,0,0,60,6,5,1,1,1,5,109,11,3
"CBLB",18,16,5,0,41,5,0,13,4,0,6,3,21,11,40,0,7,11,2,2,17,3,0,3,10,21,29,78,87,0
"LINC00882",0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0
"DUBR",0,4,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,8,0,0,0,1,1,0,4,1,0
"RP11-115H18.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"BBX",52,72,7,8,29,3,3,34,5,2,12,13,86,37,41,2,29,26,7,4,126,17,13,9,21,13,59,216,129,6
"LINC00636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD47",116,65,5,3,33,2,1,43,11,5,16,23,75,37,47,2,26,21,9,5,50,21,34,9,29,34,72,496,81,4
"LINC01215",1,0,1,0,1,0,0,0,1,1,0,0,17,2,5,0,4,5,0,1,0,0,0,3,1,1,2,2,0,0
"IFT57",12,33,3,0,9,1,0,20,1,0,7,2,74,5,14,0,23,3,0,0,43,8,4,15,3,5,16,243,64,4
"HHLA2",0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,0
"MYH15",0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0
"KIAA1524",6,5,0,0,4,0,0,1,1,0,1,0,0,0,6,0,1,1,0,0,5,6,3,5,21,14,4,33,7,1
"DZIP3",6,10,5,0,27,1,0,10,6,1,11,2,10,17,20,1,4,10,2,2,16,4,0,3,7,17,28,32,18,2
"RETNLB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"TRAT1",2,0,7,0,29,11,0,0,18,1,16,0,2,30,34,0,0,29,1,4,0,1,0,0,12,18,28,6,2,0
"FLJ22763",0,1,0,0,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,64,0,0
"LINC01205",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVRL3-AS1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PVRL3",0,11,1,0,3,0,0,1,1,1,2,0,0,0,1,0,1,0,0,0,13,0,0,0,2,3,1,58,5,0
"CD96",8,3,11,0,50,3,2,0,22,4,32,0,11,45,76,0,2,16,6,4,3,4,1,0,41,50,73,12,5,0
"ZBED2",0,0,0,0,8,0,0,0,11,0,0,0,0,2,2,0,1,0,0,0,1,0,0,0,4,9,19,3,1,0
"PLCXD2",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0
"PHLDB2",2,22,0,0,0,0,0,27,0,0,1,0,1,2,1,3,1,1,2,0,56,0,0,0,2,1,2,2,54,6
"ABHD10",7,3,1,0,5,0,0,3,3,0,0,4,3,2,1,0,2,0,0,0,7,2,1,2,7,3,7,57,9,0
"TMPRSS7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"C3orf52",1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,32,2,0
"GCSAM",1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,2,12,1,0,0,0,0,0
"RP11-757F18.5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"SLC9C1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0
"CD200",0,9,0,0,1,0,1,14,3,0,1,0,5,0,3,0,5,2,0,0,1,0,0,0,3,7,3,1,118,0
"RP11-231E6.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"BTLA",0,0,0,0,7,0,0,0,4,0,2,0,15,4,6,0,10,4,0,0,0,3,0,3,1,4,11,1,1,0
"ATG3",103,30,1,8,19,1,0,11,3,0,7,12,14,8,15,1,12,7,2,1,28,10,19,13,23,12,21,268,109,1
"SLC35A5",9,11,0,1,1,0,1,5,1,0,0,4,5,1,0,0,2,0,0,0,5,1,0,2,8,2,2,34,22,0
"CCDC80",4,443,1,0,1,0,0,826,3,0,0,1,2,0,1,2,2,0,0,0,70,1,1,0,0,0,1,12,39,9
"RP11-572C15.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CD200R1",8,0,1,0,10,0,1,2,1,0,3,9,1,12,12,0,2,5,1,0,0,0,0,0,4,3,7,2,1,1
"RP11-484K9.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0
"GTPBP8",10,10,2,0,7,1,1,8,1,0,4,4,9,2,8,0,0,5,1,0,14,2,2,0,6,12,10,56,22,0
"C3orf17",11,14,0,2,6,0,1,6,2,0,4,2,7,6,10,0,3,3,0,0,9,8,3,2,13,8,13,76,20,0
"RP11-572M11.4",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"BOC",0,22,0,0,0,0,1,53,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0
"CFAP44",0,7,0,0,2,0,0,7,2,0,0,1,5,1,3,0,1,0,0,0,1,2,0,0,2,1,2,23,7,0
"SPICE1",5,11,0,0,6,0,0,6,1,1,1,2,7,2,10,0,1,2,1,0,6,7,1,2,5,4,7,63,11,0
"SIDT1",2,0,1,0,5,1,0,0,2,0,0,3,40,1,2,0,11,0,1,0,1,4,0,1,0,1,8,18,1,1
"SIDT1-AS1",0,0,1,0,3,0,0,0,0,1,0,0,4,0,4,0,3,0,1,0,0,0,0,0,1,0,3,0,1,0
"USF3",9,9,1,1,4,1,0,10,3,0,2,1,13,5,3,2,8,6,1,1,14,4,1,4,5,3,15,41,21,1
"NAA50",35,29,7,1,19,3,0,16,5,2,6,6,16,13,19,0,9,9,1,3,17,12,7,12,27,27,25,156,36,3
"RP11-271C24.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"ATP6V1A",136,39,1,3,7,1,0,18,3,1,6,10,11,7,11,0,1,3,0,2,29,8,12,6,9,6,21,145,57,0
"GRAMD1C",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,17,14,0
"ZDHHC23",2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,36,3,0
"CCDC191",6,9,1,0,2,0,0,1,1,0,1,1,11,1,1,0,6,0,0,0,6,1,0,1,2,1,9,19,21,0
"QTRTD1",12,9,0,1,5,0,0,3,1,1,0,0,6,0,4,0,3,2,0,0,8,3,1,2,3,3,6,77,30,0
"RP11-553L6.2",0,0,1,0,11,0,0,0,5,1,2,7,12,5,15,0,0,9,4,2,0,0,0,3,3,3,18,1,1,0
"ZNF80",0,0,0,0,1,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0
"TIGIT",10,1,18,0,151,7,0,1,41,2,4,4,8,20,157,0,2,7,11,4,8,1,0,0,50,73,238,5,5,0
"RP11-553L6.5",3,31,0,0,4,0,1,11,2,0,0,4,22,1,5,1,3,3,0,0,26,4,1,1,4,2,10,11,41,1
"ZBTB20",4,58,3,1,9,2,1,36,2,0,7,16,57,9,19,4,25,5,2,1,49,7,2,3,3,3,22,44,105,6
"ZBTB20-AS1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"RP11-197K3.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZBTB20-AS2",0,4,1,0,0,1,0,0,0,0,0,1,2,0,1,2,1,2,0,1,3,0,0,0,0,1,4,3,2,0
"ZBTB20-AS4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"GAP43",0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"LSAMP",0,93,0,0,0,0,1,47,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,2,1,0
"RP11-384F7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"IGSF11",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UPK1B",1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"B4GALT4",9,15,5,0,3,1,1,10,1,0,3,2,13,2,9,1,6,2,0,2,11,5,2,3,5,5,3,106,16,1
"ARHGAP31",17,7,1,2,0,0,0,1,2,0,0,2,3,3,2,0,1,0,1,0,3,0,3,0,3,1,2,3,55,0
"ARHGAP31-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"TMEM39A",9,18,0,0,1,1,0,10,1,0,3,1,5,2,8,0,2,2,2,1,8,9,1,4,3,4,3,51,7,0
"POGLUT1",26,18,1,0,8,0,0,6,3,0,6,5,8,4,13,0,5,3,0,2,14,5,1,0,4,4,14,69,40,0
"RP11-190C22.8",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"TIMMDC1",23,54,4,0,10,3,0,20,2,0,7,6,11,10,18,0,2,3,0,3,50,6,3,7,18,14,17,184,93,4
"CD80",11,0,0,0,3,0,0,0,2,0,6,0,2,1,2,0,1,0,0,0,0,0,2,1,5,0,9,0,1,0
"RP11-190C22.9",5,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,7,0,1,1,4,0,2,0
"ADPRH",23,1,0,0,0,0,0,1,0,0,3,4,5,3,3,0,4,1,1,0,5,1,3,0,1,1,7,1,22,0
"PLA1A",5,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,5,6,0
"POPDC2",0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,14,0,0,0,0,0,2,2,0,0
"COX17",108,63,5,8,47,5,4,28,21,0,32,47,65,64,48,4,17,22,6,4,96,49,19,34,78,58,105,747,258,13
"MAATS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"NR1I2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,63,1,0
"GSK3B",17,14,2,3,6,0,1,5,2,0,6,2,15,10,15,0,7,2,1,1,16,3,6,1,14,8,26,124,34,1
"RP11-18H7.1",2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,6,6,0
"LRRC58",29,28,0,1,11,2,2,16,4,0,2,1,20,12,18,3,3,8,1,0,45,8,10,6,16,16,13,141,36,3
"RP11-174O3.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"FSTL1",4,316,0,0,1,0,3,197,0,0,0,0,2,2,1,1,2,3,1,0,170,0,0,0,0,0,1,4,242,3
"NDUFB4",156,170,12,9,66,2,5,97,17,3,24,51,71,48,60,5,19,36,10,11,219,62,29,24,83,69,120,1774,409,9
"HGD",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1,0
"RABL3",12,9,0,0,5,0,1,5,1,1,3,4,6,2,7,0,1,4,0,0,5,2,2,1,4,4,4,68,13,0
"GTF2E1",9,1,0,0,4,0,0,2,0,0,3,0,5,1,7,0,4,2,1,0,6,2,1,0,0,3,2,29,12,0
"POLQ",0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,6,7,1,11,0,0
"HCLS1",104,3,8,12,52,3,0,3,7,3,32,7,47,48,63,0,20,19,10,2,4,21,24,23,60,43,63,3,55,1
